year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Punchbowl 33_11kV,01MAY2004,MW,24.59129,22.66891,21.46980,22.68794,21.75530,20.70845,19.62355,19.09061,18.36733,17.51083,16.99692,16.34978,16.23558,15.91201,15.20777,15.39811,16.02621,15.39811,15.49327,15.56941,15.96911,16.27365,16.46398,16.82562,17.51083,17.14919,17.45373,17.22532,19.79485,20.32778,21.20333,22.44050,23.56348,24.40096,25.02906,26.62788,27.00855,26.85628,26.70401,26.79918,27.10371,27.48438,27.37018,26.85628,27.23695,26.53271,26.47561,26.24721,26.81821,26.51367,26.15204,25.79040,25.48586,25.23843,25.48586,25.33360,25.82847,25.16230,24.72452,24.62936,24.47709,24.41999,24.57226,25.08616,25.39070,25.31456,25.86654,25.42876,26.30431,28.24572,29.48290,29.54000,28.70253,28.34089,27.75085,26.98951,26.36141,25.99977,26.11397,25.52393,24.97196,24.85776,24.59129,24.00125,23.67768,23.39218,22.89731,22.85924,24.26772,26.20914,26.76111,25.33360,25.21940,25.82847,25.27650,24.59129
2005,Punchbowl 33_11kV,02MAY2004,MW,24.59129,23.33508,21.73626,22.82117,22.25017,21.01299,20.06132,18.95737,18.50057,17.49179,17.45373,16.55915,16.00718,15.62651,15.26487,15.37907,14.99840,15.30294,15.62651,15.09357,15.22681,15.60748,15.72168,16.06428,15.83588,15.49327,16.34978,15.66458,16.61625,17.56793,18.53864,19.43321,20.53715,21.52690,22.53567,24.24869,25.10519,25.44780,25.88557,26.07590,26.34237,26.64691,26.97048,26.51367,26.22817,26.30431,26.01880,26.24721,26.11397,26.17107,25.60007,25.04809,24.95293,24.61032,24.21062,24.17255,24.45806,23.96318,23.50638,23.22088,23.29701,23.22088,23.54445,23.43025,23.81092,23.71575,23.69672,24.02028,25.48586,27.27501,28.85480,29.55904,29.82550,29.59710,29.25450,28.91190,28.55026,27.94119,28.39799,28.07442,27.84602,27.57955,26.57077,26.47561,25.79040,25.82847,25.25746,24.24869,26.11397,27.44632,27.48438,26.01880,25.44780,26.34237,25.65717,24.22965
2005,Punchbowl 33_11kV,03MAY2004,MW,24.03932,22.55470,21.26043,23.16378,22.13597,20.70845,20.23262,18.95737,18.02473,17.81536,17.56793,17.37759,17.05402,16.44495,16.34978,15.72168,15.72168,15.81684,16.36882,16.63528,17.68213,17.89150,19.09061,20.23262,22.44050,23.43025,24.17255,24.53419,26.39947,28.18862,29.46387,29.84454,30.47264,30.49168,30.05391,29.95874,31.00558,30.62491,31.08172,31.11978,30.94848,31.25302,30.87235,30.33941,30.96751,31.15785,31.55755,30.85331,29.65420,30.13004,30.39651,30.13004,29.65420,30.11101,29.99681,30.43458,29.95874,30.03487,29.59710,28.94996,29.38773,29.04513,29.52097,29.84454,30.14907,30.43458,31.04365,31.08172,32.90893,34.58388,35.15489,34.75518,34.41258,33.38477,33.09927,32.62343,32.26179,31.31012,31.06268,29.73034,29.14030,28.55026,27.80795,27.61762,27.35115,26.19010,25.96170,25.02906,26.55174,27.63665,28.03635,26.81821,25.82847,26.01880,25.37166,23.94415
2005,Punchbowl 33_11kV,04MAY2004,MW,23.96318,22.63084,21.56496,22.91634,21.94563,20.34682,19.79485,18.86220,18.40540,17.56793,17.54889,17.11112,16.73045,15.75974,16.19751,15.96911,16.14041,16.06428,16.46398,16.86369,17.83440,18.34830,19.26191,21.31753,23.25894,23.58251,25.21940,24.72452,28.13152,28.98803,30.54878,30.72008,31.82402,30.94848,31.04365,31.04365,31.88112,30.89138,31.02462,31.38625,30.83428,30.52974,30.32038,30.58684,31.13882,30.73911,30.54878,30.39651,29.71130,30.51071,30.16811,29.99681,30.11101,30.20617,29.84454,28.91190,29.12126,29.33063,29.15933,30.51071,30.30134,30.16811,30.09197,30.07294,30.47264,30.62491,31.63369,31.86209,33.47994,34.50775,34.71712,33.63221,33.86061,33.93674,32.79473,32.24276,31.34818,30.13004,30.30134,29.69227,30.05391,28.93093,28.66446,27.37018,26.47561,25.79040,25.23843,24.93389,26.72304,28.01732,27.92215,25.69523,25.23843,25.44780,25.46683,23.71575
2005,Punchbowl 33_11kV,05MAY2004,MW,23.96318,22.17403,21.14623,22.28824,21.41269,20.34682,19.26191,18.67187,17.96763,17.22532,16.82562,16.46398,16.00718,15.93104,15.55037,15.89298,16.25461,15.95008,16.00718,16.65432,17.89150,18.29120,18.74800,20.59425,22.40244,23.43025,24.68646,25.16230,27.38922,28.30282,29.38773,29.65420,30.22521,30.13004,30.05391,30.24424,31.53852,30.45361,31.10075,30.87235,30.87235,30.45361,30.01584,30.13004,30.22521,30.43458,30.58684,30.24424,30.09197,30.22521,30.16811,30.18714,29.73034,30.03487,30.18714,29.71130,30.30134,29.48290,29.73034,29.27353,29.21643,29.08320,29.19740,30.32038,30.35844,29.52097,30.77718,31.08172,32.96603,34.75518,35.15489,34.79325,33.99384,33.32767,32.69956,32.10953,31.42432,30.39651,29.65420,28.74059,28.70253,28.62639,27.94119,27.52245,26.87531,26.49464,25.54297,24.53419,26.41851,27.80795,27.88409,25.96170,25.75233,25.84750,25.04809,23.43025
2005,Punchbowl 33_11kV,06MAY2004,MW,23.60155,22.40244,21.22236,22.70697,21.50786,20.27068,19.56644,18.46250,17.62503,17.43469,16.82562,16.63528,16.74949,15.64554,15.56941,15.55037,15.79781,15.89298,16.12138,16.82562,17.73923,18.04376,19.05254,20.19455,22.40244,23.50638,24.38192,24.13449,26.93241,27.50342,29.04513,29.90164,29.99681,29.84454,29.93971,30.92945,30.83428,31.02462,30.98655,31.00558,30.43458,30.52974,30.24424,30.24424,30.72008,30.83428,30.68201,30.41554,30.11101,30.13004,30.39651,30.09197,30.39651,30.33941,30.33941,29.88260,30.26328,29.92067,29.65420,30.01584,29.99681,29.90164,29.65420,29.59710,29.73034,29.17837,29.48290,30.96751,32.24276,34.14611,34.39355,34.75518,34.06998,33.97481,33.86061,33.38477,32.26179,31.76692,31.93822,31.65272,30.98655,30.09197,30.35844,29.08320,28.13152,26.26624,25.77137,24.45806,26.47561,27.65568,27.82699,26.62788,25.44780,25.08616,24.95293,23.82995
2005,Punchbowl 33_11kV,07MAY2004,MW,24.40096,22.72601,21.08913,22.63084,21.31753,20.30875,19.60451,18.42443,18.00570,17.09209,16.97789,16.71142,16.57818,15.89298,15.49327,15.62651,15.72168,16.33075,16.42592,16.42592,17.20629,17.52986,18.63380,19.96615,21.86950,23.03054,24.19159,24.34385,26.57077,27.86505,28.81673,29.23547,29.95874,30.26328,30.73911,31.42432,31.04365,30.49168,30.47264,30.60588,31.23398,32.05242,31.13882,30.81525,30.72008,31.02462,31.46239,31.61465,31.19592,30.96751,30.52974,30.28231,30.51071,30.52974,30.52974,30.66298,30.39651,30.05391,29.40677,28.79770,29.19740,28.91190,29.31160,29.71130,30.64395,30.07294,29.95874,29.84454,31.50045,32.81376,33.28960,32.58536,32.75666,31.70982,31.55755,30.26328,29.44483,29.31160,29.25450,26.98951,27.10371,27.33212,26.41851,26.13300,25.35263,25.50490,24.36289,23.12571,25.10519,27.25598,27.75085,26.34237,25.80943,26.51367,25.73330,24.13449
2005,Punchbowl 33_11kV,08MAY2004,MW,24.45806,23.65865,21.92660,22.93538,22.05983,20.80362,19.92808,19.12867,18.32927,17.28242,17.03499,16.86369,17.16822,16.42592,15.83588,15.66458,15.56941,15.60748,15.83588,15.70264,16.08331,16.19751,16.86369,17.41566,18.08183,18.23410,19.05254,19.49031,20.27068,21.16526,22.05983,23.62058,25.04809,25.65717,26.30431,27.16081,27.99829,28.30282,28.09346,27.73182,28.34089,28.34089,28.56929,28.35992,28.01732,27.94119,27.65568,27.76989,27.67472,27.63665,27.04661,26.28527,26.15204,26.11397,25.60007,26.17107,25.44780,25.92364,25.14326,25.31456,24.81969,24.97196,25.67620,25.52393,25.65717,25.21940,25.61910,25.98074,27.44632,29.38773,29.67324,29.46387,28.75963,28.79770,28.24572,27.42728,26.58981,26.70401,26.41851,26.05687,24.97196,25.31456,24.70549,23.77285,23.35411,23.69672,23.16378,22.78311,25.73330,26.47561,27.12275,25.33360,25.29553,26.57077,25.96170,24.70549
2005,Punchbowl 33_11kV,09MAY2004,MW,24.47709,23.25894,22.32630,23.33508,22.30727,21.14623,20.25165,19.31901,18.63380,17.83440,17.41566,16.29268,16.34978,16.10235,15.89298,15.85491,15.34101,15.20777,15.22681,15.41714,15.39811,15.77878,15.98815,16.27365,16.48302,16.23558,16.40688,16.12138,17.32049,18.00570,18.53864,20.38489,21.08913,21.77433,23.10668,23.96318,24.68646,25.27650,25.39070,25.82847,26.45657,27.12275,27.19888,26.57077,26.13300,26.49464,26.15204,26.01880,25.12423,25.56200,25.73330,24.81969,24.89583,24.85776,24.81969,24.53419,24.57226,25.02906,25.02906,25.04809,25.01003,24.93389,24.57226,24.40096,24.62936,24.85776,24.81969,25.10519,25.44780,27.44632,27.82699,28.81673,28.62639,28.68349,28.43606,27.37018,26.78014,26.53271,26.58981,26.51367,25.90460,26.68498,26.09494,25.02906,24.68646,24.17255,23.71575,23.22088,25.39070,26.98951,27.33212,25.21940,24.49612,25.10519,24.53419,23.29701
2005,Punchbowl 33_11kV,10MAY2004,MW,23.50638,22.25017,21.03202,22.70697,21.41269,20.55619,19.73775,18.91931,18.00570,17.43469,16.80659,16.65432,16.08331,15.56941,15.66458,15.66458,15.83588,15.56941,16.27365,16.61625,17.81536,18.11990,19.26191,20.80362,22.36437,22.68794,23.96318,24.00125,27.16081,27.84602,29.17837,29.59710,30.45361,30.64395,30.30134,31.76692,32.66150,33.00410,31.70982,31.36722,30.75815,30.79621,30.52974,30.89138,31.38625,30.85331,31.36722,31.02462,30.03487,30.39651,31.04365,30.64395,30.39651,29.97777,30.54878,30.35844,30.79621,30.75815,30.72008,30.37748,29.44483,29.55904,30.39651,30.43458,30.79621,31.02462,32.07146,33.09927,34.35548,36.39206,36.63950,36.12560,36.23980,36.31593,35.36425,34.22224,33.72737,32.64246,31.61465,31.38625,31.27205,30.75815,29.76840,29.33063,28.34089,27.86505,27.65568,26.30431,28.20766,29.10223,29.36870,26.95144,26.89434,27.02758,26.39947,24.59129
2005,Punchbowl 33_11kV,11MAY2004,MW,24.81969,23.41121,22.15500,23.31605,21.94563,20.93686,20.28972,19.54741,18.65284,17.94860,17.32049,17.03499,16.59722,16.38785,16.76852,16.67335,16.19751,16.14041,16.38785,17.14919,17.56793,18.06280,19.90905,20.86072,22.97344,24.26772,25.37166,25.82847,28.09346,29.61614,30.70105,31.31012,32.41406,32.71860,33.02313,32.75666,32.58536,32.43309,32.18566,31.59562,31.95726,31.46239,30.96751,31.72886,31.06268,31.06268,31.25302,30.96751,30.18714,29.99681,29.95874,29.97777,30.49168,30.16811,30.11101,30.07294,31.02462,29.93971,30.13004,29.78744,29.17837,28.91190,29.80647,29.95874,30.18714,30.81525,31.76692,32.81376,34.86938,36.08753,36.62047,35.72589,35.38329,35.44039,34.64098,34.05094,34.37451,32.49020,32.18566,31.13882,31.59562,31.23398,29.55904,29.25450,28.98803,28.16959,26.93241,26.17107,27.84602,29.06416,29.55904,27.46535,27.10371,27.19888,26.34237,24.59129
2005,Punchbowl 33_11kV,12MAY2004,MW,24.81969,23.22088,22.25017,23.73478,22.28824,21.08913,20.40392,19.68065,18.69090,18.00570,17.94860,17.33952,16.86369,16.55915,16.52108,16.17848,16.19751,16.29268,16.27365,17.24436,17.92956,18.90027,19.79485,21.26043,23.18281,24.41999,25.50490,26.51367,28.07442,28.75963,30.56781,30.51071,30.98655,30.66298,30.56781,31.04365,31.59562,30.92945,30.83428,30.52974,30.41554,30.56781,30.22521,30.13004,30.18714,30.75815,31.59562,30.49168,30.14907,29.54000,29.92067,30.01584,29.78744,29.63517,30.33941,29.61614,29.33063,30.07294,29.36870,29.15933,29.14030,29.54000,30.35844,30.47264,31.10075,31.78596,32.77570,33.72737,36.01139,37.34374,37.02017,37.00114,36.69660,36.22076,35.89719,35.15489,33.93674,32.18566,31.95726,31.95726,31.21495,30.96751,30.81525,29.48290,28.91190,28.11249,27.40825,26.98951,28.51219,29.88260,30.26328,27.65568,27.02758,26.83724,26.53271,24.80066
2005,Punchbowl 33_11kV,13MAY2004,MW,25.33360,24.05835,22.28824,23.65865,22.57374,21.31753,20.70845,19.71871,18.97641,18.06280,17.51083,17.20629,16.71142,16.80659,16.82562,16.52108,16.55915,16.93982,17.16822,17.72019,18.29120,18.69090,19.94711,21.33656,23.90608,24.53419,26.32334,26.93241,29.14030,30.32038,31.00558,31.57659,32.58536,32.10953,32.39503,32.24276,32.28083,32.12856,32.01436,31.86209,31.31012,31.67175,31.19592,31.08172,30.72008,31.15785,30.89138,30.94848,30.72008,30.18714,30.16811,30.16811,30.22521,29.40677,29.88260,29.90164,29.90164,30.41554,29.14030,29.34967,29.19740,29.31160,29.54000,29.36870,29.84454,30.05391,30.81525,30.75815,32.75666,34.94552,35.84009,36.79177,36.56337,36.06849,35.02165,34.86938,34.79325,34.27934,34.64098,34.27934,34.18418,33.55607,32.83280,31.44335,30.62491,29.33063,28.51219,27.23695,28.66446,29.71130,30.14907,28.41702,27.16081,27.56052,26.76111,25.04809
2005,Punchbowl 33_11kV,14MAY2004,MW,25.61910,24.57226,23.06861,24.11545,22.99248,21.90757,21.07009,19.98518,19.14771,18.70994,17.92956,17.79633,17.37759,17.03499,16.74949,16.59722,16.84465,16.65432,17.14919,18.11990,18.65284,19.58548,20.34682,21.81240,24.15352,24.85776,26.45657,26.70401,28.83576,30.58684,31.63369,32.39503,32.26179,32.16663,31.93822,33.04217,33.25154,32.41406,32.16663,31.82402,31.32915,32.31889,32.18566,31.97629,31.91919,31.38625,31.70982,31.25302,30.62491,30.39651,30.96751,30.37748,29.90164,29.44483,29.14030,29.15933,29.31160,28.70253,29.15933,28.56929,28.49316,28.07442,28.05539,28.60736,28.98803,29.02610,30.73911,31.50045,33.53704,34.48871,35.23102,34.50775,34.27934,34.92648,33.78447,32.83280,31.50045,31.50045,31.36722,30.47264,30.51071,30.33941,29.78744,29.00706,27.99829,27.38922,26.53271,26.76111,29.38773,31.08172,31.10075,28.55026,28.13152,28.47413,28.79770,27.73182
2005,Punchbowl 33_11kV,15MAY2004,MW,27.86505,25.82847,24.57226,25.56200,24.55322,23.20184,21.88853,21.31753,20.40392,19.68065,18.86220,18.06280,17.58696,17.20629,16.80659,16.86369,16.69239,16.46398,16.42592,16.40688,16.74949,17.22532,18.02473,18.80510,19.10964,19.03351,19.60451,19.18577,21.43173,22.23114,23.39218,25.01003,26.57077,27.71279,28.24572,29.31160,29.86357,30.22521,29.88260,29.38773,29.08320,29.59710,29.04513,29.14030,28.81673,28.41702,27.76989,27.50342,27.21791,26.58981,26.64691,26.39947,25.50490,25.65717,25.35263,25.61910,25.77137,25.33360,24.76259,24.64839,25.21940,25.27650,25.65717,25.60007,25.21940,25.46683,26.47561,26.78014,29.14030,30.41554,31.08172,31.21495,31.08172,30.89138,30.73911,30.16811,30.26328,29.73034,29.31160,28.39799,27.50342,27.88409,27.84602,26.95144,26.64691,26.36141,25.98074,25.29553,27.37018,29.04513,29.50193,27.94119,27.42728,27.75085,27.67472,26.13300
2005,Punchbowl 33_11kV,16MAY2004,MW,26.53271,24.85776,23.35411,24.53419,23.75382,22.53567,21.54593,20.30875,19.73775,18.76704,18.46250,17.79633,17.05402,16.93982,16.17848,16.34978,16.50205,16.31171,16.08331,16.50205,16.48302,16.46398,16.82562,16.76852,16.99692,17.32049,17.26339,16.74949,17.75826,19.12867,19.85195,20.95589,21.94563,22.76407,23.71575,24.80066,25.65717,26.24721,25.65717,26.32334,26.97048,27.63665,27.04661,27.00855,26.78014,25.79040,25.65717,26.07590,25.79040,26.24721,25.65717,25.42876,24.87679,24.45806,24.57226,24.24869,24.57226,24.41999,24.15352,23.25894,23.22088,23.54445,23.82995,23.84898,23.96318,23.54445,24.03932,24.64839,26.20914,28.47413,29.76840,30.05391,29.78744,29.27353,28.93093,28.85480,28.35992,28.05539,28.56929,28.18862,27.73182,27.33212,27.06565,26.51367,26.24721,26.24721,25.35263,25.02906,27.56052,28.34089,28.53123,26.32334,25.88557,26.51367,26.20914,24.72452
2005,Punchbowl 33_11kV,17MAY2004,MW,25.04809,23.44928,22.11693,23.08764,22.00273,21.14623,20.32778,19.16674,18.69090,17.75826,17.14919,16.76852,16.69239,16.42592,16.25461,16.44495,16.54012,16.14041,16.34978,16.93982,17.91053,18.61477,19.28094,20.48005,22.80214,24.26772,25.88557,25.84750,28.32186,29.21643,30.28231,30.87235,31.34818,31.82402,31.31012,31.51949,31.48142,31.72886,31.59562,31.02462,31.10075,31.48142,30.83428,30.89138,30.94848,30.51071,30.77718,30.77718,30.14907,30.22521,30.41554,30.05391,29.92067,30.05391,29.99681,29.78744,30.01584,29.59710,29.06416,29.21643,29.00706,29.00706,29.46387,29.84454,30.91041,31.29108,32.41406,33.09927,35.42136,36.46820,36.84887,36.22076,35.36425,35.30715,34.50775,33.63221,32.98507,32.62343,31.93822,31.32915,30.98655,30.73911,30.39651,28.83576,28.56929,27.97925,27.29405,26.09494,28.05539,28.91190,29.08320,27.33212,26.74208,27.00855,26.60884,25.33360
2005,Punchbowl 33_11kV,18MAY2004,MW,24.97196,23.31605,22.25017,23.79188,22.55470,21.33656,20.23262,19.37611,18.82414,18.11990,17.73923,17.39662,16.93982,16.42592,16.08331,16.55915,16.99692,16.40688,16.71142,17.51083,18.25313,19.20481,20.19455,21.66013,23.73478,25.10519,25.82847,26.41851,28.83576,30.66298,31.27205,32.47116,32.37599,32.56633,32.81376,32.41406,33.13733,32.56633,32.69956,32.52826,32.73763,32.52826,31.95726,31.65272,31.72886,31.70982,31.48142,31.78596,31.55755,30.98655,30.89138,30.85331,30.72008,30.91041,30.85331,31.32915,31.42432,30.87235,30.89138,30.94848,30.89138,31.51949,31.59562,32.41406,33.70834,34.31741,35.93526,36.69660,38.23831,38.54285,38.61898,37.93378,37.11534,37.13437,36.22076,35.84009,35.15489,33.65124,33.68931,32.50923,32.33793,31.36722,30.89138,30.01584,29.44483,29.59710,28.45509,26.93241,27.90312,29.63517,29.54000,28.09346,26.97048,27.27501,26.22817,24.36289
2005,Punchbowl 33_11kV,19MAY2004,MW,24.51516,23.25894,22.21210,23.27798,22.21210,21.05106,20.28972,19.18577,18.40540,17.91053,17.56793,17.16822,17.41566,16.92079,16.14041,16.31171,16.61625,16.82562,16.82562,17.22532,17.52986,18.86220,20.04228,21.69820,23.41121,24.68646,26.43754,26.32334,28.70253,29.23547,31.04365,31.76692,31.40529,31.23398,31.19592,31.72886,31.51949,31.61465,31.97629,31.53852,31.17688,31.15785,30.89138,30.92945,31.17688,30.96751,31.42432,30.79621,29.88260,29.90164,30.18714,30.22521,30.07294,29.61614,30.52974,30.33941,30.13004,29.74937,29.86357,29.38773,28.98803,29.54000,30.07294,29.95874,30.58684,31.10075,32.62343,33.06120,35.49749,36.65853,36.60143,35.53556,36.27786,35.85913,35.17392,34.92648,33.84157,33.17540,32.73763,32.29986,32.07146,31.55755,31.40529,30.56781,30.16811,28.30282,27.73182,27.14178,28.94996,29.88260,30.13004,28.64543,27.42728,27.48438,26.53271,25.20036
2005,Punchbowl 33_11kV,20MAY2004,MW,25.16230,23.92512,22.72601,24.05835,22.91634,21.56496,20.61329,19.89001,19.09061,18.51960,17.91053,18.06280,17.54889,16.90175,16.55915,16.71142,17.03499,17.20629,17.43469,17.79633,18.25313,19.07157,20.46102,22.36437,24.95293,26.07590,26.85628,26.97048,29.76840,30.98655,32.16663,32.69956,32.98507,33.02313,32.28083,33.08023,33.38477,32.98507,32.79473,32.29986,31.88112,31.90016,31.76692,31.13882,31.21495,31.10075,31.27205,31.06268,30.87235,30.43458,30.52974,30.24424,30.05391,30.62491,30.09197,29.71130,30.16811,29.74937,29.92067,29.55904,29.55904,29.25450,29.76840,29.42580,30.14907,30.05391,31.31012,32.18566,34.06998,36.44916,36.82983,36.29690,36.77273,36.44916,36.22076,36.69660,36.01139,34.71712,34.79325,34.62195,34.22224,33.99384,34.46968,33.38477,31.90016,30.16811,28.91190,27.14178,29.55904,30.89138,30.87235,28.94996,27.69375,27.67472,26.81821,25.08616
2005,Punchbowl 33_11kV,21MAY2004,MW,26.13300,24.32482,22.84021,24.11545,23.08764,21.56496,20.63232,19.79485,19.05254,17.96763,18.08183,17.52986,17.24436,17.41566,16.84465,16.69239,16.86369,16.95885,17.79633,18.88124,18.82414,19.47128,20.59425,21.79336,23.98222,25.37166,25.79040,26.47561,29.08320,30.16811,31.93822,31.82402,31.74789,31.84306,32.16663,32.50923,32.77570,32.58536,32.03339,31.69079,31.19592,31.91919,31.65272,31.38625,31.15785,30.79621,31.31012,30.73911,30.92945,30.47264,30.47264,30.11101,29.92067,29.63517,29.55904,29.44483,29.21643,29.76840,29.50193,28.60736,28.58833,28.77866,28.41702,29.10223,30.32038,30.30134,30.45361,31.34818,33.65124,34.67905,35.11682,35.05972,35.34522,34.56485,33.78447,32.81376,32.16663,31.84306,31.36722,30.85331,30.66298,29.92067,28.89286,28.20766,27.54148,26.36141,26.34237,25.50490,27.69375,29.02610,30.05391,28.11249,27.65568,27.65568,26.97048,25.88557
2005,Punchbowl 33_11kV,22MAY2004,MW,26.64691,24.97196,23.48735,24.43902,22.95441,21.69820,20.68942,19.69968,19.09061,18.40540,17.94860,17.20629,17.26339,16.69239,16.52108,16.33075,16.84465,16.59722,16.52108,16.63528,16.93982,17.51083,17.96763,18.36733,18.70994,19.31901,19.24287,19.22384,21.48883,22.61181,23.18281,24.07739,25.54297,26.66594,27.33212,28.39799,29.48290,29.54000,29.50193,29.12126,29.27353,29.95874,29.71130,28.70253,28.05539,27.92215,27.76989,27.59858,27.73182,27.16081,26.89434,26.55174,25.90460,25.82847,25.40973,26.13300,25.94267,26.15204,25.48586,25.54297,26.05687,26.03784,25.88557,26.43754,26.57077,26.24721,27.37018,28.70253,30.68201,31.88112,31.99532,31.90016,31.06268,30.75815,30.33941,29.61614,28.93093,29.00706,28.51219,27.71279,27.12275,27.12275,27.02758,26.55174,25.88557,25.37166,24.97196,24.85776,26.49464,28.51219,28.81673,27.63665,27.65568,28.45509,27.90312,26.03784
2005,Punchbowl 33_11kV,23MAY2004,MW,26.24721,24.70549,23.60155,24.72452,23.65865,22.34534,21.43173,20.28972,19.22384,18.67187,18.10086,17.72019,17.20629,16.48302,16.82562,16.71142,16.10235,15.72168,15.98815,15.85491,16.34978,15.91201,16.31171,16.48302,16.69239,17.20629,16.63528,16.19751,16.99692,18.50057,19.20481,20.65135,22.34534,22.59277,23.73478,24.83873,25.67620,25.92364,26.01880,26.22817,26.57077,26.57077,26.89434,26.70401,26.26624,26.26624,26.39947,26.03784,26.07590,26.03784,26.03784,24.97196,24.51516,24.41999,24.34385,24.03932,24.02028,23.62058,23.84898,23.65865,23.63961,23.69672,24.00125,23.71575,24.40096,24.99099,25.42876,26.34237,28.22669,29.27353,30.54878,30.30134,30.11101,29.73034,28.96900,28.07442,28.24572,27.37018,28.15056,27.90312,27.44632,27.35115,27.00855,26.36141,26.20914,25.20036,25.01003,24.30579,26.45657,27.31308,27.78892,26.26624,25.79040,25.48586,25.14326,23.82995
2005,Punchbowl 33_11kV,24MAY2004,MW,24.45806,23.04958,21.71723,23.18281,22.42147,20.97492,20.09938,19.09061,18.19603,17.51083,16.92079,15.56941,15.58844,15.05550,14.65580,17.49179,16.55915,16.69239,16.80659,17.18726,17.72019,18.72897,19.31901,20.82266,22.05983,23.98222,25.29553,25.50490,28.05539,29.27353,30.33941,31.00558,31.19592,31.48142,31.55755,31.78596,31.17688,31.44335,31.51949,31.59562,31.69079,31.84306,31.48142,31.53852,31.48142,31.76692,31.63369,32.28083,31.82402,31.69079,31.95726,32.07146,31.36722,31.02462,30.85331,31.25302,30.87235,30.73911,29.86357,30.09197,29.55904,30.07294,30.35844,31.23398,31.99532,32.62343,33.91771,34.79325,36.65853,37.28664,37.41987,36.54433,36.23980,35.44039,34.79325,33.89867,32.88990,32.07146,31.72886,31.04365,30.39651,29.90164,29.36870,28.37896,27.71279,27.46535,27.14178,25.99977,27.42728,28.77866,28.94996,26.85628,26.30431,26.98951,26.22817,24.68646
2005,Punchbowl 33_11kV,25MAY2004,MW,25.08616,23.43025,22.00273,22.99248,21.96467,20.70845,20.21358,19.01447,18.36733,17.77729,17.54889,16.95885,16.76852,16.34978,16.44495,16.52108,16.17848,16.08331,16.42592,16.99692,17.75826,18.91931,19.69968,20.91782,23.39218,24.68646,25.04809,25.46683,28.43606,29.73034,30.68201,31.06268,30.85331,31.57659,31.61465,31.65272,31.97629,31.27205,32.01436,31.90016,32.12856,32.10953,31.95726,32.01436,31.44335,31.78596,31.76692,31.59562,31.02462,30.79621,31.38625,31.02462,30.91041,31.88112,32.58536,32.29986,31.82402,31.06268,31.27205,31.08172,31.59562,31.78596,32.62343,33.27057,33.49897,34.79325,35.55459,36.16366,37.51504,37.62924,37.34374,36.37303,36.03043,35.47846,34.69808,33.70834,33.34670,32.45213,31.88112,31.02462,30.75815,30.64395,29.67324,28.72156,29.14030,28.56929,27.59858,26.13300,27.90312,28.85480,29.14030,27.16081,26.57077,26.85628,26.34237,24.45806
2005,Punchbowl 33_11kV,26MAY2004,MW,24.47709,23.20184,22.19307,23.50638,22.23114,20.91782,20.11842,19.14771,18.70994,18.21507,17.62503,17.20629,16.76852,16.93982,16.59722,16.54012,16.95885,17.26339,16.78755,17.09209,18.11990,18.76704,19.94711,20.76556,22.80214,24.26772,25.56200,25.96170,28.41702,29.15933,30.11101,30.09197,31.36722,31.08172,30.91041,31.34818,31.42432,31.53852,30.92945,31.44335,31.23398,31.17688,31.42432,30.94848,31.32915,30.56781,31.23398,31.36722,31.19592,31.13882,30.68201,30.30134,30.43458,30.24424,30.54878,30.75815,31.31012,31.02462,30.85331,30.18714,29.50193,29.73034,30.91041,31.48142,32.69956,33.32767,34.62195,35.05972,37.11534,37.43891,37.19147,36.56337,36.69660,36.41110,35.23102,34.29838,33.44187,32.92797,32.45213,32.50923,31.48142,30.75815,30.20617,29.84454,28.91190,28.34089,27.54148,26.76111,29.21643,30.13004,30.62491,28.62639,27.76989,27.61762,26.85628,25.56200
