year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2005,Careel Bay 33_11kV,01MAY2004,MW,5.00890,4.78873,4.55021,6.67853,6.66018,6.07306,5.52263,5.15568,4.88047,4.56856,4.47682,4.36673,4.10987,4.09152,4.03648,3.92639,3.92639,3.88969,4.07317,3.92639,3.96308,4.09152,4.25665,4.40343,4.58690,4.95386,5.17403,5.39420,5.98132,6.31158,6.86201,6.99044,7.35739,7.72435,7.83443,8.03626,8.14634,8.05460,8.18304,8.20138,7.81608,7.68765,7.52252,7.77939,7.44913,7.28400,6.91705,7.04548,6.82531,6.78862,6.86201,6.66018,6.62349,6.42166,6.42166,6.51340,6.66018,6.55010,6.31158,6.49506,6.34827,6.31158,6.75192,6.66018,6.99044,7.11887,7.43078,7.57756,8.25643,9.10042,9.83432,10.32971,10.31136,10.23797,10.20127,10.07284,9.72424,9.50406,9.35728,8.91694,8.88025,9.77928,8.97198,8.67842,8.45825,8.16469,7.76104,7.22896,8.21973,7.79774,7.11887,7.66930,6.84366,6.20149,5.65107,5.17403
2005,Careel Bay 33_11kV,02MAY2004,MW,5.00890,4.66029,4.45847,6.73357,6.60514,6.18315,5.87124,5.54098,5.26577,5.00890,4.97220,4.67864,4.51351,4.55021,4.29334,4.44012,4.33004,4.20160,4.16491,4.09152,4.20160,4.23830,4.38508,4.38508,4.45847,4.78873,5.06394,5.02725,5.61437,6.09141,6.45836,6.86201,7.39409,7.55922,7.96286,8.21973,8.40321,8.73346,8.62338,8.58668,8.64173,8.51329,8.21973,7.96286,7.87113,7.88947,7.66930,7.41244,7.24731,7.04548,7.00879,6.89870,6.78862,6.45836,6.66018,6.49506,6.40332,6.62349,6.60514,6.60514,6.67853,6.99044,6.91705,7.30235,7.30235,7.55922,7.92617,8.14634,8.84355,9.79763,10.47649,11.08196,11.26544,11.41222,11.26544,11.08196,10.89848,10.67831,10.49484,10.12788,9.87102,10.99022,10.36640,9.74258,9.11876,8.78851,8.07295,7.59591,8.25643,7.96286,6.89870,7.52252,6.60514,5.87124,5.24742,5.13733
2005,Careel Bay 33_11kV,03MAY2004,MW,4.69699,4.40343,4.29334,6.58679,6.42166,6.10976,5.54098,5.39420,5.15568,5.04559,4.88047,4.71534,4.51351,4.51351,4.29334,4.27499,3.99978,4.27499,4.23830,4.27499,4.36673,3.79796,4.03648,6.12810,6.38497,6.58679,7.19226,7.06383,7.72435,7.68765,8.01791,7.96286,8.03626,8.27477,8.05460,7.83443,7.52252,7.24731,7.33905,7.26566,7.22896,7.02714,6.71523,6.75192,6.53175,6.29323,6.21984,6.16480,6.16480,6.34827,6.03637,6.10976,5.88958,5.90793,5.83454,5.96297,5.87124,5.81619,5.79785,5.83454,5.98132,6.01802,6.09141,6.31158,6.60514,6.82531,7.24731,7.35739,8.10965,9.26555,10.09119,10.62327,10.84344,11.26544,11.33883,11.04526,10.89848,10.77005,10.16458,10.25632,10.01780,11.04526,10.29301,9.87102,9.15546,8.86190,8.25643,7.50417,8.31147,8.32982,7.46748,8.27477,7.15557,6.60514,5.88958,5.54098
2005,Careel Bay 33_11kV,04MAY2004,MW,5.06394,4.56856,4.27499,6.47671,6.40332,6.16480,5.63272,5.39420,5.19237,4.99055,4.62360,4.44012,4.38508,4.34838,4.21995,4.12821,4.14656,4.18326,4.21995,4.21995,4.40343,4.64195,4.99055,5.41255,6.44001,6.73357,7.28400,6.89870,7.37574,7.94452,8.14634,8.16469,8.25643,8.07295,7.68765,7.63261,7.41244,7.33905,7.06383,6.73357,6.66018,6.60514,6.45836,6.47671,6.27488,6.32993,6.27488,6.23819,6.31158,6.01802,5.88958,5.88958,5.88958,5.87124,6.01802,5.65107,5.68776,5.74280,5.74280,5.98132,5.88958,6.01802,6.03637,6.31158,6.53175,6.62349,6.97209,6.91705,7.77939,8.91694,9.68754,10.18293,10.56823,10.71501,10.64162,10.49484,10.29301,10.10954,9.92606,9.46737,9.46737,10.42144,9.70589,9.13711,8.43990,8.32982,7.66930,7.43078,8.10965,8.14634,7.30235,7.88947,7.08218,6.20149,5.46759,5.35750
2005,Careel Bay 33_11kV,05MAY2004,MW,4.93551,4.73368,4.36673,6.40332,6.31158,6.01802,5.46759,5.22907,4.97220,4.75203,4.55021,4.42178,4.21995,4.36673,4.03648,4.10987,4.10987,3.90804,3.99978,4.10987,4.29334,4.40343,4.77038,5.30246,5.92628,6.55010,6.97209,6.66018,6.93540,7.28400,7.68765,7.54087,7.59591,7.70600,7.33905,7.26566,7.15557,7.02714,6.78862,6.66018,6.42166,6.31158,6.31158,6.23819,6.12810,6.07306,6.16480,6.10976,6.14645,5.98132,5.94463,5.90793,5.94463,5.92628,5.87124,5.79785,5.59602,5.63272,5.65107,5.76115,5.65107,5.90793,6.09141,6.05471,6.34827,6.55010,6.86201,6.97209,7.98121,8.95364,9.61415,10.21962,10.49484,10.67831,10.82509,10.49484,10.31136,10.01780,9.61415,9.43067,8.99033,10.23797,9.46737,9.10042,8.43990,8.07295,7.65096,7.04548,7.77939,7.90782,7.19226,7.74269,6.86201,6.03637,5.61437,5.19237
2005,Careel Bay 33_11kV,06MAY2004,MW,4.88047,4.55021,4.29334,6.47671,6.42166,5.81619,5.35750,5.13733,4.84377,4.64195,4.40343,4.25665,4.18326,4.10987,4.16491,3.88969,3.98143,3.96308,3.94474,3.99978,4.21995,4.36673,4.66029,5.30246,5.92628,6.20149,6.67853,6.36662,6.77027,7.37574,7.30235,7.66930,7.70600,7.59591,7.52252,7.44913,7.44913,7.11887,6.82531,6.64184,6.71523,6.56845,6.44001,6.20149,6.20149,6.14645,6.16480,6.01802,5.94463,5.88958,5.99967,5.81619,5.83454,5.85289,5.94463,5.70611,5.94463,6.03637,5.81619,5.83454,5.90793,5.85289,6.01802,5.96297,6.34827,6.64184,7.00879,7.22896,8.03626,9.04537,9.59580,10.09119,10.25632,10.16458,10.31136,10.09119,9.96275,9.59580,9.48572,9.22885,8.84355,10.16458,9.43067,8.93529,8.32982,8.03626,7.52252,6.91705,7.77939,7.87113,7.19226,7.85278,6.80696,6.05471,5.61437,5.06394
2005,Careel Bay 33_11kV,07MAY2004,MW,4.71534,4.36673,4.20160,6.38497,6.25654,5.72446,5.37585,5.06394,4.82542,4.55021,4.42178,4.14656,4.07317,3.99978,4.10987,3.79796,3.92639,3.85300,3.88969,4.03648,4.14656,4.09152,4.58690,4.95386,5.43089,6.14645,6.69688,6.45836,6.97209,7.52252,7.70600,7.92617,8.05460,8.25643,8.10965,7.83443,7.83443,7.68765,7.48583,7.35739,7.26566,7.19226,7.17392,7.10053,6.95375,6.82531,6.80696,6.56845,6.55010,6.45836,6.47671,6.44001,6.34827,5.98132,6.09141,6.25654,6.16480,6.09141,6.01802,5.99967,6.16480,6.16480,6.16480,6.51340,6.56845,6.89870,7.11887,7.28400,8.05460,8.86190,9.52241,9.85267,10.18293,9.96275,10.07284,10.05449,9.65085,9.50406,9.50406,9.17381,8.95364,10.10954,9.28389,8.95364,8.40321,8.21973,7.77939,7.39409,8.20138,8.29312,7.59591,8.23808,7.33905,6.62349,5.99967,5.50428
2005,Careel Bay 33_11kV,08MAY2004,MW,5.00890,4.66029,4.58690,6.75192,6.58679,5.99967,5.68776,5.28411,4.95386,4.69699,4.47682,4.40343,4.16491,4.27499,4.03648,3.98143,3.98143,3.99978,3.81630,3.90804,3.96308,4.07317,4.18326,4.21995,4.47682,4.80707,5.06394,5.28411,5.98132,6.32993,6.78862,7.15557,7.50417,7.77939,7.77939,7.90782,7.81608,7.94452,7.85278,7.68765,7.92617,7.63261,7.33905,7.37574,7.24731,7.08218,6.82531,6.86201,6.93540,6.89870,6.73357,6.78862,6.60514,6.58679,6.36662,6.42166,6.51340,6.45836,6.20149,6.36662,6.42166,6.55010,6.77027,6.89870,7.04548,7.19226,7.28400,7.61426,8.25643,9.43067,10.01780,10.45814,10.51318,10.51318,10.31136,9.96275,9.81597,9.46737,9.22885,8.84355,8.69677,9.83432,9.26555,8.91694,8.42155,8.18304,7.57756,7.33905,8.14634,7.76104,6.93540,7.83443,6.64184,6.05471,5.48594,5.15568
2005,Careel Bay 33_11kV,09MAY2004,MW,4.77038,4.44012,4.36673,6.45836,6.44001,6.09141,5.63272,5.26577,4.89881,4.84377,4.64195,4.58690,4.33004,4.31169,4.20160,4.12821,3.92639,3.65118,3.96308,3.94474,3.85300,3.99978,3.96308,4.07317,4.21995,4.51351,4.66029,5.08229,5.32081,5.88958,6.40332,6.56845,6.93540,7.48583,7.61426,7.94452,8.05460,7.98121,7.98121,7.98121,8.36651,7.99956,7.88947,8.07295,7.88947,7.66930,7.48583,7.55922,7.59591,7.44913,7.33905,7.04548,7.19226,7.24731,7.00879,6.67853,6.78862,7.04548,6.86201,7.00879,7.08218,7.00879,7.48583,7.88947,8.18304,8.18304,8.38486,8.69677,9.22885,9.79763,10.42144,10.71501,10.80674,10.71501,10.53153,10.42144,10.21962,10.20127,9.96275,9.85267,9.39398,10.60492,9.87102,9.22885,8.73346,8.29312,7.61426,7.11887,7.94452,7.30235,6.32993,6.99044,6.07306,5.57767,5.10064,4.73368
2005,Careel Bay 33_11kV,10MAY2004,MW,4.49517,4.25665,4.14656,6.40332,6.16480,5.94463,5.48594,5.15568,5.08229,4.78873,4.62360,4.47682,4.27499,4.29334,4.23830,4.25665,4.21995,4.07317,3.98143,4.05482,4.21995,4.51351,4.86212,5.37585,6.16480,6.69688,7.19226,6.91705,7.43078,7.63261,7.81608,8.03626,8.10965,8.14634,8.07295,7.87113,7.70600,7.52252,7.26566,7.06383,6.95375,6.71523,6.55010,6.67853,6.56845,6.58679,6.64184,6.55010,6.40332,6.44001,6.29323,6.23819,6.20149,6.14645,6.47671,6.71523,6.66018,6.77027,6.97209,6.86201,7.06383,6.86201,7.26566,7.04548,7.61426,7.96286,8.20138,8.32982,9.35728,10.23797,11.19204,11.59569,11.96264,11.96264,11.76082,11.66908,11.33883,11.35717,11.08196,10.62327,10.49484,11.48561,10.60492,10.12788,9.46737,9.08207,8.66007,7.99956,8.58668,8.77016,7.88947,8.54999,7.46748,6.71523,6.03637,5.54098
2005,Careel Bay 33_11kV,11MAY2004,MW,5.17403,4.89881,4.64195,6.77027,6.60514,6.25654,5.98132,5.37585,5.13733,5.04559,4.67864,4.73368,4.51351,4.36673,4.25665,4.27499,4.36673,4.25665,4.33004,4.31169,4.51351,4.78873,5.21072,5.90793,6.71523,6.93540,7.72435,7.41244,7.98121,8.18304,8.23808,8.42155,8.53164,8.64173,8.40321,8.14634,7.87113,7.50417,7.61426,7.17392,7.06383,7.11887,6.93540,6.67853,6.80696,6.62349,6.45836,6.27488,6.21984,6.23819,6.34827,6.18315,6.05471,6.12810,6.10976,6.01802,5.99967,6.21984,5.88958,5.88958,6.16480,5.92628,5.99967,6.38497,6.62349,6.91705,7.22896,7.77939,8.53164,9.66919,10.56823,11.11865,11.59569,11.50395,11.50395,11.50395,11.21039,11.11865,10.91683,10.75170,10.31136,11.28378,10.58657,10.10954,9.44902,9.28389,8.88025,8.07295,8.88025,8.73346,7.85278,8.45825,7.50417,6.69688,6.09141,5.68776
2005,Careel Bay 33_11kV,12MAY2004,MW,5.22907,4.80707,4.71534,6.89870,6.62349,6.27488,5.76115,5.61437,5.39420,5.17403,4.99055,4.73368,4.77038,4.51351,4.47682,4.40343,4.34838,4.31169,4.38508,4.44012,4.73368,4.84377,5.24742,5.74280,6.20149,7.02714,7.44913,7.41244,7.88947,8.14634,8.32982,8.51329,8.58668,8.34816,8.09130,7.85278,7.65096,7.43078,7.26566,7.26566,7.08218,6.88036,6.78862,6.82531,6.67853,6.67853,6.56845,6.77027,6.56845,6.31158,6.34827,6.21984,6.23819,6.31158,6.18315,6.05471,6.31158,6.23819,6.40332,6.38497,6.25654,6.38497,6.20149,6.55010,6.89870,7.37574,7.77939,8.07295,9.10042,9.94441,10.86179,11.26544,11.55900,11.74247,11.77917,11.85256,11.32048,11.32048,11.06361,10.65996,10.47649,11.37552,10.65996,10.18293,9.63250,9.26555,8.49495,7.98121,8.91694,8.84355,8.10965,8.66007,7.72435,6.80696,6.18315,5.79785
2005,Careel Bay 33_11kV,13MAY2004,MW,5.28411,5.10064,4.71534,6.97209,6.66018,6.18315,5.98132,5.65107,5.43089,4.99055,4.91716,4.77038,4.66029,4.60525,4.56856,4.51351,4.40343,4.33004,4.47682,4.42178,4.78873,5.00890,5.21072,5.76115,6.60514,6.67853,7.48583,7.48583,7.76104,8.20138,8.62338,8.62338,8.53164,8.75181,8.32982,8.03626,7.87113,7.87113,7.52252,7.30235,7.21061,7.04548,6.91705,6.78862,6.67853,6.56845,6.45836,6.32993,6.27488,6.29323,6.01802,6.18315,6.21984,5.96297,6.14645,5.90793,5.98132,5.94463,6.03637,5.98132,6.10976,6.03637,6.38497,6.45836,6.67853,7.15557,7.63261,7.74269,8.45825,9.65085,10.27466,10.67831,10.91683,11.22874,11.13700,11.30213,11.33883,10.95353,11.02692,10.62327,10.09119,11.33883,10.56823,10.20127,9.52241,9.28389,8.73346,7.99956,8.78851,8.95364,8.09130,8.56834,7.70600,6.95375,6.23819,5.90793
2005,Careel Bay 33_11kV,14MAY2004,MW,5.30246,4.95386,4.73368,7.06383,6.82531,6.38497,5.88958,5.52263,5.33916,5.08229,4.93551,4.69699,4.58690,4.58690,4.49517,4.47682,4.40343,4.44012,4.58690,4.47682,4.77038,4.67864,5.04559,5.74280,6.44001,7.00879,7.63261,7.24731,7.74269,8.21973,8.69677,8.49495,8.86190,8.77016,8.49495,8.29312,8.09130,7.98121,7.85278,7.52252,7.33905,7.15557,6.97209,6.62349,6.64184,6.53175,6.71523,6.71523,6.49506,6.42166,6.23819,6.27488,6.34827,6.18315,6.20149,6.12810,6.14645,6.03637,6.32993,6.25654,6.23819,6.36662,6.67853,6.75192,7.00879,7.15557,7.77939,7.90782,8.67842,9.85267,10.38475,10.69666,10.93518,11.19204,11.17370,10.99022,10.67831,10.49484,10.34805,10.12788,9.85267,10.97187,10.14623,9.76093,9.41233,9.28389,8.89859,8.25643,9.11876,9.32059,8.69677,9.35728,8.38486,7.68765,7.04548,6.53175
2005,Careel Bay 33_11kV,15MAY2004,MW,6.01802,5.70611,5.54098,7.59591,7.35739,6.84366,6.38497,5.94463,5.70611,5.39420,5.10064,5.04559,4.73368,4.67864,4.47682,4.47682,4.55021,4.38508,4.44012,4.44012,4.40343,4.51351,4.64195,4.78873,5.04559,5.41255,5.76115,5.90793,6.49506,7.08218,7.55922,8.07295,8.32982,8.53164,8.43990,8.78851,8.77016,8.95364,8.80685,8.66007,8.66007,8.27477,8.10965,7.96286,7.70600,7.65096,7.22896,7.13722,6.97209,6.97209,6.73357,6.84366,6.62349,6.73357,6.66018,6.64184,6.60514,6.75192,6.88036,6.49506,6.80696,6.80696,6.77027,7.19226,7.52252,7.44913,8.01791,8.23808,9.32059,10.42144,11.35717,11.70578,11.66908,11.57734,11.66908,11.35717,11.13700,11.02692,10.58657,10.31136,10.05449,11.21039,10.45814,10.05449,9.43067,9.46737,9.06372,8.40321,9.10042,8.78851,7.81608,8.40321,7.44913,6.67853,6.23819,5.87124
2005,Careel Bay 33_11kV,16MAY2004,MW,5.54098,5.15568,4.93551,7.11887,6.93540,6.62349,6.21984,5.72446,5.65107,5.52263,5.13733,4.99055,4.73368,4.80707,4.53186,4.56856,4.49517,4.47682,4.51351,4.44012,4.38508,4.33004,4.42178,4.67864,4.80707,5.02725,5.35750,5.32081,5.66941,6.25654,6.69688,7.06383,7.44913,7.85278,8.09130,8.31147,8.38486,8.60503,8.47660,8.47660,8.21973,7.87113,8.03626,7.66930,7.55922,7.48583,7.32070,7.33905,7.22896,7.04548,7.10053,6.86201,6.82531,6.42166,6.36662,6.53175,6.36662,6.32993,6.42166,6.58679,6.49506,6.71523,6.71523,6.78862,6.89870,7.37574,7.57756,7.88947,8.82520,9.94441,10.65996,10.86179,11.24709,11.06361,10.91683,10.64162,10.56823,10.20127,9.76093,9.83432,9.50406,10.45814,9.72424,9.21050,8.77016,8.66007,7.92617,7.41244,8.05460,7.68765,6.86201,7.33905,6.38497,5.83454,5.21072,4.95386
2005,Careel Bay 33_11kV,17MAY2004,MW,4.51351,4.38508,4.18326,6.38497,6.34827,5.98132,5.65107,5.50428,5.11898,4.88047,4.75203,4.53186,4.44012,4.49517,4.33004,4.23830,4.33004,4.18326,4.07317,4.25665,4.25665,4.55021,5.00890,5.41255,6.07306,6.62349,7.11887,6.97209,7.43078,7.65096,8.23808,8.21973,8.53164,8.58668,8.07295,7.77939,7.66930,7.44913,7.35739,7.00879,6.99044,6.97209,6.58679,6.86201,6.45836,6.36662,6.18315,6.27488,6.20149,6.09141,6.14645,6.09141,6.14645,6.05471,5.99967,5.83454,5.96297,5.79785,6.05471,5.98132,5.90793,6.01802,6.03637,6.40332,6.66018,7.11887,7.74269,8.20138,9.15546,10.07284,10.93518,11.13700,11.43056,11.48561,11.59569,11.59569,11.19204,10.97187,10.78840,10.53153,10.23797,11.28378,10.53153,9.81597,9.30224,8.99033,8.36651,7.83443,8.56834,8.54999,7.81608,8.32982,7.30235,6.55010,5.99967,5.37585
2005,Careel Bay 33_11kV,18MAY2004,MW,4.95386,4.86212,4.51351,6.58679,6.45836,6.05471,5.72446,5.33916,5.21072,4.82542,4.71534,4.55021,4.40343,4.21995,4.12821,4.18326,4.14656,4.05482,4.21995,4.18326,4.33004,4.49517,4.82542,5.35750,6.27488,6.77027,7.21061,7.21061,7.48583,7.87113,8.29312,8.51329,8.32982,8.47660,8.23808,8.07295,7.55922,7.61426,7.37574,7.22896,7.35739,7.26566,7.06383,6.82531,6.66018,6.66018,6.44001,6.32993,6.49506,6.31158,6.36662,6.20149,6.14645,6.09141,6.23819,6.21984,6.14645,6.20149,6.12810,6.42166,6.49506,6.53175,6.64184,7.04548,7.30235,7.72435,8.62338,8.99033,9.55911,10.21962,10.88014,11.19204,11.30213,11.33883,11.44891,11.30213,11.10031,10.84344,10.67831,10.49484,10.01780,11.10031,10.36640,9.79763,9.21050,9.15546,8.53164,7.83443,8.53164,8.40321,7.66930,8.29312,7.33905,6.53175,5.96297,5.39420
2005,Careel Bay 33_11kV,19MAY2004,MW,4.89881,4.58690,4.36673,6.49506,6.32993,5.96297,5.57767,5.21072,4.89881,4.73368,4.66029,4.53186,4.34838,4.21995,4.20160,4.18326,4.09152,4.01813,4.18326,4.12821,4.18326,4.60525,4.97220,5.35750,6.20149,6.78862,7.00879,7.21061,7.50417,7.85278,8.10965,8.36651,8.18304,8.31147,8.10965,7.88947,7.63261,7.59591,7.13722,7.06383,6.78862,6.55010,6.51340,6.47671,6.58679,6.38497,6.21984,6.16480,5.92628,5.98132,5.87124,5.85289,6.03637,5.79785,5.94463,5.87124,5.72446,5.68776,5.70611,5.88958,6.01802,5.96297,6.01802,6.40332,6.75192,7.04548,7.48583,8.43990,9.22885,10.34805,11.19204,11.13700,11.52230,11.50395,11.59569,11.50395,11.43056,11.10031,10.86179,10.49484,10.29301,11.22874,10.34805,10.05449,9.41233,9.17381,8.82520,8.10965,8.93529,8.82520,8.07295,8.62338,7.55922,6.69688,6.01802,5.50428
2005,Careel Bay 33_11kV,20MAY2004,MW,5.04559,4.77038,4.56856,6.97209,6.67853,6.34827,5.83454,5.43089,5.13733,5.10064,4.88047,4.77038,4.62360,4.55021,4.44012,4.29334,4.29334,4.29334,4.20160,4.36673,4.51351,4.86212,5.32081,5.99967,6.55010,7.15557,7.46748,7.22896,7.72435,8.32982,8.58668,8.60503,8.95364,8.43990,8.60503,8.20138,7.88947,7.74269,7.54087,7.37574,7.19226,7.17392,6.97209,6.88036,6.82531,6.60514,6.55010,6.56845,6.38497,6.31158,6.31158,6.16480,6.03637,5.94463,6.01802,5.92628,6.09141,5.87124,6.09141,6.23819,5.94463,6.20149,6.23819,6.38497,6.78862,7.11887,7.44913,7.85278,8.84355,9.94441,10.67831,11.08196,11.46726,11.54065,11.72413,11.50395,11.37552,11.04526,10.97187,10.53153,10.27466,11.37552,10.62327,10.31136,9.48572,9.35728,8.73346,8.12799,8.77016,8.89859,7.83443,8.40321,7.59591,6.93540,6.27488,5.72446
2005,Careel Bay 33_11kV,21MAY2004,MW,5.33916,4.95386,4.78873,6.91705,6.77027,6.29323,5.98132,5.65107,5.35750,5.06394,4.88047,4.84377,4.56856,4.44012,4.33004,4.44012,4.36673,4.21995,4.44012,4.58690,4.62360,4.69699,5.00890,5.63272,6.16480,6.97209,7.41244,7.37574,7.79774,8.07295,8.36651,8.67842,8.51329,8.40321,8.25643,7.92617,7.72435,7.59591,7.41244,7.33905,7.04548,6.97209,6.80696,6.71523,6.45836,6.42166,6.23819,6.27488,6.20149,6.16480,6.05471,5.92628,6.20149,5.87124,6.01802,5.88958,5.87124,6.01802,5.99967,6.03637,6.05471,6.09141,6.12810,6.42166,6.80696,7.22896,7.43078,7.79774,8.84355,9.72424,10.20127,10.54988,10.77005,10.73335,10.60492,10.82509,10.62327,10.20127,10.12788,9.92606,9.61415,10.54988,9.81597,9.61415,9.06372,8.80685,8.42155,7.83443,8.84355,8.64173,8.14634,8.66007,7.87113,6.97209,6.56845,5.88958
2005,Careel Bay 33_11kV,22MAY2004,MW,5.50428,5.30246,4.95386,6.88036,6.91705,6.47671,5.99967,5.61437,5.39420,5.17403,4.80707,4.67864,4.40343,4.45847,4.27499,4.21995,4.33004,4.25665,4.05482,4.20160,4.23830,4.33004,4.44012,4.64195,5.04559,5.24742,5.66941,5.72446,6.01802,6.51340,7.26566,7.57756,7.96286,8.05460,8.32982,8.40321,8.51329,8.51329,8.29312,8.49495,8.32982,7.98121,7.81608,7.68765,7.48583,7.26566,7.11887,7.08218,6.93540,6.86201,6.58679,6.71523,6.58679,6.56845,6.67853,6.75192,6.66018,6.64184,6.82531,6.64184,6.75192,6.78862,6.88036,6.97209,7.04548,7.44913,8.14634,8.82520,9.50406,10.27466,10.93518,11.13700,11.30213,11.19204,11.04526,10.78840,10.75170,10.53153,10.27466,9.88936,9.68754,10.62327,9.76093,9.44902,9.00868,8.82520,8.58668,8.05460,9.11876,8.49495,7.59591,8.38486,7.43078,6.80696,6.38497,5.77950
2005,Careel Bay 33_11kV,23MAY2004,MW,5.39420,5.10064,4.91716,7.11887,7.04548,6.49506,6.14645,5.70611,5.54098,5.19237,5.15568,4.75203,4.62360,4.44012,4.38508,4.36673,4.10987,4.21995,4.27499,4.09152,4.16491,4.14656,4.34838,4.36673,4.62360,4.88047,5.06394,5.21072,5.68776,6.05471,6.18315,6.97209,7.30235,7.61426,7.72435,7.79774,7.88947,8.31147,8.18304,7.99956,8.03626,7.94452,7.57756,7.55922,7.41244,7.33905,7.21061,7.19226,6.89870,6.91705,6.67853,6.93540,6.75192,6.82531,6.75192,6.62349,6.47671,6.69688,6.89870,6.71523,6.80696,6.77027,7.11887,7.26566,7.57756,7.70600,8.10965,8.73346,9.59580,10.34805,10.88014,11.28378,11.11865,11.13700,10.82509,10.75170,10.54988,10.03614,10.10954,9.68754,9.37563,10.40310,9.52241,9.26555,8.51329,8.58668,7.94452,7.19226,8.03626,7.55922,6.45836,7.19226,6.20149,5.43089,5.02725,4.75203
2005,Careel Bay 33_11kV,24MAY2004,MW,4.51351,4.18326,4.07317,6.34827,6.21984,5.76115,5.46759,5.15568,4.78873,4.84377,4.51351,4.45847,4.34838,4.20160,4.12821,3.92639,4.03648,3.88969,3.99978,4.03648,4.25665,4.38508,4.95386,5.43089,5.96297,6.55010,6.91705,6.77027,7.24731,7.65096,7.85278,7.99956,8.18304,8.18304,7.92617,7.68765,7.63261,7.55922,7.52252,7.46748,7.24731,6.93540,6.95375,7.10053,6.84366,6.84366,6.77027,6.64184,6.64184,6.80696,6.88036,6.73357,6.62349,6.66018,6.55010,6.49506,6.55010,6.34827,6.42166,6.27488,6.45836,6.64184,6.47671,6.88036,7.15557,7.63261,8.05460,8.29312,9.43067,9.98110,10.62327,11.10031,11.24709,11.55900,11.33883,11.26544,10.86179,10.58657,10.20127,10.18293,9.90771,10.88014,10.14623,9.68754,9.21050,8.77016,8.03626,7.54087,8.18304,8.21973,7.43078,8.05460,7.19226,6.42166,5.72446,5.21072
2005,Careel Bay 33_11kV,25MAY2004,MW,4.99055,4.58690,4.31169,6.47671,6.29323,5.98132,5.55933,5.13733,5.04559,4.73368,4.56856,4.38508,4.31169,4.16491,3.92639,3.81630,3.92639,3.85300,3.99978,3.92639,4.36673,4.47682,4.86212,5.35750,6.10976,6.44001,6.55010,6.38497,7.33905,7.46748,7.83443,7.94452,7.74269,7.98121,8.12799,7.70600,7.59591,7.30235,7.11887,7.02714,6.80696,6.73357,6.78862,6.78862,6.34827,6.56845,6.45836,6.18315,6.38497,6.09141,6.03637,6.07306,6.07306,6.10976,5.90793,6.03637,6.01802,6.03637,6.09141,6.25654,6.31158,6.45836,6.73357,7.04548,7.41244,7.77939,8.43990,8.54999,9.28389,10.01780,10.45814,10.78840,10.99022,10.91683,10.82509,10.71501,10.62327,10.31136,10.31136,10.01780,9.76093,10.82509,10.05449,9.57745,8.95364,8.62338,8.14634,7.54087,8.21973,8.32982,7.37574,7.98121,7.11887,6.29323,5.76115,5.26577
2005,Careel Bay 33_11kV,26MAY2004,MW,4.99055,4.71534,4.47682,6.58679,6.23819,5.94463,5.57767,5.32081,5.04559,4.71534,4.71534,4.42178,4.33004,4.10987,4.20160,4.14656,4.07317,4.10987,4.16491,4.20160,4.42178,4.36673,4.84377,5.43089,6.16480,6.95375,7.08218,6.71523,7.11887,7.54087,7.96286,8.27477,8.23808,8.18304,7.85278,7.74269,7.59591,7.33905,7.22896,6.86201,6.88036,6.71523,6.53175,6.78862,6.51340,6.45836,6.34827,6.36662,6.21984,6.16480,6.21984,6.31158,6.21984,6.16480,6.38497,6.18315,6.23819,6.03637,5.98132,6.32993,6.38497,6.60514,6.58679,6.78862,7.22896,7.68765,8.16469,8.51329,9.52241,10.14623,10.99022,11.22874,11.57734,11.43056,11.48561,11.41222,11.02692,10.84344,10.58657,10.38475,10.16458,11.00857,10.03614,9.77928,9.30224,9.13711,8.66007,8.14634,9.02703,8.97198,8.12799,8.82520,7.63261,6.64184,6.23819,5.55933
