year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Darling Harbour 132_11kV,01MAY2006,MW,22.71313,22.60224,21.89996,21.88148,21.56731,21.84452,22.38047,22.15870,20.95743,20.82807,20.88351,20.77262,20.66174,20.71718,20.66174,20.60630,20.55085,20.49541,20.62478,20.77262,20.99440,21.29009,21.34553,23.00882,23.37844,23.67414,24.26553,25.04173,26.81591,27.09312,28.10957,28.49767,29.97615,29.92071,30.82628,30.88172,31.30678,32.02754,32.21235,32.48957,32.48957,33.21032,33.37665,33.35817,33.37665,33.80172,34.15285,34.02349,34.15285,33.24729,33.59843,33.76475,33.48754,33.80172,34.04197,33.46906,33.48754,33.80172,33.43210,32.98855,33.02552,33.02552,33.02552,32.71134,32.54501,33.08096,32.85919,33.02552,33.15488,32.97007,33.24729,32.93311,31.97210,32.02754,31.71337,31.43615,30.32729,30.32729,30.36425,29.80982,29.49565,29.10755,29.08907,28.64552,28.27590,27.70299,27.42578,27.09312,25.98426,25.54072,25.28198,24.89388,24.04376,23.50781,23.39692,22.87946
2007,Darling Harbour 132_11kV,02MAY2006,MW,22.43591,22.06629,21.88148,21.77060,21.32705,21.23465,20.99440,21.12376,20.99440,20.77262,20.95743,20.62478,20.62478,20.43997,20.38452,20.43997,20.66174,20.29212,20.45845,20.56933,21.06832,21.45642,21.78908,22.43591,23.50781,23.71110,24.65363,25.37439,27.61059,27.37033,28.03565,28.22046,28.97818,29.86527,30.41970,30.58603,30.97413,31.25134,31.32526,32.41564,33.04400,33.13640,33.13640,33.26577,33.43210,33.13640,33.63539,33.63539,34.09741,33.91260,34.13437,34.30070,34.31918,34.18982,34.48551,34.63336,34.43007,34.04197,35.07690,34.87361,34.65184,34.48551,33.93108,34.04197,33.96805,33.80172,33.82020,33.82020,34.24526,34.68880,34.18982,33.91260,33.32121,32.63741,32.24931,32.48957,32.19387,30.86324,31.08501,31.15894,30.77084,30.65995,30.38273,29.14451,28.66400,28.75641,28.25742,27.75844,26.77894,26.27996,25.78097,25.50376,24.70907,24.22857,24.21009,23.15667
2007,Darling Harbour 132_11kV,03MAY2006,MW,22.99034,22.39895,22.34351,22.12174,21.78908,21.40098,21.38250,21.27161,21.17921,20.88351,20.82807,20.82807,20.88351,20.93895,20.84655,20.77262,20.29212,20.29212,20.60630,20.79110,21.40098,21.40098,21.49338,22.28806,23.50781,23.76654,24.17312,24.72755,26.22451,27.00071,27.86932,28.31286,29.53261,29.86527,30.38273,31.25134,31.80577,31.38071,31.71337,32.85919,33.46906,33.69083,33.41362,34.13437,34.43007,34.13437,34.46703,34.24526,34.81817,34.70728,34.92906,35.13235,35.26171,35.42804,36.01943,35.90855,35.81614,36.31513,36.79564,35.76070,35.35412,35.02146,35.59437,35.64981,35.63133,35.35412,35.02146,34.98450,34.30070,34.76273,34.96602,34.18982,33.52450,32.97007,32.74830,32.43412,31.52856,31.75033,31.60248,31.38071,30.71539,30.64147,30.38273,29.88375,29.58805,28.60856,28.53464,27.94324,27.09312,26.94527,26.64958,26.22451,25.17110,24.72755,24.33945,23.48933
2007,Darling Harbour 132_11kV,04MAY2006,MW,23.26756,22.60224,22.73161,22.43591,22.17718,21.77060,21.73363,21.60427,21.56731,21.27161,21.21617,21.16072,21.06832,20.99440,20.84655,20.68022,20.82807,20.90199,20.73566,21.12376,21.06832,21.51186,21.71515,21.99237,23.43389,24.37642,25.09717,25.59616,27.53666,27.92476,28.47919,29.19995,30.58603,30.75235,31.15894,31.52856,32.19387,32.58197,32.71134,33.54298,33.76475,34.15285,34.37463,34.15285,34.48551,34.79969,34.76273,35.09539,34.57792,35.15083,35.24323,35.42804,35.31716,35.68678,35.46500,35.74222,35.92703,36.18576,35.90855,35.59437,35.42804,35.59437,34.68880,34.96602,35.24323,34.81817,34.46703,34.18982,34.68880,35.07690,34.63336,34.59640,33.24729,33.26577,33.26577,32.80374,32.02754,31.87969,31.71337,31.25134,31.14045,30.64147,30.25337,29.99463,29.80982,28.99666,28.71945,28.31286,27.16704,26.92679,26.98223,26.22451,25.48527,25.11565,24.50578,23.72958
2007,Darling Harbour 132_11kV,05MAY2006,MW,23.65566,22.89794,22.95338,22.65768,22.15870,21.89996,21.89996,21.71515,21.40098,21.27161,21.34553,21.10528,21.01288,20.90199,20.66174,20.82807,21.17921,21.16072,21.04984,20.82807,21.01288,21.38250,21.34553,22.06629,23.10123,23.45237,24.37642,25.48527,26.98223,27.94324,28.36831,28.47919,29.77286,31.15894,31.30678,31.36223,31.60248,31.86121,32.02754,32.54501,33.24729,33.41362,34.20830,34.41159,34.24526,34.04197,34.54096,34.91058,35.35412,35.24323,35.07690,35.81614,35.74222,35.76070,34.96602,35.31716,35.64981,35.74222,35.46500,35.20627,35.26171,35.03994,35.40956,35.09539,34.92906,35.03994,34.70728,34.76273,34.74425,34.91058,35.02146,34.26374,33.09944,33.41362,33.04400,33.09944,31.75033,31.91666,31.71337,32.74830,31.86121,31.14045,30.82628,29.77286,29.64350,29.42172,28.83033,28.64552,27.88780,27.09312,27.09312,26.59413,26.42780,25.83641,25.50376,24.70907
2007,Darling Harbour 132_11kV,06MAY2006,MW,24.59819,24.06224,23.54477,23.15667,22.78705,22.62072,22.38047,22.50984,22.23262,22.12174,21.65971,21.54883,21.56731,21.67819,21.34553,21.29009,21.21617,21.10528,20.77262,20.82807,20.99440,21.67819,21.73363,21.88148,22.01085,22.45439,22.04781,22.39895,22.93490,22.99034,23.32300,23.28604,24.11768,25.33743,25.55920,25.37439,25.83641,26.09515,26.92679,27.59211,28.31286,27.94324,28.49767,28.94122,29.19995,29.14451,29.55109,29.99463,29.97615,30.10552,29.99463,30.05008,29.77286,29.31084,30.10552,29.55109,29.97615,29.77286,30.19792,29.60653,30.05008,30.43818,30.21641,29.99463,29.88375,29.99463,29.88375,30.25337,30.71539,31.04805,31.65792,31.91666,31.21438,31.30678,31.19590,30.36425,30.54906,30.38273,30.25337,29.93919,29.80982,29.47717,29.69894,29.08907,28.92274,28.94122,28.33135,28.49767,28.22046,27.48122,27.03768,26.11363,26.05818,26.05818,25.50376,24.87540
2007,Darling Harbour 132_11kV,07MAY2006,MW,24.61667,23.98831,23.65566,23.76654,23.32300,23.10123,22.99034,23.04578,22.50984,22.34351,22.12174,22.21414,21.84452,21.65971,21.54883,21.21617,20.99440,20.71718,20.84655,20.88351,20.73566,21.21617,21.29009,21.10528,21.88148,21.78908,21.60427,22.04781,22.43591,22.87946,23.11971,24.28401,24.78300,24.76452,24.83844,25.42983,26.05818,26.39084,26.31692,27.55514,27.66603,27.94324,28.05413,28.25742,28.38679,28.99666,28.83033,28.88578,29.03362,28.97818,29.10755,29.82831,30.36425,30.25337,29.75438,29.97615,30.03160,30.05008,30.47514,30.43818,30.30881,30.14248,30.32729,30.14248,30.19792,30.21641,30.27185,31.15894,30.53058,31.02957,30.97413,31.19590,30.58603,30.32729,29.99463,29.69894,29.38476,29.21843,29.25539,28.94122,28.60856,28.64552,28.33135,27.75844,27.48122,27.72147,27.22249,26.59413,26.27996,26.00274,25.28198,24.78300,24.50578,23.95135,23.43389,23.21211
2007,Darling Harbour 132_11kV,08MAY2006,MW,22.87946,22.56528,22.15870,22.06629,21.38250,21.32705,21.29009,21.23465,20.84655,20.71718,20.73566,20.60630,20.77262,20.66174,20.62478,20.62478,20.82807,21.17921,21.73363,21.21617,21.82604,21.78908,21.95541,23.00882,23.60021,23.82199,24.37642,25.39287,26.61261,27.38882,28.31286,28.66400,30.54906,30.86324,30.41970,30.91868,31.47311,31.80577,32.63741,32.30476,32.54501,32.43412,33.13640,32.87767,32.65590,33.08096,33.52450,33.43210,33.57994,33.24729,33.08096,33.57994,33.98653,33.43210,33.30273,33.46906,33.13640,33.41362,33.09944,33.26577,33.37665,33.19184,32.80374,32.93311,32.60045,32.43412,32.65590,33.02552,33.30273,33.37665,33.37665,33.57994,32.26779,31.97210,31.97210,31.30678,30.80780,30.82628,30.69691,30.53058,29.99463,29.97615,29.69894,29.71742,28.86729,28.88578,28.77489,27.88780,26.98223,26.42780,26.00274,25.17110,24.43186,24.15464,23.98831,23.37844
2007,Darling Harbour 132_11kV,09MAY2006,MW,22.95338,22.71313,22.32503,22.17718,21.78908,21.78908,21.51186,21.49338,21.32705,21.16072,21.17921,22.06629,21.71515,20.93895,21.12376,21.21617,20.95743,21.21617,21.04984,21.34553,21.60427,22.17718,22.10325,22.76857,24.15464,24.45034,25.50376,26.72350,28.77489,29.42172,29.71742,30.25337,31.41767,31.60248,31.76881,32.24931,32.58197,32.30476,32.71134,32.98855,34.37463,34.37463,34.30070,34.31918,34.31918,34.48551,34.43007,34.13437,34.70728,35.03994,34.37463,34.52247,34.79969,35.15083,35.37260,34.92906,35.03994,34.92906,35.42804,35.63133,35.15083,34.85513,35.29868,35.03994,35.20627,34.70728,34.57792,34.07893,34.63336,34.74425,34.91058,35.07690,33.85716,33.35817,33.43210,33.19184,32.21235,32.15691,31.97210,31.58400,31.26982,31.10349,31.08501,30.53058,30.25337,29.55109,29.58805,28.66400,28.25742,27.42578,27.27793,26.53869,25.94730,25.37439,24.78300,24.00680
2007,Darling Harbour 132_11kV,10MAY2006,MW,23.71110,23.48933,22.78705,22.67617,22.23262,22.95338,22.43591,22.28806,21.95541,22.04781,21.45642,21.54883,21.49338,21.17921,21.73363,21.65971,21.54883,21.49338,21.60427,21.78908,21.71515,22.04781,22.23262,23.43389,24.37642,24.70907,25.15262,26.72350,28.05413,28.42375,29.03362,29.86527,30.93716,31.25134,31.10349,31.60248,,32.26779,32.60045,33.26577,33.82020,33.91260,34.15285,34.43007,34.68880,34.96602,35.52045,35.53893,35.63133,35.63133,35.07690,35.31716,35.59437,35.64981,36.40753,35.81614,35.40956,35.98247,36.24121,35.85311,36.13032,35.70526,35.85311,36.31513,36.09336,35.15083,35.96399,35.37260,35.42804,35.63133,35.68678,35.31716,34.02349,33.54298,33.30273,33.54298,32.37868,32.41564,32.47109,31.76881,30.99261,30.99261,30.49362,30.80780,30.03160,29.75438,29.38476,28.70097,27.92476,27.27793,27.72147,26.53869,26.03970,25.50376,24.93084,24.48730
2007,Darling Harbour 132_11kV,11MAY2006,MW,23.56325,23.50781,23.21211,22.89794,22.65768,22.38047,22.26958,22.01085,21.95541,21.56731,21.29009,21.27161,21.65971,21.43794,21.40098,21.43794,21.49338,21.10528,21.04984,20.93895,21.32705,21.73363,21.67819,22.39895,23.26756,24.65363,25.06021,26.37236,28.49767,28.66400,29.10755,29.71742,31.71337,32.04602,32.30476,31.87969,32.21235,32.80374,33.30273,33.70931,33.93108,34.04197,34.24526,34.85513,34.79969,35.26171,34.48551,34.30070,34.65184,35.07690,34.92906,35.35412,35.02146,34.98450,35.31716,34.65184,35.20627,35.02146,34.87361,34.68880,34.57792,35.03994,35.07690,34.35615,34.57792,34.81817,34.92906,35.03994,35.09539,34.87361,34.98450,35.07690,33.63539,32.98855,32.91463,32.52653,31.97210,31.36223,31.10349,31.49159,30.54906,30.93716,29.82831,29.77286,29.32932,29.25539,28.94122,28.36831,27.42578,27.22249,26.81591,26.37236,26.09515,25.50376,24.81996,23.76654
2007,Darling Harbour 132_11kV,12MAY2006,MW,23.56325,23.21211,22.54680,22.73161,22.71313,22.23262,22.15870,21.84452,21.71515,21.49338,21.29009,21.06832,20.60630,21.32705,20.95743,20.88351,20.93895,20.99440,20.90199,21.10528,21.49338,21.32705,21.84452,22.93490,23.67414,24.21009,24.72755,26.09515,27.55514,27.92476,28.33135,29.27388,30.77084,31.21438,31.08501,31.19590,32.30476,32.37868,32.76678,33.08096,33.54298,33.65387,33.74627,33.54298,34.30070,34.04197,34.35615,34.24526,33.96805,33.69083,33.37665,34.09741,33.69083,33.74627,34.13437,33.93108,34.07893,33.91260,34.81817,33.80172,33.37665,33.85716,33.57994,33.54298,33.54298,33.70931,34.02349,34.04197,34.26374,34.54096,34.41159,34.63336,33.59843,33.21032,33.15488,32.98855,32.13843,32.41564,32.26779,32.19387,32.02754,31.32526,30.97413,30.97413,30.47514,30.10552,30.30881,29.69894,28.71945,28.77489,28.22046,27.59211,27.00071,26.77894,26.15059,25.54072
2007,Darling Harbour 132_11kV,13MAY2006,MW,25.20806,24.93084,24.15464,23.72958,23.32300,22.99034,23.10123,22.76857,22.28806,21.93693,21.93693,21.43794,21.67819,21.27161,21.51186,21.34553,21.29009,21.29009,21.23465,22.10325,21.67819,21.38250,21.17921,21.78908,22.34351,22.21414,22.54680,22.56528,23.11971,23.67414,23.50781,23.76654,25.06021,24.50578,25.42983,25.89186,26.44629,26.11363,27.05616,27.86932,27.75844,27.92476,28.16502,28.27590,28.75641,28.25742,28.70097,28.86729,29.10755,29.31084,29.60653,29.38476,28.97818,29.44020,29.32932,29.55109,29.10755,29.03362,28.94122,28.92274,29.10755,29.44020,28.81185,28.81185,28.71945,29.32932,29.08907,29.58805,30.53058,30.99261,31.25134,31.38071,31.10349,31.10349,31.15894,31.15894,30.71539,30.64147,30.86324,30.30881,29.69894,30.16096,29.55109,29.66198,29.14451,28.97818,28.75641,28.44223,27.94324,28.03565,27.64755,27.20401,26.70502,26.66806,26.00274,25.59616
2007,Darling Harbour 132_11kV,14MAY2006,MW,24.89388,24.32097,24.26553,24.21009,23.50781,23.43389,22.95338,23.10123,22.73161,22.56528,22.43591,22.06629,21.88148,21.60427,21.40098,21.54883,21.49338,21.21617,21.17921,21.29009,21.29009,21.49338,21.27161,21.73363,21.82604,22.34351,22.50984,22.65768,22.84249,24.15464,23.87743,23.82199,24.81996,24.61667,25.83641,25.76249,26.22451,26.09515,26.39084,26.26148,27.25945,27.59211,27.49970,27.59211,28.25742,29.10755,28.99666,28.83033,28.47919,28.22046,28.20198,28.59008,29.16299,28.44223,28.49767,28.64552,29.27388,29.60653,29.32932,28.83033,29.25539,29.64350,29.27388,29.77286,28.97818,29.77286,29.93919,29.82831,30.21641,30.36425,30.91868,30.97413,30.21641,30.25337,30.38273,30.10552,30.10552,30.38273,30.30881,29.77286,29.66198,29.92071,29.31084,28.83033,28.86729,28.38679,27.66603,27.16704,26.81591,26.11363,25.59616,25.15262,24.65363,24.15464,23.93287,23.15667
2007,Darling Harbour 132_11kV,15MAY2006,MW,23.17515,22.67617,22.67617,22.65768,22.12174,21.88148,21.84452,21.60427,21.78908,21.34553,21.17921,21.38250,20.90199,21.06832,21.01288,21.23465,20.88351,20.88351,20.84655,21.84452,21.82604,22.17718,22.50984,23.34148,23.93287,24.32097,25.22654,26.22451,27.77692,28.66400,28.94122,29.64350,30.75235,31.04805,30.93716,31.41767,32.26779,32.71134,32.54501,33.13640,33.57994,33.04400,33.26577,33.46906,33.41362,33.87564,34.20830,34.37463,33.70931,34.20830,33.85716,33.70931,34.24526,33.37665,33.43210,33.98653,33.98653,33.80172,33.41362,33.54298,33.24729,33.19184,33.15488,33.65387,33.35817,33.08096,33.76475,33.63539,34.31918,34.79969,34.30070,33.85716,32.60045,33.35817,32.52653,32.41564,31.08501,31.47311,31.14045,31.02957,30.64147,30.19792,29.93919,29.82831,29.31084,29.27388,28.55312,27.83236,27.14856,26.64958,25.94730,25.54072,24.87540,24.45034,24.00680,23.10123
2007,Darling Harbour 132_11kV,16MAY2006,MW,23.15667,22.65768,22.60224,22.54680,22.17718,22.04781,22.04781,21.93693,21.82604,21.54883,21.29009,21.45642,21.27161,21.23465,21.12376,21.23465,21.54883,21.43794,21.29009,21.45642,21.84452,22.17718,22.28806,22.49136,23.72958,24.28401,25.70705,26.88983,28.36831,28.86729,29.19995,29.80982,30.86324,31.43615,31.52856,31.38071,32.02754,32.08298,32.47109,32.85919,33.48754,33.26577,33.91260,33.87564,33.82020,34.07893,33.48754,34.04197,34.52247,34.54096,34.52247,34.48551,34.85513,34.48551,34.46703,34.79969,35.40956,34.74425,34.43007,34.15285,34.87361,34.52247,34.46703,34.20830,34.59640,35.02146,34.54096,34.74425,34.98450,34.91058,35.42804,35.29868,34.24526,34.04197,33.54298,33.19184,32.47109,32.71134,32.02754,31.87969,31.04805,30.99261,30.38273,30.08704,30.27185,29.71742,29.19995,28.33135,27.98021,27.37033,26.44629,26.39084,25.48527,25.33743,24.72755,24.00680
2007,Darling Harbour 132_11kV,17MAY2006,MW,23.78502,23.34148,23.28604,22.95338,22.49136,22.73161,22.32503,21.99237,21.71515,21.71515,21.73363,21.62275,21.62275,21.32705,21.40098,21.34553,21.16072,21.32705,21.34553,21.51186,21.89996,22.54680,22.43591,23.00882,24.32097,24.93084,25.31895,26.42780,27.66603,28.64552,28.88578,29.44020,30.49362,30.53058,31.19590,31.32526,31.32526,31.32526,31.32526,31.32526,31.32526,31.32526,31.32526,31.32526,34.30070,34.30070,34.30070,34.52247,35.35412,35.24323,35.03994,34.85513,34.85513,34.85513,34.85513,34.85513,35.09539,35.52045,34.96602,35.20627,34.65184,34.98450,34.41159,34.31918,34.63336,34.74425,33.98653,34.26374,34.92906,35.35412,35.09539,34.63336,34.04197,34.04197,33.48754,33.57994,32.52653,32.36020,32.32324,32.04602,31.49159,30.97413,31.21438,30.71539,30.32729,29.99463,29.92071,29.25539,28.09109,27.61059,27.00071,26.59413,26.15059,25.76249,25.37439,24.93084
2007,Darling Harbour 132_11kV,18MAY2006,MW,24.17312,23.87743,23.61870,23.45237,22.82401,22.73161,22.65768,22.45439,22.17718,22.28806,21.95541,21.84452,21.67819,21.38250,21.12376,21.27161,21.10528,21.27161,21.38250,21.43794,21.45642,22.12174,22.43591,23.00882,23.76654,24.78300,25.04173,26.76046,28.64552,29.03362,29.58805,30.36425,31.38071,31.15894,31.47311,31.69488,31.99058,32.37868,33.13640,33.15488,34.18982,,,,,,,,35.68678,35.57589,35.85311,36.07488,36.53690,35.98247,35.96399,36.29665,36.13032,36.01943,35.74222,35.92703,35.59437,35.90855,35.59437,35.26171,35.57589,35.02146,35.35412,35.31716,35.92703,35.59437,35.98247,35.76070,34.48551,34.37463,33.96805,34.26374,33.54298,33.37665,33.04400,33.04400,32.48957,32.04602,31.82425,31.65792,30.82628,30.16096,29.55109,29.53261,28.59008,27.86932,27.49970,27.00071,26.48325,26.27996,25.37439,24.67211
2007,Darling Harbour 132_11kV,19MAY2006,MW,24.70907,24.45034,23.87743,23.72958,23.50781,23.34148,23.26756,22.76857,22.67617,22.54680,22.39895,22.12174,22.06629,21.93693,22.10325,21.93693,22.15870,21.71515,22.10325,22.21414,22.34351,22.45439,22.78705,23.65566,24.15464,24.65363,26.26148,27.09312,28.14654,28.88578,29.75438,30.14248,30.47514,31.25134,31.43615,32.19387,32.19387,32.47109,32.98855,34.20830,34.30070,34.79969,34.48551,34.37463,35.68678,35.15083,35.40956,36.09336,35.92703,36.09336,36.46298,36.68475,36.92500,37.01741,36.57386,36.74019,36.59234,37.03589,37.07285,37.01741,36.62931,35.92703,36.25969,36.03792,36.03792,35.79766,35.57589,35.76070,36.35209,36.07488,35.37260,35.35412,34.31918,34.26374,34.63336,34.26374,32.98855,32.93311,33.09944,32.63741,32.52653,31.76881,31.75033,31.30678,30.43818,30.21641,30.49362,29.44020,28.83033,28.05413,27.83236,27.31489,26.76046,26.81591,25.92882,25.50376
2007,Darling Harbour 132_11kV,20MAY2006,MW,25.31895,25.06021,24.39490,24.28401,23.72958,23.48933,23.39692,23.17515,23.28604,23.15667,22.93490,22.67617,22.28806,22.34351,22.38047,22.10325,21.95541,21.95541,21.95541,21.93693,21.93693,21.93693,22.21414,22.10325,22.82401,23.06427,23.28604,23.61870,23.78502,23.67414,24.00680,24.33945,25.81793,25.87337,26.22451,26.72350,27.00071,27.81388,27.86932,28.20198,29.14451,28.88578,29.47717,29.77286,29.42172,29.44020,29.69894,29.99463,30.03160,30.54906,30.38273,30.69691,30.36425,30.49362,30.32729,30.36425,30.43818,30.43818,30.53058,30.27185,30.58603,30.54906,30.38273,30.65995,30.65995,30.64147,31.43615,30.93716,32.36020,32.48957,32.82222,32.52653,32.26779,32.69286,31.97210,32.60045,32.26779,31.43615,31.26982,31.15894,30.93716,30.69691,30.69691,30.38273,29.86527,29.64350,28.86729,29.16299,28.25742,28.47919,27.72147,27.53666,26.70502,27.03768,26.77894,25.55920
2007,Darling Harbour 132_11kV,21MAY2006,MW,25.09717,24.89388,24.61667,24.37642,23.95135,23.65566,23.71110,23.23059,23.06427,22.84249,22.62072,22.49136,22.43591,21.77060,21.34553,21.49338,21.62275,21.43794,21.51186,21.38250,21.65971,21.67819,21.82604,21.78908,22.12174,22.34351,22.67617,22.99034,23.32300,23.65566,23.65566,24.65363,25.26350,25.48527,26.15059,26.20603,26.20603,26.48325,27.03768,27.14856,27.88780,28.64552,28.16502,28.59008,28.60856,28.42375,28.88578,28.92274,29.66198,30.05008,30.10552,30.71539,29.92071,29.75438,29.60653,29.71742,30.05008,29.97615,29.93919,29.55109,29.88375,30.30881,30.64147,29.93919,30.05008,30.30881,30.54906,31.30678,31.80577,31.58400,31.38071,31.47311,31.43615,31.04805,30.47514,31.41767,30.75235,28.97818,28.70097,28.31286,28.03565,28.42375,27.66603,27.61059,26.48325,26.33540,26.03970,25.78097,25.28198,24.76452,24.21009,23.60021,22.99034,22.95338,22.65768,22.06629
2007,Darling Harbour 132_11kV,22MAY2006,MW,21.82604,21.73363,21.32705,20.95743,20.60630,20.62478,20.60630,20.34756,19.95946,20.01490,19.95946,19.83009,19.88554,19.84857,19.62680,19.88554,19.77465,20.10731,20.55085,20.18123,20.68022,20.60630,20.95743,22.43591,22.50984,22.84249,24.17312,24.89388,26.33540,26.94527,27.49970,27.49970,28.97818,29.27388,29.49565,29.47717,29.36628,29.64350,30.21641,31.32526,31.10349,31.26982,31.36223,31.43615,31.41767,31.80577,32.02754,31.60248,31.76881,32.21235,32.32324,32.04602,32.02754,31.93514,32.21235,32.41564,32.26779,32.13843,32.15691,31.93514,31.99058,31.49159,31.54704,31.02957,31.26982,31.43615,31.30678,31.54704,31.65792,32.87767,32.91463,33.54298,32.19387,32.10147,31.36223,31.75033,30.65995,30.53058,30.97413,29.99463,29.10755,28.83033,29.25539,28.55312,28.05413,27.72147,27.59211,27.27793,26.16907,25.67008,25.20806,25.17110,23.78502,23.61870,23.21211,23.65566
2007,Darling Harbour 132_11kV,23MAY2006,MW,22.99034,22.21414,21.71515,21.71515,21.60427,21.29009,20.95743,20.93895,21.04984,20.66174,20.99440,20.60630,20.51389,20.62478,20.62478,20.49541,20.55085,20.60630,20.71718,20.79110,21.17921,21.56731,21.71515,22.93490,23.95135,24.17312,25.42983,25.55920,27.33337,28.47919,29.19995,29.86527,31.04805,31.04805,31.76881,32.15691,31.36223,31.99058,32.52653,32.91463,33.37665,33.19184,33.19184,33.35817,33.59843,33.52450,34.81817,34.87361,34.30070,34.02349,34.30070,34.30070,33.91260,33.59843,33.98653,34.15285,32.85919,33.70931,33.65387,33.43210,33.19184,33.19184,33.13640,33.41362,33.69083,33.26577,33.54298,33.85716,34.48551,34.07893,34.70728,34.68880,32.97007,33.59843,33.08096,32.74830,31.86121,32.24931,32.10147,31.87969,31.41767,31.26982,30.54906,30.71539,29.97615,29.44020,29.25539,28.99666,27.88780,26.87135,26.11363,25.92882,25.09717,24.87540,24.59819,23.95135
2007,Darling Harbour 132_11kV,24MAY2006,MW,23.61870,23.37844,22.82401,22.39895,22.06629,21.88148,21.49338,21.40098,21.51186,21.23465,21.17921,21.23465,21.16072,20.95743,20.66174,20.90199,21.16072,21.21617,20.99440,21.93693,21.73363,22.38047,22.34351,23.11971,23.87743,24.33945,24.83844,26.64958,27.98021,28.27590,28.66400,29.16299,30.75235,30.93716,30.93716,31.54704,31.71337,31.93514,31.99058,32.60045,33.09944,33.15488,33.46906,33.48754,34.04197,34.13437,34.04197,34.15285,34.35615,34.35615,34.13437,34.43007,34.26374,33.37665,33.76475,34.26374,34.35615,33.54298,34.30070,34.13437,33.65387,33.69083,33.46906,33.19184,34.18982,33.98653,33.74627,34.18982,34.65184,34.30070,34.20830,33.96805,33.13640,32.74830,32.82222,32.54501,31.86121,31.71337,31.87969,31.69488,31.21438,31.14045,30.38273,29.75438,29.38476,29.25539,28.75641,27.99869,27.27793,26.92679,26.37236,25.67008,25.59616,25.06021,24.45034,23.78502
2007,Darling Harbour 132_11kV,25MAY2006,MW,23.23059,22.76857,22.76857,22.06629,21.77060,21.78908,21.82604,21.95541,21.40098,21.29009,21.17921,21.16072,20.68022,20.51389,20.66174,20.68022,20.56933,20.71718,20.84655,21.04984,21.56731,22.15870,21.93693,22.62072,23.50781,23.89591,24.89388,26.72350,28.10957,28.03565,28.60856,29.10755,29.71742,30.43818,30.19792,30.93716,31.76881,31.69488,31.26982,31.87969,32.24931,33.43210,33.43210,33.35817,33.46906,33.59843,33.87564,33.76475,33.93108,33.87564,33.85716,33.82020,34.20830,33.43210,33.63539,33.91260,34.15285,33.93108,33.96805,33.21032,33.43210,33.30273,33.21032,33.26577,33.13640,33.32121,33.04400,33.65387,34.02349,34.02349,34.31918,33.59843,32.97007,33.26577,32.98855,33.08096,31.80577,31.86121,31.93514,31.54704,31.02957,30.88172,30.60451,30.10552,29.49565,29.58805,28.97818,28.75641,27.64755,27.09312,27.03768,26.55717,26.22451,25.44831,24.93084,24.11768
2007,Darling Harbour 132_11kV,26MAY2006,MW,23.87743,23.71110,23.17515,22.39895,22.38047,21.77060,21.82604,21.88148,21.34553,21.23465,21.04984,21.01288,21.17921,20.77262,20.88351,20.77262,20.60630,20.56933,20.79110,20.79110,22.10325,22.17718,21.89996,22.62072,23.65566,24.04376,24.83844,26.15059,27.53666,28.16502,28.33135,29.32932,30.41970,30.49362,30.41970,30.32729,30.91868,32.26779,32.32324,32.08298,33.35817,33.19184,33.37665,33.43210,33.91260,33.96805,33.91260,34.15285,34.57792,34.31918,34.07893,33.93108,34.30070,34.15285,34.09741,33.87564,34.31918,34.63336,34.26374,34.31918,33.91260,34.43007,33.59843,33.85716,33.59843,33.85716,34.13437,33.87564,34.48551,34.98450,34.65184,34.07893,33.21032,33.43210,32.93311,32.47109,32.37868,32.26779,32.08298,31.99058,31.36223,30.99261,31.02957,30.97413,30.64147,30.05008,29.32932,28.97818,28.36831,28.20198,27.59211,27.11160,27.11160,27.22249,26.11363,25.37439
