year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2007,Double Bay 132_11kV,01MAY2006,MW,24.82015,23.76845,23.20754,23.27765,22.08573,22.05067,21.48976,21.27942,20.78863,20.40300,20.26278,19.94727,19.80704,19.70187,19.56164,19.70187,20.12255,20.29783,20.71851,21.10414,21.34954,22.05067,22.43629,23.80350,26.15230,27.13389,29.13212,31.69126,35.82796,38.56238,39.75431,40.21004,41.54220,41.43703,42.10311,42.94447,44.13640,44.45191,44.87259,45.01281,45.18810,44.69730,44.90764,45.08293,44.62719,44.20651,44.45191,44.52202,44.55708,43.40020,44.20651,43.71572,44.20651,43.75077,43.82089,43.18986,43.92606,43.75077,44.52202,44.73236,44.66225,44.83753,44.69730,44.48696,45.25821,46.02946,46.80071,48.02769,48.16792,49.71041,50.06098,50.37649,50.23626,50.62189,50.23626,49.21962,47.29150,44.38179,43.75077,42.94447,42.13816,41.26175,40.42038,39.68419,38.38710,37.16011,36.21358,34.60097,34.25040,33.09353,32.25217,30.32405,28.60627,27.79997,27.02872,26.11725
2007,Double Bay 132_11kV,02MAY2006,MW,25.66151,24.57475,23.76845,23.34777,23.20754,22.64663,22.33112,21.59493,21.24437,21.03403,20.64840,20.50817,20.40300,20.26278,20.22772,20.12255,20.36795,20.71851,21.03403,21.13920,21.59493,21.87539,22.85697,24.60981,26.67816,28.64133,31.06024,33.47916,37.58079,40.13993,41.19163,41.78760,41.68243,42.20828,42.55884,43.01458,43.96111,44.90764,45.11798,45.15304,45.18810,44.97776,45.11798,44.94270,44.87259,44.17145,44.73236,44.38179,44.66225,44.24157,43.57549,43.85594,43.68066,43.64560,43.75077,43.47032,43.96111,44.10134,43.47032,43.57549,43.29503,42.90941,43.01458,43.11975,43.57549,43.96111,44.62719,45.32832,46.80071,48.34320,49.64030,49.39490,48.58860,48.97422,49.28973,48.69377,45.95934,44.27662,43.25998,42.45367,41.99794,41.01635,40.52555,39.92959,38.84283,37.79113,36.66932,35.58256,33.61938,32.63780,31.58609,30.18383,28.78156,28.11548,27.13389,26.36264
2007,Double Bay 132_11kV,03MAY2006,MW,25.24083,24.15407,23.69833,23.59316,22.99720,22.47135,21.84033,21.70010,21.27942,20.75357,20.61334,20.36795,20.29783,20.47312,20.19266,20.01738,20.26278,20.64840,21.06908,21.31448,21.66505,21.91044,22.99720,24.57475,26.85344,28.32582,30.63956,33.51421,37.65090,39.92959,41.19163,42.17322,42.48873,42.83930,43.11975,43.75077,43.99617,44.94270,45.36338,45.11798,45.57372,45.64383,44.24157,44.94270,45.15304,44.69730,44.59213,44.52202,43.89100,44.06628,43.82089,44.20651,44.24157,43.82089,44.03123,43.40020,43.75077,43.29503,43.43526,43.15481,43.11975,42.59390,42.97952,42.76918,43.15481,43.15481,43.50538,44.13640,44.83753,46.80071,47.99263,48.16792,48.30814,48.34320,47.99263,47.57195,45.67889,43.64560,42.73413,41.99794,41.08646,40.21004,39.57902,38.31698,37.61585,36.91471,36.07335,34.63603,34.04006,33.05848,31.93666,30.11371,28.74650,27.79997,27.09884,26.53793
2007,Double Bay 132_11kV,04MAY2006,MW,25.83679,24.75004,23.83856,23.48799,22.75180,22.71675,21.94550,21.38459,21.20931,20.85874,20.36795,20.26278,20.33289,20.22772,19.84210,20.19266,20.15761,20.57829,20.89380,21.24437,21.38459,21.98056,22.64663,24.46958,26.78333,28.01031,30.25394,33.33893,37.75607,39.85948,41.01635,41.50714,41.71748,42.03299,42.45367,42.87435,44.13640,44.73236,44.90764,44.06628,43.89100,44.17145,44.45191,44.38179,45.04787,44.94270,44.94270,45.53866,44.20651,44.10134,44.24157,44.80247,44.24157,44.45191,43.71572,43.89100,44.24157,43.89100,43.61055,43.33009,43.54043,43.36515,42.73413,43.11975,43.64560,42.90941,43.75077,44.31168,46.34497,47.78229,48.97422,49.18456,49.07939,49.57019,49.18456,48.90411,47.85241,47.88746,47.39667,46.73059,45.78406,45.18810,44.10134,42.48873,40.31521,38.56238,37.16011,35.23199,34.14523,32.74297,31.65621,30.32405,28.60627,27.76491,27.51952,26.60804
2007,Double Bay 132_11kV,05MAY2006,MW,25.90691,24.25924,23.69833,23.83856,22.92709,22.50641,22.19090,21.70010,21.24437,20.85874,20.71851,20.68346,20.29783,20.08749,20.43806,19.98232,20.22772,20.64840,20.57829,21.06908,21.24437,21.91044,22.71675,24.46958,26.36264,28.04537,30.00854,33.02342,36.94977,39.15834,40.87612,41.50714,42.24333,41.85771,42.69907,43.33009,44.13640,45.08293,45.39844,45.57372,45.43349,45.11798,45.39844,45.43349,45.15304,44.69730,44.27662,44.45191,44.48696,44.24157,44.20651,44.17145,44.03123,43.89100,44.06628,43.92606,44.10134,43.68066,43.85594,43.68066,43.47032,43.22492,43.57549,43.57549,44.03123,43.29503,44.34674,45.25821,46.62542,48.41331,48.72882,48.55354,48.44837,47.81735,47.11622,46.59037,44.41685,41.92782,41.36692,40.63072,39.64914,38.17676,37.75607,37.05494,36.35381,35.44233,34.74120,33.58433,33.02342,32.14700,31.72632,30.92002,29.58786,29.06201,28.50110,28.67639
2007,Double Bay 132_11kV,06MAY2006,MW,27.48446,25.80174,24.60981,24.60981,23.90868,23.17248,22.64663,22.68169,22.15584,21.84033,21.27942,20.78863,20.71851,20.75357,20.36795,20.36795,20.96391,21.10414,21.06908,21.20931,21.70010,21.98056,22.19090,22.92709,24.04890,24.36441,25.13566,26.50287,27.87008,29.09707,30.77979,32.39240,34.49580,35.58256,37.58079,38.73766,39.71925,40.73590,41.57726,42.62896,42.90941,42.76918,42.38356,42.27839,42.13816,42.34850,41.71748,41.12152,40.91118,41.12152,41.12152,40.70084,40.73590,40.80601,40.73590,40.56061,40.38533,39.85948,39.57902,39.71925,39.33363,39.36868,38.91295,39.19340,39.57902,39.85948,40.63072,41.33186,43.40020,45.53866,46.80071,46.62542,46.38003,45.32832,44.94270,43.96111,43.01458,40.52555,39.15834,38.17676,37.01988,36.91471,36.28369,35.26705,34.14523,33.79467,32.70791,32.21711,31.79643,31.55104,31.02519,30.39417,29.41258,29.69303,29.02695,28.01031
2007,Double Bay 132_11kV,07MAY2006,MW,27.97525,26.71321,25.97702,25.66151,24.46958,24.01385,23.48799,23.06731,22.99720,22.40124,21.66505,21.45471,21.34954,21.03403,21.03403,20.99897,21.13920,21.03403,20.89380,21.10414,21.38459,21.55988,21.98056,22.78686,22.92709,23.13743,23.55811,24.71498,25.76668,26.81838,28.32582,29.41258,30.74473,31.65621,33.19870,34.42569,36.14347,36.17852,37.01988,38.38710,38.45721,39.50891,39.05317,38.80778,38.21181,38.98306,38.84283,38.42215,38.56238,38.17676,38.35204,38.03653,38.24687,37.93136,37.75607,37.51068,38.03653,37.72102,37.86125,37.93136,37.86125,37.82619,37.89630,37.37045,37.65090,38.21181,39.01812,39.92959,41.36692,43.22492,44.76742,45.04787,44.62719,43.78583,43.43526,42.17322,41.78760,41.68243,40.70084,40.17499,39.43880,38.87789,38.38710,37.16011,36.07335,35.05671,34.11018,33.33893,32.42746,31.86655,30.53439,29.55281,28.60627,27.79997,27.27412,25.87185
2007,Double Bay 132_11kV,08MAY2006,MW,25.73162,24.82015,24.01385,23.83856,23.03226,22.40124,22.08573,21.87539,21.45471,20.89380,20.85874,20.57829,20.50817,20.71851,20.54323,20.43806,20.71851,20.92885,21.38459,21.87539,22.40124,22.99720,23.62822,25.34600,27.30918,29.06201,31.69126,34.70614,39.26351,41.08646,42.27839,43.71572,44.34674,43.61055,44.17145,45.25821,46.16968,46.52025,46.80071,47.15127,46.94093,46.73059,46.30991,46.27486,46.48520,46.13463,45.64383,45.53866,45.15304,44.80247,44.97776,45.18810,44.62719,44.52202,44.59213,44.10134,44.10134,44.20651,43.78583,44.27662,43.78583,43.29503,43.92606,43.29503,44.31168,44.83753,45.39844,46.48520,48.51848,50.69200,52.02416,52.05921,52.72529,52.83046,53.28620,52.40978,51.49830,49.50007,48.44837,47.95758,46.66048,46.06451,45.04787,43.54043,43.01458,41.26175,40.42038,39.43880,38.03653,36.00324,34.60097,33.65444,31.27058,30.04360,28.95684,28.25571
2007,Double Bay 132_11kV,09MAY2006,MW,27.44940,26.39770,25.55634,25.52128,24.57475,24.04890,23.52305,22.96214,22.57652,22.36618,22.15584,21.80527,21.84033,21.73516,21.77022,21.66505,22.15584,22.05067,22.40124,22.75180,23.31271,23.62822,24.64487,26.46781,28.92178,30.92002,33.26882,36.91471,41.64737,43.82089,44.76742,45.04787,45.92429,46.06451,46.20474,46.16968,46.52025,47.08116,47.36161,46.94093,46.80071,46.80071,47.32656,46.48520,45.95934,46.69554,45.46855,45.29327,46.09957,45.64383,44.76742,44.62719,43.11975,43.71572,42.73413,42.73413,42.80424,45.01281,44.06628,44.31168,43.75077,43.54043,43.71572,43.57549,44.48696,44.45191,45.46855,46.87082,48.76388,51.81381,52.40978,52.05921,52.37472,52.90057,52.97069,52.23450,50.44660,48.69377,47.64207,46.80071,46.27486,45.29327,44.59213,43.40020,42.24333,41.40197,40.56061,39.50891,38.38710,36.56415,35.40728,33.33893,31.23553,29.93843,29.48269,28.04537
2007,Double Bay 132_11kV,10MAY2006,MW,27.58963,26.43276,25.48623,25.66151,25.03049,24.11902,23.62822,23.17248,22.68169,22.36618,21.94550,21.77022,21.98056,21.77022,21.45471,21.59493,21.80527,22.08573,22.33112,22.92709,23.38282,23.97879,24.75004,26.43276,28.95684,30.35911,32.74297,36.42392,40.80601,42.41862,44.31168,44.06628,44.06628,44.27662,44.87259,45.57372,45.57372,46.09957,46.45014,46.20474,45.95934,46.41508,46.69554,45.60878,46.06451,45.64383,45.64383,45.32832,45.29327,44.94270,45.36338,44.94270,45.18810,44.66225,44.94270,44.10134,43.92606,44.24157,43.68066,43.85594,43.64560,43.57549,43.11975,43.36515,43.57549,44.10134,44.34674,45.95934,48.72882,50.58683,52.16438,52.09427,52.37472,52.02416,51.81381,51.67359,50.30638,47.08116,46.73059,45.50361,44.90764,44.24157,43.61055,42.66401,41.29680,39.96465,39.40374,37.51068,36.63426,35.30211,34.21535,32.63780,30.99013,30.07866,29.13212,27.97525
