year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Darling Harbour 132_11kV,01MAY2011,MW,25.76540,25.26125,25.04519,24.88314,24.55905,24.14493,23.80283,23.60478,23.01061,23.11864,22.79454,,22.57848,22.36242,22.39843,22.47045,22.57848,22.57848,22.90257,22.99260,23.11864,23.37071,23.58677,23.42472,24.18094,24.30698,24.09092,24.68509,24.79312,25.09921,25.36928,25.27926,25.63936,26.23353,,26.61164,26.88172,27.38586,27.96203,28.12407,29.25840,29.25840,29.81656,29.31241,29.09635,29.27640,29.49247,29.60050,30.84285,30.68081,30.46475,30.68081,29.70853,29.60050,29.42045,29.52848,29.97861,29.79855,29.97861,29.70853,29.42045,29.92459,29.90659,29.65451,29.87058,29.58249,30.01462,29.54648,30.01462,30.73482,31.65309,30.71682,31.22096,31.49104,31.14894,31.04091,30.33871,30.55477,30.62679,30.12265,29.65451,29.63651,30.01462,29.81656,28.88029,28.98832,28.46617,28.01604,27.87200,27.27783,26.71967,26.46760,26.07148,25.74739,25.44130,24.88314
2012,Darling Harbour 132_11kV,02MAY2011,MW,24.46902,24.19895,23.98288,23.80283,24.07291,23.60478,23.42472,23.26268,22.93859,22.84856,22.74053,22.56048,22.77654,22.39843,22.56048,22.56048,22.83055,22.74053,23.06462,23.10063,23.49675,23.98288,24.23496,24.72110,26.28755,26.25154,27.20581,27.92602,29.06034,29.58249,30.71682,31.09493,31.52705,31.90516,32.76941,32.55335,33.03948,33.20153,33.41759,33.00347,33.21954,33.41759,33.75969,33.32757,33.86772,33.65166,33.81371,34.13780,34.24583,34.06578,33.30956,34.19182,33.92174,34.01176,33.97575,34.38987,34.29985,34.22783,33.74169,34.11979,33.74169,33.65166,34.19182,34.29985,34.56992,34.28184,34.08378,34.11979,34.28184,34.76798,34.62394,34.82200,33.05749,33.54363,32.94946,32.76941,31.68910,31.47304,31.85114,31.76112,31.11293,31.22096,30.93288,30.24868,29.63651,29.58249,29.16837,28.44817,27.92602,27.47589,27.11578,26.71967,25.96345,25.74739,25.26125,25.38729
2012,Darling Harbour 132_11kV,03MAY2011,MW,24.52304,24.34299,23.92887,23.64079,23.71281,23.38871,23.22667,23.01061,23.44273,23.06462,22.90257,22.77654,23.10063,22.74053,22.77654,22.90257,22.79454,22.88457,23.37071,23.15465,23.55076,24.01890,24.09092,25.42330,26.73768,26.88172,27.69195,28.30413,29.33042,30.46475,30.82485,31.31099,32.28327,32.71539,33.09350,33.05749,33.57964,33.32757,32.06721,31.76112,32.06721,32.71539,32.98547,33.25555,33.47161,33.79570,33.70568,33.32757,33.92174,33.97575,33.97575,34.28184,34.24583,34.44389,35.74026,35.47018,35.32614,35.03806,34.55192,34.71397,34.33586,34.44389,33.90373,34.33586,34.38987,34.71397,34.38987,35.16409,34.55192,34.67796,34.56992,34.28184,33.16552,33.30956,33.05749,33.30956,32.49933,32.49933,32.49933,32.39130,31.49104,31.27498,31.22096,30.93288,29.97861,29.96060,29.76254,28.77226,28.25011,27.90801,27.98003,27.16980,26.61164,26.19752,25.74739,25.76540
2012,Darling Harbour 132_11kV,04MAY2011,MW,25.06319,24.61307,24.36099,23.74882,23.87485,23.47874,23.17265,23.33470,23.85685,23.87485,24.03690,23.76682,23.85685,23.55076,23.87485,23.53276,23.49675,24.36099,24.23496,24.14493,24.09092,24.99117,24.90115,25.49532,27.16980,27.79998,28.30413,29.15037,30.41073,30.78884,31.81513,32.60736,33.05749,33.16552,33.75969,34.02977,33.14752,33.75969,34.38987,34.46189,35.90231,36.22640,36.46047,36.33443,36.49648,36.24440,36.49648,36.92860,36.60451,36.46047,36.06435,36.55049,35.68624,35.95632,35.68624,35.54220,35.52420,35.63223,36.08236,36.02834,35.84829,35.84829,35.21811,36.22640,35.59622,35.57821,35.57821,35.32614,35.21811,35.52420,35.75827,35.38016,33.48961,33.57964,32.94946,32.44531,32.03120,31.79713,31.74311,31.63508,30.98690,30.82485,30.93288,30.73482,29.69052,29.22239,28.95231,28.88029,27.60192,27.52990,27.60192,26.93573,27.27783,26.79169,26.44959,25.96345
2012,Darling Harbour 132_11kV,05MAY2011,MW,25.27926,24.72110,24.72110,24.34299,24.07291,23.96488,23.74882,23.37071,23.44273,23.44273,23.22667,23.11864,23.28068,23.42472,23.37071,22.99260,23.44273,23.69480,23.38871,23.58677,23.96488,23.91086,24.57706,25.17123,27.22382,27.27783,28.44817,29.11436,30.12265,30.71682,31.32899,31.85114,32.76941,33.47161,33.95775,34.28184,34.17381,34.38987,34.17381,34.84000,35.14609,35.27213,35.75827,35.84829,35.90231,35.52420,35.21811,35.84829,35.59622,35.90231,36.22640,35.48819,35.90231,35.59622,35.59622,35.63223,35.09207,35.32614,35.63223,35.30814,35.36215,34.94803,35.27213,35.05606,34.49790,35.14609,34.78599,35.68624,35.63223,35.70425,35.74026,34.76798,33.90373,34.01176,33.79570,32.94946,32.44531,31.86915,32.87744,33.52562,32.03120,32.12122,31.85114,31.00490,30.98690,30.35671,29.74454,29.97861,28.82628,28.08806,27.49389,27.38586,26.95374,26.79169,26.46760,25.85542
2012,Darling Harbour 132_11kV,06MAY2011,MW,25.42330,24.99117,24.63107,24.41501,24.34299,23.91086,23.92887,23.55076,23.85685,23.87485,23.55076,23.58677,23.80283,23.58677,23.42472,23.71281,23.92887,23.74882,23.98288,24.01890,24.77511,25.04519,25.26125,25.92744,27.36786,28.17809,29.25840,29.76254,30.84285,30.71682,31.86915,32.40930,32.82342,33.43560,33.65166,33.59764,34.35386,34.33586,35.14609,34.82200,34.65995,34.93003,35.68624,35.48819,35.52420,35.65023,35.47018,36.29842,35.38016,35.43417,35.52420,35.54220,35.70425,35.81228,35.68624,35.59622,35.20011,35.95632,35.20011,35.27213,35.11008,34.93003,34.94803,34.29985,35.16409,34.38987,34.62394,34.65995,34.38987,34.44389,34.13780,34.06578,33.05749,32.78741,32.71539,32.06721,31.68910,31.74311,31.14894,31.43702,31.20296,30.60879,30.77083,30.01462,30.03262,30.01462,29.60050,28.93431,28.84428,28.08806,27.65594,27.43988,26.82770,26.41358,26.30555,26.03547
2012,Darling Harbour 132_11kV,07MAY2011,MW,25.38729,25.20724,25.31527,24.45102,24.41501,24.09092,24.03690,23.85685,23.64079,23.49675,23.47874,23.31669,23.17265,23.38871,23.26268,22.99260,23.33470,23.20866,23.22667,23.26268,23.49675,23.55076,23.82084,24.14493,24.52304,25.00918,24.68509,25.20724,25.22524,25.71138,25.80141,26.28755,26.66566,26.73768,26.95374,27.06177,27.25983,28.03405,28.93431,28.52019,28.57420,29.25840,29.22239,28.93431,29.20438,29.54648,29.69052,29.87058,30.03262,29.58249,29.33042,29.43845,29.36643,29.36643,29.69052,29.36643,29.36643,29.90659,29.00633,29.49247,28.88029,28.93431,29.54648,28.55620,29.16837,29.16837,29.60050,29.58249,29.69052,30.08664,30.60879,30.57278,30.82485,30.89687,30.50076,30.23068,30.46475,30.41073,29.87058,29.90659,29.60050,29.49247,29.49247,29.20438,28.77226,28.89830,29.22239,28.28612,27.85400,27.43988,27.04376,26.89972,26.41358,26.25154,25.71138,25.65737
2012,Darling Harbour 132_11kV,08MAY2011,MW,25.26125,24.72110,24.46902,24.39700,24.01890,24.12693,23.92887,23.60478,23.47874,23.42472,23.37071,23.06462,22.88457,22.63250,22.79454,22.74053,22.41644,22.34441,22.61449,22.57848,22.77654,22.68651,23.11864,23.26268,23.85685,24.28897,23.92887,24.34299,24.52304,24.77511,24.82913,25.20724,25.54933,25.96345,25.76540,26.08949,27.09778,26.95374,27.65594,27.74597,27.79998,28.19609,28.34014,28.41216,28.28612,28.55620,28.28612,28.55620,28.88029,28.39415,28.34014,28.52019,28.34014,28.41216,28.44817,28.46617,28.19609,28.66423,28.28612,28.19609,28.73625,28.84428,28.82628,28.34014,28.61021,28.82628,28.88029,29.11436,29.76254,29.87058,30.41073,30.17666,30.44674,30.35671,30.98690,30.23068,30.60879,30.17666,29.79855,29.76254,29.33042,29.20438,29.27640,28.61021,28.35814,28.50218,28.01604,27.52990,27.09778,27.04376,26.73768,25.63936,25.47731,25.22524,24.57706,24.39700
2012,Darling Harbour 132_11kV,09MAY2011,MW,24.12693,23.71281,23.28068,23.38871,23.28068,23.10063,23.26268,22.88457,22.74053,22.50646,22.30840,22.45245,22.07434,21.82226,21.87628,21.87628,22.18237,22.07434,22.25439,22.18237,22.68651,23.04662,23.76682,24.28897,25.60335,26.30555,27.20581,28.79026,29.81656,30.33871,30.62679,31.11293,31.25697,32.03120,31.85114,32.49933,32.76941,33.27355,32.66138,32.94946,33.54363,33.03948,33.47161,33.48961,33.52562,33.52562,33.41759,33.68767,33.09350,33.43560,33.63366,33.86772,33.74169,33.41759,33.57964,34.02977,33.68767,34.28184,34.06578,33.79570,33.63366,33.11151,33.00347,32.62537,33.25555,33.47161,33.81371,33.70568,34.28184,34.62394,34.44389,33.84972,33.30956,33.70568,33.03948,32.89544,32.44531,32.17524,32.01319,32.13923,31.52705,31.25697,31.04091,30.66280,29.74454,29.54648,29.42045,28.73625,27.85400,27.70995,26.77369,26.07148,26.07148,25.71138,25.20724,24.99117
2012,Darling Harbour 132_11kV,10MAY2011,MW,23.98288,23.96488,24.12693,23.64079,23.42472,23.10063,22.95659,23.01061,22.93859,22.93859,22.88457,22.74053,22.84856,22.84856,22.79454,22.66851,23.06462,22.77654,22.90257,23.04662,23.47874,23.85685,24.28897,25.17123,26.61164,27.60192,28.14208,28.79026,30.50076,31.47304,32.87744,32.60736,32.93145,32.94946,33.21954,33.36358,33.09350,32.94946,33.70568,33.74169,33.90373,34.24583,34.33586,34.35386,34.55192,34.82200,34.35386,34.40788,34.55192,34.49790,34.33586,34.65995,34.82200,34.87601,34.28184,33.97575,34.33586,33.90373,33.59764,34.35386,33.92174,33.54363,33.75969,33.90373,33.57964,33.36358,33.92174,33.68767,33.95775,34.49790,34.33586,34.62394,33.41759,33.43560,33.41759,32.39130,32.33728,32.46332,32.49933,32.44531,31.81513,31.68910,31.68910,30.95089,30.33871,29.96060,29.85257,29.16837,28.61021,28.07006,27.98003,26.84571,26.41358,26.14351,25.74739,25.26125
