year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Drummoyne 132_11kV,01MAY2011,MW,23.82402,23.37246,21.99974,21.85524,21.92749,20.66313,19.88646,19.03754,18.18862,17.55644,16.90620,16.56302,16.21984,16.07534,15.58766,15.40704,15.40704,15.33479,15.29867,15.44316,15.44316,15.65991,15.46123,15.64185,16.47271,16.72558,17.08682,17.57450,18.33311,19.18204,20.06708,21.04244,21.99974,23.24603,24.42007,25.12449,25.79279,26.17210,26.93071,27.34614,27.92413,28.08669,28.44793,28.35762,28.24925,28.26731,27.88801,27.72545,27.76157,27.41839,27.02102,26.89459,26.84040,26.49722,25.95535,25.99148,25.46767,25.46767,25.46767,25.55799,25.91923,25.75667,25.82892,26.26241,26.60559,27.31002,28.33956,29.24267,30.83214,33.36085,36.26886,37.96670,38.50857,38.90594,38.74338,38.27376,37.33453,36.86491,36.25080,35.43800,34.64326,33.66791,32.78286,32.29518,31.24757,30.61540,30.03741,29.02592,28.61049,28.23119,26.94877,25.34124,24.07689,23.42665,22.99316,22.12617
2012,Drummoyne 132_11kV,02MAY2011,MW,22.03586,21.47593,20.24770,20.04902,20.17546,19.29041,18.56792,17.77319,17.19520,16.45465,16.16565,16.05728,15.84053,15.56960,15.22642,15.13611,14.88324,14.75680,14.75680,14.93742,15.38898,16.05728,16.58108,17.44807,19.30847,21.45787,23.64339,25.52186,27.18358,28.35762,28.71887,28.64662,28.30344,27.58095,27.31002,27.14746,26.84040,26.58753,26.28047,26.67784,26.55141,26.15404,26.42497,26.47916,26.47916,26.58753,26.55141,26.64172,26.93071,26.78621,26.69590,26.49722,26.29854,26.15404,26.02760,26.08179,25.95535,25.97342,25.70248,25.46767,25.70248,25.68442,25.77473,26.55141,27.32808,27.79770,28.82724,29.78454,31.21145,33.88465,36.41336,37.82221,38.88788,39.95354,40.27866,40.53153,40.45929,40.07998,39.28524,38.68919,38.09314,36.82879,36.01599,35.25738,34.39039,33.55953,32.33130,31.17532,30.50702,29.96516,28.73693,27.16552,25.48574,24.47426,23.64339,22.48742
2012,Drummoyne 132_11kV,03MAY2011,MW,22.14423,21.71074,20.42833,20.15739,20.10321,19.47103,18.73048,17.93575,17.12295,16.59914,16.14759,15.73216,15.42510,15.28060,15.28060,15.28060,15.26254,14.90130,15.09998,15.40704,15.96697,16.41852,16.97845,17.86350,19.90452,22.07198,24.69100,27.05715,28.68274,30.10966,30.56121,30.48896,30.07353,29.51360,28.89949,28.61049,27.92413,27.74351,27.40033,27.21971,27.21971,27.16552,27.20164,26.94877,26.75009,26.65978,26.69590,26.71397,26.67784,26.91265,26.69590,26.55141,26.82234,26.85846,26.69590,26.26241,26.00954,26.13598,26.13598,26.22629,26.26241,26.49722,27.31002,27.99638,28.44793,29.06205,29.85678,31.17532,32.63836,34.75164,36.84685,38.23764,39.10462,40.04385,40.26060,40.65797,41.01921,40.49541,39.80905,39.61036,38.36407,37.28034,36.55785,36.12436,34.98644,34.35427,33.41503,32.15068,31.50044,30.81408,29.64004,27.83382,25.81086,24.96193,24.27557,22.88478
2012,Drummoyne 132_11kV,04MAY2011,MW,22.75835,22.09005,20.93407,20.69926,20.89794,19.70584,18.76661,17.97187,17.71900,16.88814,16.54496,16.20178,16.09340,15.67797,15.65991,15.65991,15.42510,15.38898,15.38898,15.38898,15.91278,16.81589,17.52032,18.51374,20.39220,22.84866,25.16062,27.38227,28.88143,30.19997,30.54315,30.25415,29.78454,28.98980,28.53825,27.59901,26.87653,26.33466,25.95535,25.72055,25.93729,25.53992,25.93729,25.52186,25.53992,25.16062,25.01612,25.14256,24.85356,24.76325,24.76325,24.74519,24.76325,24.54650,24.67294,24.58263,24.52844,24.42007,24.38394,24.40201,24.36588,24.40201,24.56457,24.94387,25.53992,26.33466,27.02102,28.01444,28.98980,30.27222,31.86169,33.23441,34.64326,35.14900,35.52831,36.44948,36.50367,36.19661,35.65474,35.14900,34.53489,33.74015,33.34279,32.89123,32.18681,31.22951,30.59733,29.54973,28.80918,28.06863,26.62365,25.21480,23.51696,22.72222,22.21648,21.04244
2012,Drummoyne 132_11kV,05MAY2011,MW,20.80763,20.12127,18.96529,18.64017,18.80273,18.13443,17.48419,16.81589,16.36434,15.98503,15.26254,15.04580,14.82905,14.55812,14.41362,14.41362,14.52199,14.55812,14.55812,14.55812,14.82905,15.56960,16.14759,17.05070,18.78467,20.57282,22.66804,24.72713,26.24435,27.59901,27.77963,27.56289,27.00296,26.46109,25.59411,25.07031,24.79937,24.43813,24.49232,24.20332,24.16720,23.73371,23.71564,23.60727,23.44471,23.53502,23.15572,23.02928,23.42665,23.20990,23.06540,23.19184,23.11959,23.17378,23.17378,23.13765,23.15572,23.04734,22.79447,22.79447,22.93897,23.66146,23.87820,24.47426,25.08837,25.63023,26.38885,27.31002,28.73693,31.51851,33.28860,34.95032,35.69087,36.77460,37.62352,38.05702,37.76802,37.58740,36.55785,36.19661,35.38381,35.00451,34.42652,33.68597,32.65642,31.89781,31.26564,30.45284,29.64004,28.79112,27.70739,26.08179,24.34782,23.80595,22.97509,21.81911
2012,Drummoyne 132_11kV,06MAY2011,MW,21.40368,20.69926,19.63359,19.32653,19.50716,18.71242,18.02606,17.08682,16.45465,15.94891,15.53348,15.29867,14.88324,14.88324,14.88324,14.86517,14.59424,14.59424,14.59424,14.77486,15.17223,15.84053,16.50883,17.50225,19.20010,21.18694,23.40859,25.53992,27.16552,28.28538,28.70081,28.79112,28.46600,27.67126,27.43645,26.65978,25.88311,25.61217,25.34124,24.96193,24.74519,24.20332,24.16720,24.13107,23.87820,23.82402,23.95045,23.95045,23.67952,23.53502,23.58921,23.49890,23.46277,23.35440,23.30021,23.57115,23.53502,23.64339,23.35440,23.01122,23.30021,23.35440,23.48084,23.84208,24.43813,25.14256,26.15404,27.45451,29.29686,32.04231,33.81240,34.93226,35.67281,36.59398,36.72041,36.39529,36.32305,36.03405,35.41994,34.69745,34.55295,33.84853,33.55953,32.78286,32.04231,31.50044,30.90439,30.25415,29.78454,29.51360,28.61049,26.89459,25.66636,25.05224,24.74519,23.46277
2012,Drummoyne 132_11kV,07MAY2011,MW,23.13765,22.52354,21.29531,20.44639,20.57282,19.76003,18.73048,18.33311,17.53838,16.77977,16.47271,15.91278,15.73216,15.46123,15.33479,15.33479,15.33479,14.91936,14.91936,14.91936,15.11805,15.58766,15.82247,16.12953,16.88814,17.80931,18.47761,19.30847,20.31995,21.74687,23.11959,24.49232,25.59411,26.24435,26.76815,27.43645,27.94219,28.08669,27.68932,27.56289,27.74351,27.36420,27.23777,26.62365,26.33466,26.13598,25.84698,25.39543,25.25093,25.07031,25.05224,24.69100,24.51038,24.60069,24.34782,24.11301,24.11301,23.75177,23.62533,24.09495,24.27557,24.22138,24.25751,24.78131,25.28705,25.91923,27.03908,28.39375,30.34446,33.34279,35.79924,37.11778,37.40678,37.44290,37.28034,36.86491,35.90762,35.13094,34.46264,33.81240,33.05379,32.38549,31.69913,30.83214,29.83872,29.42329,28.97174,28.48406,28.24925,28.12282,27.27389,26.19016,25.19674,24.81744,24.45619,23.69758
2012,Drummoyne 132_11kV,08MAY2011,MW,23.57115,22.64997,21.42175,21.22306,21.16888,20.13933,19.34460,18.45955,17.71900,17.08682,16.67139,16.11147,15.80441,15.42510,14.97355,14.97355,14.97355,14.97355,14.90130,14.59424,14.97355,15.19029,15.20836,15.58766,16.05728,16.68946,17.12295,17.77319,18.71242,19.77809,20.95213,22.19842,23.60727,24.47426,25.43155,26.29854,26.71397,27.03908,27.20164,27.58095,27.74351,27.58095,27.52676,27.02102,26.93071,26.65978,26.55141,25.86504,25.34124,24.96193,24.76325,24.29363,23.89627,23.55308,23.08347,22.74029,22.74029,22.23454,22.52354,22.57773,22.81253,23.20990,23.28215,23.87820,24.40201,25.35930,26.65978,28.44793,30.32640,33.03573,35.09482,36.86491,37.31647,37.47903,37.60546,37.87639,37.46096,37.19003,36.64816,35.85343,35.27544,34.55295,34.19171,33.75822,32.63836,31.80750,30.70571,29.44135,28.52018,28.01444,26.78621,25.26899,23.69758,23.06540,22.41517,21.09663
2012,Drummoyne 132_11kV,09MAY2011,MW,21.22306,20.62701,19.50716,19.29041,19.38072,18.76661,17.98993,17.26744,16.83395,16.16565,15.78635,15.26254,15.17223,14.82905,14.82905,14.41362,14.39556,14.72068,14.81099,14.81099,15.13611,15.73216,16.20178,17.46613,19.23622,21.63849,23.93239,26.31660,28.46600,29.76647,30.34446,30.36253,29.33298,28.10475,27.38227,26.98490,26.22629,25.81086,25.39543,25.34124,25.52186,25.26899,25.03418,24.99806,24.85356,24.60069,24.54650,24.54650,24.69100,25.07031,25.68442,25.08837,24.98000,24.88969,24.43813,24.32976,24.38394,24.34782,23.95045,24.07689,24.29363,24.29363,24.79937,25.72055,26.75009,28.17700,30.09159,31.51851,33.28860,35.87149,38.27376,40.26060,41.50689,42.30163,43.18667,43.69242,44.14397,43.74660,42.87962,42.24744,41.41658,40.54960,39.68261,38.68919,37.69577,36.46754,35.31156,33.50535,32.13262,31.19339,29.62198,27.49064,25.70248,24.61875,23.76983,22.18036
2012,Drummoyne 132_11kV,10MAY2011,MW,21.76493,21.33144,20.30189,20.03096,20.01290,19.45297,18.54986,17.84543,17.32163,16.63527,16.23790,15.73216,15.73216,15.64185,15.29867,15.29867,15.46123,15.31673,15.31673,15.71410,16.11147,16.83395,17.48419,18.69436,20.77151,23.66146,26.19016,28.68274,30.21803,31.68107,32.07843,31.59075,30.52509,29.82066,29.51360,28.48406,27.61707,26.80428,26.42497,26.28047,25.95535,25.48574,25.12449,25.08837,24.79937,24.65488,24.65488,24.70906,24.47426,24.43813,24.56457,24.25751,24.20332,24.20332,24.31170,24.02270,24.00464,24.36588,24.25751,24.20332,24.20332,24.38394,24.72713,25.35930,26.13598,26.96684,28.05057,29.60391,31.55463,34.91420,37.31647,39.21299,40.40510,41.52495,42.60868,42.82543,43.16861,42.78931,42.62675,41.77782,41.12759,41.00115,40.17029,39.46587,38.49051,37.19003,35.70893,34.42652,33.14410,32.15068,30.75989,28.48406,26.28047,25.07031,24.22138,23.13765
