year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Auburn 33_11kV,01MAY2005,MW,2.62735,2.64611,2.51475,2.62735,2.60858,2.49598,2.53351,2.57105,2.53351,2.55228,2.57105,2.51475,2.49598,2.51475,2.49598,2.45845,2.51475,2.53351,2.40215,2.58981,2.55228,2.55228,2.57105,2.58981,2.68365,2.51475,2.60858,2.77748,2.77748,2.75872,3.22788,3.69705,3.99732,4.29759,4.35389,4.69169,5.01073,5.29223,5.63003,6.23057,6.41824,6.58714,6.62467,6.77480,6.90617,7.20644,7.15014,7.16891,7.24397,7.16891,7.01877,7.20644,7.05631,7.13137,6.94371,6.96247,7.00001,6.96247,7.11261,6.94371,7.16891,7.07507,7.00001,7.09384,6.92494,6.68097,6.54960,6.06167,5.85523,5.29223,4.35389,3.90349,3.67829,3.50939,3.43432,3.19035,3.17158,3.19035,3.19035,3.11528,3.02145,3.00268,3.05898,2.94638,3.02145,2.90885,2.90885,2.87132,2.94638,2.79625,2.83378,2.75872,2.72118,2.64611,2.68365,2.64611
2006,Auburn 33_11kV,02MAY2005,MW,2.64611,2.60858,2.49598,2.60858,2.57105,2.53351,2.51475,2.57105,2.49598,2.57105,2.62735,2.55228,2.62735,2.73995,2.60858,2.62735,3.13405,3.49062,4.09116,4.24129,4.44772,4.31636,4.56033,4.93566,5.34853,5.93030,5.79893,6.39947,6.90617,7.30027,8.33245,8.82038,9.27078,9.68365,10.37802,10.99733,11.29760,11.57910,11.71046,12.02950,11.99197,11.56033,11.41020,12.12333,12.25470,12.21717,12.34853,12.01073,11.72923,12.04827,12.25470,12.61127,12.63004,12.42360,12.55497,11.97320,12.12333,11.63540,11.84183,11.74800,11.56033,11.26006,10.67829,10.67829,10.39679,10.26542,10.20912,9.77749,9.53352,8.52011,7.37534,6.60590,6.41824,5.81770,5.64880,5.61126,5.38606,5.21716,5.08579,4.86059,4.71046,4.42896,4.54156,4.18499,4.35389,3.92226,3.62199,3.64075,3.75335,3.52815,3.50939,3.39679,3.28418,3.19035,3.17158,3.05898
2006,Auburn 33_11kV,03MAY2005,MW,3.52815,3.54692,3.47185,3.47185,3.34049,3.28418,3.24665,3.35925,3.39679,3.32172,3.37802,3.30295,3.13405,3.19035,3.30295,3.39679,3.52815,3.60322,3.56569,3.71582,3.80965,3.95979,4.33512,4.86059,5.17963,5.53620,6.38070,6.96247,7.15014,7.69438,8.18231,8.70778,9.10188,9.66489,10.15282,10.62199,10.54693,11.44773,11.56033,11.27883,11.76677,12.21717,12.29223,12.40484,12.23593,12.40484,12.01073,12.02950,12.08580,11.89813,12.57374,12.36730,12.21717,12.17963,11.97320,12.68634,12.25470,12.59250,12.17963,12.59250,12.12333,11.93567,11.69170,11.18500,10.97856,10.62199,10.26542,9.98392,9.21448,8.14478,6.90617,6.62467,6.32440,5.78017,5.76140,5.44236,4.84183,4.74799,4.84183,4.74799,4.67293,4.54156,4.18499,4.54156,4.35389,4.22252,3.84719,3.79089,3.71582,3.64075,3.58445,3.28418,3.28418,3.30295,3.20912,3.07775
2006,Auburn 33_11kV,04MAY2005,MW,2.98392,3.02145,3.17158,3.22788,3.41555,3.24665,3.19035,3.19035,3.17158,3.17158,3.20912,3.13405,3.22788,3.07775,3.04022,3.24665,3.11528,3.37802,3.34049,3.43432,4.01609,4.24129,4.82306,5.19840,5.38606,5.70510,6.13673,7.28151,7.58178,7.84451,8.97052,9.55229,9.89009,10.28419,10.69706,11.14746,11.74800,12.08580,12.70510,11.41020,11.65416,12.08580,11.97320,12.14210,12.78017,12.98661,13.41824,12.34853,12.23593,12.47990,13.06167,12.93030,12.98661,13.28687,13.71851,13.02414,12.53620,12.32977,12.40484,12.66757,12.47990,12.64880,12.44237,12.47990,12.31100,12.17963,11.71046,9.94639,9.47722,8.52011,6.84987,6.08043,5.78017,5.49866,5.61126,5.32976,5.21716,5.23593,4.87936,4.71046,4.59786,4.54156,4.48526,4.41019,4.26006,3.90349,4.12869,3.97856,4.05362,4.01609,3.80965,3.62199,3.73459,3.41555,3.39679,3.45309
2006,Auburn 33_11kV,05MAY2005,MW,3.47185,3.52815,3.09652,3.17158,3.49062,3.35925,3.41555,3.34049,3.24665,3.11528,3.32172,3.39679,3.22788,3.24665,3.11528,3.11528,3.47185,3.62199,3.52815,3.56569,3.80965,3.80965,4.16622,4.54156,5.10456,5.34853,5.81770,6.64344,7.16891,7.61931,8.25738,9.06435,9.40215,10.22789,10.49062,10.65953,11.05363,12.12333,12.34853,12.16087,12.46114,12.57374,12.40484,12.59250,11.91690,12.40484,12.51744,12.06703,12.40484,12.72387,12.72387,12.85524,12.79894,13.00537,12.23593,12.85524,12.74264,12.87400,12.93030,12.63004,12.40484,12.14210,12.02950,11.67293,11.44773,11.27883,11.33513,10.82843,10.09652,10.15282,9.70242,9.17695,8.83915,8.53888,8.55765,8.35121,8.05094,8.50135,8.16355,7.78821,7.61931,7.56301,7.18767,6.43700,4.72923,4.01609,3.94102,3.60322,3.65952,3.67829,3.64075,3.32172,3.30295,3.24665,3.19035,3.22788
2006,Auburn 33_11kV,06MAY2005,MW,3.24665,3.19035,3.02145,3.05898,3.13405,3.07775,3.15282,3.28418,3.22788,3.47185,3.45309,3.43432,3.39679,3.20912,3.24665,3.49062,3.52815,3.58445,3.79089,3.90349,4.10992,4.20376,4.41019,4.69169,5.14210,5.83647,6.09920,6.69974,7.35657,7.33781,8.29491,8.65148,9.36462,9.58982,10.45309,10.99733,11.22253,11.72923,11.69170,12.08580,11.80430,11.80430,12.29223,12.66757,12.34853,12.08580,12.19840,12.42360,12.14210,12.10457,12.32977,12.36730,12.57374,12.47990,12.57374,12.55497,12.36730,12.25470,11.95443,12.23593,11.78553,11.29760,11.20376,11.16623,10.69706,10.60323,10.50939,10.07776,9.47722,8.53888,6.60590,6.23057,5.66756,5.72387,5.38606,5.21716,5.08579,4.76676,4.86059,4.57909,4.42896,4.26006,4.29759,4.07239,4.07239,3.86595,3.84719,3.86595,3.73459,3.90349,3.84719,3.69705,3.62199,3.56569,3.54692,3.24665
2006,Auburn 33_11kV,07MAY2005,MW,3.19035,3.24665,3.13405,3.05898,3.04022,2.94638,3.22788,3.28418,3.32172,3.24665,3.24665,3.34049,3.28418,3.19035,3.22788,3.15282,3.30295,3.28418,3.32172,3.35925,3.58445,3.50939,3.30295,3.39679,3.73459,3.71582,3.64075,3.86595,3.94102,4.12869,4.93566,4.99196,5.51743,5.85523,6.54960,6.96247,7.43164,7.69438,7.93834,8.18231,8.18231,8.50135,8.50135,8.31368,8.48258,8.21985,8.35121,8.25738,8.20108,8.18231,7.93834,7.75068,7.78821,7.95711,7.93834,7.97588,7.84451,7.69438,7.56301,7.65684,7.73191,7.37534,7.30027,7.13137,7.00001,6.83110,6.86864,6.83110,6.21180,5.27346,4.41019,4.01609,3.71582,3.54692,3.28418,3.17158,3.19035,3.13405,3.05898,3.11528,3.11528,3.04022,3.04022,2.85255,2.94638,2.87132,2.85255,2.85255,2.89008,2.83378,2.75872,2.77748,2.70241,2.72118,2.72118,2.75872
2006,Auburn 33_11kV,08MAY2005,MW,2.62735,2.51475,2.62735,2.55228,2.57105,2.55228,2.55228,2.49598,2.49598,2.49598,2.40215,2.34585,2.42091,2.38338,2.43968,2.27078,2.38338,2.43968,2.43968,2.49598,2.60858,2.66488,2.57105,2.60858,2.75872,2.70241,2.58981,2.90885,3.07775,2.81502,3.62199,3.86595,4.09116,4.26006,4.27882,4.50402,4.91689,5.06703,5.21716,5.81770,5.98660,6.09920,6.23057,6.28687,6.54960,6.60590,6.60590,6.53084,6.62467,6.53084,6.56837,6.51207,6.75604,6.73727,6.71850,6.66220,6.88740,6.73727,7.07507,6.88740,7.00001,6.88740,6.88740,6.75604,6.66220,6.51207,6.43700,6.04290,5.78017,5.40483,4.39142,4.12869,3.69705,3.54692,3.45309,3.45309,3.22788,3.24665,3.41555,3.28418,3.20912,3.00268,3.07775,3.07775,2.98392,2.96515,3.00268,2.98392,2.94638,2.94638,2.83378,2.77748,2.73995,2.73995,2.68365,2.72118
2006,Auburn 33_11kV,09MAY2005,MW,2.73995,2.68365,2.62735,2.57105,2.66488,2.70241,2.72118,2.75872,2.77748,2.79625,2.83378,2.73995,2.73995,2.75872,2.77748,2.96515,2.98392,3.04022,3.17158,3.30295,3.39679,3.79089,3.86595,4.42896,4.72923,5.78017,5.89277,6.36194,7.18767,7.45041,8.42628,8.65148,9.64612,9.43969,9.96516,10.58446,10.90349,11.33513,11.78553,11.86060,12.06703,11.61663,11.39143,11.57910,12.10457,12.46114,12.34853,11.63540,11.93567,12.06703,12.02950,12.06703,12.76140,13.15551,13.11797,13.09921,12.01073,12.08580,11.78553,11.67293,11.63540,11.56033,11.20376,11.05363,10.92226,10.54693,10.24666,9.81502,9.10188,8.48258,7.41287,6.90617,6.56837,6.21180,5.98660,5.78017,5.40483,5.44236,4.99196,4.86059,4.78553,4.78553,4.69169,4.42896,4.22252,3.97856,3.79089,3.79089,3.79089,3.82842,3.67829,3.67829,3.34049,3.39679,3.41555,3.28418
2006,Auburn 33_11kV,10MAY2005,MW,3.13405,3.02145,3.02145,3.11528,2.90885,3.13405,3.24665,3.37802,3.30295,3.19035,3.22788,3.19035,3.28418,3.39679,3.35925,3.32172,3.34049,3.45309,3.56569,3.80965,3.86595,4.48526,4.57909,5.01073,5.49866,6.26810,6.79357,7.41287,7.80698,8.50135,9.32708,10.17159,10.35926,10.41556,9.85255,10.24666,10.60323,11.86060,12.19840,12.53620,12.51744,11.50403,11.74800,12.19840,12.55497,12.47990,12.59250,12.08580,12.19840,12.31100,12.32977,12.17963,12.63004,12.51744,12.59250,12.91154,12.79894,12.19840,12.76140,11.54156,12.49867,11.91690,11.93567,11.42896,11.01609,10.95979,10.32172,10.37802,9.75872,8.70778,6.90617,6.19303,6.00537,5.94907,5.66756,5.36730,5.49866,5.16086,5.10456,4.86059,4.44772,4.42896,4.56033,4.10992,4.09116,3.69705,3.56569,3.49062,3.50939,3.47185,3.65952,3.52815,3.64075,3.41555,3.32172,3.15282
2006,Auburn 33_11kV,11MAY2005,MW,3.22788,3.19035,3.02145,2.89008,2.90885,2.96515,2.90885,2.94638,2.89008,2.96515,2.90885,2.85255,2.87132,2.89008,2.92762,2.98392,3.19035,3.20912,4.24129,4.29759,4.82306,4.78553,5.21716,5.47990,6.00537,7.22521,6.90617,7.71314,8.20108,8.53888,9.49599,9.70242,10.43432,9.25202,9.73995,10.50939,10.90349,11.20376,11.44773,11.65416,11.95443,11.44773,11.87937,12.02950,12.25470,12.23593,11.95443,12.01073,12.16087,11.97320,12.36730,12.46114,12.63004,12.23593,12.01073,12.59250,13.02414,13.09921,12.70510,12.25470,12.31100,11.91690,11.33513,10.95979,10.43432,10.11529,9.90885,9.49599,9.27078,8.12601,6.84987,6.64344,6.13673,5.76140,5.64880,5.27346,4.93566,5.02949,4.74799,4.52279,4.52279,4.42896,4.35389,4.31636,4.33512,3.75335,3.58445,3.80965,3.80965,3.90349,3.73459,3.64075,3.52815,3.34049,3.22788,2.90885
2006,Auburn 33_11kV,12MAY2005,MW,3.07775,3.24665,3.30295,3.32172,3.34049,3.35925,3.22788,3.11528,3.20912,3.05898,3.15282,3.19035,3.09652,3.00268,2.96515,3.05898,3.09652,3.09652,3.52815,3.32172,3.43432,3.58445,3.79089,4.18499,4.87936,5.83647,5.89277,6.21180,6.51207,6.86864,7.56301,8.93298,9.58982,10.02146,10.20912,9.83379,10.32172,10.56569,11.24130,11.31636,11.12869,11.33513,11.39143,11.67293,11.29760,11.27883,12.01073,11.22253,11.44773,10.94103,11.54156,11.71046,11.84183,12.08580,11.27883,11.86060,12.02950,11.78553,11.99197,11.35390,10.94103,10.99733,10.54693,10.54693,10.39679,10.41556,10.00269,9.90885,9.42092,9.17695,8.85792,9.66489,8.95175,8.57641,8.31368,7.84451,7.69438,7.61931,7.24397,6.83110,6.68097,6.71850,6.45577,5.57373,4.57909,4.14746,3.90349,3.65952,3.62199,3.45309,3.47185,3.43432,3.35925,3.15282,3.30295,3.24665
2006,Auburn 33_11kV,13MAY2005,MW,3.28418,3.17158,3.13405,2.96515,2.92762,3.09652,3.19035,3.24665,3.28418,3.24665,3.24665,3.05898,3.22788,3.17158,3.22788,3.34049,3.39679,3.32172,3.50939,3.56569,3.90349,3.92226,4.24129,4.91689,5.44236,6.06167,6.43700,6.84987,6.79357,7.18767,8.82038,9.15818,9.87132,10.39679,10.17159,10.37802,11.22253,11.33513,10.79089,11.31636,11.86060,11.80430,12.02950,11.57910,11.72923,11.86060,11.84183,12.08580,11.61663,11.33513,11.39143,11.16623,11.10993,11.24130,11.48526,11.05363,11.03486,11.10993,11.01609,10.71583,10.82843,10.54693,10.17159,10.04022,9.83379,9.83379,9.53352,9.36462,9.19572,8.33245,6.79357,6.04290,5.85523,5.66756,5.34853,4.71046,4.59786,4.54156,4.29759,4.09116,4.37266,4.20376,4.03486,3.82842,3.75335,3.73459,3.34049,3.35925,3.34049,3.35925,3.34049,3.20912,3.07775,3.02145,3.09652,3.07775
2006,Auburn 33_11kV,14MAY2005,MW,3.05898,2.96515,2.94638,2.89008,2.83378,2.96515,3.04022,3.24665,3.28418,3.34049,3.22788,3.32172,3.15282,3.00268,3.02145,3.13405,3.11528,3.28418,3.22788,3.19035,3.24665,3.34049,3.35925,3.58445,3.75335,3.84719,3.82842,3.92226,4.39142,4.56033,5.12333,5.47990,5.68633,6.15550,6.58714,7.33781,7.46917,7.39411,7.61931,7.76944,7.69438,8.01341,7.84451,7.60054,7.80698,7.69438,7.95711,7.71314,7.52547,7.45041,7.52547,7.33781,7.24397,7.43164,7.41287,7.28151,7.24397,7.28151,7.24397,6.84987,6.84987,7.00001,6.73727,6.60590,6.66220,6.56837,6.56837,6.51207,5.89277,5.42360,4.44772,4.14746,3.52815,3.60322,3.24665,3.28418,3.28418,3.24665,3.24665,3.19035,3.13405,3.19035,3.00268,2.98392,2.98392,2.89008,2.92762,2.77748,2.81502,2.73995,2.73995,2.72118,2.72118,2.66488,2.68365,2.79625
2006,Auburn 33_11kV,15MAY2005,MW,2.66488,2.64611,2.60858,2.66488,2.55228,2.51475,2.57105,2.51475,2.47721,2.45845,2.42091,2.43968,2.40215,2.40215,2.40215,2.43968,2.47721,2.40215,2.47721,2.32708,2.34585,2.45845,2.51475,2.38338,2.53351,2.60858,2.60858,2.85255,2.87132,2.85255,3.65952,3.95979,4.33512,4.09116,4.35389,4.80429,4.89813,5.21716,5.27346,5.66756,5.98660,6.11797,6.26810,6.26810,6.38070,6.56837,6.45577,6.51207,6.49330,6.58714,6.62467,6.58714,6.77480,6.83110,6.84987,7.05631,7.05631,6.75604,6.81234,6.75604,6.81234,6.68097,6.83110,6.66220,6.66220,6.58714,6.66220,6.39947,5.93030,5.12333,4.31636,3.90349,3.71582,3.35925,3.19035,3.17158,3.02145,3.05898,3.19035,3.09652,2.98392,2.96515,3.05898,3.02145,2.89008,2.89008,2.90885,2.79625,2.85255,2.79625,2.79625,2.68365,2.77748,2.68365,2.66488,2.60858
2006,Auburn 33_11kV,16MAY2005,MW,2.62735,2.66488,2.55228,2.60858,2.51475,2.72118,2.47721,2.57105,2.43968,2.45845,2.58981,2.49598,2.55228,2.58981,2.57105,2.77748,2.85255,3.20912,3.17158,3.39679,3.67829,4.42896,4.74799,5.19840,5.25470,6.09920,6.15550,6.62467,7.28151,7.73191,8.59518,9.02682,9.60859,9.25202,10.75336,10.95979,11.22253,10.86596,10.97856,11.69170,12.04827,11.89813,11.97320,10.99733,11.14746,11.74800,10.84719,10.67829,11.03486,10.88473,11.05363,11.41020,11.72923,11.61663,11.63540,11.48526,10.94103,10.77213,11.01609,11.27883,11.29760,10.26542,10.32172,9.98392,9.77749,9.57105,9.34585,9.15818,8.80162,7.91958,6.68097,6.32440,5.89277,5.83647,5.61126,5.49866,5.21716,5.16086,5.01073,4.76676,4.50402,4.42896,4.09116,4.05362,3.97856,3.79089,3.64075,3.50939,3.49062,3.56569,3.56569,3.47185,3.24665,3.20912,3.26542,3.05898
2006,Auburn 33_11kV,17MAY2005,MW,2.83378,2.68365,2.83378,2.79625,2.79625,2.96515,2.94638,3.00268,2.90885,3.13405,3.15282,3.17158,3.07775,3.02145,3.15282,3.54692,3.64075,3.49062,3.64075,3.56569,4.09116,4.09116,4.65416,5.19840,5.55496,6.54960,6.54960,7.05631,7.13137,7.39411,8.65148,9.53352,9.92762,9.98392,10.00269,10.32172,10.77213,10.34049,11.07239,11.09116,11.01609,10.88473,11.05363,10.73459,11.57910,11.54156,11.16623,10.97856,11.05363,10.71583,11.09116,11.10993,11.35390,11.18500,10.52816,10.49062,10.97856,10.99733,10.94103,10.54693,10.62199,10.20912,10.17159,10.11529,9.83379,9.70242,9.45845,9.43969,9.27078,8.08848,6.84987,6.58714,6.15550,5.94907,5.87400,5.46113,5.36730,4.99196,5.10456,5.08579,4.82306,4.93566,4.56033,4.41019,4.20376,3.97856,3.75335,3.69705,3.86595,3.82842,3.52815,3.39679,3.24665,3.13405,3.00268,2.94638
2006,Auburn 33_11kV,18MAY2005,MW,3.00268,2.98392,3.02145,3.09652,3.22788,3.39679,3.32172,3.30295,3.24665,3.17158,3.15282,3.11528,3.19035,3.20912,3.28418,3.35925,3.17158,3.50939,3.58445,3.73459,3.73459,4.27882,4.59786,5.16086,5.53620,6.24933,6.68097,6.81234,7.50671,7.76944,9.49599,9.73995,10.11529,10.49062,10.04022,10.34049,11.12869,11.16623,10.65953,10.30296,10.60323,10.64076,11.26006,10.69706,11.01609,10.88473,10.94103,11.24130,10.79089,10.99733,10.90349,11.07239,10.99733,10.92226,11.20376,11.29760,11.22253,11.07239,11.18500,10.67829,10.47186,10.47186,10.20912,9.92762,9.81502,9.49599,9.36462,9.10188,9.02682,8.01341,6.56837,6.15550,6.11797,5.87400,5.49866,5.47990,5.34853,5.02949,4.87936,4.82306,4.71046,5.10456,5.06703,4.87936,4.59786,4.42896,4.01609,3.62199,3.67829,3.50939,3.39679,3.32172,3.19035,3.09652,3.17158,3.15282
2006,Auburn 33_11kV,19MAY2005,MW,3.15282,3.11528,3.02145,3.00268,3.04022,2.73995,2.90885,2.98392,2.83378,2.90885,2.73995,2.94638,2.81502,2.89008,2.90885,3.02145,3.11528,3.43432,3.28418,3.45309,3.45309,3.82842,4.01609,4.48526,5.17963,5.85523,5.87400,6.92494,7.63808,7.58178,9.00805,9.32708,9.75872,10.34049,10.88473,11.16623,11.29760,11.80430,11.86060,11.24130,11.07239,11.56033,11.80430,11.78553,11.95443,12.46114,11.67293,11.97320,11.35390,11.07239,11.44773,11.84183,12.25470,12.42360,11.46650,11.24130,11.12869,10.90349,10.95979,10.82843,10.37802,10.15282,9.72119,9.70242,9.30832,9.32708,9.30832,9.06435,8.97052,8.70778,8.48258,8.40751,8.42628,8.38875,8.40751,7.95711,7.69438,7.73191,7.63808,7.18767,7.00001,7.05631,7.00001,6.09920,4.82306,4.46649,3.79089,4.01609,3.90349,3.73459,3.71582,3.39679,3.19035,3.19035,3.07775,3.50939
2006,Auburn 33_11kV,20MAY2005,MW,3.22788,3.37802,3.30295,3.45309,3.34049,3.28418,3.39679,3.54692,3.47185,3.28418,3.17158,3.35925,3.43432,3.41555,3.35925,3.41555,3.56569,3.64075,3.82842,3.94102,3.99732,4.16622,4.52279,5.08579,5.51743,6.23057,6.94371,7.33781,7.61931,8.08848,9.43969,9.42092,9.77749,10.99733,11.05363,11.76677,11.89813,11.31636,11.50403,11.41020,11.44773,12.25470,12.40484,11.95443,12.21717,11.24130,11.44773,12.19840,12.12333,11.72923,11.33513,10.97856,10.95979,10.84719,10.77213,10.71583,10.52816,10.75336,10.65953,10.52816,10.43432,10.13406,10.02146,9.98392,9.58982,9.42092,9.06435,8.82038,8.91422,8.36998,6.90617,6.13673,5.85523,5.53620,5.08579,4.80429,5.23593,4.89813,4.80429,4.44772,4.86059,4.93566,4.82306,4.87936,4.48526,4.12869,3.73459,4.05362,3.86595,3.86595,3.80965,3.56569,3.22788,3.26542,3.17158,3.07775
2006,Auburn 33_11kV,21MAY2005,MW,3.19035,3.11528,3.13405,3.04022,3.11528,3.17158,3.30295,3.11528,3.24665,3.28418,3.17158,3.11528,3.11528,2.94638,3.26542,3.15282,3.07775,3.05898,3.24665,3.26542,3.35925,3.34049,3.49062,3.80965,3.97856,3.95979,4.14746,4.12869,4.37266,4.37266,5.31100,5.72387,6.38070,6.66220,6.96247,7.22521,7.35657,7.52547,7.58178,7.69438,7.58178,7.45041,7.71314,7.69438,8.03218,7.97588,7.78821,7.75068,7.61931,7.76944,7.56301,7.63808,7.52547,7.61931,7.61931,7.28151,7.26274,7.22521,7.11261,7.05631,6.86864,6.71850,6.75604,6.75604,6.51207,6.32440,6.24933,5.98660,5.72387,5.46113,3.90349,3.64075,3.58445,3.60322,3.28418,3.17158,3.02145,3.09652,3.04022,3.05898,3.02145,3.00268,2.75872,2.89008,2.87132,2.73995,2.73995,2.75872,2.92762,2.83378,2.73995,2.85255,2.81502,2.81502,2.81502,2.77748
2006,Auburn 33_11kV,22MAY2005,MW,2.83378,2.79625,2.68365,2.66488,2.68365,2.72118,2.64611,2.62735,2.68365,2.70241,2.60858,2.43968,2.43968,2.43968,2.45845,2.57105,2.55228,2.60858,2.45845,2.43968,2.45845,2.49598,2.49598,2.66488,2.70241,2.79625,2.81502,2.85255,2.98392,3.07775,3.75335,3.92226,4.18499,4.20376,4.09116,4.35389,4.97319,5.01073,5.42360,5.74263,6.06167,6.02413,6.17427,6.21180,6.23057,6.30563,6.38070,6.43700,6.39947,6.39947,6.58714,6.58714,6.49330,6.71850,6.49330,6.53084,6.54960,6.45577,6.71850,6.66220,6.75604,6.56837,6.62467,6.66220,6.30563,6.28687,6.08043,5.93030,5.57373,4.97319,4.29759,3.69705,3.52815,3.50939,3.17158,3.26542,3.17158,3.20912,3.17158,3.11528,3.02145,3.00268,2.98392,2.94638,2.94638,2.92762,2.89008,2.79625,2.72118,2.79625,2.72118,2.75872,2.68365,2.66488,2.49598,2.62735
2006,Auburn 33_11kV,23MAY2005,MW,2.72118,2.60858,2.55228,2.60858,2.62735,2.57105,2.58981,2.57105,2.58981,2.62735,2.60858,2.89008,2.66488,2.72118,2.62735,2.89008,2.81502,2.89008,2.96515,3.17158,3.19035,3.65952,3.86595,4.22252,4.52279,5.31100,5.49866,6.39947,6.90617,7.46917,8.63271,8.87668,9.83379,10.17159,10.35926,11.27883,11.26006,11.56033,11.63540,12.08580,12.31100,12.40484,12.64880,12.70510,12.64880,12.57374,12.49867,12.34853,11.26006,11.27883,11.61663,11.74800,12.23593,12.29223,12.40484,12.42360,12.34853,11.61663,11.52280,11.05363,10.99733,10.71583,10.49062,10.15282,10.00269,9.83379,9.55229,9.06435,8.91422,7.88204,6.51207,6.19303,6.06167,5.53620,5.51743,5.12333,5.01073,4.71046,4.37266,4.41019,4.41019,4.56033,4.52279,4.29759,4.16622,3.97856,3.69705,3.73459,3.73459,3.73459,3.69705,3.45309,3.39679,3.30295,3.09652,2.98392
2006,Auburn 33_11kV,24MAY2005,MW,3.11528,3.04022,2.96515,3.17158,3.19035,3.39679,3.24665,3.17158,3.19035,3.05898,3.11528,3.17158,3.24665,3.19035,3.11528,3.13405,3.32172,3.39679,3.47185,3.67829,3.82842,3.99732,4.14746,4.63539,4.89813,5.78017,6.04290,6.62467,7.48794,8.03218,9.38339,10.39679,11.67293,11.89813,12.38607,11.91690,12.06703,11.78553,11.99197,12.21717,11.61663,12.16087,12.57374,12.85524,12.40484,11.91690,12.89277,11.95443,11.07239,10.95979,11.14746,10.94103,12.49867,12.14210,12.46114,11.86060,12.78017,11.69170,11.65416,11.05363,10.84719,10.28419,10.26542,9.85255,9.72119,9.43969,9.43969,9.32708,9.15818,8.40751,6.77480,6.60590,5.98660,6.06167,5.57373,5.59250,5.19840,4.89813,4.89813,4.84183,4.80429,4.86059,4.52279,4.31636,4.29759,3.97856,3.84719,3.86595,3.80965,3.64075,3.58445,3.50939,3.28418,3.30295,3.15282,3.02145
2006,Auburn 33_11kV,25MAY2005,MW,3.11528,3.05898,3.11528,2.98392,3.00268,3.02145,2.96515,2.94638,2.89008,2.83378,2.85255,2.98392,2.85255,2.85255,3.00268,3.04022,3.07775,3.11528,3.20912,3.37802,3.32172,3.64075,3.80965,4.16622,4.76676,5.42360,5.72387,6.00537,6.15550,6.73727,8.14478,8.76408,9.64612,10.20912,10.47186,11.03486,11.44773,12.12333,11.69170,11.46650,11.86060,12.49867,11.82307,11.91690,11.93567,11.50403,11.95443,11.54156,11.33513,11.78553,11.86060,11.99197,12.46114,12.53620,12.25470,11.39143,11.41020,11.54156,11.71046,11.18500,11.01609,10.49062,10.32172,9.92762,9.77749,9.77749,9.42092,8.95175,8.55765,7.76944,6.32440,6.00537,5.61126,5.46113,5.04826,5.36730,5.16086,5.14210,5.04826,4.71046,4.63539,4.35389,4.41019,4.14746,4.42896,4.33512,4.03486,4.03486,3.94102,3.73459,3.73459,3.56569,3.62199,3.34049,3.52815,3.39679
2006,Auburn 33_11kV,26MAY2005,MW,3.20912,3.19035,3.28418,3.39679,3.28418,3.39679,3.30295,3.24665,3.22788,3.19035,3.19035,3.20912,3.20912,3.28418,3.32172,3.34049,3.37802,3.47185,3.50939,3.90349,4.09116,4.14746,4.18499,4.54156,4.82306,5.55496,5.98660,6.84987,7.73191,8.33245,9.36462,9.75872,10.82843,10.43432,10.56569,10.62199,10.77213,11.05363,11.03486,11.80430,11.61663,11.89813,11.95443,11.91690,11.22253,11.12869,11.07239,10.94103,11.01609,11.35390,11.84183,11.84183,11.67293,11.10993,10.95979,11.18500,11.24130,10.69706,10.65953,10.45309,10.62199,10.22789,9.70242,9.43969,9.60859,9.55229,9.62735,9.32708,9.10188,8.93298,8.76408,8.16355,7.97588,7.95711,7.52547,7.50671,7.09384,7.13137,6.94371,6.81234,6.56837,6.54960,6.51207,5.98660,4.82306,4.56033,4.18499,3.75335,3.75335,3.65952,3.64075,3.37802,3.24665,3.15282,3.13405,3.13405
