year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2006,Flemington 132_11kV,01MAY2005,MW,30.18440,29.58767,29.85288,29.04067,29.04067,28.69258,28.31134,27.73119,26.90240,26.50459,26.32225,27.15104,26.83610,27.18419,27.21734,26.65377,27.08474,26.91898,27.44940,27.66489,27.94667,28.04613,28.36107,28.37764,28.90807,28.29476,27.94667,27.86380,28.26161,28.65943,29.40534,28.87492,29.28931,30.79770,29.95234,31.44415,31.11264,31.06291,31.77567,31.52703,31.46073,30.89715,29.28931,29.20643,30.39988,29.62082,30.39988,30.54906,30.16782,30.61537,30.51591,30.26728,30.81428,30.71482,30.66509,30.53249,30.36673,30.96346,30.78112,31.47730,31.70936,31.85855,31.44415,31.90827,31.52703,31.92485,31.94142,32.50500,33.18460,34.67642,34.49409,33.86421,34.26203,34.65984,34.34490,34.01339,33.46639,33.76475,33.83106,33.26748,33.20118,32.77021,32.37239,32.98570,33.20118,32.40554,32.48842,32.70391,32.10718,32.23979,31.75909,31.19552,29.95234,29.35561,29.05725,28.26161
2006,Flemington 132_11kV,02MAY2005,MW,28.34449,28.67601,28.16216,28.17873,28.22846,28.32792,27.64831,27.66489,27.86380,27.84722,27.30022,27.58201,27.86380,27.94667,27.41625,27.34995,27.88037,27.73119,28.07928,29.38876,30.10152,30.96346,32.15691,32.55473,35.67096,36.78154,37.97499,38.28993,40.49450,41.70453,43.27922,43.67704,44.58870,44.22404,44.27376,45.23516,45.20201,46.61094,46.95903,46.41203,45.00310,45.38434,45.96449,46.64409,46.71040,47.42315,46.03079,45.89819,45.38434,45.74900,45.86503,46.14682,46.69382,46.69382,46.29600,46.19655,45.30146,45.81531,45.58325,44.78761,44.50582,44.04170,44.19089,43.32895,42.79853,43.57758,43.61074,44.92022,45.30146,45.83188,45.31804,45.56667,44.85392,43.44498,43.44498,42.73222,41.60507,42.20180,41.53877,40.92547,40.06353,39.91435,39.79832,38.87008,37.67663,37.32854,38.02472,38.15732,37.92526,37.57717,35.55493,34.24545,34.85875,34.54381,33.33379,33.26748
2006,Flemington 132_11kV,03MAY2005,MW,33.73160,34.02997,33.30063,33.16803,32.75364,32.50500,32.14033,31.17894,31.12921,31.79224,32.63760,32.48842,32.77021,31.82539,31.47730,31.72594,32.62103,32.72048,32.77021,33.48297,34.49409,35.60466,35.80357,37.19593,39.10214,39.74859,40.46135,42.51674,44.20746,45.25173,46.22970,46.06394,46.62752,47.22424,47.22424,48.91497,48.30167,49.69403,49.72718,49.81006,49.32936,49.27963,48.88182,49.29621,49.52827,49.57800,50.05869,49.31279,49.76033,50.00897,50.32390,50.17472,50.52281,50.47309,49.37909,50.52281,50.00897,49.85978,49.26306,49.04757,49.22991,47.77124,48.06961,48.13591,47.29055,47.10821,46.24628,45.00310,45.63297,46.47834,47.09164,46.46176,45.40091,44.68816,44.93679,43.22949,42.23495,41.24041,41.19068,40.70998,39.61599,40.09668,40.21271,38.91981,38.37281,38.19047,37.74293,37.46114,37.59375,36.35057,36.21796,35.72069,36.35057,34.41121,34.16257,33.99681
2006,Flemington 132_11kV,04MAY2005,MW,33.35036,33.36694,33.63215,34.07969,34.62669,34.29518,33.84763,32.50500,32.00773,32.58788,33.00227,32.72048,32.67076,32.04088,32.98570,32.43870,32.98570,32.70391,33.16803,33.35036,34.75930,35.55493,36.25111,37.67663,40.72656,40.77629,41.43932,42.59962,43.79307,45.55010,45.55010,47.10821,47.65521,47.92042,47.68836,48.33482,48.43427,48.41770,48.35139,48.53373,49.32936,49.51169,49.66088,50.53939,50.43993,49.76033,50.12500,48.96470,48.79894,48.91497,49.59457,49.85978,50.58912,50.68857,50.20787,49.76033,49.62772,48.74921,49.14703,48.86524,49.13045,48.64976,48.66633,47.47288,46.66067,47.53918,46.92588,46.09709,46.11367,45.96449,46.27943,46.08052,45.18543,45.06940,44.30692,43.89252,43.04716,42.13550,41.42274,41.14095,40.67683,39.38393,39.00268,38.67117,39.11871,38.37281,38.07444,38.09102,37.03017,36.86442,36.74839,35.83672,35.27315,35.32287,35.04109,34.04654
2006,Flemington 132_11kV,05MAY2005,MW,33.54927,33.46639,33.08515,33.33379,32.60445,33.36694,32.23979,32.14033,32.45527,32.09061,31.85855,31.80882,32.48842,32.48842,31.89170,31.84197,31.80882,31.34470,32.40554,33.01885,33.98024,34.14600,35.23999,36.69866,39.05241,39.51653,39.94750,41.82056,43.94225,45.18543,45.81531,46.46176,46.84300,47.62206,48.66633,48.55030,48.79894,49.54485,49.62772,49.67745,48.98127,49.29621,49.06415,49.47854,50.05869,49.94266,49.89294,49.51169,49.21333,49.31279,49.77691,49.21333,50.30733,49.92609,51.48421,51.60024,51.08639,50.72172,49.87636,50.20787,49.47854,49.26306,48.48400,48.06961,47.25740,47.14137,46.24628,46.77670,46.46176,46.37888,46.89273,45.73243,44.22404,43.99198,43.39525,43.03059,43.13004,42.48359,41.96974,41.75425,40.64368,40.01380,40.08011,38.70432,38.65459,39.35077,39.00268,39.40050,38.04129,37.34511,35.57151,36.10193,36.48317,36.05220,35.42233,34.59354
2006,Flemington 132_11kV,06MAY2005,MW,34.34490,33.06857,33.38351,33.84763,33.46639,33.35036,33.74818,32.86967,32.55473,32.09061,32.30609,31.97458,32.95254,32.52157,32.43870,32.78679,32.55473,32.33924,32.73706,33.43324,34.24545,34.82560,35.02451,36.69866,39.10214,40.36189,40.87574,42.38413,44.09143,45.40091,45.86503,45.99764,47.35685,47.39000,47.58891,47.92042,47.70494,48.23536,48.64976,48.73264,49.34594,48.41770,48.18564,48.76579,48.41770,49.59457,49.44539,48.28509,48.50057,47.87070,48.69948,49.61115,49.06415,49.54485,49.39566,48.35139,48.38454,47.92042,47.04191,47.65521,47.05849,46.72697,46.01422,46.26285,45.18543,44.57213,44.53898,44.92022,44.53898,44.55555,44.27376,43.34552,42.59962,42.08577,42.25153,41.29013,40.54423,39.78174,40.26244,39.11871,38.47226,37.34511,37.12963,36.49975,36.35057,36.05220,35.70411,36.40029,34.72615,34.62669,34.16257,33.25091,33.38351,32.67076,31.67621,31.27840
2006,Flemington 132_11kV,07MAY2005,MW,31.01318,30.78112,31.21209,30.78112,30.33358,30.20097,29.48822,29.65397,29.85288,29.65397,28.99095,28.67601,28.16216,28.62628,27.97983,28.39422,28.69258,28.04613,28.77546,29.58767,29.80316,29.62082,29.55452,30.44961,31.09606,31.94142,31.34470,30.89715,31.47730,31.34470,32.45527,32.50500,33.41666,32.78679,32.90282,33.00227,33.20118,33.63215,34.16257,34.47751,34.24545,33.84763,33.83106,34.19572,33.99681,34.21230,33.30063,32.38897,32.53815,31.94142,32.68733,32.25636,32.20664,32.32267,31.94142,32.05745,31.85855,31.09606,31.64306,31.65964,32.17348,31.84197,32.48842,32.43870,32.98570,32.68733,32.85309,34.06312,34.90848,34.79245,35.00793,35.23999,34.59354,33.83106,33.54927,33.28406,33.18460,33.18460,33.03542,32.10718,32.85309,31.75909,31.89170,31.80882,31.49388,31.36127,30.88058,31.47730,30.71482,30.86400,30.01864,29.35561,29.33904,29.17328,29.25616,28.89149
2006,Flemington 132_11kV,08MAY2005,MW,28.49367,28.09586,28.06270,27.76434,27.93010,27.49913,27.16762,26.60404,26.73665,26.37198,26.22280,26.09019,25.74210,25.22826,25.24483,26.13992,26.17307,25.95759,25.70895,26.33883,26.98528,27.13446,27.44940,27.56543,27.54886,27.56543,27.66489,27.68146,27.91352,28.36107,29.07382,28.67601,29.67055,29.63740,29.88603,30.46618,30.79770,30.96346,30.76455,31.56018,30.99661,30.94688,31.06291,31.42758,31.21209,31.12921,31.69279,31.51046,31.26182,31.51046,30.84743,31.32812,31.02976,31.26182,30.91373,30.30043,30.03522,30.84743,30.15125,30.06837,30.68167,30.28385,29.77000,30.21755,30.01864,30.08494,30.46618,30.68167,31.82539,33.59900,33.30063,33.06857,33.10173,33.20118,32.80336,32.86967,32.52157,33.08515,32.90282,32.32267,31.90827,32.37239,32.86967,32.70391,32.33924,32.10718,31.67621,32.27294,32.95254,32.19006,31.42758,31.56018,31.16237,31.39443,30.78112,30.86400
2006,Flemington 132_11kV,09MAY2005,MW,30.64852,31.32812,31.21209,30.98003,31.72594,31.14579,31.60991,30.84743,30.88058,31.22867,31.19552,30.18440,30.44961,30.91373,30.48276,30.41646,30.86400,31.49388,31.52703,32.62103,33.36694,34.12942,34.94163,36.51632,39.05241,39.64914,40.08011,41.67138,43.08031,44.92022,44.95337,45.28488,44.95337,45.30146,46.89273,47.98673,46.92588,47.72152,47.60549,47.92042,47.87070,47.92042,48.25194,49.79348,49.49512,50.09184,49.01442,48.94812,48.43427,48.35139,48.81551,48.69948,48.60003,49.39566,49.27963,48.93154,48.53373,47.97015,47.48946,48.25194,47.63864,47.80439,47.83755,47.43973,46.06394,45.38434,45.05282,44.40637,44.95337,45.31804,44.92022,44.67158,43.80964,43.59416,42.38413,41.96974,40.99177,40.87574,41.24041,40.90889,39.93092,39.36735,39.18502,39.36735,38.02472,37.47772,37.87553,37.44457,37.09648,36.36714,35.45548,34.85875,35.37260,35.09081,34.44436,33.69845
2006,Flemington 132_11kV,10MAY2005,MW,33.68188,33.16803,33.54927,33.61557,33.18460,32.83651,32.83651,32.78679,32.33924,31.65964,31.69279,31.42758,32.40554,32.85309,32.23979,31.89170,31.80882,31.74252,32.14033,33.48297,34.64327,35.10739,35.12396,36.71523,39.94750,41.37301,41.58850,42.61619,44.75446,44.83734,47.39000,47.83755,48.60003,47.82097,47.80439,47.63864,47.48946,47.09164,47.77124,48.40112,47.97015,48.00330,48.60003,48.08618,47.87070,48.18564,47.52261,48.28509,48.28509,48.38454,48.53373,48.79894,49.51169,49.11388,49.84321,50.00897,49.99239,49.16360,49.32936,47.98673,47.88727,47.52261,48.21879,46.97561,47.24082,46.92588,46.56121,45.73243,46.56121,45.71585,44.65501,44.15773,43.94225,43.84280,43.82622,43.01401,42.53331,42.16865,41.07465,40.41162,39.48338,39.13529,39.58283,39.51653,37.82581,37.22908,36.88099,36.91414,35.40575,36.38372,35.90302,35.52178,35.37260,34.75930,33.76475,33.41666
