year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Belrose 33_11kV,01MAY2008,MW,10.73250,9.77053,9.37443,11.29836,11.12860,10.73250,10.16664,9.92143,9.37443,9.09150,8.75198,8.56336,8.18612,8.28043,8.07295,8.01636,8.12954,8.18612,8.16726,8.31816,8.50678,9.03491,9.77053,10.33639,11.99625,13.12798,14.86328,14.35401,15.03304,15.54232,15.25938,15.35370,15.24052,15.25938,14.69352,13.97677,13.75042,,13.22229,12.95822,12.84504,12.43008,12.69415,12.39236,12.44894,12.31691,12.58098,12.37349,12.29805,12.22260,12.33577,12.39236,12.01512,12.07170,12.01512,12.12829,12.20374,12.10943,12.27918,12.14715,12.26032,12.41122,12.90163,13.03367,13.35432,14.29742,14.78783,14.90101,16.16476,17.54169,18.71114,18.97521,19.57879,19.52220,19.23927,19.23927,18.74886,18.65455,18.03210,17.86235,17.03242,19.40903,18.37162,17.63600,16.50428,16.56087,15.76866,14.73125,15.86297,15.42914,14.71239,15.39142,13.80701,12.54325,11.92081,11.10974
2009,Belrose 33_11kV,02MAY2008,MW,10.58160,9.86484,9.26126,11.12860,11.01543,10.78908,10.16664,9.77053,9.31784,8.80857,8.63881,8.35588,8.05409,7.80888,7.90319,7.88433,7.94092,7.95978,7.82774,7.95978,8.35588,8.78971,9.41215,10.50615,11.71332,12.65642,14.25970,14.24084,14.93873,15.54232,15.65549,15.54232,15.46687,14.95759,14.44832,14.07108,13.69384,13.41091,13.16570,13.12798,12.82618,12.67529,12.61870,12.22260,12.29805,11.97739,11.92081,11.73218,11.58129,11.63787,11.56243,11.46812,11.29836,11.10974,11.12860,11.31722,10.99657,11.01543,11.12860,11.29836,11.01543,11.29836,11.52470,11.63787,11.84536,12.41122,12.93935,13.18456,14.20311,15.42914,16.63631,17.07014,17.69259,17.97552,17.91893,17.69259,17.23990,16.90038,16.80607,16.76835,16.40997,18.10755,16.95697,15.99500,15.37256,15.31597,14.84442,14.10880,15.54232,15.25938,14.78783,15.18394,13.92018,12.75073,11.92081,11.01543
2009,Belrose 33_11kV,03MAY2008,MW,10.44957,9.84598,9.39329,11.29836,11.44925,10.77022,10.35526,9.65736,9.31784,8.97833,8.67654,8.28043,7.90319,7.99750,7.75230,7.54481,7.62026,7.56368,7.65799,7.65799,7.77116,8.16726,8.28043,8.52564,9.20467,9.71395,10.54388,10.95884,12.03398,12.78846,13.44863,14.14652,14.27856,14.65580,15.03304,14.97645,14.91987,14.78783,14.41059,14.20311,14.39173,14.05221,13.80701,13.50522,13.24115,12.90163,12.52439,12.27918,12.03398,12.07170,12.12829,12.16601,12.09056,11.97739,11.82649,12.09056,12.01512,12.07170,11.88308,11.86422,11.90194,12.12829,12.26032,12.65642,12.93935,13.29773,13.93904,14.24084,15.31597,16.95697,18.18300,18.76772,18.73000,18.69227,18.37162,18.14528,17.46624,17.33421,16.63631,16.44769,16.27793,18.57910,17.35307,16.67404,15.74980,15.76866,15.20280,14.46718,15.69321,14.84442,13.90132,14.50490,13.35432,12.44894,11.76991,11.18519
2009,Belrose 33_11kV,04MAY2008,MW,10.78908,10.22322,9.46874,11.39267,11.20405,10.84567,10.63819,10.14777,9.77053,9.26126,9.01605,9.01605,8.41247,8.31816,8.11067,8.05409,8.07295,7.90319,7.95978,7.82774,7.90319,8.09181,8.18612,8.61995,9.14809,9.16695,9.95915,10.46843,11.18519,12.07170,12.90163,13.27887,14.24084,14.67466,15.20280,15.29711,15.48573,15.54232,15.14621,14.84442,14.58035,14.31628,13.97677,13.61839,13.41091,13.12798,12.90163,12.69415,12.26032,12.24146,12.20374,12.22260,12.01512,11.80763,11.93967,11.63787,11.71332,11.69446,11.58129,11.88308,11.92081,11.75105,12.14715,12.63756,12.95822,13.41091,14.14652,14.69352,15.86297,17.18331,18.61683,19.08838,19.55993,19.27700,19.22041,18.59796,18.48479,18.46593,18.20186,17.91893,17.39079,19.55993,18.40934,17.54169,16.35338,16.12704,15.37256,14.41059,15.54232,14.71239,13.41091,14.01449,12.50553,11.29836,10.65705,10.03460
2009,Belrose 33_11kV,05MAY2008,MW,9.71395,9.14809,8.78971,10.99657,10.84567,10.61932,10.29867,9.86484,9.46874,9.16695,8.80857,8.35588,8.35588,8.12954,7.82774,7.84661,7.95978,7.88433,7.90319,7.88433,8.33702,8.69540,9.20467,10.29867,11.97739,13.18456,15.03304,15.08963,16.16476,16.50428,16.39111,16.33452,15.93842,15.52345,15.24052,14.61808,14.41059,14.08994,13.80701,13.44863,13.27887,12.90163,12.58098,12.71301,12.33577,12.09056,11.99625,11.86422,11.60015,11.69446,11.84536,11.60015,11.71332,11.69446,11.69446,11.63787,11.56243,11.46812,11.41153,11.18519,11.24177,11.46812,11.63787,11.76991,11.97739,12.56211,13.24115,13.84473,15.18394,16.69290,18.08869,18.57910,19.37131,19.42789,19.18269,18.99407,18.67341,18.25845,18.27731,17.63600,17.01355,19.55993,18.42821,17.63600,16.67404,16.50428,15.52345,14.54263,15.63663,15.42914,14.39173,14.91987,13.41091,12.33577,11.29836,10.77022
2009,Belrose 33_11kV,06MAY2008,MW,10.20436,9.54419,9.09150,11.10974,11.12860,10.56274,10.39298,9.75167,9.20467,9.07264,8.69540,8.41247,8.29929,8.01636,7.84661,7.71457,7.73343,7.73343,7.77116,7.99750,8.16726,8.73312,9.48760,10.24208,11.35494,12.80732,14.44832,14.46718,15.25938,16.05159,15.69321,15.99500,15.74980,15.41028,15.18394,14.97645,14.50490,14.16539,14.22197,13.86359,13.58066,13.12798,13.07139,13.09025,12.65642,12.44894,11.90194,11.95853,11.99625,11.63787,11.75105,11.63787,11.63787,11.60015,11.24177,11.33608,11.14746,11.29836,11.39267,11.33608,11.44925,11.67560,11.99625,12.48667,12.84504,13.42977,14.07108,14.46718,15.42914,16.71176,17.74917,18.01324,18.18300,18.59796,18.48479,18.46593,17.78690,17.52283,17.14559,16.80607,16.69290,18.74886,17.61714,16.95697,16.16476,15.84411,15.12735,14.07108,15.24052,14.82556,14.35401,14.90101,13.61839,12.14715,11.75105,10.95884
2009,Belrose 33_11kV,07MAY2008,MW,10.27981,9.60077,9.20467,11.03429,10.93998,10.44957,9.88371,9.54419,9.24240,8.78971,8.67654,8.46905,8.12954,8.05409,7.82774,7.69571,7.75230,7.73343,7.90319,8.01636,8.18612,8.78971,9.29898,10.16664,11.54356,12.67529,14.24084,14.03335,15.20280,15.41028,15.08963,14.97645,14.91987,14.56149,14.03335,13.58066,13.27887,13.07139,12.84504,12.54325,12.24146,11.97739,11.88308,11.63787,11.43039,11.54356,11.33608,11.41153,11.29836,11.41153,11.16632,11.12860,11.24177,11.18519,11.03429,10.88339,11.03429,10.90226,10.90226,10.84567,10.61932,10.77022,11.16632,11.29836,11.63787,12.09056,12.82618,13.03367,14.16539,15.84411,16.95697,17.29648,18.03210,18.16414,18.14528,17.91893,17.65486,17.03242,17.01355,16.76835,16.57973,18.59796,17.33421,16.80607,16.08931,15.65549,14.93873,14.33515,15.46687,15.14621,14.25970,15.03304,13.82587,12.26032,11.69446,10.67591
2009,Belrose 33_11kV,08MAY2008,MW,10.22322,9.71395,8.92174,10.95884,10.84567,10.43070,10.05346,9.65736,9.20467,8.92174,8.63881,8.29929,7.95978,8.03523,8.05409,7.77116,7.60140,7.95978,7.65799,8.01636,8.39360,8.86516,9.24240,10.33639,11.73218,13.27887,14.65580,14.88214,15.37256,15.50459,15.80638,15.67435,15.14621,14.91987,14.69352,14.35401,13.67497,13.58066,13.41091,13.22229,12.78846,12.37349,12.22260,12.31691,12.22260,11.93967,11.84536,11.69446,11.80763,11.39267,11.35494,11.31722,11.22291,11.41153,11.41153,11.41153,11.12860,11.10974,10.95884,11.01543,10.80795,10.82681,11.39267,11.44925,11.93967,12.27918,13.07139,13.12798,14.05221,15.88183,17.07014,17.35307,18.06983,18.14528,17.86235,18.10755,17.78690,17.44738,17.12673,16.97583,16.95697,19.23927,17.57942,16.91924,16.27793,16.05159,15.29711,14.71239,15.99500,15.35370,14.54263,15.29711,13.69384,12.58098,11.58129,10.90226
2009,Belrose 33_11kV,09MAY2008,MW,10.69477,9.75167,9.09150,11.18519,11.01543,10.67591,10.05346,9.61964,9.43102,9.03491,8.50678,8.41247,8.26157,7.99750,8.01636,7.92205,7.73343,7.90319,7.88433,8.05409,8.18612,8.84629,9.14809,9.78940,11.29836,12.56211,14.24084,14.35401,15.35370,15.52345,15.37256,15.14621,15.07076,15.03304,14.58035,14.12766,13.90132,13.41091,13.12798,12.67529,12.80732,12.33577,12.12829,12.12829,11.78877,11.90194,11.58129,11.61901,11.58129,11.44925,11.24177,11.24177,11.31722,11.24177,11.24177,11.24177,11.09088,11.22291,11.16632,11.31722,11.10974,11.22291,11.41153,11.50584,11.99625,12.50553,12.95822,13.29773,14.29742,15.74980,16.56087,16.95697,17.29648,17.74917,17.57942,17.40966,16.59859,16.16476,16.16476,15.69321,15.59890,17.91893,16.56087,15.93842,15.14621,14.95759,14.54263,13.97677,15.46687,15.05190,14.20311,15.10849,13.50522,12.26032,11.75105,10.78908
2009,Belrose 33_11kV,10MAY2008,MW,10.39298,9.61964,9.31784,11.16632,10.90226,10.50615,10.01574,9.65736,9.26126,8.63881,8.45019,8.05409,7.99750,7.84661,7.63912,7.56368,7.50709,7.45050,7.50709,7.35619,7.62026,7.90319,8.03523,8.07295,8.67654,9.46874,10.39298,10.90226,11.63787,12.44894,13.18456,13.52408,14.01449,14.25970,14.39173,14.14652,13.97677,14.07108,13.97677,13.44863,13.44863,13.03367,12.99594,12.84504,12.46780,12.29805,12.33577,12.31691,11.97739,11.80763,11.80763,11.58129,11.52470,11.65674,11.63787,11.63787,11.52470,11.44925,11.41153,11.29836,11.29836,11.58129,11.82649,12.10943,12.50553,12.78846,13.26001,13.63725,14.65580,16.03273,16.91924,17.29648,17.29648,17.37193,17.07014,16.67404,16.07045,16.14590,15.61776,15.39142,14.65580,17.01355,15.86297,15.27825,14.42946,14.48604,13.73156,13.05253,14.63694,13.80701,13.10911,13.61839,12.48667,11.39267,10.86453,10.29867
2009,Belrose 33_11kV,11MAY2008,MW,9.99688,9.54419,9.11036,10.90226,10.95884,10.56274,10.12891,9.71395,9.28012,8.92174,8.50678,8.58223,8.14840,7.73343,7.62026,7.56368,7.37506,7.22416,7.33733,7.18643,7.63912,7.69571,7.71457,7.92205,8.41247,8.69540,8.90288,9.60077,10.33639,10.99657,11.82649,12.29805,12.90163,13.24115,13.78815,14.12766,14.07108,14.54263,15.31597,15.18394,15.12735,15.03304,14.90101,14.41059,14.18425,13.80701,13.69384,13.50522,13.10911,12.93935,12.95822,12.61870,12.69415,12.35463,12.54325,12.22260,12.01512,12.14715,12.27918,12.44894,12.67529,12.78846,12.67529,13.05253,13.05253,13.35432,13.90132,14.20311,15.03304,16.35338,17.23990,17.80576,17.74917,17.80576,17.57942,17.25876,17.14559,16.84380,16.63631,16.29680,16.10818,18.57910,17.25876,16.27793,15.42914,14.97645,14.58035,13.52408,14.63694,13.41091,12.43008,12.78846,11.69446,10.69477,10.27981,9.78940
2009,Belrose 33_11kV,12MAY2008,MW,9.48760,9.03491,8.67654,11.01543,10.90226,10.44957,9.99688,9.77053,9.43102,8.92174,8.73312,8.46905,8.18612,7.82774,7.79002,7.62026,7.54481,7.73343,7.73343,7.73343,7.92205,8.33702,9.03491,9.86484,11.46812,12.73187,14.03335,13.86359,14.58035,14.91987,14.93873,14.65580,14.75011,14.20311,13.90132,13.63725,13.18456,12.88277,12.71301,12.67529,12.48667,12.20374,12.27918,12.03398,12.01512,11.95853,12.03398,11.95853,11.90194,11.88308,11.75105,11.61901,11.61901,11.50584,11.39267,11.52470,11.24177,11.12860,11.27950,11.18519,11.03429,11.07201,11.58129,11.99625,12.22260,12.93935,13.80701,14.35401,15.31597,16.69290,17.97552,18.33390,18.93748,18.88090,18.69227,18.54138,18.20186,17.71145,17.37193,17.23990,16.73062,18.93748,17.74917,17.12673,16.10818,15.67435,14.90101,14.03335,15.16507,14.63694,14.12766,14.54263,12.97708,11.95853,11.24177,10.48729
2009,Belrose 33_11kV,13MAY2008,MW,9.99688,9.41215,8.78971,10.84567,10.78908,10.50615,9.88371,9.54419,9.24240,8.86516,8.48791,8.28043,7.92205,7.71457,7.84661,7.62026,7.73343,7.67685,7.58254,7.62026,7.95978,8.58223,9.14809,9.88371,11.29836,12.58098,14.41059,13.97677,14.31628,14.88214,14.58035,14.52377,14.58035,14.46718,13.86359,13.78815,13.42977,13.22229,13.12798,12.75073,12.93935,12.59984,12.44894,12.33577,12.09056,11.75105,11.93967,11.84536,11.71332,11.76991,11.78877,11.75105,11.80763,11.75105,12.12829,12.26032,12.33577,12.01512,12.07170,12.01512,12.12829,12.09056,12.48667,12.59984,12.84504,13.75042,14.56149,15.16507,16.42883,17.52283,18.48479,18.99407,19.50334,19.72969,19.69196,19.54107,19.10724,18.65455,18.14528,18.06983,17.52283,19.88058,18.33390,17.82462,16.50428,16.52314,15.63663,14.61808,15.88183,15.39142,14.80670,15.01418,13.41091,12.29805,11.33608,10.54388
2009,Belrose 33_11kV,14MAY2008,MW,10.43070,9.54419,9.01605,11.07201,10.95884,10.61932,10.11005,9.65736,9.31784,8.84629,8.56336,8.50678,8.22385,8.24271,7.94092,7.80888,7.82774,7.94092,7.90319,8.11067,8.46905,8.97833,9.37443,10.29867,11.63787,13.12798,14.41059,14.44832,14.97645,15.52345,15.35370,15.31597,15.24052,14.69352,14.25970,13.95790,13.56180,13.18456,12.88277,12.48667,12.37349,12.29805,12.07170,11.86422,11.75105,11.69446,11.52470,11.35494,11.07201,11.07201,11.24177,11.20405,10.88339,11.07201,10.95884,10.90226,11.01543,10.84567,11.07201,10.95884,10.88339,11.10974,11.56243,11.63787,11.95853,12.33577,13.12798,13.73156,14.91987,16.16476,17.37193,17.69259,17.82462,18.23959,18.08869,18.14528,17.80576,17.31535,16.99469,16.76835,16.56087,18.63569,17.29648,16.84380,15.59890,15.61776,14.75011,13.97677,15.08963,14.84442,14.20311,14.76897,13.41091,11.97739,11.24177,10.84567
2009,Belrose 33_11kV,15MAY2008,MW,10.37412,9.56305,9.03491,10.95884,10.93998,10.56274,10.07233,9.80826,9.09150,8.86516,8.41247,8.39360,8.26157,8.01636,7.80888,7.90319,7.86547,7.71457,7.71457,7.86547,8.18612,8.69540,9.16695,10.05346,11.24177,13.09025,14.56149,14.18425,14.82556,15.42914,15.48573,15.76866,15.59890,15.29711,14.69352,14.12766,13.07139,13.18456,12.80732,12.41122,12.12829,11.69446,11.63787,11.99625,11.84536,11.63787,11.50584,11.50584,11.56243,11.24177,11.20405,11.07201,11.01543,11.18519,11.33608,11.29836,11.27950,11.12860,10.99657,11.07201,11.05315,11.35494,11.44925,11.78877,11.80763,12.22260,12.80732,13.05253,14.12766,15.80638,16.46656,16.73062,17.01355,17.23990,17.18331,16.67404,16.61745,16.40997,16.05159,15.91956,15.69321,17.82462,16.39111,15.74980,15.10849,14.65580,14.44832,13.54294,14.71239,14.42946,13.95790,14.31628,13.05253,11.75105,11.07201,10.29867
2009,Belrose 33_11kV,16MAY2008,MW,9.77053,9.24240,8.84629,10.80795,10.73250,10.44957,9.94029,9.77053,9.12922,8.86516,8.65767,8.52564,8.35588,8.18612,7.92205,7.63912,7.54481,7.84661,7.73343,7.79002,8.14840,8.41247,8.82743,9.41215,11.01543,11.95853,13.18456,13.12798,13.86359,14.75011,14.71239,14.86328,15.10849,14.91987,14.73125,14.29742,13.73156,13.75042,13.61839,13.41091,13.29773,13.35432,13.18456,13.22229,12.92049,12.48667,12.20374,12.22260,11.80763,11.76991,11.63787,11.52470,11.69446,11.54356,11.44925,11.33608,11.54356,11.24177,11.35494,11.18519,11.01543,11.18519,11.37381,11.78877,11.90194,12.48667,12.80732,12.90163,14.12766,15.29711,16.27793,16.59859,16.91924,16.90038,16.73062,16.63631,16.08931,16.01387,15.61776,15.48573,15.10849,17.40966,15.93842,15.41028,14.50490,14.16539,13.84473,12.99594,14.59921,14.35401,13.92018,14.56149,13.05253,11.97739,11.46812,10.69477
2009,Belrose 33_11kV,17MAY2008,MW,10.27981,9.67622,9.01605,11.18519,10.95884,10.43070,9.84598,9.48760,9.14809,8.67654,8.41247,8.07295,7.82774,7.65799,7.50709,7.62026,7.62026,7.28074,7.54481,7.33733,7.84661,7.88433,8.05409,8.03523,8.65767,9.20467,9.92143,10.56274,11.33608,12.12829,12.71301,13.44863,13.95790,13.73156,14.14652,14.01449,14.25970,14.03335,13.95790,13.80701,13.50522,13.44863,13.20342,13.24115,12.99594,12.52439,12.44894,12.43008,12.10943,11.92081,12.14715,12.09056,11.92081,11.75105,11.92081,11.92081,11.58129,11.46812,11.67560,11.65674,11.97739,12.09056,12.29805,12.48667,12.99594,13.56180,14.46718,15.35370,16.22135,17.14559,17.80576,17.99438,18.03210,18.03210,17.86235,17.29648,17.01355,16.54200,16.16476,15.91956,15.63663,18.03210,16.95697,16.16476,15.61776,15.42914,15.14621,14.29742,15.63663,14.76897,13.80701,14.31628,13.33546,12.27918,11.61901,11.18519
2009,Belrose 33_11kV,18MAY2008,MW,10.61932,9.99688,9.63850,11.69446,11.58129,11.12860,10.90226,10.65705,9.95915,9.54419,9.14809,8.80857,8.63881,8.12954,8.09181,7.95978,7.86547,7.79002,7.90319,7.79002,7.97864,8.26157,8.33702,8.60109,8.97833,9.69509,10.33639,10.78908,11.39267,12.48667,13.27887,13.92018,14.86328,15.31597,15.99500,16.22135,16.12704,16.05159,16.03273,15.74980,15.58004,15.25938,14.97645,14.46718,14.44832,13.92018,13.84473,13.73156,13.99563,13.63725,13.58066,13.24115,13.01480,12.88277,12.93935,12.80732,12.61870,12.54325,12.43008,12.56211,13.12798,13.22229,13.58066,14.08994,14.97645,15.22166,16.50428,17.01355,18.37162,19.48448,20.69165,21.05003,21.10662,21.06889,20.82368,20.55962,20.16351,19.65424,19.40903,19.25814,18.71114,20.88027,19.78627,18.61683,17.40966,17.23990,16.33452,15.41028,16.20249,14.86328,13.52408,14.14652,12.67529,11.69446,10.93998,10.39298
2009,Belrose 33_11kV,19MAY2008,MW,10.11005,9.60077,8.97833,11.39267,11.35494,11.18519,10.73250,10.50615,10.05346,9.61964,9.18581,8.90288,8.73312,8.52564,8.46905,8.12954,8.18612,8.18612,8.24271,8.24271,8.75198,9.26126,9.94029,10.69477,11.86422,13.52408,15.03304,15.03304,16.07045,16.95697,16.65518,16.54200,16.50428,16.12704,15.59890,15.20280,14.95759,14.48604,14.18425,13.80701,13.75042,13.58066,13.29773,13.12798,12.90163,12.69415,12.58098,12.44894,12.43008,12.24146,12.14715,12.01512,12.03398,11.71332,11.90194,11.56243,11.58129,11.39267,11.69446,11.43039,11.54356,11.80763,11.92081,12.20374,12.84504,13.44863,14.29742,15.16507,16.78721,18.31503,19.23927,19.84286,20.44644,20.48417,20.57848,20.22010,19.82400,19.33358,19.23927,18.88090,18.76772,20.76710,19.48448,18.71114,17.80576,17.35307,16.27793,15.44801,16.50428,15.80638,14.95759,15.20280,13.95790,12.59984,11.97739,11.18519
2009,Belrose 33_11kV,20MAY2008,MW,10.65705,10.16664,9.61964,11.35494,11.03429,10.95884,10.63819,9.97802,9.78940,9.31784,8.97833,8.75198,8.48791,8.24271,8.35588,8.24271,8.26157,8.18612,8.18612,8.18612,8.69540,9.14809,9.95915,10.73250,12.46780,13.84473,15.42914,15.37256,16.56087,16.84380,16.80607,16.52314,16.39111,15.59890,15.42914,14.52377,14.18425,14.12766,13.67497,13.44863,13.07139,12.63756,12.71301,12.37349,12.14715,12.09056,11.73218,11.95853,11.60015,11.63787,11.50584,11.60015,11.33608,11.43039,11.18519,11.12860,11.22291,11.14746,11.09088,11.12860,11.10974,11.24177,11.41153,11.80763,12.22260,13.10911,13.93904,14.33515,16.05159,17.52283,18.65455,19.23927,19.65424,19.84286,19.63538,19.50334,19.16383,19.08838,18.52252,18.39048,17.91893,20.01262,19.06952,18.22072,17.29648,16.90038,16.16476,15.20280,16.27793,15.76866,14.69352,15.20280,13.90132,12.48667,11.86422,10.93998
2009,Belrose 33_11kV,21MAY2008,MW,10.48729,9.67622,9.41215,11.24177,11.18519,10.78908,10.20436,9.82712,9.65736,9.20467,8.69540,8.63881,8.43133,8.07295,7.94092,7.95978,7.92205,7.90319,8.07295,8.07295,8.58223,8.88402,9.75167,10.78908,12.03398,13.18456,14.52377,14.46718,15.31597,15.71207,15.88183,16.03273,15.52345,14.75011,14.31628,13.84473,13.67497,13.16570,13.05253,12.88277,12.71301,12.26032,12.22260,12.14715,11.75105,11.73218,11.50584,11.50584,11.69446,11.46812,11.73218,12.03398,11.86422,11.80763,12.31691,11.99625,12.09056,11.90194,12.07170,12.09056,12.52439,12.59984,13.42977,13.88246,14.12766,14.41059,15.61776,15.84411,17.31535,18.89976,19.72969,19.67310,20.23896,20.40872,20.18238,20.14465,19.61651,19.05065,18.95634,18.57910,17.93779,20.06920,18.56024,18.23959,17.35307,16.90038,16.27793,15.48573,16.29680,15.88183,14.99532,15.48573,14.05221,12.84504,12.14715,11.26063
2009,Belrose 33_11kV,22MAY2008,MW,10.56274,9.95915,9.33671,11.27950,11.09088,10.97770,10.56274,9.84598,9.71395,9.20467,8.86516,8.58223,8.29929,8.07295,8.01636,8.18612,7.95978,8.28043,8.29929,8.26157,8.75198,9.26126,9.95915,10.52501,11.86422,13.03367,14.29742,14.24084,15.22166,15.88183,16.33452,16.22135,15.82525,15.46687,15.03304,14.58035,14.29742,13.95790,13.52408,13.29773,13.01480,12.76960,12.76960,12.48667,12.29805,12.03398,12.01512,12.31691,12.22260,11.86422,11.88308,11.76991,11.73218,11.63787,11.46812,11.73218,12.03398,12.05284,12.43008,12.31691,12.35463,12.46780,12.65642,13.09025,13.84473,14.52377,15.24052,15.58004,17.35307,17.67373,18.80545,18.80545,19.72969,20.18238,20.29555,19.91831,19.61651,19.31472,19.16383,18.93748,18.57910,20.54075,19.27700,18.65455,17.73031,17.35307,16.57973,15.48573,16.56087,16.10818,14.93873,15.42914,13.76928,12.78846,11.97739,11.03429
2009,Belrose 33_11kV,23MAY2008,MW,10.82681,9.88371,9.26126,11.22291,11.18519,10.82681,10.31753,9.88371,9.71395,9.20467,8.77085,8.60109,8.35588,8.14840,8.09181,8.09181,8.03523,8.12954,8.09181,8.07295,8.50678,8.80857,9.61964,10.20436,11.69446,12.69415,14.31628,14.73125,15.73094,16.39111,16.39111,16.10818,15.86297,15.58004,14.95759,14.52377,14.27856,13.90132,13.50522,13.44863,12.99594,12.65642,12.56211,12.58098,12.31691,12.24146,12.24146,11.90194,10.90226,10.95884,10.73250,10.67591,10.95884,10.88339,10.90226,10.84567,10.63819,10.65705,10.71363,10.84567,10.88339,10.78908,11.12860,11.60015,12.20374,13.44863,14.20311,14.78783,15.99500,16.95697,17.57942,18.08869,18.16414,18.48479,18.25845,18.03210,18.22072,18.23959,18.05097,17.80576,17.27762,19.27700,17.93779,17.39079,16.44769,16.35338,15.54232,14.54263,15.97614,15.82525,14.97645,15.84411,14.12766,13.22229,12.29805,11.37381
2009,Belrose 33_11kV,24MAY2008,MW,11.01543,10.44957,9.82712,11.56243,11.29836,11.07201,10.44957,9.99688,9.60077,9.07264,8.63881,8.46905,8.28043,8.05409,7.99750,7.95978,7.77116,7.86547,7.79002,7.77116,7.82774,8.31816,8.52564,8.56336,9.31784,9.77053,10.56274,11.24177,12.33577,13.01480,13.86359,13.93904,14.44832,14.80670,14.91987,14.84442,14.91987,14.95759,14.58035,14.50490,14.14652,13.69384,13.59953,13.35432,13.20342,12.80732,12.61870,12.84504,12.61870,13.01480,12.44894,12.50553,12.56211,12.29805,12.16601,12.07170,12.12829,12.09056,11.97739,11.88308,12.27918,12.48667,12.73187,13.14684,13.75042,14.16539,15.03304,15.76866,17.10786,18.40934,19.10724,19.52220,19.50334,19.44676,19.08838,18.74886,18.29617,17.78690,17.44738,17.12673,16.95697,19.27700,17.91893,17.40966,16.54200,16.22135,15.63663,15.07076,16.16476,15.29711,14.24084,15.14621,13.69384,12.67529,11.99625,11.29836
2009,Belrose 33_11kV,25MAY2008,MW,10.84567,10.27981,9.73281,11.75105,11.69446,11.29836,10.77022,10.48729,9.94029,9.54419,9.03491,8.80857,8.80857,8.58223,8.37474,8.24271,8.07295,8.07295,7.94092,8.01636,8.09181,8.31816,8.29929,8.71426,9.14809,9.56305,10.09119,10.52501,11.56243,12.43008,13.39204,13.95790,14.56149,15.22166,15.48573,15.93842,16.08931,16.73062,17.07014,17.16445,16.95697,16.56087,15.91956,15.46687,15.08963,15.07076,15.24052,14.90101,14.33515,13.63725,13.39204,12.99594,13.24115,13.12798,12.73187,12.82618,12.73187,12.44894,12.20374,12.22260,12.75073,12.78846,13.09025,13.63725,14.24084,15.16507,15.91956,16.73062,18.10755,19.31472,20.16351,20.71051,20.69165,20.80482,20.33327,20.27669,19.67310,19.50334,19.10724,19.22041,18.31503,20.82368,19.27700,18.61683,17.35307,16.73062,15.93842,15.08963,16.08931,14.86328,13.58066,13.84473,12.48667,11.44925,10.92112,10.14777
2009,Belrose 33_11kV,26MAY2008,MW,9.86484,9.31784,8.86516,11.18519,11.10974,10.95884,10.50615,10.11005,9.67622,9.48760,9.12922,8.84629,8.71426,8.29929,8.31816,8.18612,8.12954,8.05409,8.24271,8.50678,8.67654,9.14809,9.69509,10.44957,11.75105,13.03367,14.67466,14.80670,15.82525,16.10818,16.33452,16.16476,16.05159,15.46687,15.08963,14.61808,14.12766,13.58066,13.35432,13.35432,13.18456,12.93935,12.75073,12.33577,12.20374,11.90194,11.97739,11.76991,11.63787,11.63787,11.67560,11.39267,11.56243,11.33608,10.84567,10.56274,10.67591,10.58160,10.61932,10.54388,10.95884,11.24177,11.67560,12.16601,12.44894,12.99594,14.25970,14.65580,16.46656,17.57942,18.71114,19.14496,19.52220,19.67310,19.61651,19.39017,19.03179,18.10755,17.74917,17.76804,17.25876,19.63538,18.18300,17.25876,16.57973,15.88183,15.35370,14.31628,15.31597,14.90101,14.07108,14.65580,13.58066,11.97739,11.44925,10.50615
