year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Singleton North 66_11kV,01MAY2008,MW,8.83200,8.83200,8.83200,7.29600,7.29600,7.29600,7.29600,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,7.68000,7.68000,7.68000,7.68000
2009,Singleton North 66_11kV,02MAY2008,MW,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,6.14400,6.14400,6.14400,6.14400,6.14400,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,7.68000,7.68000,7.68000,7.68000
2009,Singleton North 66_11kV,03MAY2008,MW,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,6.14400,6.14400,6.14400,4.60800,4.60800,4.60800,4.60800,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800
2009,Singleton North 66_11kV,04MAY2008,MW,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,7.68000,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,4.60800
2009,Singleton North 66_11kV,05MAY2008,MW,4.60800,4.60800,4.60800,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,3.07200,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,8.06400,8.06400,8.06400,8.06400
2009,Singleton North 66_11kV,06MAY2008,MW,8.06400,9.88800,9.88800,8.35200,8.35200,8.35200,6.81600,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,6.91200,6.91200,6.91200,9.98400
2009,Singleton North 66_11kV,07MAY2008,MW,9.98400,9.98400,8.35200,8.35200,8.35200,6.81600,6.81600,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,5.28000,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,6.91200,6.91200,6.91200,6.91200
2009,Singleton North 66_11kV,08MAY2008,MW,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,7.77600,7.77600,7.77600,7.77600
2009,Singleton North 66_11kV,09MAY2008,MW,7.77600,7.77600,7.77600,7.77600,7.77600,6.24000,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,4.22400,8.16000,8.16000,8.16000,8.16000
2009,Singleton North 66_11kV,10MAY2008,MW,8.16000,8.16000,8.16000,8.16000,8.16000,8.16000,6.62400,6.62400,5.08800,5.08800,5.08800,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,5.08800,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,3.55200,5.08800,5.08800,5.08800,5.08800,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600
2009,Singleton North 66_11kV,11MAY2008,MW,5.37600,5.37600,5.37600,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,6.91200,5.37600,5.37600,5.37600,5.37600,5.37600,5.37600
2009,Singleton North 66_11kV,12MAY2008,MW,5.37600,5.37600,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,3.84000,7.58400,7.58400,7.58400,7.58400
2009,Singleton North 66_11kV,13MAY2008,MW,7.58400,7.58400,7.58400,7.58400,7.58400,7.58400,6.04800,6.04800,6.04800,6.04800,4.51200,4.51200,4.51200,4.51200,2.97600,2.97600,2.97600,2.97600,2.97600,2.97600,2.97600,3.16800,3.16800,3.16800,3.16800,3.16800,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,6.72000,6.72000,6.72000,9.31200
2009,Singleton North 66_11kV,14MAY2008,MW,9.31200,9.31200,9.31200,9.31200,9.31200,9.31200,9.31200,9.31200,9.31200,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,7.77600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,7.96800,7.96800,7.96800,7.96800
2009,Singleton North 66_11kV,15MAY2008,MW,7.96800,7.96800,7.96800,7.96800,7.96800,7.96800,6.43200,6.43200,6.43200,4.89600,4.89600,4.89600,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,3.36000,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,4.89600,6.43200,6.43200,8.35200
2009,Singleton North 66_11kV,16MAY2008,MW,8.35200,8.35200,8.35200,8.35200,8.35200,8.35200,5.28000,5.28000,5.28000,5.28000,5.28000,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,3.74400,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,3.45600,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.99200,4.70400,4.70400,4.70400,4.70400,6.72000,6.72000,6.72000,8.54400
2009,Singleton North 66_11kV,17MAY2008,MW,8.54400,8.54400,8.54400,8.54400,8.54400,8.54400,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,7.00800,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200
2009,Singleton North 66_11kV,18MAY2008,MW,5.47200,5.47200,5.47200,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,7.10400,7.10400,7.10400,8.64000,8.64000,10.17600,10.17600,10.17600,10.17600,10.17600,10.17600,10.17600,10.17600,10.17600,10.17600,8.64000,8.64000,8.64000,8.64000,8.64000,7.10400,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200
2009,Singleton North 66_11kV,19MAY2008,MW,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,7.10400,7.10400,7.10400,8.73600
2009,Singleton North 66_11kV,20MAY2008,MW,8.73600,8.73600,8.73600,8.16000,8.16000,6.14400,6.14400,6.14400,6.14400,6.14400,6.14400,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,4.60800,6.24000,6.24000,6.24000,6.24000,6.24000,6.24000,6.24000,6.24000,6.24000,6.24000,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,4.70400,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,6.33600,8.54400
2009,Singleton North 66_11kV,21MAY2008,MW,8.54400,9.79200,9.79200,9.79200,8.25600,8.25600,8.25600,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,6.72000,6.72000,6.72000,6.72000,6.72000,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,7.00800,7.00800,7.00800,8.54400
2009,Singleton North 66_11kV,22MAY2008,MW,8.54400,8.54400,8.54400,8.54400,8.54400,8.54400,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,3.93600,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,5.47200,7.10400,7.10400,7.10400,8.73600
2009,Singleton North 66_11kV,23MAY2008,MW,8.73600,8.73600,8.73600,8.73600,8.73600,8.73600,7.20000,5.66400,5.66400,5.66400,5.66400,5.66400,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,5.66400,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,4.12800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,2.68800,4.22400,4.22400,4.22400,4.22400,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,5.76000,8.25600,8.25600,8.25600,8.25600
2009,Singleton North 66_11kV,24MAY2008,MW,8.25600,8.25600,8.25600,8.25600,8.25600,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,5.18400,5.18400,5.18400,5.18400,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,3.64800,5.18400,5.18400,5.18400,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,6.72000,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,5.18400,6.72000,6.72000,6.72000,6.72000,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,8.25600,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,5.85600,5.85600,5.85600,5.85600,5.85600
2009,Singleton North 66_11kV,25MAY2008,MW,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,5.85600,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,7.48800,7.48800,7.48800,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,9.02400,7.39200,7.39200,7.39200,7.39200,7.39200,7.39200,5.85600,5.85600,5.85600,5.85600,5.85600
2009,Singleton North 66_11kV,26MAY2008,MW,5.85600,5.85600,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,4.32000,4.32000,4.32000,4.32000,4.32000,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,4.32000,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,2.78400,4.32000,4.32000,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,5.85600,7.87200,7.87200,7.87200,7.87200
