year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Morisset 132_11kV,01MAY2008,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Morisset 132_11kV,02MAY2008,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88120,4.05195,3.92374,3.92991,3.77456,3.80635,3.83409,3.77525,3.15785,1.94848,1.96058,1.92122,2.09533,3.81349,3.93567,4.07661,4.21953,4.44054,4.78298,5.23607,5.39440,5.85442,5.86599,5.84723,5.74032,5.65693,5.68206,5.61228,5.43302,5.35332,5.25196,5.23759,5.12182,4.97963,4.99350,4.94548,4.99423,4.88101,5.38406,5.10379,5.66265,5.59017,5.67298,5.40693,5.77975,5.52423
2009,Morisset 132_11kV,03MAY2008,MW,5.28820,4.79134,4.78610,4.53094,4.45011,4.04549,4.01963,4.01170,5.11230,5.01620,4.89809,4.51080,4.22140,3.98783,3.82956,3.63074,3.45468,3.40521,3.36472,3.31966,3.45573,3.46869,3.39414,3.47613,3.58603,3.79532,4.00469,4.23973,4.65537,5.03099,5.26462,5.29462,5.54146,5.53328,5.50330,5.65294,5.40184,5.36603,5.21781,5.21288,5.05889,4.99550,4.71014,4.63660,4.57957,4.61814,4.49157,4.42800,4.41719,4.37081,4.32192,4.36248,4.46616,4.28406,4.40085,4.21338,4.26962,4.25921,4.25386,4.29384,4.43970,4.46003,4.17274,4.35742,4.47897,4.53834,4.77902,4.96177,5.15636,5.39832,6.08447,6.21491,6.16607,6.13993,6.12542,6.09368,6.03949,6.05196,5.88574,5.82792,5.71392,5.73260,5.66010,5.53806,5.46874,5.31309,5.34515,5.32397,5.55758,5.34690,5.75648,5.45101,5.31166,5.10537,5.34015,4.75999
2009,Morisset 132_11kV,04MAY2008,MW,4.47753,4.25724,4.31880,4.06070,4.07865,3.86635,3.75192,3.74245,4.95758,4.49262,3.97205,3.78894,3.65932,3.45008,3.38728,3.34560,3.32961,3.29062,3.20056,3.36072,3.30577,3.35621,3.32612,3.49281,3.72289,3.90570,4.08373,4.18256,4.34204,4.79903,5.18606,5.46536,5.70550,5.54905,5.71050,5.58852,5.54470,5.62747,5.38040,5.45106,5.36202,5.12575,4.99838,4.98016,4.78238,4.61487,4.74311,4.67023,4.72725,4.56834,4.42082,4.37564,4.38019,4.34775,4.31297,4.19213,4.12289,4.14615,4.03836,4.03591,4.10477,4.23851,4.19600,4.28177,4.52197,4.83867,5.18738,5.54891,5.78399,6.02941,6.56182,6.85655,7.00295,6.94778,6.78439,6.78291,6.74884,6.69614,6.54885,6.30199,6.30638,6.07438,5.90038,5.72786,5.59259,5.45976,5.36789,5.09998,5.27135,5.08638,5.49630,5.03438,5.02694,4.85099,5.16169,4.85386
2009,Morisset 132_11kV,05MAY2008,MW,4.57705,4.17382,4.30994,4.03302,3.96893,3.77384,3.70925,3.67402,4.86876,4.43394,3.92875,3.61831,3.52156,3.38269,3.35765,3.27628,3.29402,3.28165,3.34923,3.38864,3.69054,3.85146,3.94613,4.22485,4.56535,4.94006,5.35111,5.72216,5.49756,5.74957,5.96058,5.77888,5.66033,5.47056,5.30031,5.00192,4.92319,4.89694,4.70677,4.64355,4.54652,4.46407,4.39714,4.24294,4.26935,4.22033,4.11494,4.10287,4.06739,4.08235,3.94482,3.89522,3.86743,3.88318,3.92505,3.85876,3.90186,3.81674,3.77115,3.75135,3.79594,3.77496,3.96905,3.94455,4.00846,4.20676,4.44587,4.78785,4.96056,5.72086,6.38713,6.68625,6.81306,6.71680,6.49493,6.46947,6.57727,6.42537,6.31068,6.26877,6.14837,6.04275,5.92717,5.77824,5.57858,5.52163,5.61674,5.39232,5.78143,5.51134,5.23941,4.96446,5.02650,4.73213,5.21838,5.59300
2009,Morisset 132_11kV,06MAY2008,MW,5.63578,5.31310,5.73234,5.92199,5.81339,5.54039,5.50346,5.36140,5.02766,4.64904,4.33036,4.03666,3.86157,3.67970,3.48564,3.41668,3.43146,3.32424,3.33164,3.50207,3.59211,3.64854,3.97321,4.23119,4.54077,4.83087,5.16197,5.10355,5.31984,5.74374,5.76244,5.61892,5.60155,5.31773,5.19722,5.07264,4.99895,4.83503,4.61792,4.48955,4.38868,4.54662,4.45932,4.40871,4.40813,4.21551,4.38526,4.29921,4.24305,4.28743,4.16759,4.07152,4.10937,3.95340,3.89718,3.80718,3.85318,3.85739,3.80021,3.77522,3.93657,3.91736,3.91441,4.08389,4.15221,4.30659,4.51495,4.85065,5.25020,5.60574,5.94148,6.09293,6.16710,6.10119,6.23523,6.12676,6.06322,5.94884,5.86149,5.57318,5.58422,5.38744,5.14641,5.13924,5.01307,4.96122,5.15737,4.95399,5.50574,5.09379,4.79886,4.49059,4.69302,4.56785,4.91923,5.34108
2009,Morisset 132_11kV,07MAY2008,MW,5.38225,5.15507,5.51035,5.72601,5.57407,5.13696,5.25648,5.18668,4.95450,4.40531,3.97788,3.77066,3.61035,3.42995,3.29930,3.25170,3.25053,3.19726,3.17384,3.28616,3.50794,3.59685,3.77161,4.09751,4.35968,4.68552,4.79699,5.19362,5.41763,5.78755,5.82410,5.73588,5.84580,5.62990,5.45813,5.32742,5.11054,5.02681,4.90489,4.66304,4.47811,4.50413,4.42692,4.32500,4.31374,4.20230,4.14328,4.11755,4.24789,4.18187,4.06014,4.05810,4.03648,4.05859,4.02744,3.90952,3.93150,3.86780,3.85615,3.83260,3.78087,3.73913,3.85709,3.92869,3.99848,4.08171,4.14242,4.49165,4.85238,5.33413,5.91824,6.14629,6.00401,6.07102,5.88952,5.79573,5.83757,5.74156,5.63951,5.53543,5.43380,5.47632,5.23266,5.14027,5.06203,4.72665,4.94379,4.86312,5.37663,5.03362,4.90238,4.48181,4.67799,4.33854,4.89265,5.13414
2009,Morisset 132_11kV,08MAY2008,MW,5.17272,4.57091,5.22953,5.36412,5.15455,4.51422,4.66371,4.47086,4.02899,3.62219,3.51866,3.33611,3.14323,3.11645,3.10455,3.17132,3.13507,3.15376,3.14379,3.23826,3.48821,3.55474,3.73338,3.91825,4.28545,4.65686,4.81673,4.83495,5.03004,5.33627,5.37487,5.26617,5.05256,4.95228,4.85132,4.74284,4.43752,4.26791,4.11046,4.05369,4.06664,4.02130,4.06951,3.94978,3.97596,3.83797,3.77436,3.76768,3.86269,3.95252,3.82874,3.82213,3.79142,3.73525,3.62645,3.55751,3.63740,3.64337,3.56225,3.58599,3.71865,3.65518,3.74016,3.79132,3.81010,3.90242,4.25924,4.51993,4.82061,5.25996,5.64032,5.79882,6.08089,6.06755,6.07105,5.97979,6.06630,5.91883,5.80270,5.78260,5.75711,5.61090,5.53579,5.44371,5.39672,5.11585,5.26481,5.13355,5.65462,5.21386,5.09289,4.58840,4.76191,4.58042,5.14669,5.31148
2009,Morisset 132_11kV,09MAY2008,MW,5.39867,5.14563,5.60878,5.81855,5.62143,5.12368,5.20805,5.05038,4.51370,4.34122,3.92618,3.81583,3.54285,3.28002,3.28175,3.12871,3.03298,3.15005,3.12502,3.30208,3.44855,3.68779,1.12406,0.29970,0.29789,0.29558,0.29457,0.29505,0.29455,0.29393,0.29374,6.07731,2.54217,4.25474,2.19136,2.16941,2.16594,2.16881,2.16394,2.22016,2.17682,2.23382,2.24521,2.19735,2.23453,2.21786,2.35679,2.14903,2.07976,2.07484,2.10449,2.14211,2.05438,2.04333,2.00574,2.00238,1.94045,1.89711,1.90063,1.89762,1.90989,1.89374,1.88129,1.83818,1.71246,1.63893,1.57277,1.53038,1.53709,1.52941,1.51401,1.49497,1.55566,1.47822,1.51460,1.48583,1.48932,1.47086,1.45752,1.46787,1.41694,1.37219,1.35835,1.31539,1.30299,1.27702,1.27845,1.27493,1.30993,1.26990,1.22544,1.18625,1.20980,1.20976,1.21425,1.21743
2009,Morisset 132_11kV,10MAY2008,MW,1.20648,1.15350,1.20775,1.27489,1.24634,1.20267,1.20589,1.13799,1.17791,1.16443,1.10579,1.09506,1.09561,1.09715,1.10629,1.07832,1.10835,1.16183,1.13454,1.08154,1.05938,1.05777,1.07089,1.26503,1.36653,1.43766,1.48356,1.59413,1.68257,1.71894,1.75168,1.79341,1.91184,1.94248,2.02292,2.14957,2.12872,2.13585,2.11279,2.08720,2.03997,1.99470,2.05700,2.03744,2.10034,2.04887,2.05652,1.98816,1.88001,1.79741,1.80532,1.74037,1.77011,1.75391,1.73315,1.71339,1.66476,1.69384,1.64417,1.65579,1.64963,1.58453,1.64635,1.61089,1.52381,1.41785,1.37125,1.35491,1.35902,1.36637,1.33817,1.39740,1.37555,1.34595,1.31936,1.41540,1.38047,1.38531,1.35734,1.34145,1.32422,1.30065,1.28991,1.23908,1.20615,1.18770,1.21256,1.17711,1.18353,1.18890,1.16622,1.14910,1.20203,1.16921,1.10954,1.10213
