year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2009,Sefton 132_11kV,01MAY2008,MW,32.99617,31.04138,28.88749,31.53008,30.57078,29.05039,27.85579,26.51640,25.05030,24.01861,23.49371,22.42581,21.73802,21.24932,20.59772,20.38052,20.85112,21.12262,21.33982,22.44391,23.14981,24.50731,25.59330,26.82410,29.17709,30.69748,32.25408,31.24048,32.81517,34.11837,34.96907,34.96907,34.53467,33.88307,33.03237,32.48938,32.63418,32.57988,32.65228,32.30838,31.24048,31.00518,30.95088,31.60248,31.71108,31.67488,31.94638,32.09118,31.78348,31.40338,31.38528,31.43958,31.38528,31.29478,31.16808,31.18618,31.49388,31.56628,30.95088,30.86038,31.40338,31.54818,32.36268,32.57988,33.23147,34.17267,34.71567,34.89667,36.67046,38.02795,38.73385,39.04155,39.34925,38.95105,38.40805,37.97366,37.46686,36.88766,36.10936,35.81976,35.58446,34.80617,34.20887,33.72017,33.59347,32.36268,32.09118,32.03688,35.02337,35.96456,39.16825,37.26776,35.80166,34.20887,36.05506,34.33557
2009,Sefton 132_11kV,02MAY2008,MW,32.74278,30.40788,28.65219,31.67488,29.93729,28.29019,27.58429,25.84670,25.03220,24.21771,23.18601,22.19052,21.44842,20.85112,20.38052,20.36242,20.70632,20.95972,21.12262,22.48011,23.14981,24.07291,24.61591,25.62950,28.56169,29.70199,31.85588,31.11378,32.36268,34.22697,33.84687,34.06407,34.31747,33.43057,32.54368,32.59798,32.43508,32.07308,32.86947,32.79707,31.89208,31.62058,31.51198,31.00518,30.86038,31.04138,31.11378,31.60248,30.53458,30.24498,30.64318,30.11829,29.97349,29.59339,30.04589,29.48479,29.12279,29.32189,28.95989,28.47119,28.72459,29.37619,29.48479,29.77439,29.82869,30.20878,30.86038,31.29478,32.54368,34.15457,35.47586,36.03696,35.63876,35.78356,35.38536,35.27677,35.09577,34.48037,34.60707,33.79257,32.76087,32.57988,32.09118,31.56628,30.80608,30.04589,29.77439,29.77439,33.19527,34.66137,38.28135,36.96006,35.58446,33.59347,35.91026,33.48487
2009,Sefton 132_11kV,03MAY2008,MW,32.74278,30.84228,28.76079,31.27668,29.82869,27.74719,27.22230,25.32180,24.48921,23.27651,22.10002,21.35792,20.57962,20.05472,19.65652,19.24023,19.13163,19.36693,19.45743,20.14522,20.27192,20.85112,21.17692,22.00952,23.85571,23.65661,24.30821,24.23581,25.26750,25.95530,26.93270,28.14539,28.90559,28.74269,28.81509,29.33999,29.26759,28.74269,28.68839,28.68839,28.63409,28.52549,28.18159,28.19969,27.51190,27.00510,27.02320,26.46210,25.81050,25.81050,25.43040,25.19510,24.67021,24.10911,24.12721,23.83761,23.24031,23.29461,23.36701,23.31271,23.52991,23.47561,23.62041,23.83761,23.89191,24.50731,25.50280,26.82410,27.87389,29.62959,31.83778,32.68848,32.43508,32.47128,32.85137,32.10928,32.16358,31.65678,31.33098,30.55268,30.78798,30.37168,29.93729,29.70199,29.66579,28.85129,29.21329,29.23139,32.48938,33.95547,38.08225,36.54376,35.80166,34.00977,36.57996,35.02337
2009,Sefton 132_11kV,04MAY2008,MW,33.50297,31.29478,29.77439,32.05498,31.24048,28.85129,28.30829,26.19060,24.97790,24.05481,22.44391,21.33982,20.65202,20.10902,19.40313,19.16783,19.16783,19.07733,18.67913,18.73343,19.00493,19.24023,19.51173,20.16332,20.99592,21.19502,21.30362,20.65202,21.43032,22.28101,23.34891,23.69281,24.67021,25.46660,25.53900,26.00960,26.49830,26.44400,26.44400,26.86030,26.29920,26.24490,26.10010,25.59330,25.30370,25.32180,24.61591,24.38061,24.09101,24.12721,23.29461,23.51181,23.24031,22.93261,22.66111,22.44391,22.64301,22.22672,22.04572,22.44391,22.11812,22.57061,22.84211,23.04121,23.40321,24.16341,24.61591,26.08200,27.81959,30.42598,32.05498,32.76087,33.62967,33.19527,33.81067,33.50297,33.35817,33.19527,33.05047,32.86947,32.32648,32.36268,31.94638,31.18618,31.34908,30.57078,30.26308,29.61149,32.57988,33.77447,37.59356,36.38086,34.96907,33.35817,35.36727,33.12287
2009,Sefton 132_11kV,05MAY2008,MW,31.78348,29.95539,27.91009,31.00518,29.77439,27.94629,27.49380,25.24940,24.43491,23.20411,22.17242,21.48462,20.70632,20.21762,19.67462,19.54793,19.87372,20.03662,20.07282,21.35792,22.06382,23.14981,23.98241,25.53900,28.36259,30.02779,32.52558,32.09118,33.43057,35.18627,35.45776,36.05506,35.47586,34.37177,33.95547,33.55727,33.41247,32.76087,33.08667,32.65228,32.30838,32.19978,31.71108,31.56628,31.56628,31.22238,31.18618,31.29478,30.69748,30.00969,30.42598,30.51648,30.84228,30.67938,30.24498,30.20878,30.67938,30.29928,29.81059,29.91919,30.08209,30.04589,30.48028,30.13639,30.51648,31.13188,31.43958,31.83778,33.73827,35.96456,37.48496,37.46686,38.06415,37.37636,37.21346,37.03246,36.97816,35.71116,35.72926,35.53016,35.38536,35.05957,34.71567,34.42607,34.04597,32.85137,32.43508,31.92828,34.42607,35.42156,38.71575,37.24966,35.69306,33.68397,36.03696,33.72017
2009,Sefton 132_11kV,06MAY2008,MW,32.32648,30.53458,28.70649,31.13188,30.40788,28.09109,27.52999,26.29920,25.21320,23.87381,23.14981,21.99142,21.53892,20.59772,20.48912,20.10902,20.05472,20.57962,20.92352,21.90092,22.75161,24.00051,25.14080,26.73360,29.15899,30.44408,32.54368,32.85137,33.68397,35.45776,36.12746,36.65236,36.23606,35.20437,35.24057,35.25867,35.72926,35.80166,35.15007,35.51206,35.04147,34.69757,33.52107,33.34007,32.92377,32.70658,32.54368,32.41698,31.78348,31.24048,31.11378,30.91468,31.27668,31.02328,31.47578,31.07758,31.13188,31.00518,30.95088,31.13188,31.65678,31.60248,31.54818,31.72918,32.38078,33.19527,33.50297,33.19527,35.34917,37.37636,38.67955,38.38995,38.93295,38.89675,37.64786,37.81076,37.26776,36.67046,36.56186,35.74736,35.85596,35.36727,34.75187,34.28127,33.82877,33.17717,32.63418,32.03688,34.66137,35.69306,39.27685,37.61166,35.81976,34.26317,36.30846,34.11837
2009,Sefton 132_11kV,07MAY2008,MW,32.36268,30.37168,28.45309,31.22238,29.84679,27.89199,27.43950,26.44400,24.50731,23.60231,22.76971,22.08192,21.41222,20.56152,20.27192,20.14522,20.25382,20.38052,20.88732,21.55702,23.25841,24.05481,24.97790,26.76980,29.28569,30.33548,33.24957,32.27218,33.57537,34.49847,35.16817,35.47586,34.75187,33.90117,33.66587,32.86947,32.90567,32.54368,32.47128,31.89208,31.60248,31.49388,31.43958,31.47578,31.42148,31.00518,31.04138,31.47578,30.89658,30.57078,30.66128,30.51648,30.84228,30.82418,31.54818,30.60698,30.78798,30.38978,30.57078,30.44408,30.02779,30.62508,30.57078,30.67938,31.05948,31.85588,32.23598,32.07308,33.93737,36.10936,37.23156,37.30396,38.17275,37.68406,36.68856,36.52566,36.16366,35.78356,35.11387,35.05957,35.24057,34.80617,34.31747,33.88307,33.05047,32.18168,32.14548,31.38528,34.08217,35.24057,39.13205,37.34016,36.05506,33.99167,36.21796,34.48037
2009,Sefton 132_11kV,08MAY2008,MW,32.56178,30.93278,29.30379,31.58438,30.24498,28.43499,27.74719,26.38970,24.79691,23.29461,22.51631,21.91902,20.99592,20.41672,20.68822,20.50722,20.74252,20.72442,20.74252,22.10002,22.53441,23.87381,25.03220,25.77430,28.38069,29.97349,32.25408,31.81968,33.23147,34.40797,35.18627,35.33107,34.53467,33.93737,33.23147,33.26767,33.48487,33.28577,32.79707,32.25408,31.80158,32.03688,31.87398,31.71108,31.87398,31.58438,31.58438,31.27668,30.93278,30.84228,30.44408,30.51648,30.46218,30.11829,30.55268,30.62508,30.76988,30.60698,30.40788,30.71558,30.87848,30.66128,30.93278,31.27668,31.31288,31.85588,32.36268,32.52558,33.86497,35.34917,36.21796,36.48946,36.65236,36.63426,36.25416,36.47136,35.83786,35.29487,35.76546,35.33107,35.27677,34.51657,34.48037,34.19077,33.39437,32.90567,32.41698,32.25408,34.91477,36.05506,39.51215,38.00985,36.74286,34.42607,36.85146,35.02337
2009,Sefton 132_11kV,09MAY2008,MW,33.15907,30.95088,29.19519,31.87398,30.49838,28.77889,28.21779,26.71550,25.41230,24.27201,23.07741,22.64301,21.43032,21.12262,21.01402,20.74252,20.83302,21.21312,21.05022,22.64301,23.45751,24.47111,25.30370,27.02320,28.61599,30.40788,32.99617,32.57988,34.31747,35.56636,36.00076,35.78356,35.60256,35.11387,33.75637,33.21337,32.90567,32.63418,32.67038,32.07308,31.76538,31.54818,31.58438,31.63868,31.38528,31.36718,31.38528,31.05948,30.82418,30.22688,30.06399,30.22688,30.19068,29.79249,30.24498,29.73819,29.52099,29.35809,29.21329,28.94179,28.88749,29.10469,30.11829,29.90109,30.13639,30.95088,31.31288,31.09568,32.52558,35.22247,36.25416,36.25416,35.94646,36.10936,35.27677,35.33107,34.95097,34.08217,34.24507,33.55727,33.28577,32.57988,32.30838,32.12738,32.12738,31.27668,30.67938,30.84228,33.70207,34.75187,38.55285,37.12296,35.40346,33.59347,36.03696,33.50297
2009,Sefton 132_11kV,10MAY2008,MW,32.68848,30.62508,28.97799,31.43958,30.02779,28.01869,27.25850,25.73810,24.38061,23.56611,22.13622,21.59322,21.26742,20.50722,19.85562,19.65652,19.71082,19.76512,19.54793,19.43933,20.23572,20.30812,20.90542,21.53892,22.08192,23.18601,23.51181,22.67921,23.89191,24.43491,25.82860,26.28110,26.87840,27.34900,26.82410,27.07750,27.47570,27.52999,27.89199,27.51190,26.98700,26.91460,27.72909,27.09560,26.91460,26.93270,26.58880,26.69740,26.22680,26.17250,25.19510,25.23130,24.63401,24.57971,24.63401,24.27201,23.71091,23.43941,23.81951,23.83761,23.92811,23.78331,24.38061,24.16341,24.43491,24.70641,26.15440,26.71550,28.18159,30.46218,31.31288,31.31288,31.22238,30.87848,30.71558,30.24498,29.95539,29.52099,29.14089,28.94179,28.32639,28.18159,27.91009,27.56619,27.25850,27.18610,27.13180,27.07750,30.57078,32.30838,35.78356,35.00527,33.75637,32.07308,34.64327,32.83327
