year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Mascot 33_11kV,01MAY2012,MW,18.79601,18.74530,18.40724,18.30583,18.05228,17.93396,17.62971,17.40997,17.32546,17.03811,16.95359,16.95359,16.78457,16.64934,16.63244,16.71695,16.83527,17.27475,17.66352,17.98467,18.49176,19.08336,19.82708,20.75674,22.34561,23.46121,23.76546,25.06698,26.41921,27.53480,28.26162,28.90393,29.76598,30.00262,30.40829,31.11821,31.08441,31.50698,31.70981,31.49008,31.74362,32.13239,32.16619,32.55496,32.53805,32.70708,32.77470,32.69018,32.82540,32.79160,32.84231,33.01134,32.72399,32.82540,32.84231,33.07895,33.09585,33.09585,32.92682,32.72399,32.16619,31.89575,31.84504,31.60840,31.03370,30.64493,30.37449,30.22236,29.59695,29.36031,29.46173,29.25889,28.26162,27.51790,26.94320,26.82488,26.31779,25.84451,25.57407,25.42194,24.94866,24.50918,24.23874,23.79926,23.05554,22.88651,22.64987,22.22729,21.80472,21.50047,21.28073,20.80745,20.35107,19.72567,19.55664,19.18478
2013,Mascot 33_11kV,02MAY2012,MW,18.71149,18.55937,18.15370,18.05228,17.95086,17.66352,17.57900,17.15643,16.95359,16.73386,16.71695,16.85218,16.54792,16.58173,16.70005,16.73386,17.17333,17.32546,17.73113,17.81564,18.44105,18.91433,19.72567,20.46939,21.85543,22.88651,23.88378,25.05008,26.33470,27.38267,28.14330,28.66729,29.66456,29.86740,30.57732,30.79706,31.30414,31.49008,31.60840,32.01407,32.31832,32.40283,32.33522,32.77470,32.87611,33.07895,33.33249,33.82267,33.56913,33.56913,34.05931,34.12693,34.16073,34.17763,34.63401,34.48189,34.60021,34.44808,34.68472,33.77197,33.46771,33.51842,33.50152,32.96063,32.11548,31.77742,31.49008,31.13512,30.84777,30.74635,30.35758,30.13784,28.98845,28.34614,27.58551,27.19674,27.02771,26.40231,26.08115,25.77690,25.28672,24.61060,24.50918,23.98519,23.54572,23.00483,22.93722,22.51464,22.10897,21.75401,21.48357,20.70603,20.50320,20.08063,19.82708,19.53974
2013,Mascot 33_11kV,03MAY2012,MW,19.04955,18.66079,18.61008,18.18750,18.22131,17.98467,17.79874,17.73113,17.39307,17.24094,17.05501,17.13953,17.10572,17.35926,17.12262,17.27475,17.57900,17.76493,18.08609,18.54247,18.88052,19.60735,20.16514,21.04409,22.43013,23.35979,23.93449,25.13459,26.63895,27.53480,28.43065,29.08987,29.86740,30.45900,30.89847,31.11821,31.50698,31.76052,32.31832,32.65637,32.72399,32.80850,33.01134,33.12966,33.45081,33.46771,33.63674,33.67055,33.72126,33.58603,33.46771,33.43391,33.61984,33.65365,33.36630,33.53532,33.67055,33.19727,32.92682,33.04514,32.84231,32.52115,32.57186,32.41973,31.62530,31.01679,30.83086,30.42519,29.74908,29.15748,29.12367,29.19128,28.29543,27.61931,27.09533,26.87559,26.57134,25.79380,25.35433,25.03317,24.66131,24.27254,24.28945,23.83307,23.37669,23.22456,22.70058,22.53155,22.05827,21.80472,21.39905,20.80745,20.41869,19.89470,19.64115,19.26929
2013,Mascot 33_11kV,04MAY2012,MW,19.20168,18.86362,18.44105,18.17060,18.01848,17.76493,17.64661,17.24094,17.19023,16.91979,16.83527,16.80147,16.88598,17.05501,16.93669,17.05501,17.24094,17.42688,17.73113,17.83254,18.37344,18.94813,19.74257,20.50320,22.02446,23.05554,23.95139,24.86414,26.19947,27.43338,28.14330,28.81942,29.52934,29.59695,30.15475,30.34068,30.35758,30.49281,30.84777,30.89847,31.10131,31.03370,31.25344,31.50698,31.54078,31.52388,31.57459,31.76052,31.89575,31.69291,31.86194,31.94645,31.86194,31.79433,31.91265,31.84504,31.98026,31.96336,31.72672,31.64220,30.94918,30.69564,30.79706,30.64493,29.93501,29.56315,29.02225,28.63349,28.44756,28.04189,28.07569,27.65312,26.77417,26.25018,25.57407,25.05008,24.89795,24.47538,23.90068,23.78236,23.19076,22.92031,22.59916,22.32871,21.60189,21.31454,21.34834,21.07790,20.57081,20.57081,20.16514,19.82708,19.25239,18.94813,18.74530,18.40724
2013,Mascot 33_11kV,05MAY2012,MW,18.33963,18.01848,17.73113,17.57900,17.44378,17.24094,16.93669,16.80147,16.73386,16.37890,16.22677,16.07464,16.26058,16.20987,16.19296,16.14226,16.34509,16.63244,16.81837,16.81837,17.07191,17.19023,17.52829,17.83254,18.42415,18.50866,18.49176,18.69459,19.06645,19.42142,19.82708,20.18205,20.80745,21.38215,21.36525,21.70331,21.80472,22.21039,22.32871,22.27800,22.31181,22.75128,22.76819,22.86960,22.97102,22.59916,22.66677,22.66677,22.46393,22.37942,22.17659,22.15968,22.00756,21.92304,21.72021,21.58498,21.36525,21.58498,21.72021,21.33144,21.02719,21.06100,21.19622,21.33144,21.19622,21.09480,21.16241,21.36525,21.80472,21.88924,22.37942,22.48084,22.31181,22.24420,22.05827,22.00756,21.78782,21.48357,21.26383,21.17932,20.85816,20.77365,20.52010,20.33417,20.01302,19.77638,19.86089,19.77638,19.65806,19.53974,19.33690,19.08336,18.67769,18.50866,18.45795,18.22131
2013,Mascot 33_11kV,06MAY2012,MW,18.05228,17.96777,17.61281,17.44378,17.29165,17.15643,16.76766,16.70005,16.56483,16.24367,16.32819,16.14226,16.14226,16.14226,16.12535,16.05774,16.07464,16.41270,16.46341,16.51412,16.51412,16.59863,16.93669,17.34236,17.40997,17.25785,17.32546,17.47758,17.59590,17.91706,18.13680,18.42415,18.71149,19.15097,19.43832,19.70876,19.75947,19.70876,19.97921,20.11443,20.01302,20.23275,20.35107,20.38488,20.33417,20.24966,20.46939,20.28346,20.21585,20.28346,20.18205,20.24966,20.41869,20.33417,20.16514,20.06373,20.26656,20.45249,20.14824,19.86089,19.99611,20.23275,20.57081,20.46939,20.18205,20.38488,20.24966,20.53701,20.97648,21.44976,21.78782,22.04136,22.21039,22.29491,21.99065,22.31181,22.05827,21.65260,21.31454,21.21312,21.09480,20.99338,20.94268,20.85816,20.33417,20.16514,19.92850,19.84399,19.38761,19.25239,19.11716,18.82981,18.44105,18.22131,17.98467,17.79874
2013,Mascot 33_11kV,07MAY2012,MW,17.51139,17.35926,17.05501,16.95359,16.71695,16.61554,16.39580,16.22677,16.26058,16.10845,16.09155,16.27748,16.14226,16.29438,16.32819,16.39580,16.64934,17.03811,17.39307,17.54520,18.03538,18.62698,19.59044,20.48630,22.07517,23.05554,23.68094,24.64441,26.23328,27.60241,28.58278,29.29270,30.22236,30.62803,30.88157,31.32105,31.52388,31.47317,31.84504,31.64220,31.72672,31.84504,31.79433,31.89575,31.76052,31.81123,31.81123,32.18309,32.04787,31.79433,31.69291,31.87884,31.82813,31.82813,31.79433,31.70981,31.54078,31.42246,31.49008,30.89847,30.49281,30.27307,30.49281,30.28997,29.85050,29.25889,29.29270,29.10677,28.76871,28.80252,28.71800,28.34614,27.75454,27.24745,26.85869,26.26708,25.87832,25.55716,24.93176,24.54299,24.22184,23.86687,23.83307,23.22456,22.85270,22.63296,22.36252,22.05827,21.68640,21.36525,20.97648,20.43559,19.84399,19.60735,19.11716,18.64388
2013,Mascot 33_11kV,08MAY2012,MW,18.61008,18.18750,18.05228,17.86635,17.64661,17.57900,17.29165,16.86908,16.71695,16.68315,16.56483,16.49722,16.39580,16.48031,16.54792,16.59863,16.71695,17.12262,17.61281,17.84945,18.32273,18.88052,19.89470,20.52010,22.19349,23.34288,24.15422,25.40504,27.21365,28.31233,29.15748,29.86740,30.76325,31.01679,31.38866,31.54078,31.55769,31.72672,31.96336,31.89575,31.94645,31.94645,32.13239,32.38593,32.20000,32.20000,32.28451,32.67328,32.45354,32.36903,32.53805,32.47044,32.35212,32.41973,32.53805,32.48735,32.65637,32.60567,32.52115,32.16619,31.82813,31.43937,31.70981,31.62530,30.99989,30.49281,30.17165,30.13784,29.59695,29.37722,29.25889,29.00535,28.10950,27.65312,27.02771,26.67275,26.43611,25.76000,25.33743,25.13459,24.66131,24.42467,24.08661,23.56262,23.02173,22.58226,22.26110,22.00756,21.70331,21.43286,21.12861,20.65533,20.28346,19.94540,19.50593,19.32000
2013,Mascot 33_11kV,09MAY2012,MW,19.13407,18.74530,18.52556,18.18750,17.91706,17.86635,17.62971,17.37617,17.19023,17.07191,17.08882,16.95359,16.85218,16.93669,17.08882,16.98740,17.27475,17.52829,17.76493,17.93396,18.64388,19.33690,19.99611,20.62152,22.24420,23.71475,24.20493,25.20220,26.72346,27.97428,28.75181,29.22509,29.90120,30.54351,30.93228,31.15202,31.13512,31.37176,31.64220,31.96336,32.03097,32.26761,32.48735,32.70708,32.82540,33.18036,33.29868,33.11275,33.38320,32.75779,32.85921,33.36630,33.58603,33.58603,33.82267,33.87338,33.72126,33.72126,33.78887,33.61984,32.99443,33.04514,33.16346,32.72399,31.91265,31.84504,31.33795,30.89847,30.18855,29.93501,29.83359,29.47863,28.34614,27.61931,27.16294,26.75727,26.58824,26.18257,25.59097,25.23601,24.83034,24.52609,24.18803,23.71475,23.30908,22.95412,22.54845,22.12588,21.51737,21.26383,21.14551,20.50320,19.94540,19.72567,19.47212,19.13407
2013,Mascot 33_11kV,10MAY2012,MW,18.93123,18.61008,18.39034,18.13680,18.13680,17.90016,17.71422,17.29165,17.08882,16.73386,16.73386,16.93669,16.97050,17.08882,17.03811,17.13953,17.49449,17.73113,18.06918,18.11989,18.50866,19.23548,20.06373,20.75674,22.39632,23.63023,24.20493,25.13459,26.80798,27.87286,28.71800,29.30960,29.96882,30.40829,30.81396,30.83086,31.13512,31.62530,31.77742,32.23380,32.60567,32.69018,32.82540,32.85921,33.60294,33.78887,34.11002,34.29595,34.26215,34.11002,34.19454,34.34666,34.75233,35.05658,35.27632,34.88756,34.98897,34.70162,34.65092,34.16073,33.89029,33.34939,33.12966,33.04514,32.47044,32.16619,31.81123,31.16892,30.32378,30.50971,30.15475,29.76598,28.75181,27.92357,27.34887,26.85869,26.53753,25.87832,25.40504,25.21911,24.89795,24.50918,24.35706,23.74855,23.12315,22.66677,22.49774,22.17659,21.66950,21.38215,21.11170,20.84126,20.36798,20.04682,19.72567,19.40451
2013,Mascot 33_11kV,11MAY2012,MW,19.08336,18.88052,18.55937,18.33963,18.03538,17.69732,17.44378,17.17333,16.86908,16.71695,16.73386,16.90289,17.00430,17.00430,17.15643,17.05501,17.29165,17.51139,17.81564,18.03538,18.52556,19.35380,20.13134,20.87506,22.02446,23.39359,23.98519,25.13459,26.35160,27.38267,28.05879,28.93774,29.51244,30.03643,30.61113,30.59422,30.93228,31.32105,31.59149,31.67601,31.70981,31.81123,31.76052,31.72672,32.31832,32.33522,32.30141,32.11548,32.01407,32.21690,32.33522,32.60567,32.87611,32.69018,32.85921,33.04514,33.14656,33.16346,33.12966,33.14656,32.87611,32.52115,32.55496,32.41973,31.87884,31.33795,30.93228,30.54351,30.10404,30.03643,29.61386,29.27580,27.99118,27.43338,26.63895,26.13186,25.64168,25.11769,24.69512,24.20493,23.76546,23.24147,23.29218,22.80199,22.27800,22.09207,21.90614,21.61879,21.09480,21.07790,20.65533,20.33417,19.89470,19.48903,19.42142,19.03265
2013,Mascot 33_11kV,12MAY2012,MW,18.86362,18.52556,18.15370,17.86635,17.74803,17.61281,17.40997,17.10572,16.78457,16.68315,16.49722,16.44651,16.32819,16.44651,16.34509,16.44651,16.32819,16.49722,16.78457,16.97050,17.17333,17.39307,17.59590,17.73113,18.30583,18.74530,18.52556,18.79601,19.25239,19.72567,20.01302,20.38488,20.89197,21.26383,21.51737,21.77092,21.99065,22.12588,22.21039,22.10897,22.17659,22.07517,22.22729,22.15968,22.19349,22.22729,22.21039,22.12588,21.80472,21.70331,21.53428,21.70331,21.72021,21.50047,21.65260,21.50047,21.51737,21.60189,21.38215,21.11170,20.85816,20.79055,20.75674,20.87506,20.90887,20.94268,20.82436,21.21312,21.56808,21.93995,22.19349,22.21039,22.29491,22.12588,21.99065,21.80472,21.43286,21.61879,21.12861,21.01029,20.70603,20.43559,20.52010,20.24966,20.01302,19.89470,19.74257,19.65806,19.50593,19.60735,19.35380,19.13407,18.91433,18.54247,18.27202,18.13680
2013,Mascot 33_11kV,13MAY2012,MW,18.11989,17.88325,17.68042,17.30855,17.07191,17.07191,16.70005,16.54792,16.46341,16.26058,16.20987,16.15916,16.05774,16.10845,16.15916,16.00703,16.09155,16.26058,16.44651,16.70005,16.85218,17.00430,17.35926,17.54520,17.68042,17.74803,17.57900,17.59590,17.93396,18.18750,18.55937,18.61008,19.10026,19.37071,19.87779,20.04682,20.11443,20.21585,20.23275,20.24966,20.18205,20.40178,20.26656,20.26656,20.41869,20.43559,20.63842,20.55391,20.01302,20.08063,19.92850,19.79328,19.75947,19.60735,19.72567,19.79328,19.75947,19.74257,19.64115,19.72567,19.50593,19.48903,19.70876,19.84399,19.89470,20.06373,20.30037,20.68913,20.99338,21.44976,21.93995,22.02446,22.27800,22.19349,22.00756,21.83853,21.78782,21.56808,21.72021,21.51737,21.29764,21.26383,21.26383,21.12861,20.62152,20.31727,20.21585,20.19895,19.89470,19.62425,19.47212,19.03265,18.77911,18.54247,18.32273,18.11989
2013,Mascot 33_11kV,14MAY2012,MW,17.98467,17.61281,17.46068,17.25785,17.37617,17.15643,16.86908,16.76766,16.75076,16.59863,16.56483,16.32819,16.37890,16.53102,16.46341,16.46341,16.85218,17.08882,17.37617,17.56210,18.23821,18.91433,19.59044,20.58771,22.21039,23.54572,24.49228,25.72619,27.29816,28.22782,29.27580,29.86740,30.93228,31.38866,31.74362,31.79433,32.06477,32.06477,32.03097,32.14929,32.09858,31.96336,32.03097,31.92955,32.14929,32.21690,31.94645,32.04787,31.86194,31.82813,31.86194,31.87884,31.82813,31.92955,31.91265,31.57459,31.60840,31.52388,31.37176,31.23653,30.83086,30.76325,30.88157,30.78015,30.27307,29.85050,29.74908,29.83359,29.29270,29.49554,28.95464,28.51517,27.80525,27.61931,27.12913,26.63895,26.41921,25.99664,25.64168,25.32052,24.93176,24.49228,24.22184,23.91758,23.44430,23.03863,22.97102,22.63296,22.15968,21.85543,21.46666,20.89197,20.06373,19.97921,19.74257,19.23548
2013,Mascot 33_11kV,15MAY2012,MW,19.08336,18.67769,18.37344,18.03538,17.84945,17.83254,17.54520,17.54520,17.34236,17.10572,17.17333,17.05501,17.22404,17.25785,17.10572,16.95359,17.25785,17.49449,18.06918,18.39034,18.99884,19.42142,20.30037,20.99338,22.71748,24.37396,25.32052,26.46992,28.14330,29.25889,29.96882,30.72945,31.72672,32.23380,32.53805,32.40283,32.47044,32.28451,32.35212,32.33522,32.36903,32.35212,32.21690,32.13239,32.31832,32.38593,32.30141,32.30141,32.16619,32.06477,32.14929,32.35212,32.26761,32.13239,32.03097,31.99716,32.21690,32.03097,31.81123,31.30414,30.93228,30.72945,30.61113,30.44210,30.28997,30.12094,30.00262,29.96882,29.64766,29.69837,29.37722,29.10677,28.31233,27.80525,27.34887,26.85869,26.60514,26.19947,25.60787,25.45575,25.28672,24.83034,24.74582,24.40777,23.83307,23.22456,22.88651,22.54845,21.99065,21.51737,21.26383,20.68913,20.26656,19.92850,19.67496,19.15097
2013,Mascot 33_11kV,16MAY2012,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Mascot 33_11kV,17MAY2012,MW,19.23548,18.89743,18.64388,18.28892,18.25512,18.10299,17.78184,17.56210,17.54520,17.29165,16.85218,16.83527,16.63244,16.70005,16.70005,16.73386,16.78457,17.24094,17.57900,17.71422,18.39034,19.18478,19.99611,20.89197,22.43013,24.00210,24.83034,25.81071,27.55170,28.90393,29.64766,30.20546,30.81396,30.66183,31.30414,31.60840,31.81123,31.84504,31.96336,31.92955,32.25071,32.20000,32.48735,32.47044,32.67328,32.53805,32.50425,32.41973,32.33522,32.23380,32.18309,32.23380,32.70708,32.47044,32.52115,32.75779,32.57186,32.53805,32.52115,32.16619,31.64220,31.47317,31.11821,30.96609,30.57732,30.12094,29.91811,29.79979,29.25889,29.51244,29.47863,29.20819,28.36304,27.72073,27.46719,26.87559,26.63895,26.36850,25.94593,25.48955,25.10079,24.74582,24.72892,24.32325,23.83307,23.30908,23.12315,22.64987,22.24420,21.85543,21.50047,21.21312,20.33417,20.06373,19.91160,19.35380
2013,Mascot 33_11kV,18MAY2012,MW,19.11716,18.76220,18.62698,18.27202,18.20441,18.23821,17.95086,17.74803,17.57900,17.25785,17.07191,17.00430,17.02121,17.03811,16.98740,17.02121,16.98740,17.37617,17.81564,18.23821,18.57627,19.45522,20.18205,20.87506,22.44703,23.78236,24.49228,25.55716,27.24745,28.26162,28.95464,29.51244,30.52661,30.86467,31.40556,31.70981,31.45627,31.52388,31.50698,31.94645,31.99716,32.16619,32.03097,32.30141,32.38593,32.01407,32.09858,32.11548,32.08168,31.81123,31.84504,32.09858,32.31832,32.33522,31.87884,31.92955,31.82813,31.52388,31.45627,31.42246,31.16892,30.84777,30.62803,30.64493,30.15475,29.88430,29.51244,29.39412,29.03916,29.29270,28.63349,28.10950,27.24745,26.77417,26.25018,25.64168,25.18530,25.01627,24.66131,24.25564,24.10351,23.73165,23.56262,23.25837,22.64987,22.22729,22.10897,21.83853,21.29764,21.01029,20.82436,20.58771,19.91160,19.57354,19.45522,19.30310
2013,Mascot 33_11kV,19MAY2012,MW,18.93123,18.62698,18.49176,18.05228,17.81564,17.64661,17.47758,17.15643,17.10572,16.93669,16.73386,16.80147,16.73386,16.63244,16.70005,16.56483,16.63244,16.85218,16.98740,17.25785,17.51139,17.57900,17.71422,17.96777,18.67769,19.04955,18.99884,19.25239,19.69186,20.19895,20.43559,20.92577,21.38215,21.77092,21.99065,22.29491,22.41323,22.34561,22.49774,22.53155,22.56535,22.49774,22.73438,22.64987,22.58226,22.75128,22.59916,22.53155,22.36252,22.14278,22.00756,22.10897,21.93995,21.97375,21.83853,21.68640,22.04136,21.97375,21.83853,21.63569,21.53428,21.38215,21.39905,21.23002,21.44976,21.21312,21.31454,21.88924,22.24420,22.61606,22.63296,22.80199,22.58226,22.61606,22.66677,22.64987,22.32871,22.07517,21.73711,21.63569,21.29764,21.36525,21.11170,21.04409,20.73984,20.62152,20.48630,20.19895,20.14824,20.11443,19.70876,19.40451,19.04955,18.82981,18.66079,18.37344
2013,Mascot 33_11kV,20MAY2012,MW,18.20441,18.17060,17.86635,17.68042,17.57900,17.51139,17.10572,16.86908,16.59863,16.48031,16.34509,16.39580,16.29438,16.19296,16.26058,16.15916,16.31128,16.51412,16.81837,16.86908,17.05501,17.05501,17.35926,17.57900,17.83254,17.98467,18.00157,18.06918,18.25512,18.42415,18.54247,18.88052,19.16787,19.74257,20.23275,20.35107,20.58771,20.50320,20.77365,20.87506,21.12861,21.36525,21.21312,21.26383,21.39905,21.38215,21.34834,21.39905,21.04409,20.87506,21.29764,21.06100,20.94268,21.01029,21.01029,21.11170,21.06100,21.16241,21.39905,21.38215,21.09480,20.99338,20.90887,21.07790,21.28073,21.50047,21.56808,21.78782,22.29491,22.85270,22.75128,23.15695,23.27527,23.27527,23.32598,23.39359,23.10624,22.81890,22.68367,22.63296,22.49774,22.32871,22.15968,21.87233,21.58498,21.21312,21.26383,20.87506,20.58771,20.28346,20.16514,19.81018,19.25239,18.91433,18.72840,18.27202
2013,Mascot 33_11kV,21MAY2012,MW,18.20441,18.25512,17.88325,17.69732,17.46068,17.44378,17.07191,17.12262,16.88598,16.63244,16.64934,16.81837,16.71695,16.64934,16.78457,16.93669,17.07191,17.34236,17.83254,17.90016,18.52556,18.99884,19.87779,20.63842,22.56535,24.18803,24.74582,25.86141,27.41648,28.83632,29.63076,30.47590,31.10131,31.40556,31.67601,31.69291,31.81123,31.74362,31.54078,31.74362,31.86194,32.03097,31.99716,31.94645,31.92955,32.14929,32.04787,32.03097,32.18309,32.04787,32.25071,32.30141,32.33522,32.31832,32.16619,32.09858,32.09858,32.01407,31.92955,31.64220,31.33795,31.15202,30.91538,30.78015,30.49281,30.45900,30.08714,29.93501,29.90120,30.22236,29.64766,29.05606,28.04189,27.34887,27.11223,26.70656,26.30089,26.03044,25.32052,25.13459,24.79653,24.39086,24.17113,23.69785,23.41050,22.78509,22.32871,21.95685,21.83853,21.36525,21.09480,20.65533,19.89470,19.59044,19.32000,18.89743
2013,Mascot 33_11kV,22MAY2012,MW,18.71149,18.57627,18.13680,17.96777,17.90016,17.64661,17.52829,17.07191,16.88598,16.64934,16.64934,16.68315,16.70005,16.63244,16.85218,16.81837,17.02121,17.37617,17.71422,17.95086,18.49176,18.84672,19.91160,20.02992,21.19622,24.15422,24.91485,26.63895,28.10950,29.07296,30.05333,30.52661,31.55769,31.70981,32.06477,32.38593,31.91265,31.87884,32.08168,32.20000,32.13239,32.35212,32.48735,32.31832,32.43664,32.47044,32.30141,32.16619,32.28451,32.30141,32.41973,32.31832,32.30141,31.94645,32.25071,32.26761,32.35212,32.03097,31.96336,31.64220,31.15202,31.16892,31.08441,30.88157,30.40829,30.28997,29.96882,30.07023,29.71527,29.79979,29.32651,29.08987,27.95737,27.24745,26.90939,26.46992,26.58824,26.40231,25.94593,25.52336,25.15149,24.66131,24.40777,24.20493,23.73165,23.19076,22.86960,22.70058,22.24420,21.78782,21.55118,20.95958,20.26656,19.84399,19.60735,19.23548
2013,Mascot 33_11kV,23MAY2012,MW,19.01575,18.62698,18.37344,18.18750,18.23821,17.93396,17.62971,17.40997,17.17333,16.95359,16.95359,16.91979,17.00430,16.93669,17.00430,17.05501,17.24094,17.46068,17.69732,18.01848,18.52556,19.37071,20.02992,20.73984,22.53155,24.13732,24.94866,26.23328,27.97428,29.00535,29.96882,30.62803,31.16892,31.38866,31.82813,31.98026,31.82813,31.67601,31.91265,31.91265,31.82813,31.72672,31.84504,31.77742,31.82813,32.08168,31.76052,31.98026,32.08168,31.99716,31.91265,31.86194,31.89575,32.03097,32.06477,31.99716,31.98026,31.92955,31.89575,31.40556,31.27034,31.13512,31.01679,30.74635,30.52661,30.17165,29.81669,29.79979,29.52934,29.76598,28.58278,28.05879,27.04462,26.57134,26.36850,25.79380,25.38813,25.10079,24.59370,24.34016,23.93449,23.56262,23.42740,23.02173,22.39632,22.17659,21.95685,21.75401,21.31454,21.21312,20.63842,20.16514,19.62425,19.26929,19.15097,18.61008
2013,Mascot 33_11kV,24MAY2012,MW,18.44105,18.15370,17.93396,17.51139,17.49449,17.35926,16.95359,16.83527,16.42960,16.44651,16.27748,16.34509,16.27748,16.20987,16.24367,16.24367,16.39580,16.81837,16.95359,17.10572,17.93396,18.67769,19.48903,20.31727,21.43286,22.81890,23.90068,25.05008,27.01081,28.04189,28.81942,29.22509,30.13784,30.35758,30.84777,30.91538,30.96609,30.93228,30.89847,30.88157,31.10131,31.01679,31.20273,31.20273,31.23653,31.25344,31.23653,31.33795,31.35485,31.49008,31.33795,31.01679,31.18582,31.43937,31.35485,31.35485,31.11821,31.13512,31.32105,30.98299,30.61113,30.88157,30.96609,30.69564,30.34068,30.18855,30.15475,30.34068,31.35485,30.69564,30.01952,29.66456,28.65039,28.31233,27.70383,27.31506,26.85869,26.62204,26.57134,26.16567,25.76000,25.30362,24.94866,24.76273,24.18803,23.71475,23.37669,23.08934,22.64987,22.39632,21.93995,21.36525,20.84126,20.58771,20.28346,19.65806
2013,Mascot 33_11kV,25MAY2012,MW,19.47212,19.16787,18.96504,18.82981,18.69459,18.47485,17.95086,17.88325,17.76493,17.59590,17.52829,17.49449,17.39307,17.44378,17.47758,17.49449,17.47758,17.69732,17.98467,18.42415,19.08336,19.94540,20.77365,21.19622,22.92031,24.22184,25.16840,26.50372,27.80525,28.78561,29.83359,30.18855,31.11821,31.57459,31.92955,32.53805,32.75779,32.69018,32.65637,33.04514,33.11275,33.04514,32.92682,32.80850,32.72399,32.70708,32.77470,32.72399,32.25071,32.23380,32.35212,32.18309,32.14929,32.18309,31.89575,31.70981,31.79433,31.57459,31.45627,31.01679,30.88157,30.50971,30.42519,30.05333,29.74908,29.25889,29.27580,29.20819,29.03916,29.49554,29.12367,28.85323,27.88976,27.21365,26.96010,26.50372,26.28399,26.11496,25.60787,25.11769,24.79653,24.27254,24.03590,23.73165,23.32598,22.85270,22.71748,22.46393,22.34561,22.00756,21.82163,21.48357,21.02719,20.50320,20.11443,19.67496
2013,Mascot 33_11kV,26MAY2012,MW,19.53974,19.26929,19.03265,18.74530,18.67769,18.35653,18.10299,17.78184,17.61281,17.34236,17.10572,17.13953,16.95359,16.88598,16.88598,17.02121,17.03811,17.32546,17.29165,17.71422,18.18750,18.28892,18.37344,18.64388,19.21858,19.53974,19.53974,19.65806,20.21585,20.70603,21.12861,21.39905,21.97375,22.32871,22.46393,22.63296,22.66677,22.80199,22.81890,22.76819,22.73438,22.92031,23.07244,22.97102,23.25837,23.02173,22.81890,22.71748,22.22729,22.19349,22.29491,22.04136,22.04136,22.09207,21.97375,21.93995,21.73711,21.56808,21.41596,21.51737,21.31454,21.23002,21.33144,21.41596,21.48357,21.82163,21.70331,22.21039,22.81890,23.46121,23.41050,23.57953,23.52882,23.27527,23.05554,23.03863,22.90341,22.85270,22.76819,22.48084,22.22729,22.09207,21.63569,21.72021,21.16241,21.04409,21.02719,20.87506,20.68913,20.52010,20.33417,19.91160,19.65806,19.42142,19.04955,18.93123
2013,Mascot 33_11kV,27MAY2012,MW,18.76220,18.49176,18.15370,17.93396,17.61281,17.59590,17.35926,17.19023,16.90289,16.70005,16.78457,16.73386,16.63244,16.36199,16.34509,16.42960,16.44651,16.56483,16.64934,16.81837,16.97050,17.19023,17.27475,17.49449,17.86635,17.98467,17.95086,17.98467,18.13680,18.30583,18.67769,19.01575,19.53974,19.99611,20.16514,20.19895,20.24966,20.26656,20.60462,20.52010,20.53701,20.58771,20.68913,20.73984,20.70603,20.73984,20.70603,20.72294,20.58771,20.24966,20.33417,20.28346,20.26656,20.36798,20.43559,20.50320,20.50320,20.46939,20.45249,20.28346,20.38488,20.30037,20.41869,20.50320,20.75674,20.95958,21.29764,21.38215,22.12588,22.68367,22.98792,23.02173,23.15695,23.46121,23.41050,23.47811,23.29218,22.92031,22.80199,22.34561,22.56535,22.22729,22.24420,22.10897,21.73711,21.36525,21.19622,20.92577,20.84126,20.45249,20.18205,19.81018,19.37071,19.06645,18.74530,18.42415
