year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2010,Terrey Hills 33_11kV,01MAY2009,MW,4.95367,4.78219,4.66788,5.23945,5.22040,5.22040,4.99177,4.91556,4.83935,4.64882,4.72503,4.43925,4.49640,4.42019,4.28683,4.40114,4.22967,4.38209,4.34398,4.45830,4.45830,4.89651,4.85840,5.20135,5.90629,6.45882,7.04945,7.39239,8.30692,8.68797,9.16428,9.50723,9.94544,10.26933,10.47891,10.78375,10.84091,10.85996,10.70754,11.08859,10.74564,10.78375,10.72659,10.45985,10.61228,10.47891,10.44080,10.17407,10.47891,10.28838,10.36459,10.05975,9.94544,9.86923,10.17407,10.02165,9.85017,9.88828,10.02165,9.73586,9.73586,9.50723,9.79302,9.62154,9.58344,9.43102,9.43102,9.48817,9.31670,9.31670,9.35481,8.95470,8.32597,8.34502,8.19260,8.00207,7.92586,7.50671,7.39239,7.20187,6.74461,7.18281,6.89703,6.76366,6.47787,6.57313,6.38261,6.02061,6.32545,6.02061,5.63956,5.71577,5.48714,5.23945,5.06798,4.95367
2010,Terrey Hills 33_11kV,02MAY2009,MW,4.91556,4.61072,4.45830,5.20135,5.22040,5.08703,4.80124,4.76314,4.47735,4.47735,4.49640,4.42019,4.32493,4.22967,4.22967,4.05820,4.07725,4.22967,4.07725,4.26777,4.17251,4.17251,4.15346,4.45830,4.74409,4.72503,4.78219,5.18230,5.50619,5.52524,5.88724,6.26829,6.66840,6.97324,7.35429,7.64008,7.81155,7.90681,7.67818,7.54481,7.75439,7.60197,7.73534,7.58292,7.60197,7.58292,7.48766,7.46860,7.50671,7.54481,7.43050,7.35429,7.35429,7.39239,7.37334,7.25902,7.37334,7.27808,7.23997,7.44955,7.44955,7.33524,7.33524,7.35429,7.31618,7.39239,7.43050,7.33524,7.39239,7.60197,7.88776,7.73534,7.79250,7.67818,7.39239,7.27808,7.20187,6.74461,6.74461,6.74461,6.59219,6.68745,6.49692,6.51598,6.26829,6.28734,6.00156,5.96345,5.98250,5.86819,5.42998,5.60145,5.02988,4.99177,5.16324,5.04893
2010,Terrey Hills 33_11kV,03MAY2009,MW,4.91556,4.74409,4.61072,5.10609,5.20135,5.01082,4.87746,4.68693,4.61072,4.47735,4.30588,4.26777,4.26777,4.21062,4.07725,4.13441,4.07725,4.19156,4.07725,4.07725,4.07725,3.94388,3.94388,4.09630,4.40114,4.24872,4.47735,4.53451,4.82030,4.91556,5.20135,5.46808,5.60145,5.52524,5.81103,6.17303,6.38261,6.59219,7.14471,7.33524,7.39239,7.33524,7.31618,7.23997,7.20187,7.12566,7.22092,7.10660,7.08755,7.20187,7.29713,7.23997,7.16376,7.27808,7.12566,7.04945,7.10660,6.89703,6.91608,6.93513,6.93513,6.97324,7.04945,7.06850,7.04945,7.22092,7.23997,7.01134,6.99229,7.41145,7.71629,7.92586,7.54481,7.44955,7.20187,7.20187,6.91608,6.70650,6.66840,6.76366,6.42071,6.74461,6.66840,6.51598,6.23019,6.17303,6.09682,5.75387,6.02061,5.75387,5.41093,5.29661,4.83935,4.85840,4.76314,4.78219
2010,Terrey Hills 33_11kV,04MAY2009,MW,4.55356,4.53451,4.24872,4.93461,4.85840,4.55356,4.57261,4.55356,4.53451,4.24872,4.21062,4.21062,4.00104,4.15346,3.92483,4.07725,3.92483,4.07725,4.03914,4.13441,4.24872,4.36304,4.80124,5.06798,5.84914,6.34450,6.47787,6.78271,8.02113,8.34502,8.34502,8.89754,9.39291,9.58344,10.00259,10.11691,10.70754,10.66943,10.47891,10.47891,10.63133,10.65038,10.55512,10.53607,10.32649,10.42175,10.55512,10.40270,10.38364,10.47891,10.09786,10.44080,10.45985,10.30743,10.61228,10.28838,10.55512,10.34554,10.09786,10.21217,10.17407,9.83112,10.17407,9.83112,10.02165,9.86923,9.86923,9.79302,9.94544,9.71681,9.56438,9.20239,8.80228,8.57365,8.40218,8.34502,8.26881,7.94492,7.77344,7.60197,7.29713,7.58292,6.99229,6.87797,6.82082,6.66840,6.64934,6.24924,6.45882,6.21113,6.00156,5.90629,5.69672,5.35377,5.35377,4.91556
2010,Terrey Hills 33_11kV,05MAY2009,MW,4.64882,4.49640,4.36304,5.10609,5.08703,4.87746,4.72503,4.76314,4.45830,4.43925,4.40114,4.30588,4.24872,4.13441,3.98198,4.05820,4.09630,4.17251,4.17251,4.15346,4.30588,4.53451,4.66788,4.99177,5.83008,6.19208,6.38261,6.63029,7.67818,8.09734,8.04018,8.63081,9.03091,9.67870,9.86923,10.68849,10.91712,10.76470,10.78375,10.85996,10.66943,10.63133,10.59322,10.65038,10.55512,10.93617,10.65038,10.68849,10.47891,10.32649,10.42175,10.38364,10.36459,10.38364,10.25028,10.07880,10.09786,9.98354,10.07880,10.30743,9.85017,9.94544,10.17407,9.71681,9.92638,9.79302,10.17407,9.67870,10.17407,9.92638,9.79302,9.64059,9.10712,8.80228,8.72607,8.44028,8.45934,8.19260,7.79250,7.88776,7.35429,7.58292,7.43050,7.29713,6.82082,6.83987,6.59219,6.34450,6.42071,6.28734,6.11587,6.24924,6.05871,5.67766,5.46808,5.02988
2010,Terrey Hills 33_11kV,06MAY2009,MW,4.91556,4.85840,4.62977,5.29661,5.25851,5.02988,4.97272,4.66788,4.64882,4.36304,4.43925,4.11535,4.32493,4.07725,4.11535,4.02009,4.00104,3.92483,4.15346,4.13441,4.45830,4.62977,4.91556,4.99177,5.67766,6.28734,6.43976,6.95418,7.79250,8.15450,8.40218,8.80228,9.14523,9.54533,9.96449,10.15501,10.32649,10.44080,10.38364,10.76470,10.85996,10.70754,10.49796,10.80280,10.49796,10.59322,10.66943,10.99333,10.55512,10.70754,10.25028,10.47891,10.82185,10.63133,10.34554,10.44080,10.23122,10.17407,10.28838,10.28838,10.21217,10.30743,10.02165,10.21217,10.19312,10.04070,9.98354,10.44080,10.17407,10.32649,9.96449,9.56438,9.14523,8.64986,8.55460,8.61176,8.49744,7.98302,7.90681,7.77344,7.44955,7.69723,7.48766,7.20187,7.03039,6.82082,6.66840,6.23019,6.30640,6.11587,6.13492,6.23019,5.77293,5.65861,5.52524,5.14419
2010,Terrey Hills 33_11kV,07MAY2009,MW,4.91556,4.68693,4.66788,5.14419,5.10609,5.01082,4.95367,4.66788,4.47735,4.45830,4.32493,4.38209,4.40114,4.19156,4.17251,4.05820,4.00104,4.09630,4.38209,4.17251,4.42019,4.64882,4.82030,5.06798,5.90629,6.40166,6.85892,7.08755,7.96397,8.49744,8.61176,8.87849,9.35481,9.27860,9.92638,10.25028,10.36459,10.32649,10.47891,10.57417,10.59322,10.55512,10.51701,10.55512,10.36459,10.59322,10.66943,10.45985,10.49796,10.59322,10.44080,10.53607,10.32649,10.42175,10.47891,10.19312,10.09786,10.44080,10.19312,10.40270,10.17407,9.96449,9.88828,10.17407,9.79302,9.98354,9.71681,9.73586,9.77396,10.32649,10.55512,10.55512,10.21217,10.02165,9.64059,9.50723,9.33575,9.25954,9.03091,8.89754,8.66891,9.18333,8.68797,8.21165,7.56387,7.12566,6.82082,6.38261,6.42071,6.28734,6.21113,6.24924,5.86819,5.71577,5.54429,5.20135
2010,Terrey Hills 33_11kV,08MAY2009,MW,5.10609,4.85840,4.72503,5.20135,5.20135,5.14419,4.85840,4.68693,4.61072,4.34398,4.43925,4.34398,4.22967,4.19156,4.19156,4.15346,4.26777,4.13441,4.15346,4.11535,4.42019,4.61072,4.80124,5.06798,5.67766,6.07777,6.51598,6.93513,7.65913,8.17355,8.53555,8.72607,8.95470,9.52628,10.02165,10.32649,10.47891,10.28838,10.44080,10.44080,10.49796,10.53607,10.49796,10.42175,10.17407,10.09786,10.13596,10.30743,9.92638,10.25028,10.11691,10.07880,9.98354,10.07880,9.92638,10.02165,10.17407,10.23122,10.09786,9.94544,9.88828,9.75491,9.92638,9.71681,9.52628,9.37386,9.48817,9.33575,9.65965,9.67870,9.43102,9.16428,8.55460,8.42123,8.09734,7.96397,7.58292,7.33524,7.39239,7.23997,6.89703,7.29713,7.03039,7.12566,6.82082,6.61124,6.55408,6.34450,6.47787,6.36355,6.03966,6.00156,5.77293,5.22040,5.29661,4.93461
2010,Terrey Hills 33_11kV,09MAY2009,MW,4.99177,4.89651,4.68693,5.33472,5.27756,5.06798,4.89651,4.70598,4.59167,4.43925,4.38209,4.32493,4.24872,4.32493,4.24872,4.17251,4.19156,4.07725,4.03914,4.24872,4.22967,4.24872,4.40114,4.49640,4.76314,4.78219,4.93461,5.18230,5.44903,5.81103,5.98250,6.23019,6.57313,6.83987,7.18281,7.50671,7.52576,7.62102,7.58292,7.73534,7.58292,7.43050,7.52576,7.54481,7.50671,7.25902,7.43050,7.20187,7.37334,7.39239,7.43050,7.25902,7.39239,7.31618,7.20187,7.31618,7.10660,7.08755,7.08755,7.12566,6.91608,7.03039,6.99229,6.97324,7.04945,7.14471,7.29713,7.18281,7.18281,7.50671,7.37334,7.60197,7.48766,7.52576,7.58292,7.29713,7.22092,6.89703,6.91608,6.63029,6.51598,6.85892,6.63029,6.64934,6.23019,6.36355,6.24924,6.03966,6.26829,5.81103,5.73482,5.84914,5.41093,5.20135,5.23945,5.22040
2010,Terrey Hills 33_11kV,10MAY2009,MW,5.04893,4.95367,4.78219,5.44903,5.22040,4.97272,4.78219,4.74409,4.55356,4.43925,4.38209,4.24872,4.21062,4.24872,4.22967,4.09630,4.09630,3.98198,4.00104,4.11535,4.03914,4.03914,4.11535,4.17251,4.24872,4.53451,4.45830,4.53451,4.99177,5.14419,5.29661,5.73482,5.90629,5.96345,6.09682,6.59219,6.87797,7.01134,7.20187,7.58292,8.13544,8.15450,8.04018,8.11639,7.77344,7.64008,8.05923,7.96397,7.73534,7.48766,7.37334,7.23997,7.20187,7.14471,7.20187,7.04945,7.04945,7.10660,7.04945,7.23997,7.04945,7.35429,7.10660,7.33524,7.20187,7.48766,7.43050,7.44955,7.35429,7.52576,7.73534,7.81155,7.73534,7.81155,7.50671,7.35429,7.29713,7.01134,6.78271,6.59219,6.40166,6.53503,6.36355,6.17303,5.86819,5.90629,5.79198,5.69672,5.84914,5.42998,5.25851,5.46808,5.14419,4.97272,4.99177,4.82030
2010,Terrey Hills 33_11kV,11MAY2009,MW,4.72503,4.53451,4.47735,5.18230,5.08703,4.99177,4.80124,4.83935,4.70598,4.40114,4.43925,4.24872,4.28683,4.22967,4.22967,4.22967,4.28683,4.15346,4.26777,4.38209,4.72503,4.66788,4.74409,5.12514,5.75387,6.32545,6.85892,7.35429,8.38313,8.64986,9.18333,9.46912,10.09786,10.04070,10.25028,10.70754,10.84091,10.85996,10.78375,11.29817,10.85996,10.70754,10.68849,10.91712,10.76470,10.59322,10.57417,10.59322,10.49796,10.55512,10.44080,10.53607,10.47891,10.40270,10.40270,10.26933,10.11691,9.88828,9.86923,10.05975,10.04070,9.75491,10.00259,10.23122,9.90733,9.69775,10.13596,9.86923,10.05975,10.40270,10.49796,10.13596,7.31618,9.85017,9.56438,9.20239,9.14523,8.87849,8.85944,8.72607,8.53555,8.91660,8.45934,8.21165,7.98302,7.73534,7.39239,7.20187,7.27808,6.78271,6.63029,6.66840,6.24924,6.05871,5.75387,5.29661
2010,Terrey Hills 33_11kV,12MAY2009,MW,5.04893,5.06798,4.70598,5.44903,5.29661,5.14419,5.12514,4.78219,4.66788,4.61072,4.53451,4.43925,4.43925,4.42019,4.22967,4.15346,4.36304,4.45830,4.34398,4.53451,4.62977,4.68693,5.08703,5.39187,5.98250,6.74461,7.12566,7.35429,8.53555,8.72607,9.27860,9.41196,10.05975,10.05975,10.40270,10.76470,10.82185,10.80280,10.91712,10.93617,10.99333,10.66943,10.93617,10.66943,10.63133,10.59322,10.40270,10.47891,10.42175,10.45985,10.55512,10.17407,10.25028,10.28838,10.32649,10.23122,10.32649,10.25028,10.32649,9.86923,10.11691,10.05975,10.04070,10.25028,10.17407,9.96449,10.09786,10.17407,10.63133,10.91712,10.78375,10.02165,9.71681,9.56438,9.41196,9.29765,9.03091,9.01186,8.82133,8.61176,8.42123,8.72607,8.42123,8.17355,7.96397,7.64008,7.33524,6.91608,7.18281,6.82082,6.89703,6.70650,6.09682,5.92535,5.71577,5.52524
2010,Terrey Hills 33_11kV,13MAY2009,MW,5.14419,5.01082,4.87746,5.52524,5.37282,5.14419,5.16324,4.91556,4.78219,4.64882,4.66788,4.38209,4.38209,4.36304,4.32493,4.34398,4.21062,4.22967,4.42019,4.38209,4.74409,4.76314,4.99177,5.25851,5.88724,6.59219,7.14471,7.44955,8.59270,8.87849,9.33575,9.54533,9.90733,10.13596,10.78375,11.01238,10.70754,10.78375,10.93617,10.70754,10.74564,10.87901,10.55512,10.84091,10.87901,10.61228,10.65038,10.65038,10.78375,10.32649,10.49796,10.63133,10.44080,10.47891,10.28838,10.25028,10.45985,10.55512,10.19312,10.11691,10.09786,10.04070,10.17407,9.96449,10.02165,10.09786,9.92638,9.79302,9.94544,10.25028,9.90733,9.88828,9.41196,9.25954,9.10712,8.74512,8.64986,8.63081,8.66891,8.51649,8.15450,8.59270,8.49744,8.38313,7.98302,7.92586,7.39239,6.89703,7.12566,6.66840,6.59219,6.47787,6.11587,5.75387,5.62050,5.41093
2010,Terrey Hills 33_11kV,14MAY2009,MW,5.02988,4.91556,4.95367,5.56335,5.44903,5.08703,4.99177,4.80124,4.78219,4.68693,4.66788,4.62977,4.42019,4.51546,4.34398,4.24872,4.13441,4.26777,4.22967,4.26777,4.87746,4.82030,5.08703,5.31566,6.13492,6.78271,7.23997,7.77344,8.66891,9.18333,9.31670,9.64059,10.00259,9.98354,10.82185,10.76470,10.74564,10.63133,10.85996,10.72659,10.76470,10.65038,10.68849,10.25028,10.34554,10.32649,10.38364,10.44080,10.38364,10.21217,10.25028,10.40270,10.28838,10.13596,10.15501,10.09786,10.28838,9.96449,9.90733,9.90733,9.86923,9.85017,9.67870,9.83112,9.86923,10.02165,9.96449,9.96449,9.88828,10.59322,10.42175,10.53607,10.04070,10.26933,10.02165,10.00259,9.92638,9.58344,9.46912,9.18333,9.12618,9.50723,9.06902,8.68797,8.00207,7.75439,7.16376,6.87797,6.89703,6.85892,6.57313,6.57313,6.17303,5.81103,5.67766,5.39187
2010,Terrey Hills 33_11kV,15MAY2009,MW,4.95367,4.78219,4.78219,5.31566,5.33472,5.14419,5.04893,4.78219,4.61072,4.59167,4.55356,4.42019,4.43925,4.38209,4.38209,4.22967,4.22967,4.15346,4.28683,4.22967,4.61072,4.70598,4.87746,5.44903,5.83008,6.53503,6.97324,7.27808,8.42123,8.55460,9.08807,9.52628,10.00259,10.28838,10.55512,11.26006,11.10764,10.93617,11.14575,10.93617,10.76470,10.76470,10.49796,10.65038,10.53607,10.63133,10.34554,10.25028,10.34554,10.02165,10.13596,9.94544,10.17407,10.02165,10.17407,9.94544,9.94544,9.88828,9.85017,9.64059,9.71681,9.94544,9.73586,9.62154,9.64059,9.71681,9.71681,9.86923,9.83112,10.38364,9.67870,9.08807,8.47839,8.55460,8.15450,8.30692,8.19260,7.88776,7.73534,7.39239,7.20187,7.43050,7.27808,6.89703,6.76366,6.59219,6.43976,6.19208,6.59219,6.36355,6.02061,6.07777,5.67766,5.56335,5.48714,5.12514
2010,Terrey Hills 33_11kV,16MAY2009,MW,4.91556,4.68693,4.61072,5.33472,5.41093,5.06798,4.85840,4.70598,4.61072,4.51546,4.28683,4.22967,4.28683,4.09630,4.15346,4.15346,4.00104,4.05820,4.17251,4.03914,4.13441,4.21062,4.38209,4.38209,4.83935,4.97272,5.16324,5.44903,5.52524,5.84914,5.98250,6.53503,6.74461,6.89703,7.29713,7.64008,7.83060,7.81155,7.64008,8.11639,7.94492,7.81155,7.88776,7.69723,7.73534,7.64008,7.56387,7.44955,7.54481,7.58292,7.50671,7.43050,7.43050,7.35429,7.46860,7.44955,7.50671,7.62102,7.50671,7.43050,7.37334,7.43050,7.65913,7.39239,7.41145,7.48766,7.64008,7.50671,7.35429,7.46860,7.43050,7.43050,7.41145,7.31618,7.39239,7.23997,7.08755,6.82082,6.95418,6.68745,6.43976,6.85892,6.43976,6.55408,6.28734,6.40166,6.15398,6.03966,6.43976,6.13492,5.75387,5.94440,5.42998,5.41093,5.39187,5.23945
2010,Terrey Hills 33_11kV,17MAY2009,MW,5.14419,5.06798,4.83935,5.56335,5.37282,5.10609,4.99177,4.85840,4.66788,4.57261,4.53451,4.45830,4.11535,4.15346,4.21062,4.21062,4.15346,4.09630,4.07725,4.11535,4.22967,4.09630,4.13441,4.34398,4.43925,4.72503,4.53451,4.76314,4.95367,5.16324,5.27756,5.67766,5.81103,5.88724,6.07777,6.26829,6.42071,6.47787,6.89703,7.18281,7.16376,7.04945,7.43050,7.08755,6.99229,7.04945,6.83987,6.99229,6.68745,6.97324,6.93513,6.87797,6.87797,7.03039,6.78271,6.78271,6.78271,6.82082,6.72555,6.85892,6.70650,6.91608,6.95418,7.03039,6.93513,7.08755,7.43050,7.23997,7.83060,7.73534,7.86871,7.88776,8.04018,7.92586,7.77344,7.60197,7.43050,7.35429,7.20187,7.16376,6.89703,7.22092,7.12566,6.78271,6.49692,6.28734,6.17303,5.88724,6.21113,5.79198,5.48714,5.54429,5.23945,5.06798,4.97272,4.82030
2010,Terrey Hills 33_11kV,18MAY2009,MW,4.76314,4.72503,4.34398,5.16324,5.04893,4.99177,4.62977,4.61072,4.55356,4.42019,4.38209,4.38209,4.09630,4.02009,4.11535,4.02009,4.00104,4.09630,4.15346,4.11535,4.45830,4.38209,4.64882,4.99177,5.71577,6.21113,6.61124,7.16376,8.04018,8.47839,8.78323,9.25954,9.65965,9.85017,10.47891,10.63133,10.68849,10.70754,10.85996,10.65038,10.30743,10.82185,10.63133,10.65038,10.38364,10.45985,10.53607,10.47891,10.47891,10.51701,10.57417,10.70754,10.40270,10.32649,10.40270,10.32649,10.30743,10.09786,9.79302,10.15501,9.85017,9.60249,9.94544,9.56438,9.71681,9.79302,9.71681,9.79302,9.88828,10.32649,9.96449,10.04070,9.29765,9.10712,9.03091,8.72607,8.63081,8.36407,8.11639,7.83060,7.60197,8.05923,7.56387,7.48766,7.20187,6.91608,6.63029,6.26829,6.57313,6.30640,6.28734,6.19208,5.90629,5.58240,5.60145,5.20135
2010,Terrey Hills 33_11kV,19MAY2009,MW,4.85840,4.72503,4.49640,5.16324,5.14419,5.06798,4.85840,4.72503,4.43925,4.28683,4.32493,4.26777,4.17251,4.13441,4.05820,4.15346,3.94388,3.98198,4.09630,4.30588,4.61072,4.70598,4.85840,5.27756,5.77293,6.63029,6.85892,7.20187,8.24976,8.28786,8.87849,8.84039,9.48817,9.83112,10.61228,10.70754,10.78375,10.91712,10.63133,10.82185,10.85996,10.68849,10.38364,10.28838,10.55512,10.30743,10.42175,10.28838,10.38364,10.38364,10.30743,10.21217,10.04070,10.44080,10.28838,10.25028,10.38364,10.30743,10.23122,10.02165,9.86923,9.85017,10.02165,9.79302,9.98354,10.04070,10.13596,9.98354,10.25028,10.34554,10.02165,9.67870,9.24049,9.12618,8.95470,8.72607,8.72607,8.23071,7.96397,7.65913,7.35429,7.81155,7.52576,7.29713,6.93513,6.97324,6.66840,6.28734,6.40166,6.23019,6.17303,6.07777,5.14419,5.10609,4.91556,4.64882
2010,Terrey Hills 33_11kV,20MAY2009,MW,4.49640,4.36304,4.21062,4.85840,4.80124,4.57261,4.42019,4.21062,4.24872,4.13441,4.03914,4.13441,4.02009,3.98198,4.68693,4.34398,4.03914,4.13441,4.15346,4.15346,4.30588,4.68693,4.68693,4.99177,5.46808,6.05871,6.74461,6.95418,7.96397,8.19260,8.57365,8.89754,9.39291,9.56438,10.11691,10.38364,10.45985,10.65038,10.63133,10.84091,10.63133,10.70754,10.93617,10.65038,10.80280,10.49796,10.47891,10.57417,10.49796,10.38364,10.38364,10.25028,10.55512,10.44080,10.70754,10.45985,10.32649,10.40270,10.25028,10.44080,10.57417,10.40270,10.13596,10.19312,10.34554,10.36459,10.38364,10.66943,10.66943,10.25028,10.04070,9.98354,9.45007,9.20239,9.03091,8.82133,8.53555,8.21165,8.04018,7.86871,7.54481,7.86871,7.48766,7.25902,6.99229,6.87797,6.72555,6.49692,6.74461,6.51598,6.32545,6.32545,5.98250,5.77293,5.67766,5.20135
2010,Terrey Hills 33_11kV,21MAY2009,MW,5.01082,4.83935,4.61072,5.25851,5.25851,4.99177,4.76314,4.68693,4.68693,4.49640,4.61072,4.26777,4.40114,4.26777,4.30588,4.07725,4.02009,4.03914,4.30588,4.22967,4.51546,4.57261,4.76314,5.22040,6.11587,6.57313,6.97324,6.99229,8.19260,8.44028,9.03091,9.33575,9.25954,9.48817,9.85017,10.51701,10.85996,11.12669,10.95522,11.08859,11.16480,11.39343,11.08859,11.03143,11.08859,11.16480,11.27911,10.85996,10.97427,10.89806,10.89806,10.84091,10.76470,10.63133,10.72659,10.85996,10.85996,10.99333,10.85996,10.74564,10.68849,10.57417,10.51701,10.57417,10.40270,10.55512,10.74564,10.97427,10.84091,11.22196,10.89806,10.99333,10.72659,10.38364,10.36459,10.05975,9.86923,9.92638,9.69775,9.33575,9.37386,9.64059,9.25954,8.66891,7.75439,7.35429,7.16376,6.89703,6.95418,6.97324,6.59219,6.45882,6.09682,5.84914,5.75387,5.42998
2010,Terrey Hills 33_11kV,22MAY2009,MW,5.22040,5.08703,4.83935,5.46808,5.29661,5.10609,5.08703,5.04893,4.72503,4.53451,4.38209,4.40114,4.38209,4.34398,4.19156,4.30588,4.15346,4.22967,4.38209,4.42019,4.53451,4.57261,4.82030,4.99177,5.73482,6.38261,6.93513,7.20187,8.15450,8.49744,9.04997,9.41196,9.85017,9.94544,10.40270,10.99333,11.01238,10.87901,11.16480,11.10764,11.10764,10.99333,11.39343,11.08859,11.33627,11.24101,11.35533,11.08859,10.93617,10.91712,11.16480,11.01238,10.85996,10.99333,10.93617,10.97427,10.93617,10.74564,10.85996,10.66943,10.63133,10.91712,10.85996,11.01238,10.80280,10.70754,10.78375,10.85996,10.74564,10.51701,9.94544,9.69775,8.87849,8.91660,8.74512,8.30692,8.11639,7.79250,7.79250,7.58292,7.31618,7.71629,7.18281,7.14471,6.99229,6.82082,6.85892,6.42071,6.61124,6.59219,6.57313,6.51598,6.36355,5.94440,5.67766,5.52524
2010,Terrey Hills 33_11kV,23MAY2009,MW,5.44903,5.10609,4.99177,5.56335,5.42998,5.29661,5.08703,5.04893,4.85840,4.55356,4.57261,4.30588,4.30588,4.26777,4.22967,4.38209,4.15346,4.13441,4.17251,4.07725,4.21062,4.22967,4.36304,4.42019,4.62977,4.91556,5.06798,5.50619,5.56335,5.83008,5.84914,6.28734,6.97324,7.12566,7.73534,7.94492,8.30692,8.23071,8.28786,8.49744,8.45934,8.42123,8.42123,8.44028,8.34502,8.28786,8.40218,8.17355,8.36407,8.19260,8.17355,7.94492,8.04018,7.88776,7.88776,7.90681,7.92586,7.98302,7.84965,7.69723,7.77344,7.71629,8.07828,7.94492,7.98302,8.02113,8.17355,8.02113,8.13544,7.92586,7.79250,7.86871,7.67818,7.48766,7.33524,7.37334,7.12566,6.97324,7.01134,7.01134,6.49692,6.87797,6.42071,6.43976,6.21113,6.42071,6.05871,5.96345,6.26829,5.92535,5.88724,5.84914,5.42998,5.37282,5.33472,5.22040
2010,Terrey Hills 33_11kV,24MAY2009,MW,5.04893,4.87746,4.78219,5.37282,5.18230,4.99177,4.72503,4.45830,4.45830,4.26777,4.30588,4.09630,4.22967,4.00104,4.02009,3.92483,3.94388,3.92483,3.90577,3.88672,3.90577,3.94388,4.07725,4.03914,4.22967,4.30588,4.30588,4.43925,4.68693,4.82030,4.91556,5.54429,5.67766,5.83008,6.03966,6.28734,6.47787,6.83987,7.04945,7.29713,7.73534,7.37334,7.50671,7.69723,7.52576,7.48766,7.44955,7.35429,7.50671,7.41145,7.27808,7.18281,7.20187,7.18281,7.20187,7.27808,7.16376,7.20187,7.14471,7.29713,7.25902,7.27808,7.31618,7.23997,7.12566,7.27808,7.64008,7.29713,7.58292,7.69723,7.54481,7.60197,7.69723,7.58292,7.43050,7.39239,7.12566,6.97324,6.99229,6.74461,6.57313,6.85892,6.55408,6.36355,6.15398,6.09682,5.94440,5.69672,6.07777,5.69672,5.63956,5.54429,5.12514,4.89651,4.78219,4.66788
2010,Terrey Hills 33_11kV,25MAY2009,MW,4.59167,4.47735,4.45830,5.14419,5.10609,4.74409,4.59167,4.49640,4.32493,4.19156,4.26777,4.26777,4.00104,4.09630,3.90577,4.00104,3.98198,4.03914,4.02009,4.13441,4.22967,4.32493,4.57261,5.06798,5.63956,6.26829,6.43976,6.72555,7.58292,8.19260,8.80228,9.04997,9.64059,10.19312,10.26933,10.40270,10.34554,10.55512,10.55512,10.70754,10.70754,10.49796,10.65038,10.65038,10.32649,10.32649,10.63133,10.40270,10.25028,10.53607,10.34554,10.49796,10.42175,10.19312,10.42175,10.34554,10.26933,10.34554,10.32649,10.61228,10.40270,10.09786,10.30743,10.36459,10.15501,10.25028,10.21217,10.63133,10.68849,10.76470,10.47891,9.94544,9.56438,9.58344,9.06902,8.80228,8.45934,8.34502,8.30692,7.81155,7.71629,8.38313,7.86871,7.64008,7.35429,7.52576,7.10660,6.85892,7.16376,6.74461,6.38261,6.42071,6.05871,5.81103,5.63956,5.22040
2010,Terrey Hills 33_11kV,26MAY2009,MW,5.20135,4.87746,4.76314,5.41093,5.35377,5.04893,4.80124,4.76314,4.51546,4.45830,4.45830,4.32493,4.22967,4.22967,4.09630,4.15346,4.02009,4.07725,4.11535,4.24872,4.38209,4.57261,4.83935,4.99177,5.88724,6.11587,6.82082,6.82082,7.92586,8.30692,8.57365,8.44028,9.25954,9.77396,10.34554,10.44080,10.47891,10.57417,10.49796,10.78375,10.47891,10.44080,10.45985,10.53607,10.07880,10.68849,10.40270,10.51701,10.57417,10.47891,10.55512,10.30743,10.61228,10.47891,10.44080,10.55512,10.47891,10.53607,10.42175,10.55512,10.30743,10.11691,10.38364,10.11691,9.88828,9.98354,10.21217,10.07880,10.59322,10.65038,10.23122,10.19312,9.56438,9.46912,9.12618,8.87849,8.68797,8.32597,8.40218,8.11639,7.83060,8.26881,7.81155,7.81155,7.37334,7.62102,7.25902,6.89703,6.97324,6.82082,6.34450,6.47787,5.98250,5.75387,5.60145,5.37282
