year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Blackwattle Bay 33_5kV,01MAY2013,MW,11.06035,10.65337,10.52569,10.23043,10.11871,9.75960,9.78354,9.55212,9.46434,9.32868,9.30474,9.20898,9.02544,9.24090,9.17706,9.03342,9.01746,9.07332,9.30474,9.37656,9.53616,9.68778,9.85536,10.12669,10.78105,11.20399,11.36359,11.76260,12.56858,13.09526,13.71771,14.10873,14.41995,14.63541,14.74713,14.81896,14.84290,14.93866,14.81098,14.92270,14.98654,15.05836,15.18604,15.22594,15.43342,15.63292,15.71272,15.56908,15.64888,15.76858,15.91222,15.86434,15.85636,15.82444,15.80848,15.67282,15.63292,15.63292,15.44938,15.30574,15.17008,15.16210,14.94664,14.92270,14.81098,14.63541,14.57955,14.69127,14.69925,14.91472,15.22594,15.44140,15.13018,15.12220,15.09028,14.96260,14.48379,14.38803,14.20449,14.03691,13.90923,13.94913,13.90923,13.76559,13.31073,13.05536,13.12718,12.95960,12.79202,12.42494,12.16160,12.00200,11.71472,11.45137,11.25985,10.90873
2014,Blackwattle Bay 33_5kV,02MAY2013,MW,10.86883,10.45387,10.21447,10.13467,10.02294,9.74364,9.43242,9.26484,9.35262,9.27282,8.98554,8.96958,9.14514,8.98554,8.98554,8.98554,9.19302,9.12120,9.27282,9.24888,9.48030,9.52818,9.67980,9.86334,10.53367,10.94863,10.99651,11.27581,12.24938,12.80000,13.32669,13.55013,13.90923,14.17257,14.37207,14.46783,14.30025,14.38803,14.52369,14.30025,14.18853,14.30025,14.41995,14.30025,14.45187,14.47581,14.53965,14.50773,14.53167,14.60349,14.63541,14.74713,14.58753,14.56359,14.40399,14.41995,14.23641,14.23641,14.33217,14.18055,14.06883,14.10873,14.01297,14.11671,13.91721,13.74165,13.87731,13.82145,13.94115,14.43591,14.81098,14.73915,14.52369,14.41995,14.59551,14.46783,14.19651,14.13267,14.08479,13.94913,13.87731,13.71771,13.47831,13.23891,13.06334,12.76808,12.53666,12.41696,12.35312,12.21746,12.05786,11.77856,11.61895,11.50723,11.25187,11.02843
2014,Blackwattle Bay 33_5kV,03MAY2013,MW,10.82893,10.50175,10.27033,10.12669,10.03890,9.81546,9.65586,9.29676,9.26484,9.18504,9.22494,9.04938,9.08130,9.11322,9.16908,9.16908,9.24090,9.14514,9.16110,9.40848,9.53616,9.56010,9.78354,9.95910,10.66933,10.84489,11.06035,11.49127,12.32918,12.91172,13.39851,13.93317,14.22045,14.37207,14.48379,14.57157,14.56359,14.73117,14.66733,14.61147,14.64339,14.69127,14.64339,14.65935,14.65137,14.73915,14.81896,14.91472,14.82694,14.73915,14.76309,14.67531,14.75511,14.77905,14.65935,14.60349,14.57157,14.53167,14.45187,14.37207,14.38005,14.24439,14.08479,14.09277,14.11671,14.19651,14.11671,13.94913,14.10873,14.40399,14.72319,14.80300,14.61945,14.42793,14.47581,14.32419,13.89327,13.74963,13.49427,13.47831,13.03142,12.88778,12.86384,12.75212,12.54464,12.49676,12.42494,12.23342,12.11372,11.97806,11.80250,11.62693,11.45137,11.29177,11.21995,10.90075
2014,Blackwattle Bay 33_5kV,04MAY2013,MW,10.73317,10.62145,10.39003,10.19851,9.96708,9.83940,9.55212,9.44838,9.42444,9.40050,9.16908,9.12918,9.12918,9.12918,9.12918,9.06534,9.10524,9.24090,9.28878,9.23292,9.18504,9.16908,9.44838,9.47232,9.75960,9.87930,9.82344,9.91122,10.12669,10.39801,10.42993,10.74913,11.12419,11.11621,11.32369,11.30773,11.62693,11.63491,11.79452,11.88230,12.02594,12.08978,12.30524,12.55262,12.67232,12.78404,12.78404,12.69626,12.71222,12.75212,12.68828,12.57656,12.52070,12.60848,12.53666,12.40100,12.32918,12.34514,12.27332,12.00200,11.96210,11.91422,11.85836,12.00998,11.99402,11.92220,12.15362,12.23342,12.55262,12.86384,13.35063,13.17506,13.10324,13.23093,13.31073,13.14314,13.11122,13.03940,13.07930,12.93566,12.82394,12.62444,12.60050,12.52070,12.34514,12.12968,12.15362,12.16160,11.94614,11.83442,11.66683,11.60299,11.43541,11.26783,11.25985,10.95661
2014,Blackwattle Bay 33_5kV,05MAY2013,MW,10.98853,10.82095,10.51771,10.42195,10.28629,9.89526,9.79950,9.61596,9.56010,9.38454,9.30474,9.04938,8.99352,9.18504,9.05736,9.01746,9.05736,9.19302,9.12120,9.07332,9.16110,9.11322,9.33666,9.47232,9.60000,9.53616,9.55212,9.59202,9.79950,9.91122,9.99900,10.19851,10.41397,10.60549,10.82095,10.94863,11.24389,11.37157,11.49127,11.62693,11.56309,11.78654,11.69078,11.66683,11.78654,11.81846,11.82644,11.89028,11.97008,11.85836,11.77856,11.66683,11.65885,11.55511,11.57107,11.55511,11.45935,11.46733,11.46733,11.41147,11.34763,11.21995,11.13217,11.21995,11.41945,11.50723,11.47531,11.71472,12.12170,12.39302,12.92768,13.07930,13.34265,13.53417,13.59003,13.47831,13.30275,13.29477,13.33467,13.15910,13.16708,13.04738,12.84788,12.74414,12.78404,12.60050,12.48080,12.30524,12.08978,11.80250,11.57905,11.30773,11.12419,10.95661,10.84489,10.60549
2014,Blackwattle Bay 33_5kV,06MAY2013,MW,10.57357,10.33417,10.15861,9.89526,9.87132,9.54414,9.44040,9.44040,9.29676,9.16908,9.16908,8.94564,9.09726,8.92170,8.87382,8.87382,8.95362,9.04140,9.28878,9.29676,9.52818,9.55212,9.55212,10.01496,10.51771,10.80499,11.15611,11.61895,12.38504,13.15112,13.79751,13.98903,14.24439,14.25237,14.35611,14.33217,14.47581,14.54763,14.51571,14.43591,,14.30025,14.37207,14.58753,14.49975,14.65935,14.69925,14.59551,14.65935,14.61945,14.55561,14.53167,14.63541,14.59551,14.52369,14.53965,14.30025,14.20449,14.22045,14.19651,14.07681,14.09277,14.02893,13.94115,14.00499,13.98105,13.94913,13.97307,14.17257,14.74713,15.20200,15.30574,15.06634,15.07432,15.17008,15.13816,14.77905,14.54763,14.41995,14.21247,14.25237,13.95711,13.92519,13.86135,13.78953,13.43841,13.20698,13.13516,12.86384,12.45686,12.12170,12.01796,11.60299,11.29975,11.16409,10.82095
2014,Blackwattle Bay 33_5kV,07MAY2013,MW,10.73317,10.49377,10.28629,10.21447,10.09476,9.67182,9.53616,9.28878,9.11322,9.11322,9.11322,9.11322,9.11322,9.05736,8.95362,8.92170,9.20898,9.01746,9.12918,9.19302,9.42444,9.48828,9.73566,9.87930,10.54963,10.97257,11.10025,11.49127,12.36908,13.04738,13.53417,13.90923,14.19651,14.45985,14.47581,14.53965,14.49177,14.62743,14.61147,14.53965,14.32419,14.36409,14.43591,14.57955,14.69127,14.70723,14.67531,14.61945,14.68329,14.51571,14.63541,14.57157,14.67531,14.58753,14.65935,14.43591,14.46783,14.54763,14.38803,14.22843,14.10075,14.15661,14.20449,14.12469,14.21247,14.09277,14.10075,14.18853,13.59801,13.78155,14.18055,14.69925,14.87482,14.95462,14.89078,14.95462,14.75511,14.34015,14.34015,14.21247,13.95711,13.86933,13.84539,13.74165,13.28679,13.28679,13.33467,13.13516,12.80798,12.57656,12.36110,12.00200,11.77058,11.61097,11.29975,10.93267
2014,Blackwattle Bay 33_5kV,08MAY2013,MW,10.86085,10.55761,10.33417,10.17457,9.95112,9.73566,9.67980,9.44040,9.38454,9.20898,9.18504,9.00150,9.15312,9.04140,8.92968,9.05736,9.14514,9.16110,9.16110,9.23292,9.51222,9.56010,9.63192,9.88728,10.50175,10.97257,11.18005,11.66683,12.54464,13.14314,13.62195,13.94913,14.15661,14.38803,14.53167,14.56359,14.41197,14.38005,14.43591,14.23641,14.34813,14.34813,14.26035,14.32419,14.36409,14.57955,14.61945,14.60349,14.63541,14.80300,14.65935,14.62743,14.50773,14.50773,14.71521,14.58753,14.58753,14.49177,14.41197,14.39601,14.26833,14.30823,14.39601,14.34015,14.36409,14.22843,14.33217,14.36409,14.39601,14.69127,14.98654,14.96260,15.01048,14.85088,15.01048,15.11422,14.57955,14.56359,14.36409,14.30823,14.16459,14.10873,13.85337,13.67781,13.61397,13.35063,13.28679,13.27083,12.85586,12.62444,12.32120,12.28928,11.85836,11.60299,11.31571,11.21995
2014,Blackwattle Bay 33_5kV,09MAY2013,MW,11.07631,10.81297,10.51771,10.22245,10.22245,9.96708,9.78354,9.54414,9.33666,9.23292,9.08928,9.03342,9.03342,9.03342,9.03342,9.03342,9.02544,9.06534,9.26484,9.29676,9.48828,9.67980,9.76758,10.02294,10.71721,11.21995,11.39551,11.78654,12.67232,13.39851,13.87731,14.11671,14.27631,14.48379,14.61945,14.54763,14.62743,14.71521,14.69127,14.70723,14.65935,14.67531,14.55561,14.67531,14.73117,14.63541,14.78704,14.73117,14.85088,14.82694,14.89876,14.75511,14.74713,14.73117,14.75511,14.72319,14.81896,14.81896,14.82694,14.60349,14.58753,14.56359,14.45985,14.51571,14.40399,14.41995,14.30025,14.40399,14.53167,14.67531,14.92270,14.98654,14.72319,14.69925,14.64339,14.77905,14.45985,14.42793,14.30025,14.19651,13.92519,13.70973,13.71771,13.57407,13.31871,13.16708,13.07132,12.82394,12.72020,12.54464,12.23342,12.20150,11.89826,11.65885,11.48329,11.22793
2014,Blackwattle Bay 33_5kV,10MAY2013,MW,11.02045,10.75711,10.44589,10.24639,10.19851,9.78354,9.54414,9.48030,9.44838,9.30474,9.24090,9.24090,9.12918,9.13716,9.17706,9.17706,9.21696,9.27282,9.28080,9.28080,9.53616,9.67182,9.75960,10.01496,10.71721,11.03641,11.28379,11.53117,12.42494,12.91970,13.40649,13.68579,14.00499,14.28429,14.54763,14.46783,14.49177,14.38803,14.52369,14.49177,14.52369,14.44389,14.63541,14.53167,14.63541,14.75511,14.75511,14.83492,14.77905,14.79502,14.78704,14.66733,14.85886,14.86684,14.76309,14.74713,14.80300,14.86684,14.62743,14.58753,14.41197,14.44389,14.30823,14.34015,14.27631,14.16459,14.17257,14.14065,14.30823,14.65935,14.79502,14.77107,14.39601,14.37207,14.40399,14.32419,13.93317,13.62195,13.59003,13.51023,13.29477,13.11122,13.06334,12.99152,12.78404,12.62444,12.52070,12.48080,12.36110,12.24938,11.89028,11.72270,11.57107,11.35561,11.27581,11.15611
2014,Blackwattle Bay 33_5kV,11MAY2013,MW,10.98055,10.69327,10.31821,10.16659,10.07082,9.91122,9.82344,9.49626,9.28878,9.28878,9.28878,9.28878,9.10524,9.02544,9.02544,9.02544,9.07332,9.08928,9.14514,9.20898,9.27282,9.27282,9.42444,9.56808,9.99102,9.94314,10.00698,9.95910,10.34215,10.36609,10.55761,10.75711,11.17207,11.17207,11.34763,11.77856,11.89028,12.12170,12.28130,12.29726,12.52070,12.65636,12.74414,12.70424,12.80000,12.79202,12.76010,12.68030,12.74414,12.79202,12.77606,12.71222,12.64040,12.52070,12.52070,12.51272,12.36908,12.39302,12.40100,12.16160,12.12170,12.02594,12.06584,11.91422,12.01796,11.90624,12.02594,12.20150,12.52070,12.84788,13.32669,13.36659,13.54215,13.33467,13.33467,13.38255,13.27881,13.29477,13.14314,13.12718,12.72818,12.69626,12.60050,12.52070,12.33716,12.31322,12.16160,12.03392,12.10574,11.81048,11.77856,11.54713,11.34763,11.35561,11.21197,11.09227
2014,Blackwattle Bay 33_5kV,12MAY2013,MW,10.94065,10.77307,10.54165,10.42993,10.27831,9.95910,9.83940,9.84738,9.48030,9.28878,9.28878,9.28878,9.27282,9.20898,9.24888,9.21696,9.24888,9.21696,9.21696,9.36060,9.32070,9.32070,9.39252,9.36858,9.59202,9.54414,9.49626,9.53616,9.83940,9.85536,10.06284,10.20649,10.54165,10.78105,10.98853,11.10823,11.32369,11.38753,11.57107,11.61895,11.77856,11.91422,11.97008,11.94614,11.95412,12.20150,12.08180,12.19352,12.16958,12.20150,11.95412,11.97008,11.82644,11.94614,11.80250,11.73068,11.60299,11.76260,11.67482,11.61097,11.53915,11.40349,11.33965,11.42743,11.31571,11.38753,11.45935,11.77058,12.10574,12.53666,12.80798,12.99950,13.13516,13.21496,13.23093,13.22294,13.23093,13.19900,13.15910,13.11920,12.95960,12.75212,12.72020,12.70424,12.65636,12.51272,12.35312,12.32120,12.24938,11.97008,11.65885,11.52319,11.18803,11.11621,11.11621,10.86085
2014,Blackwattle Bay 33_5kV,13MAY2013,MW,10.66933,10.33417,10.15861,10.01496,9.76758,9.52020,9.44040,9.21696,9.16908,9.05736,9.10524,8.87382,8.87382,8.87382,8.87382,8.87382,8.91372,9.17706,9.16110,9.17706,9.44838,9.46434,9.49626,9.70374,10.29427,10.83691,11.09227,11.41147,12.06584,12.76808,13.39851,13.67781,14.03691,14.29227,14.33217,14.30823,14.45985,14.47581,14.40399,14.41197,14.41995,14.49975,14.47581,14.69925,14.77107,14.77107,14.88280,14.92270,14.81896,14.84290,14.77107,14.69127,14.63541,14.55561,14.49975,14.45187,14.49177,14.42793,14.42793,14.35611,14.19651,14.28429,14.25237,14.14065,14.21247,14.12469,14.18055,14.37207,14.73117,14.93068,15.08230,15.13018,14.78704,14.88280,14.72319,14.72319,14.57955,14.26035,14.17257,14.22045,14.12469,13.81347,13.72569,13.63791,13.49427,13.27083,13.12718,13.01546,12.80798,12.45686,12.15362,11.78654,11.57905,11.29177,11.15611,10.82893
2014,Blackwattle Bay 33_5kV,14MAY2013,MW,10.63741,10.50175,10.15063,10.06284,9.99102,9.83940,9.65586,9.51222,9.30474,9.26484,9.02544,8.90574,8.99352,9.02544,8.93766,8.94564,9.05736,9.05736,9.05736,9.09726,9.32070,9.40848,9.60000,9.82344,10.46983,10.82095,11.35561,11.47531,12.16958,12.79202,13.43841,13.77357,14.13267,14.08479,14.19651,14.29227,14.49177,14.45985,14.36409,14.20449,14.06883,14.22045,14.22045,14.23641,14.35611,14.54763,14.50773,14.53167,14.41197,14.45985,14.52369,14.57157,14.63541,14.51571,14.44389,14.35611,14.30823,14.21247,14.24439,14.16459,14.07681,14.06085,14.04489,13.82943,13.92519,13.76559,13.70175,13.74165,14.04489,14.45187,14.85088,14.88280,14.60349,14.61945,14.67531,14.55561,14.38005,14.10075,14.06085,14.14863,13.92519,13.77357,13.78953,13.70973,13.55013,13.33467,13.38255,13.01546,12.80798,12.52070,12.33716,12.08978,11.90624,11.46733,11.21995,11.00449
2014,Blackwattle Bay 33_5kV,15MAY2013,MW,10.79701,10.59751,10.32619,10.14265,9.93516,9.73566,9.48030,9.43242,9.30474,9.16110,9.09726,8.87382,8.87382,8.87382,8.93766,8.85786,9.04938,9.03342,9.15312,9.15312,9.37656,9.41646,9.56808,9.83940,10.77307,11.13217,11.29975,11.65087,12.52868,12.97556,13.76559,14.28429,14.67531,14.67531,14.75511,14.58753,14.61945,14.57955,14.57955,14.54763,14.44389,14.25237,14.27631,14.33217,14.34015,14.40399,14.53167,14.38005,14.30025,14.15661,14.34813,14.28429,14.30025,14.16459,14.27631,14.16459,14.14065,14.11671,14.04489,13.74963,13.69377,13.74165,13.67781,13.64589,13.66983,13.68579,13.70973,13.72569,13.97307,14.29227,14.58753,14.69127,14.55561,14.46783,14.55561,14.75511,14.57157,14.18853,13.98105,14.02893,13.87731,13.69377,13.67781,13.35063,13.20698,13.11122,12.98354,12.74414,12.64838,12.36110,12.08978,12.00998,11.82644,11.54713,11.10025,10.86085
2014,Blackwattle Bay 33_5kV,16MAY2013,MW,10.60549,10.36609,10.30225,10.03092,9.92718,9.73566,9.51222,9.23292,9.21696,9.00948,8.94564,8.94564,8.94564,8.94564,8.94564,8.94564,8.94564,9.14514,9.24090,9.24090,9.39252,9.48828,9.48828,9.69576,10.47781,10.93267,11.05237,11.47531,12.41696,12.89576,13.66983,14.10075,14.28429,14.42793,14.46783,14.50773,14.65935,14.67531,14.38803,14.31621,14.36409,14.37207,14.34813,14.36409,14.45985,14.39601,14.45985,14.40399,14.32419,14.38005,14.42793,14.47581,14.55561,14.62743,14.53965,14.41197,14.15661,14.32419,14.28429,14.19651,14.11671,14.07681,14.06883,13.92519,14.02095,13.92519,13.96509,14.06085,14.18055,14.52369,14.70723,14.81098,14.62743,14.65935,14.62743,14.65137,14.46783,14.27631,14.07681,13.94913,13.94115,13.77357,13.67781,13.55811,13.60599,13.38255,13.30275,13.09526,12.92768,12.70424,12.42494,12.22544,11.83442,11.57905,11.41945,11.26783
2014,Blackwattle Bay 33_5kV,17MAY2013,MW,10.94863,10.67731,10.38205,10.19053,10.14265,9.86334,9.71172,9.40848,9.40848,9.13716,9.12918,9.12918,8.88180,8.88978,9.02544,8.92170,9.20100,9.15312,9.23292,9.28080,9.51222,9.49626,9.58404,9.97506,10.67731,10.99651,11.10823,11.57107,12.60050,13.16708,13.61397,13.94913,14.20449,14.48379,14.57955,14.44389,14.54763,14.77905,14.56359,14.38005,14.26833,14.34015,14.30025,14.26035,14.36409,14.41995,14.51571,14.47581,14.46783,14.38005,14.24439,14.13267,14.19651,14.11671,14.06085,14.10075,14.21247,14.18853,14.06883,13.90923,13.83741,13.78155,13.74963,13.81347,13.87731,13.74165,13.74165,13.82943,14.09277,14.38803,14.76309,14.59551,14.40399,14.38803,14.25237,14.30823,13.92519,13.80549,13.72569,13.61397,13.54215,13.50225,13.43841,13.29477,13.09526,12.97556,12.84788,12.64838,12.45686,12.29726,12.20150,12.17756,11.79452,11.62693,11.57905,11.25187
2014,Blackwattle Bay 33_5kV,18MAY2013,MW,11.11621,10.88479,10.64539,10.49377,10.23043,9.99102,9.89526,9.71172,9.53616,9.38454,9.30474,9.19302,9.19302,9.19302,8.94564,9.04938,9.12120,9.12918,9.15312,9.20100,9.24090,9.42444,9.46434,9.69576,9.85536,10.07082,9.88728,10.03092,10.17457,10.42993,10.67731,10.82095,11.29975,11.33965,11.41147,11.62693,11.81846,11.97008,12.05786,12.12968,12.28928,12.46484,12.44090,12.28130,12.46484,12.75212,12.53666,12.36908,12.42494,12.46484,12.44888,12.42494,12.24938,12.10574,12.16160,12.10574,12.18554,12.13766,12.04988,11.91422,11.85038,11.85836,11.69876,11.65087,11.74664,11.79452,12.08978,12.18554,12.64040,13.23093,13.61397,13.78155,13.71771,13.83741,13.76559,13.62195,13.55013,13.42245,13.39053,13.15910,13.02344,12.84788,12.86384,12.62444,12.55262,12.40898,12.36908,12.37706,12.24938,12.02594,11.81846,11.73866,11.63491,11.45137,11.36359,11.21995
2014,Blackwattle Bay 33_5kV,19MAY2013,MW,11.32369,10.96459,10.70923,10.54963,10.39801,9.86334,9.80748,9.75960,9.53616,9.49626,9.30474,9.29676,9.26484,9.21696,9.26484,9.17706,9.10524,9.13716,9.16908,9.16110,9.16110,9.28878,9.44040,9.46434,9.65586,9.63990,9.53616,9.68778,9.95112,10.01496,10.20649,10.47781,10.58953,10.70923,10.90075,11.10823,11.26783,11.53117,11.66683,11.88230,11.85836,11.91422,12.13766,12.09776,12.15362,12.22544,12.23342,12.10574,12.04988,12.10574,12.19352,12.02594,11.99402,11.97806,12.02594,11.80250,11.83442,11.85836,11.81048,11.79452,11.69876,11.64289,11.67482,11.73068,11.70674,11.70674,11.89028,12.04190,12.67232,13.11920,13.38255,13.74963,14.06085,14.06085,14.21247,14.12469,13.98105,13.91721,13.89327,13.78155,13.78155,13.68579,13.59801,13.35861,13.37457,13.15112,12.94364,12.78404,12.62444,12.48080,12.06584,11.84240,11.62693,11.41147,11.21995,11.02045
2014,Blackwattle Bay 33_5kV,20MAY2013,MW,10.91671,10.67731,10.40599,10.26235,10.15063,9.94314,9.81546,9.66384,9.36858,9.30474,9.10524,9.10524,9.04938,8.96160,9.02544,8.88978,9.13716,9.12918,9.15312,9.30474,9.64788,9.66384,9.73566,10.05486,10.70125,11.25985,11.47531,11.81048,12.80798,13.43841,14.10075,14.40399,14.57955,14.77905,14.94664,14.83492,14.94664,15.01846,14.93866,14.70723,14.61945,14.63541,14.52369,14.70723,14.69925,14.77107,14.55561,14.50773,14.72319,14.48379,14.49177,14.53167,14.46783,14.41197,14.45985,14.45985,14.26035,14.28429,14.17257,14.21247,14.17257,14.06085,14.09277,14.01297,14.03691,13.99701,14.02095,14.30823,14.34015,14.77107,15.11422,15.18604,15.10624,15.13816,15.16210,15.30574,15.13816,15.00250,14.99452,14.97058,14.84290,14.51571,14.41995,14.49975,14.24439,13.96509,13.70973,13.51023,13.33467,13.03940,12.68828,12.46484,12.08180,11.74664,11.59501,11.33167
2014,Blackwattle Bay 33_5kV,21MAY2013,MW,11.12419,10.84489,10.49377,10.12669,10.09476,9.79950,9.78354,9.53616,9.37656,9.31272,9.13716,9.03342,9.08928,9.02544,9.07332,9.07332,8.96160,8.96160,9.32868,9.36060,9.54414,9.67182,9.68778,10.07880,10.99651,11.33167,11.56309,11.70674,12.64040,13.48629,14.09277,14.34015,14.64339,14.75511,15.02644,14.95462,15.09028,15.01048,14.90674,14.59551,14.38005,14.44389,14.38803,14.34813,14.27631,14.42793,14.29227,14.32419,14.47581,14.57157,14.56359,14.44389,14.42793,14.33217,14.26833,14.18055,14.22843,14.20449,14.10873,14.08479,13.96509,13.98903,14.17257,14.08479,14.05287,13.92519,13.99701,14.02893,14.35611,14.75511,14.92270,15.01846,14.97058,15.06634,14.93866,14.97856,14.81098,14.65935,14.69127,14.44389,14.26035,14.15661,14.12469,13.94913,13.80549,13.51023,13.45437,13.11920,12.99950,12.79202,12.24938,12.07382,11.80250,11.61895,11.35561,11.05237
2014,Blackwattle Bay 33_5kV,22MAY2013,MW,11.06833,10.74115,10.36609,10.31023,10.09476,9.96708,9.87132,9.58404,9.39252,9.30474,9.23292,9.00150,9.00150,9.00150,9.08130,8.97756,9.09726,9.17706,9.14514,9.32070,9.44838,9.61596,9.82344,10.11072,10.86085,11.21995,11.43541,11.88230,12.76010,13.58205,14.25237,14.59551,14.77905,14.92270,15.01846,14.84290,14.99452,15.05836,14.97856,14.81896,14.77107,14.81098,14.57157,14.58753,14.72319,14.82694,14.70723,14.81098,14.85886,14.78704,14.75511,14.78704,14.76309,14.92270,14.88280,14.73915,14.81896,14.72319,14.61945,14.70723,14.75511,14.62743,14.90674,14.85088,14.85886,14.90674,15.01846,15.26584,15.52120,15.63292,15.82444,15.70474,15.78454,15.71272,15.72868,15.80848,15.70474,15.40948,15.26584,15.30574,15.01048,15.03442,15.13816,14.85886,14.71521,14.65137,14.30025,14.16459,13.88529,13.46235,13.11920,12.84788,12.68828,12.27332,12.04190,11.66683
2014,Blackwattle Bay 33_5kV,23MAY2013,MW,11.45935,11.18005,10.94863,10.82095,10.52569,10.19053,10.16659,10.00698,10.04688,9.71172,9.61596,9.37656,9.35262,9.35262,9.35262,9.35262,9.44040,9.64788,9.52020,9.65586,9.95112,9.94314,9.92718,10.30225,11.05237,11.49925,11.86634,12.12968,13.04738,13.81347,14.45985,14.80300,15.15412,15.36958,15.24190,15.20200,15.20998,15.09028,15.13018,14.83492,14.84290,14.83492,14.97856,15.01846,14.95462,14.99452,15.02644,14.88280,15.01048,15.05038,15.09028,14.97856,15.20200,15.17806,15.18604,14.81896,14.89876,14.95462,14.85088,14.64339,14.55561,14.50773,14.34813,14.47581,14.55561,14.61945,14.65137,14.60349,14.97856,15.21796,15.40150,15.40948,15.28978,15.60898,15.52918,15.36958,15.28180,15.08230,15.10624,14.83492,14.71521,14.50773,14.60349,14.57157,14.37207,14.12469,13.83741,13.93317,13.65387,13.30275,13.06334,12.76808,12.54464,12.30524,12.22544,11.81048
2014,Blackwattle Bay 33_5kV,24MAY2013,MW,11.59501,11.10823,10.88479,10.64539,10.56559,10.31023,10.17457,10.03890,9.79152,9.67182,9.53616,9.29676,9.23292,9.23292,9.23292,9.23292,9.24888,9.30474,9.47232,9.51222,9.78354,9.91920,9.93516,10.23043,10.94065,11.34763,11.70674,12.18554,12.90374,13.43043,13.98105,14.49177,14.65137,14.78704,14.81098,14.82694,14.74713,14.62743,14.65137,14.57157,14.96260,14.67531,14.61945,14.59551,14.61147,14.56359,14.64339,14.57955,14.61147,14.62743,14.41197,14.48379,14.63541,14.57955,14.46783,14.45985,14.30823,14.26833,14.26035,14.22843,14.19651,14.16459,14.10873,14.06085,14.14863,14.13267,14.31621,14.19651,14.49975,14.85088,15.06634,15.16210,14.97058,14.77905,14.69127,14.70723,14.49177,14.24439,14.15661,14.09277,13.90125,13.83741,13.76559,13.65387,13.54215,13.47033,13.50225,13.29477,13.01546,12.95162,12.59252,12.68030,12.40100,12.15362,12.07382,11.81846
2014,Blackwattle Bay 33_5kV,25MAY2013,MW,11.72270,11.38753,11.15611,10.88479,10.81297,10.57357,10.42993,10.27033,10.10274,9.76758,9.75162,9.53616,9.44040,9.44040,9.29676,9.35262,9.49626,9.36858,9.46434,9.52818,9.52818,9.48030,9.67980,9.75960,10.15063,10.20649,10.30225,10.13467,10.40599,10.60549,10.84489,11.21197,11.50723,11.70674,11.99402,12.20150,12.29726,12.36908,12.45686,12.56060,12.65636,12.70424,12.68030,12.72818,12.83990,12.98354,12.74414,12.76010,12.76808,12.87980,12.83192,12.74414,12.47282,12.36908,12.38504,12.24140,12.23342,12.16160,12.20948,12.05786,12.05786,12.01796,12.17756,12.06584,11.94614,12.07382,12.24938,12.45686,12.93566,13.42245,13.68579,13.79751,13.82943,13.77357,13.64589,13.61397,13.52619,13.56609,13.50225,13.43043,13.12718,13.11920,13.03142,12.79202,12.89576,12.77606,12.76808,12.55262,12.64040,12.40100,12.21746,12.19352,11.89826,11.97008,11.85038,11.69078
2014,Blackwattle Bay 33_5kV,26MAY2013,MW,11.53117,11.31571,11.12419,11.06035,10.95661,10.57357,10.54165,10.21447,9.93516,9.80748,9.67182,9.67182,9.66384,9.47232,9.45636,9.35262,9.41646,9.32868,9.28080,9.30474,9.52818,9.52818,9.52818,9.61596,9.79152,9.82344,9.91122,9.87930,10.07880,10.31023,10.42993,10.77307,11.04439,11.06833,11.27581,11.57107,11.69876,11.88230,11.96210,12.07382,12.11372,12.24140,12.34514,12.31322,12.33716,12.57656,12.56060,12.33716,12.24938,12.23342,12.27332,12.19352,12.22544,12.13766,12.06584,12.00998,11.97008,11.95412,11.83442,11.74664,11.71472,11.72270,11.73866,11.79452,11.78654,11.89028,12.12170,12.38504,12.76010,13.26285,13.67781,13.78155,13.86135,14.02893,14.16459,14.13267,14.06085,14.04489,13.99701,13.90923,13.84539,13.80549,13.90125,13.59003,13.55013,13.45437,13.32669,13.07132,12.80798,12.63242,12.24938,12.20948,11.83442,11.80250,11.62693,11.51521
