year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Jannali 33_11kV,01MAY2013,MW,8.79344,8.86718,8.14822,7.66891,8.48005,7.81639,7.26335,6.82091,6.56282,6.28630,5.89916,5.80699,5.60421,5.71482,5.64108,5.51203,5.64108,5.78855,5.78855,5.78855,6.06508,6.61812,7.11587,7.68735,8.92249,10.30510,11.28215,12.16703,12.77538,12.20390,12.16703,11.85363,11.39276,10.80284,10.10232,9.51240,8.94092,8.81188,8.49848,7.98231,7.92700,7.48456,7.44769,7.13430,7.00526,6.89465,6.69186,6.89465,6.89465,6.89465,7.04213,6.96839,6.96839,6.98682,6.82091,7.11587,7.28178,8.40631,8.22196,8.14822,8.33257,8.33257,8.71970,9.42023,9.88110,10.08388,10.47102,11.18998,12.64633,12.31450,13.62338,14.67417,15.15348,15.44844,15.44844,15.43000,15.00600,14.34234,14.02895,13.58651,12.97816,12.49885,12.27764,12.00111,11.61398,11.02406,10.83971,10.67380,10.76597,9.95484,9.67832,9.08840,14.72948,13.08877,12.49885,11.02406
2014,Jannali 33_11kV,02MAY2013,MW,10.30510,9.69675,8.84875,11.79833,13.18094,12.42511,10.28667,8.57222,7.63204,8.00074,6.72873,7.04213,6.19412,6.02821,5.75168,5.73325,5.73325,5.91760,6.04664,6.04664,6.36004,6.69186,7.26335,8.14822,9.23588,10.32354,11.37433,10.50789,10.58163,10.72910,10.74754,10.72910,10.21293,9.75206,9.32805,8.90405,8.40631,8.11135,8.11135,7.90857,7.85326,7.77952,7.44769,7.33709,7.17117,6.96839,6.83934,6.91308,6.96839,6.96839,6.72873,6.67343,6.80247,6.52595,6.67343,6.85778,6.65499,6.87621,6.96839,6.96839,7.00526,7.41082,7.61361,8.18509,8.57222,9.12527,9.73362,10.60006,11.54024,12.88599,14.26860,15.28252,15.74339,16.11209,15.94618,15.92774,15.74339,15.35626,14.85852,14.61887,14.34234,14.06582,13.84460,13.47590,12.94129,12.05642,11.94581,11.59554,11.68772,10.91345,10.58163,9.84423,15.83557,15.55905,15.54061,14.36078
2014,Jannali 33_11kV,03MAY2013,MW,13.43903,12.60946,11.44807,13.23625,15.66965,16.16740,14.89539,13.30999,11.85363,12.40668,10.37884,10.30510,8.71970,7.87170,7.28178,6.91308,6.50752,6.45221,6.34160,6.34160,6.72873,7.00526,7.52143,8.22196,9.19901,10.56319,12.22233,11.04250,10.85815,11.48493,11.61398,11.41120,11.06093,10.58163,9.89953,9.58614,8.95936,8.64596,8.48005,8.11135,8.07448,7.77952,7.63204,7.31865,7.26335,7.07900,6.93152,6.85778,6.89465,6.82091,6.67343,6.67343,6.67343,6.85778,6.69186,6.74717,6.71030,6.71030,7.00526,7.04213,7.04213,7.30022,7.50300,7.87170,8.12979,8.70127,9.01466,9.78893,10.60006,12.09329,13.30999,14.21330,14.98756,15.17191,14.93226,14.67417,14.60043,14.17643,13.73399,13.40216,12.83068,12.60946,12.36981,11.89050,11.57711,11.22685,11.04250,10.76597,11.31902,10.80284,10.60006,9.82580,15.85400,15.61435,15.76183,14.43452
2014,Jannali 33_11kV,04MAY2013,MW,13.45747,12.77538,11.46650,13.47590,15.63278,16.07522,14.80321,13.23625,11.63241,11.96424,10.17606,10.24980,8.62753,7.72422,7.06056,6.61812,6.52595,6.32317,6.04664,5.89916,6.06508,6.19412,6.19412,6.19412,6.78404,7.13430,7.65048,7.59517,8.01918,8.86718,9.45710,9.73362,10.19449,10.54476,10.89502,10.87658,10.80284,10.80284,10.56319,10.10232,9.82580,9.53084,9.64145,9.42023,9.14370,9.16214,8.57222,8.62753,8.38787,8.29570,8.27726,8.05605,7.90857,7.74265,7.74265,7.96387,8.24039,8.36944,8.29570,8.29570,8.57222,8.71970,8.90405,9.23588,9.62301,9.95484,10.41571,11.35589,12.35137,13.62338,15.06130,15.63278,15.61435,15.63278,15.31939,14.85852,14.39765,13.89991,13.36529,13.03347,12.49885,12.16703,11.79833,11.59554,11.26372,10.93189,10.74754,10.47102,10.89502,10.39728,10.24980,9.84423,15.59591,15.63278,15.92774,14.74791
2014,Jannali 33_11kV,05MAY2013,MW,13.75243,13.03347,11.70615,13.60495,15.92774,16.48079,15.07974,13.53121,12.27764,12.83068,11.00563,10.54476,9.18057,8.36944,7.65048,7.09743,6.59969,6.32317,6.02821,6.02821,6.02821,6.02821,6.02821,6.26786,6.54439,6.87621,7.30022,7.11587,7.22648,7.68735,8.03761,8.73814,9.34649,9.77049,10.26823,10.26823,10.58163,10.74754,10.67380,10.52632,10.39728,10.24980,10.02858,9.75206,9.45710,9.25431,9.25431,9.21744,9.38336,8.84875,8.86718,8.79344,8.35100,8.49848,8.16666,8.12979,8.01918,8.16666,8.25883,8.35100,8.38787,8.81188,9.10683,9.36492,9.88110,10.36041,11.31902,12.42511,13.34686,14.78478,16.38861,17.49471,17.82654,17.93715,17.67906,17.10758,16.57296,16.14896,15.78026,15.13504,14.58200,14.36078,14.23173,13.42060,12.77538,12.31450,11.96424,11.39276,11.44807,10.72910,10.39728,9.53084,15.65122,15.59591,15.70652,14.60043
2014,Jannali 33_11kV,06MAY2013,MW,14.02895,13.19938,12.16703,13.66025,16.03835,16.68357,15.70652,14.30547,12.86755,13.54964,11.83520,11.55867,9.82580,8.84875,7.92700,7.37396,6.83934,6.74717,6.52595,6.43378,6.71030,7.17117,7.65048,8.51692,9.78893,11.59554,12.75694,11.63241,11.72459,12.07485,11.90894,11.57711,11.09780,10.48945,9.97327,9.43866,9.10683,8.92249,8.55379,8.40631,,8.09292,7.83483,7.50300,7.37396,7.20804,7.13430,7.18961,7.02369,7.17117,7.15274,7.17117,6.91308,6.98682,6.94995,6.94995,6.96839,7.18961,7.18961,7.26335,7.66891,7.68735,7.90857,8.29570,8.66440,9.36492,10.10232,10.98719,12.33294,14.08425,15.87244,16.88636,17.31036,17.84497,17.80810,17.45784,17.08914,16.66514,16.11209,15.74339,15.43000,14.76634,14.37921,14.08425,13.62338,12.88599,12.68320,11.96424,11.94581,11.17154,10.80284,9.89953,15.90931,15.68809,15.81713,14.54513
2014,Jannali 33_11kV,07MAY2013,MW,13.54964,12.88599,11.68772,13.42060,15.66965,16.07522,15.00600,13.49434,12.20390,12.68320,10.67380,10.47102,9.16214,8.36944,7.74265,7.09743,6.59969,6.34160,6.23099,6.58125,6.71030,7.22648,7.77952,8.64596,10.12075,11.50337,12.77538,11.54024,11.74302,11.98268,11.76146,11.48493,11.15311,10.65536,9.88110,9.25431,8.97779,8.75657,8.55379,8.18509,7.90857,7.81639,7.81639,7.55830,7.41082,7.24491,6.93152,7.17117,7.42926,7.22648,7.63204,7.48456,7.02369,6.96839,6.96839,6.89465,7.18961,7.53987,7.53987,7.53987,7.53987,7.53987,7.87170,8.18509,8.44318,9.16214,9.82580,10.91345,12.14859,13.71556,15.24565,16.33331,16.66514,17.21818,17.27349,16.96010,16.96010,16.51766,15.94618,15.54061,15.11661,14.69261,14.52669,13.93677,13.16251,12.62790,12.29607,11.83520,11.89050,11.09780,10.78441,9.84423,16.00148,15.72496,15.76183,14.54513
2014,Jannali 33_11kV,08MAY2013,MW,13.66025,12.75694,11.54024,13.29155,15.72496,16.11209,14.87695,13.40216,12.13016,12.79381,10.82128,10.41571,8.94092,8.14822,7.53987,6.85778,6.58125,6.47065,6.47065,6.59969,6.80247,7.20804,7.76109,8.66440,9.88110,11.22685,12.44355,11.35589,11.42963,11.52180,11.52180,11.41120,10.95032,10.58163,10.21293,9.47553,9.18057,8.95936,8.84875,8.62753,8.40631,8.12979,7.90857,7.61361,7.42926,7.17117,6.93152,6.93152,6.76560,7.00526,7.00526,6.96839,6.67343,6.87621,6.98682,7.00526,7.26335,7.26335,7.26335,7.26335,7.26335,7.44769,7.87170,8.12979,8.57222,9.01466,9.47553,10.48945,11.42963,12.97816,14.54513,15.43000,15.90931,16.46235,16.53609,16.31488,16.11209,15.72496,15.37470,14.93226,14.32391,14.01051,13.80773,13.53121,13.18094,12.33294,12.14859,11.50337,11.70615,11.02406,10.76597,9.93640,15.96461,15.68809,15.70652,14.50826
2014,Jannali 33_11kV,09MAY2013,MW,13.58651,12.72007,11.68772,13.45747,15.79870,16.24114,15.19035,13.64182,12.11172,12.55416,10.56319,10.34197,9.01466,8.09292,7.37396,6.72873,6.45221,6.41534,6.41534,6.41534,6.76560,7.31865,7.66891,8.55379,9.67832,11.31902,12.48042,11.35589,11.28215,11.68772,11.50337,11.57711,11.15311,10.58163,9.80736,9.29118,9.05153,8.84875,8.46161,8.14822,7.79796,7.46613,7.18961,7.04213,7.04213,6.76560,6.76560,6.76560,6.76560,6.65499,6.52595,6.52595,6.52595,6.52595,6.52595,6.52595,6.69186,6.74717,6.82091,6.82091,6.74717,6.87621,7.33709,7.74265,8.18509,8.66440,9.14370,9.99171,10.82128,12.27764,13.71556,14.50826,14.96913,15.57748,15.68809,15.68809,15.35626,15.00600,14.56356,14.21330,13.93677,13.60495,13.45747,13.18094,12.44355,11.94581,12.01955,11.57711,11.65085,10.72910,10.56319,9.84423,15.68809,15.48531,15.81713,14.41608
2014,Jannali 33_11kV,10MAY2013,MW,13.56808,12.77538,11.66928,13.43903,15.74339,16.16740,14.82165,13.38373,11.81676,12.57259,10.56319,10.30510,8.68283,7.92700,7.22648,6.76560,6.50752,6.32317,6.32317,6.34160,6.74717,7.26335,7.46613,8.42474,9.67832,11.00563,12.11172,11.28215,11.50337,11.89050,12.22233,11.96424,11.50337,10.78441,10.34197,9.58614,9.27275,8.94092,8.79344,8.53535,8.29570,7.89013,7.79796,7.74265,7.30022,6.93152,6.87621,6.87621,7.09743,6.91308,6.91308,6.91308,6.83934,6.82091,6.82091,6.87621,6.94995,7.00526,7.00526,7.20804,7.33709,7.33709,7.74265,8.12979,8.53535,9.08840,9.51240,10.21293,11.00563,12.42511,13.95521,14.72948,15.02443,15.28252,15.31939,15.07974,15.15348,14.63730,14.13956,13.82617,13.19938,13.07034,12.86755,12.38824,11.98268,11.54024,11.35589,10.83971,11.09780,10.63693,10.58163,10.13919,16.16740,15.89087,15.96461,14.76634
2014,Jannali 33_11kV,11MAY2013,MW,13.75243,12.83068,11.79833,13.71556,15.89087,16.29644,15.07974,13.51277,12.18546,12.53572,10.58163,10.43415,8.88562,8.05605,7.22648,6.76560,6.56282,6.23099,6.23099,6.23099,6.23099,6.23099,6.50752,6.48908,6.87621,7.50300,8.00074,7.72422,8.12979,8.86718,9.32805,9.69675,10.04701,10.34197,10.26823,10.36041,10.21293,9.93640,9.86266,9.62301,9.67832,9.65988,9.29118,9.10683,9.06996,8.90405,8.66440,8.70127,8.70127,8.70127,8.70127,8.71970,8.81188,8.27726,8.40631,8.40631,8.42474,8.81188,8.95936,9.14370,9.34649,9.65988,9.75206,10.12075,10.60006,10.87658,11.39276,12.33294,12.90442,14.01051,15.07974,15.52218,15.52218,15.54061,15.22722,14.98756,14.43452,13.89991,13.47590,13.18094,12.62790,12.35137,12.07485,11.68772,11.20841,10.85815,10.87658,10.54476,10.67380,10.48945,10.30510,9.77049,15.70652,15.66965,15.98305,14.72948
2014,Jannali 33_11kV,12MAY2013,MW,13.95521,13.32842,12.24077,13.89991,16.05679,16.38861,15.19035,13.82617,12.44355,12.95973,11.07937,10.93189,9.34649,8.35100,7.59517,7.04213,6.50752,6.45221,6.23099,5.91760,5.89916,6.10195,6.21256,6.23099,6.48908,6.76560,7.26335,7.11587,7.65048,8.22196,8.71970,9.27275,9.93640,10.28667,10.72910,11.00563,11.13467,11.35589,11.09780,11.02406,10.80284,10.50789,10.48945,10.26823,9.91797,9.64145,9.19901,8.71970,8.86718,8.81188,8.64596,8.40631,7.96387,8.03761,7.70578,7.83483,7.79796,7.76109,7.76109,7.81639,8.07448,8.14822,8.55379,8.64596,9.16214,9.53084,10.24980,11.07937,12.05642,13.34686,14.32391,15.04287,15.31939,15.43000,15.20878,15.11661,14.56356,14.23173,13.75243,13.53121,13.05190,12.83068,12.51729,12.13016,11.68772,11.41120,11.15311,10.74754,10.85815,10.17606,9.99171,9.30962,15.48531,15.30096,15.43000,14.45295
2014,Jannali 33_11kV,13MAY2013,MW,13.47590,12.88599,11.68772,13.62338,15.87244,16.40705,15.22722,13.99208,12.64633,13.16251,11.24528,11.02406,9.34649,8.40631,7.53987,6.96839,6.48908,6.21256,6.21256,6.43378,6.63656,7.17117,7.74265,8.35100,9.64145,11.02406,12.01955,11.02406,10.95032,11.41120,11.87207,11.66928,11.61398,11.35589,10.76597,10.19449,9.88110,9.69675,9.43866,9.30962,9.05153,8.97779,8.62753,8.53535,8.53535,8.24039,7.98231,7.70578,7.68735,7.77952,7.70578,7.90857,8.03761,8.24039,8.07448,8.25883,8.31413,8.31413,8.31413,8.05605,8.05605,8.18509,8.40631,8.90405,9.51240,10.21293,10.98719,11.94581,13.08877,14.71104,16.13053,16.83105,17.32879,17.67906,17.73436,17.56845,16.90479,16.42548,15.85400,15.44844,14.84008,14.36078,13.95521,13.49434,12.84912,12.18546,11.92737,11.48493,11.59554,10.82128,10.37884,9.62301,15.78026,15.59591,15.72496,14.60043
2014,Jannali 33_11kV,14MAY2013,MW,13.60495,12.79381,11.61398,13.62338,15.94618,16.51766,15.07974,13.67869,12.16703,12.88599,10.78441,10.48945,8.94092,8.07448,7.22648,6.71030,6.50752,6.50752,6.34160,6.21256,6.63656,7.28178,7.77952,8.46161,9.78893,11.35589,12.25920,11.33746,11.57711,12.20390,12.46198,12.86755,12.70164,12.22233,11.74302,11.54024,10.91345,10.52632,10.06545,9.56771,9.25431,9.14370,8.60909,8.42474,8.22196,7.83483,7.61361,7.41082,7.41082,7.41082,7.41082,7.41082,7.33709,7.18961,7.33709,7.33709,7.33709,7.33709,7.52143,7.61361,7.61361,7.79796,8.11135,8.71970,9.32805,9.80736,10.71067,11.59554,13.18094,15.02443,16.66514,17.71593,18.49019,18.82202,19.19072,19.15385,18.67454,18.25054,17.80810,17.77123,17.18132,16.86792,16.49922,15.90931,15.31939,14.89539,14.39765,13.84460,14.01051,12.77538,12.27764,11.31902,17.80810,17.42097,17.77123,16.60983
2014,Jannali 33_11kV,15MAY2013,MW,15.70652,14.67417,13.27312,14.85852,17.53158,18.04775,16.62827,15.06130,13.49434,14.52669,12.35137,12.03798,10.24980,9.30962,8.51692,8.01918,7.55830,7.41082,7.22648,7.22648,7.53987,8.12979,8.60909,9.93640,11.57711,13.34686,15.06130,13.86304,13.89991,14.41608,14.39765,14.26860,13.84460,12.99660,12.48042,11.42963,11.15311,10.67380,10.23136,9.75206,9.27275,8.94092,8.64596,8.57222,8.31413,8.01918,7.79796,7.79796,7.74265,7.48456,7.72422,7.68735,7.68735,7.41082,7.41082,7.41082,7.41082,7.46613,7.57674,7.50300,7.74265,8.18509,8.64596,9.27275,9.97327,10.72910,11.61398,12.70164,14.25017,16.16740,17.64219,18.78515,19.26446,19.61472,19.68846,19.70689,19.37507,18.74828,18.01089,17.86341,17.40253,17.10758,16.55453,16.20427,15.41157,14.84008,14.39765,13.80773,13.78930,12.62790,12.16703,11.15311,17.45784,17.25505,17.47627,16.35175
2014,Jannali 33_11kV,16MAY2013,MW,15.39313,14.58200,13.43903,14.93226,17.58688,18.10306,16.81262,15.09817,13.64182,14.69261,12.72007,12.48042,10.85815,9.86266,8.88562,8.14822,7.76109,7.31865,7.26335,7.26335,7.52143,8.03761,8.90405,9.89953,11.30059,13.01503,14.43452,13.36529,13.34686,13.56808,13.77086,13.56808,12.84912,12.01955,11.48493,10.60006,10.21293,9.69675,9.30962,9.03309,8.92249,8.44318,8.11135,8.22196,8.66440,8.71970,8.71970,8.68283,8.57222,8.16666,7.83483,7.90857,8.11135,8.09292,8.12979,7.81639,8.05605,8.07448,7.98231,7.94544,7.90857,7.94544,8.57222,9.01466,9.69675,10.30510,11.02406,12.42511,13.58651,15.43000,17.25505,18.21367,18.63767,18.87732,19.08011,19.15385,19.22759,18.60080,18.39802,18.06619,17.69749,17.32879,16.90479,16.40705,15.83557,14.96913,14.74791,14.04738,14.25017,13.29155,12.77538,11.65085,17.95558,17.84497,18.02932,16.66514
2014,Jannali 33_11kV,17MAY2013,MW,15.81713,14.91382,13.66025,15.19035,17.88184,18.37958,17.03384,15.39313,13.86304,14.71104,12.60946,12.27764,10.82128,9.54927,8.55379,8.01918,7.53987,7.48456,7.20804,7.31865,7.59517,8.12979,8.53535,9.62301,11.09780,12.49885,14.34234,13.32842,13.29155,13.80773,14.10269,13.51277,12.95973,12.46198,11.87207,11.00563,10.72910,10.26823,9.88110,9.49397,9.34649,9.05153,8.84875,8.60909,8.53535,8.22196,8.07448,8.01918,7.85326,7.68735,7.68735,7.77952,7.77952,7.50300,7.50300,7.53987,7.65048,7.87170,7.94544,7.96387,8.12979,8.29570,8.71970,9.27275,9.91797,10.43415,11.37433,12.57259,13.93677,15.81713,17.69749,18.80359,19.31976,19.70689,19.72533,19.70689,19.31976,18.91419,18.25054,18.06619,17.60532,17.08914,16.88636,16.42548,15.89087,15.04287,14.85852,14.30547,14.50826,13.66025,13.32842,12.29607,18.58237,18.61924,18.63767,17.27349
2014,Jannali 33_11kV,18MAY2013,MW,16.35175,15.41157,13.80773,15.57748,18.12149,18.58237,17.10758,15.39313,14.01051,15.15348,12.84912,12.55416,11.06093,10.04701,8.95936,8.31413,7.79796,7.33709,6.98682,6.98682,6.98682,7.02369,7.31865,7.59517,8.27726,8.90405,9.53084,9.36492,9.91797,10.91345,11.55867,12.13016,12.40668,12.62790,12.90442,12.73851,12.36981,12.29607,12.03798,11.81676,11.59554,11.15311,10.85815,10.76597,10.54476,10.01014,10.08388,9.64145,9.56771,9.32805,9.47553,9.23588,9.03309,8.92249,8.90405,8.83031,8.86718,9.10683,9.23588,9.34649,9.45710,9.71519,10.10232,10.47102,11.04250,11.83520,12.73851,13.99208,15.26409,17.07071,18.30584,18.89576,19.04324,19.02480,18.87732,18.32428,17.71593,17.27349,16.81262,16.59140,16.25957,15.79870,15.37470,15.07974,14.80321,14.17643,13.84460,13.49434,13.77086,13.03347,12.75694,11.85363,18.39802,18.28741,18.61924,17.55001
2014,Jannali 33_11kV,19MAY2013,MW,16.59140,15.83557,14.45295,15.78026,18.36115,19.09854,17.91871,16.35175,14.87695,15.90931,13.89991,13.77086,12.09329,10.91345,9.75206,8.88562,8.18509,7.76109,7.48456,7.18961,7.46613,7.20804,7.18961,7.44769,7.85326,8.36944,8.77501,8.64596,8.92249,9.89953,10.87658,11.77989,12.55416,13.36529,13.60495,13.75243,13.75243,13.71556,13.54964,13.01503,12.79381,12.46198,12.00111,11.61398,11.24528,10.87658,10.45258,10.19449,10.19449,9.91797,9.65988,9.40179,9.34649,9.23588,9.19901,9.16214,8.99623,9.18057,9.42023,9.43866,9.78893,10.06545,10.39728,10.82128,11.48493,12.53572,13.43903,14.98756,16.66514,18.67454,20.38899,21.07108,21.66099,21.67943,21.32916,20.90516,20.29681,19.92811,19.54098,18.67454,18.26897,17.88184,17.36566,16.73888,15.94618,15.24565,14.72948,13.86304,13.62338,12.70164,12.13016,11.18998,17.60532,17.53158,17.77123,16.92323
2014,Jannali 33_11kV,20MAY2013,MW,16.35175,15.52218,14.32391,15.43000,18.06619,18.60080,17.56845,16.27801,15.09817,16.35175,14.61887,14.41608,12.62790,11.44807,10.26823,9.29118,8.31413,8.05605,7.87170,7.72422,7.92700,8.31413,8.86718,10.04701,11.66928,13.58651,15.22722,14.23173,14.60043,15.07974,15.26409,14.89539,14.39765,13.58651,12.97816,12.27764,11.65085,11.07937,10.58163,10.24980,9.78893,9.38336,9.12527,9.25431,8.77501,8.59066,8.22196,8.22196,8.22196,8.22196,8.22196,8.22196,8.22196,7.92700,7.89013,7.83483,7.85326,8.00074,8.14822,8.14822,8.16666,8.59066,8.95936,9.51240,10.12075,10.98719,11.85363,13.40216,15.06130,17.36566,19.28289,20.37055,21.49508,22.08500,22.17717,22.10343,21.23699,20.92360,20.27838,19.87281,19.33820,18.78515,18.19523,17.58688,16.88636,16.03835,15.66965,14.93226,14.95069,13.93677,13.10721,12.03798,18.26897,17.93715,18.39802,17.27349
2014,Jannali 33_11kV,21MAY2013,MW,16.53609,15.76183,14.50826,15.61435,18.15836,18.69298,17.64219,16.20427,14.69261,15.85400,13.71556,13.53121,11.76146,10.69223,9.56771,8.68283,8.25883,8.25883,7.90857,7.53987,8.03761,8.22196,8.88562,10.24980,11.66928,13.53121,15.44844,14.43452,14.45295,14.93226,14.85852,14.52669,13.99208,12.95973,12.11172,11.39276,10.65536,10.39728,9.97327,9.60458,9.30962,8.99623,8.94092,8.68283,8.35100,8.03761,7.94544,7.72422,7.70578,7.65048,7.61361,7.90857,8.24039,8.01918,8.14822,7.85326,7.66891,8.16666,8.36944,8.35100,8.25883,8.49848,8.71970,9.25431,9.77049,10.32354,11.31902,12.66477,14.26860,16.29644,17.88184,18.87732,19.31976,19.85437,20.09403,20.24151,20.02029,19.63316,19.22759,18.91419,18.45332,18.02932,17.42097,16.99697,16.13053,15.41157,15.13504,14.47139,14.34234,13.21781,12.75694,11.52180,18.06619,17.78967,18.12149,16.77575
2014,Jannali 33_11kV,22MAY2013,MW,16.11209,15.31939,13.88147,15.30096,18.04775,18.41645,17.16288,15.74339,14.32391,15.55905,13.51277,13.29155,11.57711,10.32354,9.32805,8.60909,7.96387,7.76109,7.50300,7.72422,8.05605,8.44318,8.95936,10.21293,11.92737,13.93677,15.70652,14.56356,14.63730,15.41157,15.33783,15.13504,14.60043,13.88147,12.70164,11.87207,11.42963,11.07937,10.74754,10.24980,10.04701,10.10232,9.97327,9.97327,10.01014,9.84423,9.73362,9.67832,9.80736,9.75206,9.80736,9.71519,9.67832,9.99171,10.32354,10.95032,11.66928,11.70615,12.01955,12.05642,12.05642,12.62790,13.45747,14.58200,15.39313,16.35175,17.40253,18.67454,19.68846,21.01577,22.47213,23.46761,23.89161,24.24188,22.56430,21.23699,20.88673,20.53646,21.27386,21.60569,20.88673,20.31525,19.67002,19.02480,18.34271,17.45784,16.96010,15.89087,15.61435,14.45295,13.89991,12.51729,19.06167,18.78515,19.02480,17.64219
2014,Jannali 33_11kV,23MAY2013,MW,16.84949,15.98305,14.69261,15.94618,18.47176,19.20915,17.99245,16.35175,14.87695,15.83557,13.73399,13.67869,11.85363,10.87658,9.80736,8.95936,8.40631,7.92700,7.68735,7.59517,7.96387,8.40631,9.03309,10.12075,11.55867,13.29155,15.24565,13.99208,14.32391,15.06130,15.55905,15.41157,14.80321,14.39765,13.19938,12.44355,11.92737,11.50337,11.54024,11.81676,11.63241,11.39276,11.46650,10.85815,10.76597,10.76597,11.18998,11.52180,11.70615,11.90894,11.90894,11.77989,11.09780,10.74754,10.71067,10.82128,10.36041,10.06545,10.06545,9.91797,9.80736,9.84423,10.26823,11.02406,12.11172,13.05190,14.36078,15.48531,16.77575,18.61924,20.13090,21.12638,21.79004,22.47213,22.30621,22.25091,21.88221,21.55038,21.03421,20.59177,20.18620,19.61472,19.06167,18.67454,17.88184,16.96010,16.48079,15.74339,15.61435,14.39765,13.69712,12.64633,18.96950,18.72985,18.85889,17.60532
2014,Jannali 33_11kV,24MAY2013,MW,16.75731,15.79870,14.48982,15.89087,18.63767,19.19072,17.97402,16.38861,14.72948,15.50374,13.38373,13.42060,11.61398,10.24980,9.56771,8.66440,8.11135,7.74265,7.61361,7.72422,8.01918,8.25883,8.90405,10.02858,11.37433,13.07034,14.85852,13.77086,14.08425,14.98756,15.54061,15.65122,14.87695,14.21330,13.80773,13.23625,12.68320,12.24077,11.98268,11.52180,11.22685,10.98719,10.72910,10.43415,10.13919,10.13919,10.21293,10.39728,10.28667,10.24980,10.50789,10.89502,10.82128,10.47102,10.63693,9.82580,9.80736,10.13919,10.19449,10.26823,10.04701,10.10232,10.52632,10.91345,11.39276,12.22233,13.07034,14.47139,16.22270,18.19523,19.68846,20.53646,21.05264,21.75317,21.88221,21.55038,21.18169,20.70238,20.11246,19.83594,19.31976,18.54550,18.12149,17.67906,16.97853,16.42548,16.01992,15.31939,15.24565,14.36078,14.10269,13.18094,19.76220,19.48568,19.57785,18.28741
2014,Jannali 33_11kV,25MAY2013,MW,17.27349,16.24114,14.74791,16.29644,18.91419,19.22759,18.06619,16.49922,14.78478,16.03835,13.73399,13.49434,11.70615,10.63693,9.67832,8.77501,8.12979,7.85326,7.66891,7.37396,7.53987,7.55830,7.55830,7.87170,8.25883,8.79344,9.36492,9.14370,9.65988,10.60006,11.24528,11.94581,12.48042,13.27312,13.43903,13.36529,13.45747,13.56808,13.30999,12.83068,12.25920,12.14859,11.81676,11.33746,10.95032,10.47102,10.19449,10.04701,9.80736,9.58614,9.58614,9.45710,9.36492,9.38336,9.34649,9.38336,9.36492,9.27275,9.51240,9.58614,9.69675,10.08388,10.61850,11.07937,11.54024,12.31450,13.38373,14.65574,15.85400,17.71593,19.02480,19.59629,19.83594,19.83594,19.68846,19.33820,18.63767,18.28741,17.80810,17.40253,17.18132,16.77575,16.48079,16.00148,15.46687,14.87695,14.76634,14.26860,14.76634,14.04738,13.66025,12.97816,19.43037,19.02480,19.24602,18.12149
2014,Jannali 33_11kV,26MAY2013,MW,17.43940,16.46235,15.22722,16.42548,18.98793,19.55942,18.26897,16.81262,15.31939,16.42548,14.36078,14.06582,12.16703,11.18998,10.10232,9.25431,8.75657,8.29570,7.92700,7.65048,7.57674,7.50300,7.31865,7.63204,8.12979,8.59066,9.12527,8.97779,9.49397,10.39728,11.13467,11.90894,12.75694,13.45747,13.75243,13.88147,13.89991,13.89991,13.45747,13.12564,12.66477,12.51729,12.14859,11.74302,11.20841,10.89502,10.48945,10.28667,9.97327,9.62301,9.51240,9.45710,9.32805,8.97779,8.90405,8.95936,8.99623,9.18057,9.34649,9.54927,9.75206,10.01014,10.48945,11.02406,11.66928,12.59103,13.84460,15.28252,16.92323,19.02480,20.75768,21.58725,21.42134,21.66099,21.42134,21.27386,20.79455,20.14933,19.81750,19.26446,18.72985,18.30584,17.73436,17.19975,16.55453,15.57748,15.33783,14.60043,14.63730,13.62338,13.03347,12.00111,18.37958,18.12149,18.32428,17.25505
