year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2014,Rockdale 33_11kV,01MAY2013,MW,5.77733,5.58416,5.33832,5.11004,5.00467,4.79395,4.72371,4.51299,4.30226,4.30226,4.30226,4.30226,4.14422,4.05642,4.24958,4.26714,4.14422,4.30226,4.30226,4.42519,4.74127,5.03980,5.14516,5.44368,5.95293,6.35681,6.62022,6.86606,7.26995,7.48067,7.63871,7.72652,7.74408,8.06016,8.06016,8.14796,8.35868,8.41137,8.51673,8.56941,8.69233,8.63965,8.78013,8.76257,8.69233,8.70989,8.81525,8.86793,8.88549,8.79769,8.86793,8.79769,8.76257,8.65721,8.60453,8.62209,8.51673,8.53429,8.49917,8.51673,8.46405,8.37624,8.37624,8.42893,8.32356,8.14796,8.37624,8.35868,8.21820,8.51673,8.76257,8.83281,8.74501,8.74501,8.62209,8.53429,8.42893,8.09528,8.11284,7.97236,7.83188,7.84944,7.86700,7.74408,7.44555,7.37531,7.28751,6.93630,6.97142,6.77826,6.56754,6.33925,5.81245,5.65440,6.00561,5.88269
2014,Rockdale 33_11kV,02MAY2013,MW,5.68952,5.63684,5.51392,5.18028,5.05736,4.96955,4.82907,4.67103,4.53055,4.40763,4.35494,4.17934,4.17934,4.24958,4.39007,4.39007,4.31982,4.35494,4.37251,4.49543,4.74127,5.03980,5.23296,5.46124,5.97049,6.33925,6.60266,7.02410,7.23483,7.53335,7.62115,7.79676,7.90212,8.04260,8.00748,8.07772,7.98992,8.07772,8.30600,8.42893,8.34112,8.34112,8.35868,8.32356,8.27088,8.37624,8.30600,8.20064,8.25332,8.28844,8.30600,8.21820,8.32356,8.35868,8.34112,8.11284,8.00748,7.98992,7.93724,7.91968,7.81432,7.88456,8.00748,7.93724,7.95480,7.88456,7.98992,7.95480,8.13040,8.42893,8.86793,8.95573,8.81525,8.69233,8.60453,8.53429,8.35868,8.23576,7.97236,7.88456,7.86700,7.91968,7.65627,7.53335,7.25239,7.14703,7.16459,6.91874,6.81338,6.74314,6.49730,6.23389,6.09341,5.75977,5.98805,5.91781
2014,Rockdale 33_11kV,03MAY2013,MW,5.79489,5.70708,5.39100,5.30320,5.11004,4.89931,4.72371,4.44275,4.40763,4.39007,4.19690,4.19690,4.19690,4.19690,4.19690,4.19690,4.19690,4.21446,4.42519,4.35494,4.70615,4.86419,5.02223,5.32076,5.81245,6.26901,6.49730,6.91874,7.35775,7.42799,7.81432,7.88456,8.00748,8.06016,8.00748,8.13040,8.25332,8.25332,8.30600,8.32356,8.34112,8.25332,8.35868,8.32356,8.27088,8.28844,8.16552,8.21820,8.23576,8.14796,8.09528,8.30600,8.09528,8.02504,8.09528,8.14796,8.11284,7.95480,7.93724,7.93724,7.84944,7.74408,7.84944,7.72652,7.90212,7.97236,7.95480,7.83188,7.81432,8.11284,8.42893,8.35868,8.06016,8.07772,7.88456,7.77920,7.77920,7.63871,7.55091,7.37531,7.21727,7.07679,7.09435,6.91874,6.81338,6.74314,6.77826,6.51486,6.81338,6.83094,6.60266,6.46218,6.11097,5.93537,6.23389,6.04073
2014,Rockdale 33_11kV,04MAY2013,MW,5.90025,5.72465,5.58416,5.42612,5.21540,5.00467,5.11004,4.93443,4.70615,4.47787,4.37251,4.23202,4.23202,4.23202,4.16178,4.19690,4.19690,4.28470,4.40763,4.40763,4.40763,4.40763,4.67103,4.75883,5.03980,5.19784,5.39100,5.53148,5.72465,5.97049,6.11097,6.54998,6.79582,7.14703,7.23483,7.39287,7.62115,7.77920,7.72652,7.72652,7.69139,7.69139,7.72652,7.91968,7.83188,7.84944,7.77920,7.77920,7.77920,7.67383,7.81432,7.77920,7.63871,7.69139,7.60359,7.56847,7.60359,7.49823,7.56847,7.56847,7.32263,7.41043,7.26995,7.39287,7.21727,7.46311,7.55091,7.72652,7.56847,7.90212,8.20064,8.25332,8.23576,8.07772,8.18308,8.16552,7.72652,7.62115,7.44555,7.23483,7.16459,7.02410,7.02410,7.02410,7.12947,6.95386,6.86606,6.76070,6.70802,6.70802,6.60266,6.23389,6.11097,5.95293,6.30413,6.16365
2014,Rockdale 33_11kV,05MAY2013,MW,6.14609,6.04073,5.90025,5.68952,5.47880,5.28564,5.03980,4.81151,4.72371,4.60079,4.56567,4.33738,4.33738,4.33738,4.33738,4.24958,4.24958,4.24958,4.40763,4.40763,4.40763,4.47787,4.49543,4.42519,4.61835,4.74127,4.75883,5.02223,4.98711,5.25052,5.60172,5.65440,5.91781,6.26901,6.62022,6.69046,6.95386,7.07679,7.09435,7.18215,7.23483,7.32263,7.28751,7.16459,7.21727,7.28751,7.25239,7.23483,7.18215,7.18215,7.07679,7.09435,6.97142,6.84850,6.74314,6.67290,6.53242,6.62022,6.63778,6.51486,6.54998,6.60266,6.54998,6.54998,6.65534,6.65534,6.79582,6.79582,6.83094,7.19971,7.60359,7.79676,7.76164,7.70895,7.76164,7.74408,7.53335,7.49823,7.32263,7.19971,7.14703,7.12947,7.09435,6.93630,6.98898,6.70802,6.65534,6.46218,6.47974,6.30413,6.23389,5.98805,5.74221,5.54904,5.75977,5.65440
2014,Rockdale 33_11kV,06MAY2013,MW,5.72465,5.58416,5.46124,5.30320,5.12760,4.96955,4.63591,4.40763,4.37251,4.37251,4.35494,4.16178,4.16178,4.17934,4.24958,4.21446,4.21446,4.37251,4.37251,4.58323,4.81151,5.19784,5.42612,5.67196,6.09341,6.40950,6.84850,7.14703,7.39287,7.69139,7.88456,8.00748,8.13040,8.25332,8.23576,8.21820,8.32356,8.32356,8.28844,8.34112,,8.25332,8.32356,8.27088,8.21820,8.16552,8.32356,8.41137,8.30600,8.23576,8.28844,8.34112,8.13040,8.18308,8.00748,8.02504,8.02504,7.93724,8.06016,8.04260,7.97236,7.98992,7.98992,8.02504,7.91968,8.06016,8.04260,7.98992,8.20064,8.58697,8.95573,8.99085,8.90305,8.92061,8.74501,8.76257,8.74501,8.60453,8.44649,8.13040,8.06016,8.02504,7.91968,7.90212,7.70895,7.56847,7.48067,7.09435,7.12947,7.04166,6.63778,6.44462,6.18121,5.83001,6.11097,5.97049
2014,Rockdale 33_11kV,07MAY2013,MW,5.95293,5.72465,5.58416,5.30320,5.14516,4.96955,4.68859,4.58323,4.58323,4.39007,4.35494,4.35494,4.35494,4.35494,4.23202,4.35494,4.24958,4.37251,4.40763,4.67103,4.84663,5.23296,5.30320,5.60172,6.11097,6.46218,6.86606,7.37531,7.56847,7.72652,7.91968,7.97236,8.16552,8.21820,8.27088,8.16552,8.32356,8.32356,8.34112,8.42893,8.39380,8.44649,8.48161,8.28844,8.46405,8.35868,8.35868,8.35868,8.34112,8.30600,8.32356,8.30600,8.34112,8.48161,8.32356,8.21820,8.20064,8.20064,8.07772,8.18308,8.20064,8.27088,8.23576,8.13040,7.97236,8.13040,8.16552,8.18308,8.18308,8.41137,8.65721,8.97329,8.86793,8.78013,8.81525,8.72745,8.56941,8.35868,8.20064,8.13040,7.98992,8.04260,8.02504,7.81432,7.58603,7.49823,7.35775,7.05923,7.05923,6.90118,6.62022,6.37437,6.07585,5.70708,5.97049,5.93537
2014,Rockdale 33_11kV,08MAY2013,MW,5.93537,5.70708,5.60172,5.33832,5.21540,4.93443,4.68859,4.53055,4.47787,4.33738,4.23202,4.23202,4.23202,4.24958,4.19690,4.19690,4.26714,4.30226,4.61835,4.63591,4.72371,5.07492,5.28564,5.53148,5.97049,6.46218,7.02410,7.28751,7.56847,7.79676,8.02504,8.20064,8.14796,8.21820,8.14796,8.14796,8.35868,8.37624,8.28844,8.25332,8.18308,8.39380,8.39380,8.37624,8.23576,8.37624,8.28844,8.37624,8.32356,8.25332,8.42893,8.32356,8.41137,8.49917,8.48161,8.34112,8.25332,8.27088,8.27088,8.16552,8.07772,8.14796,8.06016,7.91968,7.97236,8.06016,8.07772,8.11284,8.25332,8.41137,8.81525,8.90305,8.76257,8.74501,8.65721,8.51673,8.32356,8.35868,8.32356,8.16552,8.02504,7.86700,7.84944,7.90212,7.69139,7.44555,7.32263,7.16459,7.12947,6.84850,6.76070,6.42706,6.07585,5.74221,6.07585,5.95293
2014,Rockdale 33_11kV,09MAY2013,MW,5.90025,5.70708,5.60172,5.23296,5.18028,4.98711,4.86419,4.53055,4.46031,4.46031,4.46031,4.21446,4.19690,4.19690,4.19690,4.19690,4.21446,4.39007,4.40763,4.44275,4.51299,4.91687,5.18028,5.58416,6.02317,6.58510,6.72558,7.12947,7.44555,7.74408,7.90212,7.97236,8.00748,8.16552,8.07772,8.04260,8.04260,8.07772,8.27088,8.09528,7.97236,7.90212,8.21820,8.11284,8.04260,8.07772,8.04260,8.25332,8.09528,8.07772,8.11284,8.14796,8.02504,8.06016,8.14796,8.06016,7.98992,8.00748,8.06016,8.02504,7.91968,7.98992,8.00748,8.02504,8.20064,7.98992,8.16552,8.09528,8.11284,8.44649,8.83281,8.93817,8.86793,8.74501,8.74501,8.74501,8.04260,8.37624,8.32356,8.06016,8.04260,8.02504,7.76164,7.46311,7.37531,7.34019,7.34019,6.95386,6.77826,6.69046,6.44462,6.05829,5.81245,5.63684,6.04073,5.95293
2014,Rockdale 33_11kV,10MAY2013,MW,5.79489,5.63684,5.46124,5.32076,5.05736,4.93443,4.70615,4.47787,4.47787,4.39007,4.21446,4.21446,4.16178,4.12666,4.24958,4.24958,4.19690,4.26714,4.49543,4.42519,4.63591,4.86419,5.23296,5.33832,5.97049,6.33925,6.74314,7.05923,7.48067,7.58603,7.95480,8.07772,8.06016,8.13040,8.04260,8.14796,8.20064,8.20064,8.11284,8.28844,8.16552,8.11284,8.16552,8.39380,8.28844,8.28844,8.16552,8.27088,8.39380,8.39380,8.30600,8.20064,8.25332,8.23576,8.21820,8.21820,8.07772,8.18308,8.16552,7.95480,7.76164,7.79676,7.72652,7.79676,7.86700,8.04260,8.07772,8.07772,8.27088,8.42893,8.60453,8.70989,8.44649,8.51673,8.41137,8.35868,8.18308,8.04260,7.81432,7.63871,7.62115,7.70895,7.48067,7.37531,7.14703,6.93630,6.93630,6.86606,6.91874,6.95386,6.76070,6.44462,6.12853,5.91781,6.32169,6.11097
2014,Rockdale 33_11kV,11MAY2013,MW,6.05829,5.83001,5.70708,5.44368,5.14516,4.96955,4.96955,4.72371,4.56567,4.47787,4.33738,4.19690,4.19690,4.19690,4.19690,4.23202,4.14422,4.19690,4.37251,4.37251,4.37251,4.37251,4.46031,4.61835,4.84663,5.02223,5.21540,5.37344,5.56660,5.90025,6.12853,6.32169,6.60266,7.04166,7.21727,7.23483,7.49823,7.51579,7.69139,7.83188,7.86700,7.77920,7.91968,7.95480,7.90212,7.91968,7.84944,7.77920,7.76164,7.76164,7.76164,7.58603,7.56847,7.49823,7.39287,7.41043,7.37531,7.37531,7.26995,7.21727,7.28751,7.26995,7.44555,7.37531,7.48067,7.69139,7.84944,7.98992,7.83188,8.00748,8.14796,8.07772,8.00748,8.00748,7.95480,7.84944,7.60359,7.46311,7.35775,7.12947,7.21727,7.12947,7.09435,7.09435,7.02410,6.83094,6.70802,6.70802,6.86606,6.83094,6.69046,6.49730,6.33925,6.25145,6.32169,6.32169
2014,Rockdale 33_11kV,12MAY2013,MW,6.25145,6.11097,5.90025,5.61928,5.51392,5.21540,5.03980,4.75883,4.75883,4.61835,4.37251,4.31982,4.21446,4.21446,4.21446,4.21446,4.21446,4.21446,4.39007,4.35494,4.35494,4.39007,4.39007,4.54811,4.68859,4.89931,4.89931,5.03980,5.19784,5.42612,5.54904,5.79489,5.98805,6.51486,6.70802,6.77826,7.07679,7.26995,7.44555,7.37531,7.46311,7.55091,7.48067,7.44555,7.49823,7.56847,7.39287,7.35775,7.35775,7.23483,7.28751,7.19971,7.02410,6.97142,6.95386,6.97142,6.93630,6.86606,6.81338,6.86606,6.76070,6.76070,6.91874,6.83094,6.76070,6.76070,6.91874,7.04166,7.30507,7.51579,7.67383,7.74408,7.88456,7.81432,7.70895,7.70895,7.51579,7.37531,7.32263,7.26995,7.14703,7.11191,7.14703,6.98898,7.04166,6.90118,6.90118,6.63778,6.62022,6.44462,6.26901,6.02317,5.74221,5.53148,5.95293,5.79489
2014,Rockdale 33_11kV,13MAY2013,MW,5.65440,5.60172,5.42612,5.33832,5.07492,4.89931,4.68859,4.63591,4.42519,4.42519,4.33738,4.19690,4.19690,4.19690,4.19690,4.19690,4.16178,4.21446,4.42519,4.42519,4.61835,4.89931,5.02223,5.44368,5.88269,6.37437,6.62022,7.11191,7.32263,7.58603,7.86700,7.91968,8.18308,8.34112,8.39380,8.44649,8.41137,8.49917,8.51673,8.62209,8.51673,8.53429,8.53429,8.32356,8.18308,8.23576,8.30600,8.34112,8.28844,8.32356,8.48161,8.39380,8.28844,8.25332,8.34112,8.18308,8.11284,8.21820,8.11284,8.07772,8.00748,8.14796,8.13040,8.16552,8.20064,8.27088,8.39380,8.46405,8.42893,8.86793,9.06109,8.97329,8.88549,8.88549,8.83281,8.72745,8.60453,8.44649,8.28844,8.13040,8.06016,8.00748,7.79676,7.74408,7.58603,7.39287,7.37531,7.14703,7.07679,6.90118,6.56754,6.12853,5.83001,5.60172,5.90025,5.90025
2014,Rockdale 33_11kV,14MAY2013,MW,5.81245,5.54904,5.37344,5.16272,5.09248,4.89931,4.77639,4.53055,4.42519,4.42519,4.23202,4.19690,4.19690,4.19690,4.19690,4.19690,4.19690,4.19690,4.37251,4.35494,4.56567,4.82907,5.23296,5.32076,5.88269,6.33925,6.79582,7.14703,7.46311,7.79676,7.79676,7.88456,8.14796,8.23576,8.21820,8.39380,8.48161,8.48161,8.46405,8.49917,8.41137,8.35868,8.42893,8.32356,8.35868,8.44649,8.20064,8.28844,8.14796,8.13040,8.18308,8.34112,8.09528,8.09528,7.98992,7.95480,8.14796,7.97236,7.93724,7.95480,7.90212,8.13040,8.13040,8.13040,7.88456,8.04260,7.97236,8.16552,8.23576,8.48161,8.79769,8.95573,8.83281,8.92061,8.97329,8.79769,8.58697,8.55185,8.49917,8.25332,8.02504,8.06016,8.06016,7.79676,7.62115,7.44555,7.26995,7.09435,7.16459,7.04166,6.72558,6.42706,6.28657,5.91781,6.19877,6.14609
2014,Rockdale 33_11kV,15MAY2013,MW,6.05829,5.75977,5.68952,5.40856,5.11004,4.93443,4.70615,4.49543,4.44275,4.44275,4.44275,4.19690,4.23202,4.19690,4.35494,4.35494,4.37251,4.42519,4.65347,4.65347,4.84663,5.21540,5.37344,5.68952,6.11097,6.58510,6.97142,7.62115,7.97236,8.35868,8.46405,8.55185,8.63965,8.88549,8.65721,8.69233,8.63965,8.65721,8.74501,8.63965,8.58697,8.53429,8.55185,8.55185,8.58697,8.39380,8.44649,8.44649,8.32356,8.30600,8.44649,8.34112,8.34112,8.16552,8.30600,8.16552,8.14796,8.11284,8.25332,8.07772,8.11284,8.11284,8.11284,8.11284,8.18308,8.35868,8.46405,8.62209,8.56941,8.90305,9.02597,9.04353,8.78013,8.99085,8.93817,8.90305,8.90305,8.62209,8.46405,8.27088,8.13040,8.20064,8.04260,7.91968,7.88456,7.72652,7.63871,7.19971,7.28751,7.14703,6.90118,6.60266,6.33925,5.97049,6.32169,6.19877
2014,Rockdale 33_11kV,16MAY2013,MW,6.14609,5.88269,5.65440,5.49636,5.33832,5.09248,4.89931,4.74127,4.61835,4.61835,4.54811,4.37251,4.37251,4.37251,4.37251,4.37251,4.37251,4.47787,4.63591,4.63591,4.81151,5.14516,5.33832,5.68952,6.21633,6.62022,6.93630,7.32263,7.72652,8.00748,8.28844,8.34112,8.37624,8.44649,8.34112,8.32356,8.32356,8.27088,8.53429,8.56941,8.62209,8.49917,8.51673,8.34112,8.51673,8.56941,8.51673,8.39380,8.55185,8.49917,8.46405,8.28844,8.37624,8.39380,8.44649,8.32356,8.28844,8.28844,8.14796,8.11284,7.97236,8.11284,8.06016,8.20064,8.14796,8.18308,8.27088,8.41137,8.27088,8.69233,9.04353,9.28938,9.27182,9.06109,9.02597,9.06109,8.85037,8.69233,8.69233,8.63965,8.46405,8.37624,8.18308,8.04260,7.70895,7.70895,7.58603,7.30507,7.30507,7.14703,6.81338,6.53242,6.16365,6.00561,6.26901,6.12853
2014,Rockdale 33_11kV,17MAY2013,MW,6.09341,5.97049,5.67196,5.47880,5.32076,5.07492,4.93443,4.70615,4.56567,4.56567,4.33738,4.31982,4.31982,4.31982,4.35494,4.35494,4.37251,4.42519,4.65347,4.65347,4.79395,5.12760,5.25052,5.56660,6.18121,6.54998,6.91874,7.21727,7.62115,7.95480,8.20064,8.41137,8.39380,8.46405,8.42893,8.48161,8.35868,8.46405,8.46405,8.53429,8.58697,8.58697,8.37624,8.39380,8.53429,8.44649,8.28844,8.28844,8.23576,8.18308,8.28844,8.14796,8.14796,8.04260,7.98992,8.04260,8.07772,7.95480,8.04260,7.86700,7.91968,7.98992,8.06016,8.02504,7.97236,8.14796,8.18308,8.46405,8.49917,9.00841,9.42986,9.41230,9.14890,9.02597,8.90305,8.92061,8.74501,8.70989,8.51673,8.32356,8.37624,8.27088,8.04260,7.81432,7.67383,7.48067,7.46311,7.26995,7.42799,7.30507,7.12947,6.88362,6.56754,6.26901,6.69046,6.58510
2014,Rockdale 33_11kV,18MAY2013,MW,6.53242,6.14609,6.02317,5.75977,5.56660,5.42612,5.19784,4.88175,4.75883,4.60079,4.60079,4.60079,4.51299,4.54811,4.30226,4.30226,4.30226,4.33738,4.56567,4.56567,4.56567,4.56567,4.70615,4.77639,5.03980,5.44368,5.61928,5.79489,6.00561,6.28657,6.44462,6.70802,7.11191,7.51579,7.63871,7.58603,7.98992,7.90212,8.00748,8.02504,8.20064,8.11284,7.91968,7.95480,8.13040,8.14796,7.98992,8.06016,7.98992,7.84944,7.83188,7.65627,7.51579,7.49823,7.34019,7.34019,7.42799,7.28751,7.26995,7.26995,7.23483,7.34019,7.34019,7.34019,7.34019,7.37531,7.56847,7.74408,7.93724,8.30600,8.62209,8.51673,8.51673,8.51673,8.51673,8.42893,8.25332,7.98992,7.72652,7.77920,7.63871,7.58603,7.56847,7.37531,7.34019,7.14703,7.16459,6.98898,7.14703,7.14703,6.91874,6.79582,6.63778,6.54998,6.76070,6.76070
2014,Rockdale 33_11kV,19MAY2013,MW,6.51486,6.25145,6.02317,5.86513,5.74221,5.47880,5.30320,5.09248,4.84663,4.79395,4.60079,4.60079,4.60079,4.42519,4.37251,4.37251,4.37251,4.42519,4.54811,4.40763,4.40763,4.46031,4.61835,4.67103,4.89931,5.14516,5.05736,5.32076,5.49636,5.70708,5.90025,6.14609,6.35681,6.88362,7.28751,7.37531,7.49823,7.60359,7.65627,7.77920,7.74408,7.74408,7.76164,7.81432,7.72652,7.53335,7.58603,7.37531,7.44555,7.32263,7.32263,7.09435,7.07679,7.05923,6.90118,6.84850,6.84850,6.74314,6.84850,6.84850,6.90118,6.77826,6.83094,7.02410,7.11191,7.32263,7.34019,7.76164,7.98992,8.28844,8.58697,8.76257,8.67477,8.69233,8.69233,8.63965,8.62209,8.41137,8.20064,8.09528,8.00748,8.13040,7.97236,7.74408,7.74408,7.55091,7.37531,7.37531,7.34019,7.00654,6.74314,6.54998,6.28657,6.00561,6.25145,6.12853
2014,Rockdale 33_11kV,20MAY2013,MW,6.11097,5.88269,5.65440,5.54904,5.37344,5.09248,4.95199,4.79395,4.58323,4.58323,4.47787,4.33738,4.33738,4.33738,4.33738,4.33738,4.33738,4.42519,4.56567,4.56567,4.65347,4.95199,5.26808,5.56660,6.28657,6.84850,7.18215,7.56847,7.91968,8.39380,8.69233,8.70989,9.00841,9.20158,9.07866,8.86793,9.04353,9.14890,9.18402,9.02597,8.99085,8.99085,8.78013,8.78013,8.83281,8.67477,8.60453,8.55185,8.53429,8.51673,8.39380,8.42893,8.41137,8.23576,8.48161,8.37624,8.30600,8.27088,8.27088,8.27088,8.20064,8.16552,8.23576,8.39380,8.37624,8.51673,8.76257,8.74501,8.78013,9.09622,9.42986,9.42986,9.51766,9.53522,9.57034,9.37718,9.41230,9.14890,9.23670,9.00841,8.85037,8.92061,8.79769,8.70989,8.49917,8.13040,8.04260,7.72652,7.63871,7.42799,6.95386,6.63778,6.28657,6.05829,6.39194,6.28657
2014,Rockdale 33_11kV,21MAY2013,MW,6.16365,5.93537,5.77733,5.56660,5.46124,5.19784,4.95199,4.77639,4.60079,4.60079,4.40763,4.33738,4.33738,4.33738,4.33738,4.40763,4.33738,4.46031,4.49543,4.58323,4.70615,5.03980,5.18028,5.58416,6.07585,6.60266,7.23483,7.46311,7.74408,8.06016,8.44649,8.60453,8.93817,8.88549,8.78013,8.85037,8.86793,8.85037,8.79769,8.69233,8.70989,8.83281,8.65721,8.62209,8.67477,8.69233,8.63965,8.62209,8.46405,8.56941,8.48161,8.35868,8.48161,8.42893,8.25332,8.30600,8.25332,8.25332,8.16552,8.23576,8.14796,8.13040,8.21820,8.27088,8.27088,8.27088,8.53429,8.62209,8.83281,9.23670,9.32450,9.30694,9.35962,9.39474,9.28938,9.28938,9.21914,9.11378,9.11378,8.86793,8.83281,8.65721,8.56941,8.21820,8.09528,8.02504,7.97236,7.74408,7.62115,7.44555,7.07679,6.83094,6.51486,6.14609,6.44462,6.26901
2014,Rockdale 33_11kV,22MAY2013,MW,6.14609,5.86513,5.74221,5.51392,5.28564,5.14516,4.86419,4.81151,4.63591,4.56567,4.51299,4.30226,4.30226,4.30226,4.30226,4.30226,4.40763,4.47787,4.75883,4.74127,4.95199,5.23296,5.42612,5.49636,6.25145,6.74314,7.23483,7.69139,8.14796,8.46405,8.46405,8.69233,8.55185,8.85037,8.81525,8.74501,8.97329,8.90305,8.76257,8.86793,8.86793,8.86793,8.85037,8.81525,8.78013,8.99085,9.02597,8.95573,8.88549,8.90305,8.95573,9.21914,9.25426,9.42986,9.21914,9.27182,9.25426,9.18402,9.25426,9.32450,9.32450,9.32450,9.50010,9.76351,9.81619,9.97423,10.06203,10.14983,10.44836,10.46592,10.30787,10.29031,10.07959,10.07959,10.14983,10.09715,10.18495,9.88643,9.85131,9.65814,9.58790,9.39474,9.27182,9.14890,9.06109,8.65721,8.46405,8.09528,8.02504,7.62115,7.44555,7.11191,6.65534,6.42706,6.79582,6.56754
2014,Rockdale 33_11kV,23MAY2013,MW,6.58510,6.32169,6.07585,5.86513,5.70708,5.39100,5.25052,5.00467,4.95199,4.75883,4.58323,4.53055,4.53055,4.53055,4.53055,4.53055,4.65347,4.74127,4.84663,4.95199,5.09248,5.33832,5.54904,5.98805,6.42706,7.02410,7.49823,7.74408,8.23576,8.48161,8.88549,9.02597,9.04353,9.25426,9.13134,9.09622,9.07866,9.16646,9.13134,9.04353,9.16646,9.18402,9.35962,9.14890,9.25426,9.18402,8.99085,9.14890,9.32450,9.23670,9.23670,9.34206,9.20158,9.07866,9.02597,8.90305,8.95573,8.92061,8.85037,8.76257,8.53429,8.65721,8.63965,8.76257,8.79769,9.00841,9.14890,9.35962,9.42986,9.79863,9.83375,10.00935,9.97423,10.00935,9.86887,9.85131,9.69326,9.62302,9.58790,9.44742,9.34206,9.09622,9.09622,8.88549,8.69233,8.35868,8.32356,8.06016,7.98992,7.77920,7.65627,7.23483,6.72558,6.47974,6.81338,6.60266
2014,Rockdale 33_11kV,24MAY2013,MW,6.63778,6.33925,6.23389,5.84757,5.67196,5.32076,5.23296,5.12760,4.98711,4.77639,4.77639,4.77639,4.67103,4.75883,4.75883,4.75883,4.75883,4.82907,5.03980,5.09248,5.07492,5.39100,5.53148,5.90025,6.28657,6.91874,7.49823,7.76164,8.11284,8.56941,8.72745,8.92061,8.93817,9.14890,9.11378,9.18402,9.14890,9.23670,9.06109,9.06109,9.14890,9.13134,9.00841,9.11378,8.93817,8.86793,8.81525,8.70989,8.79769,8.74501,8.79769,8.81525,8.74501,8.78013,8.70989,8.58697,8.62209,8.58697,8.55185,8.46405,8.30600,8.34112,8.62209,8.78013,8.67477,8.72745,8.93817,9.07866,9.25426,9.57034,9.79863,9.90399,9.69326,9.51766,9.50010,9.50010,9.46498,9.07866,8.95573,8.85037,8.95573,8.63965,8.65721,8.46405,8.41137,8.16552,8.13040,7.84944,8.07772,7.84944,7.69139,7.28751,7.16459,6.83094,7.23483,7.07679
2014,Rockdale 33_11kV,25MAY2013,MW,6.95386,6.62022,6.28657,6.09341,5.93537,5.61928,5.39100,5.14516,5.03980,4.89931,4.81151,4.81151,4.63591,4.58323,4.58323,4.58323,4.56567,4.63591,4.82907,4.63591,4.67103,4.88175,4.88175,5.09248,5.28564,5.42612,5.65440,5.77733,5.98805,6.21633,6.60266,6.79582,7.23483,7.81432,7.91968,7.98992,8.21820,8.21820,8.34112,8.21820,8.16552,8.04260,8.27088,8.18308,8.07772,8.00748,7.97236,7.88456,7.79676,7.72652,7.55091,7.74408,7.65627,7.51579,7.49823,7.35775,7.34019,7.34019,7.18215,7.19971,7.28751,7.25239,7.14703,7.30507,7.41043,7.60359,7.77920,8.00748,8.16552,8.53429,8.95573,8.86793,8.85037,8.72745,8.62209,8.62209,8.35868,8.25332,8.11284,8.11284,7.95480,7.88456,7.90212,7.70895,7.56847,7.65627,7.51579,7.35775,7.56847,7.48067,7.35775,7.04166,6.84850,6.53242,6.90118,6.83094
2014,Rockdale 33_11kV,26MAY2013,MW,6.79582,6.56754,6.21633,6.19877,5.93537,5.65440,5.40856,5.23296,5.07492,4.95199,4.68859,4.63591,4.61835,4.39007,4.40763,4.58323,4.39007,4.49543,4.51299,4.67103,4.54811,4.70615,4.70615,4.70615,4.93443,5.11004,5.23296,5.28564,5.51392,5.84757,6.14609,6.23389,6.44462,6.90118,7.07679,7.23483,7.51579,7.65627,7.77920,7.69139,7.84944,7.84944,7.79676,7.79676,7.69139,7.55091,7.58603,7.48067,7.39287,7.26995,7.30507,7.25239,7.09435,7.04166,7.04166,6.95386,6.93630,6.97142,7.00654,6.98898,6.98898,7.00654,6.95386,7.07679,7.34019,7.42799,7.53335,7.88456,8.11284,8.67477,9.07866,8.95573,8.99085,8.85037,8.86793,8.85037,8.78013,8.63965,8.60453,8.44649,8.27088,8.41137,8.23576,8.18308,7.97236,7.88456,7.67383,7.39287,7.46311,7.28751,6.83094,6.70802,6.26901,6.05829,6.39194,6.33925
