year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Kirrawee 132_11kV,01MAY2010,MW,15.18346,13.99059,12.86589,11.96272,13.78610,12.91701,11.74119,11.12772,10.88915,10.12230,9.76444,9.23618,9.04873,8.74199,8.67383,8.33301,8.38413,8.43525,8.28189,8.53750,8.72495,8.79311,9.15097,9.40659,10.27567,10.42904,11.12772,12.01385,11.28109,11.69007,12.52507,13.37712,13.80314,14.34845,14.41661,14.67223,15.67764,15.37091,15.49019,15.11529,15.42203,14.96192,14.87672,14.77447,14.36549,14.45070,14.24621,13.70090,14.04171,13.90539,13.75202,13.53049,13.47936,13.07038,12.72956,12.83181,12.67844,12.93406,12.81477,12.61028,12.81477,12.91701,12.96814,12.98518,13.34304,13.47936,14.05876,15.08121,15.59244,16.80234,18.09745,18.54052,18.64276,18.48939,18.02929,17.73959,17.07500,16.39336,15.74581,15.42203,14.97896,14.77447,14.09284,13.95651,13.44528,13.37712,12.98518,12.91701,14.14396,13.58161,16.35928,15.47315,16.97275,15.69468,16.00142,15.11529
2011,Kirrawee 132_11kV,02MAY2010,MW,15.64356,14.19508,13.37712,12.55915,14.29733,13.39416,12.40579,11.69007,11.94568,10.76986,10.53129,10.02006,9.49179,9.18505,8.84424,8.72495,8.82719,8.58862,8.58862,8.53750,8.74199,8.57158,8.84424,8.98056,9.30434,9.55995,10.07118,10.12230,10.00302,10.27567,10.87210,11.50262,12.04793,12.42283,13.12151,13.32600,14.31437,13.93947,13.90539,13.93947,14.10988,13.93947,13.49641,13.58161,12.91701,12.83181,13.03630,12.91701,12.86589,12.61028,12.76365,12.25242,12.40579,12.52507,12.30354,12.06497,11.80935,11.60486,11.86048,11.75823,11.96272,12.32058,12.25242,12.50803,12.91701,13.34304,13.99059,14.46774,15.23458,16.97275,18.50643,18.64276,19.06878,18.76205,18.89838,18.23378,17.79072,17.31357,16.54673,16.29112,15.54132,15.21754,14.92784,14.56998,14.05876,13.47936,13.01926,12.57620,13.58161,12.81477,15.37091,14.46774,15.84805,14.51886,15.16641,14.16100
2011,Kirrawee 132_11kV,03MAY2010,MW,14.85968,13.49641,12.67844,11.65599,13.88835,13.03630,12.11609,11.28109,11.22996,10.56537,10.02006,9.79853,9.44067,8.84424,9.09985,8.74199,9.04873,8.87832,9.33842,9.33842,9.81557,10.27567,11.24700,12.09905,13.64977,14.96192,16.46152,17.16020,16.08662,16.39336,16.85347,16.70010,17.00683,16.76826,16.90459,16.75122,17.56918,17.53510,17.38173,17.21132,17.84184,17.27949,17.17724,17.58622,17.36469,17.31357,17.02387,16.95571,17.12612,17.07500,17.38173,17.36469,17.07500,17.36469,17.07500,16.85347,16.87051,16.90459,16.92163,16.49561,16.76826,16.54673,16.20591,16.70010,16.71714,16.90459,17.38173,17.87592,18.60868,19.63113,20.44910,20.99441,21.19890,20.89216,20.29573,19.98899,19.76746,18.81317,18.33603,17.79072,17.17724,16.59785,16.56377,15.67764,15.01305,14.55294,14.39957,13.68386,14.41661,13.42824,16.00142,14.82560,16.05254,14.51886,14.91080,13.88835
2011,Kirrawee 132_11kV,04MAY2010,MW,14.56998,13.59865,12.16721,11.38333,13.44528,12.66140,11.80935,11.02547,10.99139,10.17343,9.81557,9.44067,9.09985,9.03169,8.79311,8.87832,9.04873,8.98056,9.30434,9.59404,10.10526,10.51424,11.28109,12.72956,14.70631,15.59244,16.20591,17.79072,16.08662,16.49561,16.75122,17.02387,17.21132,16.92163,16.87051,16.90459,17.82480,17.51806,17.27949,17.33061,17.58622,17.36469,17.27949,17.48398,16.75122,17.00683,17.16020,17.21132,16.92163,17.26245,17.51806,17.26245,17.62031,17.43286,17.41582,17.21132,16.95571,16.87051,16.71714,16.76826,16.64897,16.75122,16.95571,16.66602,16.85347,17.10908,17.10908,17.43286,17.97817,19.66522,20.84104,20.96033,20.84104,20.34685,20.09124,19.73338,19.30736,18.43827,18.04633,17.51806,16.76826,16.75122,16.15479,15.59244,14.97896,14.51886,13.78610,13.22375,13.88835,13.07038,15.64356,14.50182,15.67764,14.34845,14.82560,14.05876
2011,Kirrawee 132_11kV,05MAY2010,MW,14.50182,13.12151,12.04793,11.48558,13.54753,12.67844,11.55374,10.87210,10.48016,9.95189,9.54291,9.30434,8.99760,8.62270,8.99760,8.82719,8.79311,8.99760,9.20209,9.50883,9.81557,10.22455,10.78690,12.21834,13.99059,14.82560,16.30816,17.84184,16.13775,16.90459,17.02387,16.90459,17.12612,17.26245,17.27949,17.63735,18.08041,17.94408,17.68847,17.33061,17.48398,17.27949,17.00683,16.95571,16.66602,17.00683,17.26245,17.36469,17.00683,16.70010,16.71714,17.02387,17.12612,16.97275,16.51265,16.51265,16.71714,16.46152,16.00142,16.08662,15.69468,15.79693,15.88213,16.10367,16.49561,16.44448,17.12612,17.87592,18.43827,20.27869,21.47155,21.57380,21.96574,21.98278,21.82941,21.62492,21.25002,20.68767,20.09124,19.56297,18.54052,18.33603,17.84184,17.43286,16.80234,15.98438,15.37091,14.77447,15.43907,14.60406,17.17724,15.95030,17.16020,15.74581,16.25703,14.91080
2011,Kirrawee 132_11kV,06MAY2010,MW,15.43907,14.46774,13.24079,12.20130,14.24621,13.17263,12.20130,11.40037,11.07660,10.41200,10.20751,9.74740,9.38954,9.09985,9.04873,9.03169,8.99760,9.08281,9.28730,9.69628,10.36088,10.97435,11.70711,13.17263,14.96192,16.20591,18.02929,19.32440,17.77368,18.48939,18.89838,18.69388,18.69388,18.09745,18.33603,18.08041,18.64276,18.43827,18.25082,17.97817,17.94408,17.79072,17.38173,17.21132,16.97275,16.64897,16.35928,16.39336,16.20591,16.29112,15.95030,16.13775,16.29112,16.23999,16.13775,16.29112,16.41040,16.08662,16.03550,15.93326,15.67764,16.00142,15.98438,16.00142,16.00142,15.89917,16.49561,17.10908,18.13153,19.71634,20.70471,20.96033,21.01145,20.99441,20.89216,20.39798,19.98899,20.02308,19.20511,18.94950,18.60868,18.25082,17.51806,17.02387,16.61489,15.93326,15.47315,14.82560,15.67764,14.46774,17.21132,16.10367,17.10908,15.72877,15.77989,15.28570
2011,Kirrawee 132_11kV,07MAY2010,MW,15.52427,14.16100,13.01926,12.42283,14.36549,13.53049,12.40579,11.70711,11.40037,10.78690,10.32679,10.00302,9.44067,9.08281,8.99760,9.09985,8.94648,9.18505,9.38954,9.59404,10.30975,10.71874,11.48558,12.71252,14.82560,16.10367,17.53510,18.84725,17.58622,18.33603,18.65980,18.33603,18.45531,17.99521,17.56918,17.72255,18.45531,17.94408,17.79072,17.31357,17.26245,16.81938,16.97275,16.90459,16.92163,16.90459,16.76826,16.44448,16.39336,16.05254,16.23999,16.70010,15.88213,15.88213,15.89917,15.64356,15.64356,15.72877,15.54132,15.42203,14.97896,15.33682,15.23458,15.42203,15.38795,15.59244,16.03550,16.70010,17.56918,18.94950,19.78450,20.04012,20.50022,20.38094,19.92083,19.25623,19.00062,18.45531,17.99521,17.94408,16.97275,16.75122,16.70010,15.95030,15.57540,14.96192,14.51886,14.09284,15.23458,14.34845,17.00683,16.05254,17.05796,15.62652,16.15479,15.11529
2011,Kirrawee 132_11kV,08MAY2010,MW,15.59244,14.55294,13.18967,12.32058,14.50182,13.34304,12.45691,11.48558,11.48558,10.73578,10.27567,9.64516,9.54291,9.15097,9.08281,8.84424,8.84424,8.94648,8.74199,8.67383,8.84424,9.33842,9.61108,9.66220,10.32679,10.66761,11.45150,12.50803,12.04793,12.91701,13.27487,14.36549,14.87672,15.28570,15.42203,15.67764,16.61489,15.98438,15.69468,15.69468,15.16641,15.06417,14.92784,14.87672,14.62111,14.65519,14.29733,14.09284,13.93947,13.44528,13.27487,13.13855,12.71252,12.86589,12.55915,12.66140,12.52507,12.57620,12.37170,12.71252,12.66140,12.61028,12.86589,12.83181,12.98518,13.27487,14.29733,15.06417,16.05254,17.22837,18.35307,19.01766,18.65980,18.65980,18.33603,17.77368,17.38173,16.90459,16.30816,16.20591,15.64356,15.47315,15.16641,14.65519,14.10988,13.88835,13.42824,13.29191,14.24621,13.49641,16.34224,15.18346,16.71714,15.59244,16.05254,15.18346
2011,Kirrawee 132_11kV,09MAY2010,MW,15.93326,14.72335,13.58161,12.71252,14.56998,13.68386,12.72956,12.04793,12.01385,10.94027,10.41200,10.00302,9.69628,9.38954,9.18505,9.13393,8.67383,8.38413,8.57158,8.48638,8.82719,8.94648,8.82719,9.18505,9.66220,9.74740,10.20751,10.51424,10.36088,11.12772,11.55374,12.42283,13.03630,13.24079,13.73498,14.16100,15.03009,14.51886,14.62111,14.29733,14.51886,14.24621,14.34845,13.68386,13.64977,13.34304,13.13855,12.78069,12.52507,12.09905,11.94568,12.04793,11.70711,11.58782,11.43445,11.33221,11.45150,11.29813,11.28109,11.43445,11.09364,11.43445,11.58782,11.96272,12.16721,12.57620,13.12151,14.05876,15.03009,16.49561,17.41582,17.79072,17.97817,18.40419,17.87592,17.43286,16.92163,16.80234,16.25703,16.10367,15.38795,15.49019,14.87672,14.45070,13.95651,13.80314,13.27487,12.86589,13.83722,13.18967,15.37091,14.41661,15.95030,14.72335,15.18346,14.41661
2011,Kirrawee 132_11kV,10MAY2010,MW,14.97896,13.85426,12.78069,12.04793,13.90539,13.07038,12.26946,11.28109,11.14476,10.37792,10.30975,9.79853,9.54291,9.23618,8.79311,8.92944,8.92944,9.03169,9.09985,9.35546,9.69628,10.05414,11.12772,11.80935,13.75202,15.23458,16.81938,17.82480,16.46152,16.76826,16.95571,17.17724,17.41582,17.38173,16.97275,17.00683,17.72255,17.12612,17.21132,16.75122,17.12612,17.00683,17.07500,16.90459,16.97275,16.97275,17.07500,17.33061,16.92163,16.61489,17.10908,16.85347,16.97275,16.75122,16.92163,16.66602,16.85347,16.71714,16.87051,16.51265,16.30816,16.15479,16.13775,16.18887,16.29112,16.95571,17.22837,17.58622,18.55756,19.88675,21.40339,21.42043,21.65900,21.60788,20.99441,20.96033,19.92083,19.51185,18.79613,18.43827,17.58622,17.36469,16.81938,16.51265,15.64356,14.96192,14.36549,13.85426,14.51886,13.54753,16.29112,15.11529,16.44448,15.03009,15.64356,14.62111
