year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2011,Peats Ridge 33_11kV,01MAY2010,MW,4.62977,4.66407,4.44115,4.28683,4.20109,4.57833,4.50974,4.28683,4.18394,3.53234,3.46376,3.39517,3.34372,3.29228,3.30943,3.25799,3.12081,3.22369,3.17225,3.27513,3.22369,3.34372,3.51520,3.54949,4.57833,4.95557,4.88698,4.78410,5.07560,4.50974,5.07560,4.93842,5.29852,5.57287,5.67576,5.28137,5.43570,5.65861,5.96726,6.22447,6.29306,6.10444,6.29306,6.00156,5.88152,5.62432,5.72720,4.80124,4.62977,4.50974,4.42400,4.40686,4.38971,4.44115,4.37256,4.47545,4.50974,4.21824,4.16679,3.78955,3.82385,3.70382,3.82385,3.75526,3.68667,3.65238,3.84100,3.85814,3.97817,4.11535,4.35541,4.49259,4.47545,4.47545,4.26968,4.30397,4.26968,4.16679,4.06391,3.84100,3.90959,3.75526,3.89244,3.82385,3.78955,3.70382,3.58379,3.58379,3.51520,3.56664,3.46376,3.44661,3.53234,3.75526,3.61808,3.53234
2011,Peats Ridge 33_11kV,02MAY2010,MW,3.63523,3.82385,3.66952,3.46376,3.49805,3.68667,3.61808,3.48090,3.37802,3.29228,2.93219,3.08651,3.15510,3.10366,3.13796,3.15510,3.10366,3.05222,3.03507,3.15510,3.12081,3.13796,3.27513,3.89244,3.96103,3.92673,3.97817,4.06391,4.09821,4.16679,4.16679,4.38971,4.38971,4.57833,4.57833,4.66407,4.81839,4.76695,4.68121,4.78410,4.74980,4.73266,4.76695,4.69836,4.54404,4.61262,4.68121,4.68121,4.64692,4.71551,4.68121,4.66407,4.68121,4.78410,4.85269,4.73266,4.83554,4.61262,4.56118,4.64692,4.64692,4.57833,4.64692,4.69836,4.80124,4.69836,4.76695,4.76695,4.80124,4.56118,4.81839,4.49259,4.38971,4.38971,4.30397,4.23538,4.18394,4.02962,4.04676,3.96103,3.96103,3.77241,3.70382,3.65238,3.70382,3.51520,3.44661,3.80670,4.18394,4.47545,4.40686,4.09821,4.23538,4.32112,4.44115,4.33827
2011,Peats Ridge 33_11kV,03MAY2010,MW,4.25253,4.59548,4.45830,4.42400,4.32112,4.47545,4.26968,4.18394,4.13250,3.92673,3.82385,3.78955,3.72096,3.72096,3.72096,3.78955,3.72096,3.72096,3.72096,3.78955,4.30397,4.38971,4.83554,4.62977,5.40140,5.74435,6.29306,6.24162,6.03585,5.77864,6.25877,6.85892,6.37880,6.72174,6.55027,6.55027,6.61886,6.46453,6.03585,6.22447,6.67030,6.97895,6.70460,6.41309,6.68745,6.68745,6.68745,6.87607,6.67030,6.73889,6.20732,6.55027,6.49883,6.53312,6.44739,6.61886,6.79033,6.10444,6.31021,5.88152,6.19018,6.51598,7.20187,6.70460,6.68745,6.72174,6.65315,6.41309,6.39594,6.72174,6.72174,6.75604,6.77318,6.75604,6.68745,6.61886,6.48168,6.27591,6.27591,5.89867,5.93297,5.72720,5.77864,5.60717,5.65861,5.55573,5.65861,5.55573,5.34996,5.57287,5.41855,5.28137,5.48714,5.41855,5.72720,5.64146
2011,Peats Ridge 33_11kV,04MAY2010,MW,5.40140,5.50428,4.88698,4.76695,4.40686,4.56118,4.33827,4.20109,4.25253,4.01247,3.58379,3.30943,3.24084,3.32658,3.36087,3.34372,3.34372,3.13796,3.24084,3.51520,3.73811,3.92673,4.09821,4.40686,4.92128,5.21278,5.26422,5.22993,5.52143,5.38425,5.52143,5.72720,5.64146,5.60717,5.59002,5.52143,5.74435,6.00156,6.03585,6.01870,6.55027,6.82463,7.16757,7.30475,7.33905,7.40763,6.96181,6.85892,7.06469,7.03039,7.33905,6.97895,7.06469,6.92751,7.04754,7.56196,7.35619,6.61886,6.96181,6.72174,6.91036,6.68745,6.68745,6.75604,6.70460,6.77318,6.70460,6.55027,6.58456,6.65315,6.85892,6.85892,6.87607,6.80748,6.31021,5.88152,5.91582,5.62432,5.60717,5.34996,5.29852,5.07560,5.07560,5.12704,5.04131,5.00701,4.93842,4.86983,4.81839,4.88698,4.74980,4.73266,4.83554,4.59548,4.88698,4.73266
2011,Peats Ridge 33_11kV,05MAY2010,MW,4.62977,4.78410,4.68121,4.56118,4.44115,4.56118,4.47545,4.38971,4.28683,4.09821,4.01247,3.99532,3.72096,3.36087,3.17225,3.15510,3.15510,3.10366,3.10366,3.34372,3.61808,4.30397,4.66407,5.05845,5.46999,5.79579,5.96726,6.25877,6.00156,6.82463,6.96181,6.96181,6.94466,6.82463,6.82463,6.75604,6.84177,6.91036,6.87607,6.94466,6.85892,6.82463,7.11613,6.85892,7.13328,6.99610,6.99610,6.92751,6.79033,6.80748,6.65315,6.68745,6.43024,6.41309,6.17303,6.67030,6.82463,6.49883,6.73889,6.65315,6.61886,6.37880,6.72174,6.55027,6.48168,6.41309,6.20732,5.93297,5.28137,5.55573,5.84723,5.95011,6.03585,5.93297,5.95011,5.81294,5.83008,,5.33281,4.73266,4.78410,4.68121,4.73266,4.38971,4.45830,4.38971,4.21824,3.99532,3.85814,4.02962,4.01247,3.97817,3.96103,3.85814,4.04676,3.78955
2011,Peats Ridge 33_11kV,06MAY2010,MW,3.73811,3.85814,3.75526,3.48090,3.65238,3.92673,3.75526,3.58379,3.56664,3.25799,3.17225,3.06937,3.12081,3.13796,3.13796,3.08651,3.03507,3.10366,3.25799,3.41231,3.61808,3.60093,4.09821,4.25253,4.85269,5.14419,5.40140,5.41855,5.55573,5.67576,6.44739,6.31021,6.36165,6.39594,6.17303,6.15588,6.05300,6.12159,6.29306,6.84177,6.97895,6.92751,6.56742,6.36165,6.31021,6.19018,6.63601,6.51598,6.72174,6.79033,7.13328,6.85892,6.92751,7.08184,6.65315,6.44739,6.32735,5.79579,5.72720,5.65861,6.24162,5.89867,6.17303,6.19018,5.83008,5.88152,5.77864,6.03585,5.96726,6.34450,5.96726,6.03585,5.95011,5.93297,6.15588,6.12159,5.95011,5.40140,5.53858,4.73266,4.68121,4.74980,4.66407,4.57833,4.50974,4.30397,4.23538,4.09821,4.01247,4.13250,3.97817,3.97817,3.85814,3.84100,3.90959,3.82385
2011,Peats Ridge 33_11kV,07MAY2010,MW,3.89244,4.01247,3.82385,3.72096,3.65238,3.78955,3.61808,3.48090,3.48090,3.48090,3.48090,3.37802,3.27513,3.24084,3.12081,3.12081,3.20655,3.17225,3.27513,3.30943,3.34372,3.54949,3.78955,4.09821,4.74980,4.76695,5.69290,5.88152,6.08729,6.46453,6.37880,6.58456,6.05300,6.03585,6.00156,6.22447,5.81294,5.89867,6.17303,6.31021,6.24162,6.77318,6.58456,7.56196,7.35619,7.04754,7.01325,7.27046,7.20187,7.18472,7.23616,6.80748,6.91036,6.79033,6.97895,6.89322,6.51598,6.34450,6.25877,6.24162,6.15588,6.27591,6.19018,6.39594,6.22447,6.00156,5.98441,6.15588,5.62432,6.12159,6.19018,6.36165,6.94466,6.70460,6.24162,6.46453,5.62432,5.46999,5.46999,5.22993,5.22993,5.12704,5.05845,4.92128,5.05845,4.85269,4.85269,4.66407,4.73266,4.90413,4.71551,4.50974,4.57833,4.59548,4.62977,4.47545
2011,Peats Ridge 33_11kV,08MAY2010,MW,4.37256,5.17849,5.19563,5.04131,4.95557,5.33281,5.21278,5.07560,4.92128,4.59548,4.57833,3.94388,3.80670,3.78955,3.77241,3.75526,3.75526,3.72096,3.70382,3.85814,3.92673,3.99532,4.11535,4.64692,4.86983,4.92128,5.14419,5.14419,5.21278,5.50428,5.43570,5.05845,5.14419,4.98987,5.07560,4.44115,4.30397,5.02416,4.95557,4.71551,4.66407,4.93842,4.78410,5.09275,5.43570,5.05845,4.98987,4.73266,4.71551,4.57833,4.61262,4.50974,4.50974,4.47545,4.32112,4.37256,4.37256,4.56118,4.40686,4.30397,4.37256,4.47545,4.49259,4.50974,4.52689,4.61262,4.50974,4.71551,4.92128,5.24707,5.33281,5.34996,5.45284,5.45284,5.36711,5.10990,4.73266,4.21824,4.09821,4.04676,4.02962,3.99532,4.11535,4.04676,3.96103,3.85814,3.72096,4.18394,4.08106,4.23538,4.09821,3.96103,4.13250,4.02962,4.68121,4.47545
2011,Peats Ridge 33_11kV,09MAY2010,MW,4.44115,4.71551,4.61262,4.26968,4.23538,4.35541,4.26968,4.20109,4.21824,4.13250,3.85814,3.99532,3.68667,3.41231,3.03507,3.06937,3.00078,3.05222,3.00078,3.01793,3.00078,3.06937,3.05222,3.10366,3.18940,3.20655,3.29228,3.41231,3.54949,3.51520,3.54949,3.89244,3.85814,3.84100,3.85814,3.96103,3.85814,3.99532,4.02962,4.01247,4.02962,4.47545,4.37256,4.45830,4.56118,4.37256,4.45830,4.37256,4.01247,3.96103,3.87529,3.94388,3.85814,3.73811,3.92673,3.82385,3.82385,3.73811,4.25253,4.26968,4.16679,4.25253,4.25253,4.30397,4.26968,4.26968,4.21824,4.32112,4.57833,4.68121,6.87607,6.94466,5.19563,5.09275,5.02416,5.04131,4.93842,4.92128,4.92128,4.83554,4.69836,4.57833,4.71551,4.50974,4.44115,4.30397,4.26968,4.20109,4.26968,4.38971,4.21824,4.13250,4.23538,4.16679,4.26968,4.23538
2011,Peats Ridge 33_11kV,10MAY2010,MW,4.11535,4.47545,4.45830,4.28683,4.16679,4.37256,3.82385,3.51520,3.44661,3.22369,3.03507,2.96648,2.93219,2.94934,2.86360,2.93219,2.96648,2.98363,3.00078,2.96648,3.34372,3.34372,3.41231,3.72096,4.47545,4.56118,4.81839,5.00701,5.10990,5.14419,5.43570,5.59002,6.08729,5.79579,6.70460,7.42478,7.57911,7.40763,7.51052,7.57911,7.23616,6.63601,6.85892,6.70460,7.06469,7.11613,7.33905,7.28760,7.09898,7.30475,6.94466,7.99064,7.37334,7.61340,7.54481,7.59626,7.04754,7.35619,7.16757,7.32190,7.37334,6.92751,7.35619,7.16757,7.13328,6.91036,6.61886,6.34450,6.65315,6.20732,5.79579,5.79579,6.31021,6.31021,6.63601,6.36165,6.27591,6.19018,5.96726,5.76149,5.77864,5.72720,5.60717,5.19563,5.05845,5.04131,4.93842,4.88698,4.86983,4.50974,4.38971,4.23538,4.42400,4.32112,4.59548,4.38971
2011,Peats Ridge 33_11kV,11MAY2010,MW,4.35541,4.40686,4.28683,4.25253,4.23538,4.45830,4.38971,4.28683,4.13250,3.99532,3.97817,3.82385,3.75526,3.46376,3.34372,3.13796,3.20655,3.34372,3.24084,3.48090,3.99532,3.99532,3.96103,4.26968,4.93842,5.31566,5.34996,5.43570,5.89867,6.03585,6.41309,7.09898,7.03039,6.72174,6.89322,7.03039,6.96181,6.77318,6.73889,6.82463,7.51052,7.63055,7.49337,7.33905,7.04754,7.57911,7.66484,7.51052,7.28760,7.33905,7.61340,7.85346,8.00779,7.47622,7.06469,7.35619,7.47622,7.28760,7.06469,6.94466,6.72174,6.44739,6.34450,,7.06469,6.32735,6.34450,6.01870,5.88152,5.76149,6.00156,5.67576,5.86438,5.65861,5.55573,5.50428,5.34996,5.28137,5.21278,5.24707,5.12704,5.05845,5.09275,5.02416,5.09275,4.93842,4.74980,4.83554,4.59548,4.71551,4.71551,4.16679,4.56118,4.98987,5.60717,5.38425
2011,Peats Ridge 33_11kV,12MAY2010,MW,5.34996,5.46999,5.33281,5.22993,5.04131,5.31566,5.24707,5.21278,5.00701,4.90413,4.78410,4.64692,4.69836,4.59548,3.94388,3.92673,3.99532,3.99532,4.09821,4.06391,4.42400,4.73266,4.88698,5.19563,5.65861,5.93297,6.20732,6.24162,6.43024,6.49883,6.73889,6.97895,6.91036,6.97895,6.91036,6.72174,7.51052,7.80202,7.44193,7.56196,7.40763,7.49337,7.40763,7.61340,7.40763,7.20187,7.32190,7.11613,7.06469,7.06469,7.23616,7.06469,6.91036,7.09898,7.09898,7.28760,7.06469,6.85892,6.56742,6.20732,6.08729,6.34450,6.51598,6.49883,6.44739,6.32735,6.31021,6.24162,6.41309,6.65315,6.91036,7.03039,7.28760,6.96181,6.96181,6.85892,6.82463,6.72174,6.68745,6.31021,6.46453,6.22447,6.24162,6.15588,6.08729,5.89867,5.88152,5.67576,5.62432,5.62432,5.41855,5.40140,5.52143,5.41855,5.53858,5.29852
2011,Peats Ridge 33_11kV,13MAY2010,MW,5.28137,5.48714,5.40140,5.28137,5.34996,5.07560,5.34996,5.14419,5.04131,4.44115,4.28683,4.02962,4.13250,4.02962,4.02962,4.13250,4.14965,4.23538,4.16679,4.40686,4.68121,4.88698,4.78410,4.85269,5.26422,5.33281,5.93297,5.96726,6.53312,6.48168,6.25877,6.58456,7.76773,6.31021,6.39594,6.61886,6.65315,7.01325,7.01325,6.75604,7.32190,7.64770,7.75058,7.11613,7.13328,7.45908,7.54481,7.47622,7.39049,7.45908,7.18472,7.44193,7.47622,7.28760,6.82463,7.15043,7.11613,6.91036,7.03039,7.03039,6.99610,6.94466,6.60171,6.84177,6.99610,6.65315,6.99610,6.37880,6.43024,6.82463,7.06469,7.04754,6.89322,6.85892,6.65315,6.56742,6.61886,6.60171,6.43024,6.24162,6.17303,5.52143,5.26422,5.84723,5.74435,5.72720,5.62432,5.55573,5.43570,5.69290,5.43570,5.43570,5.41855,5.10990,5.36711,5.33281
2011,Peats Ridge 33_11kV,14MAY2010,MW,5.19563,5.50428,5.28137,5.17849,4.97272,5.16134,5.10990,5.07560,4.90413,4.95557,4.90413,4.52689,3.99532,4.02962,4.02962,4.01247,4.08106,3.99532,4.02962,4.30397,4.57833,4.50974,4.68121,4.81839,5.60717,5.67576,6.39594,6.58456,6.96181,6.84177,6.46453,6.97895,7.01325,6.94466,6.82463,6.79033,6.25877,7.27046,7.51052,7.47622,7.51052,6.92751,7.23616,7.20187,7.03039,6.97895,7.27046,7.16757,7.30475,6.96181,7.03039,6.13873,6.19018,6.34450,6.67030,6.73889,6.65315,6.55027,6.15588,5.77864,5.71005,6.70460,6.58456,6.51598,6.48168,6.37880,6.46453,6.08729,6.24162,6.60171,6.61886,6.61886,6.65315,6.48168,6.32735,6.37880,6.17303,6.17303,6.00156,5.86438,5.81294,5.83008,5.76149,5.76149,5.77864,5.72720,5.22993,4.90413,4.83554,4.86983,4.66407,4.52689,4.61262,3.92673,4.26968,3.60093
2011,Peats Ridge 33_11kV,15MAY2010,MW,3.54949,3.84100,3.73811,3.63523,3.51520,3.54949,3.32658,3.24084,3.13796,3.13796,3.92673,3.78955,3.73811,3.63523,3.61808,3.58379,3.66952,3.72096,3.61808,3.58379,3.72096,3.77241,4.13250,4.01247,4.59548,4.81839,4.23538,4.06391,4.66407,4.74980,5.04131,5.28137,5.04131,5.05845,5.02416,4.44115,4.45830,4.74980,4.85269,4.50974,4.81839,5.19563,4.47545,5.89867,5.48714,5.16134,4.97272,4.83554,4.32112,4.37256,4.35541,4.44115,4.44115,4.62977,4.49259,4.50974,4.42400,4.49259,4.47545,4.32112,4.33827,4.38971,4.45830,4.42400,4.54404,4.47545,4.52689,4.52689,4.66407,4.83554,4.93842,5.00701,5.14419,5.14419,5.00701,5.00701,4.98987,4.88698,4.69836,4.68121,4.66407,4.54404,4.50974,4.52689,4.42400,4.33827,4.25253,4.23538,4.08106,4.28683,4.30397,4.02962,4.20109,4.18394,4.20109,4.23538
2011,Peats Ridge 33_11kV,16MAY2010,MW,4.09821,4.23538,4.14965,4.13250,4.13250,4.23538,4.18394,4.14965,3.99532,3.92673,3.87529,3.73811,3.75526,3.61808,3.58379,3.58379,3.58379,3.61808,3.56664,3.60093,3.61808,3.65238,3.32658,3.42946,3.10366,3.03507,3.12081,3.10366,3.17225,3.24084,3.32658,3.46376,3.54949,3.61808,3.70382,3.75526,3.82385,3.70382,3.66952,3.65238,3.49805,3.48090,3.48090,3.44661,4.45830,4.33827,4.32112,4.35541,4.38971,4.37256,4.30397,4.16679,4.25253,4.23538,4.20109,4.30397,4.20109,4.26968,4.23538,4.26968,4.33827,4.49259,4.50974,4.42400,4.56118,4.66407,4.71551,4.83554,4.90413,5.17849,5.38425,5.46999,5.29852,5.12704,5.14419,5.19563,4.97272,5.04131,4.90413,4.78410,4.90413,4.68121,4.64692,4.38971,4.50974,4.33827,4.32112,4.26968,4.13250,4.30397,4.14965,4.11535,4.14965,4.09821,4.21824,4.16679
2011,Peats Ridge 33_11kV,17MAY2010,MW,4.20109,4.25253,4.26968,4.04676,3.63523,3.78955,3.32658,3.32658,3.13796,3.00078,2.93219,2.82930,2.88075,2.77786,2.84645,2.88075,2.77786,3.00078,2.89789,2.91504,3.34372,3.54949,3.70382,3.90959,4.74980,4.71551,4.97272,5.28137,6.44739,6.61886,6.49883,6.51598,6.85892,6.75604,7.32190,6.87607,6.63601,7.18472,7.30475,7.52767,7.39049,7.37334,7.33905,7.28760,7.44193,7.47622,7.56196,7.33905,6.72174,6.70460,6.87607,6.61886,6.70460,6.72174,6.91036,6.99610,6.72174,6.46453,7.03039,6.72174,6.77318,6.70460,6.84177,6.79033,6.99610,6.87607,7.03039,6.48168,6.51598,6.80748,6.48168,6.13873,5.95011,6.00156,5.84723,5.65861,5.72720,5.53858,5.59002,5.33281,5.31566,5.19563,5.12704,5.00701,4.61262,4.45830,3.92673,3.84100,3.73811,3.89244,3.80670,3.51520,3.63523,3.68667,3.85814,3.63523
2011,Peats Ridge 33_11kV,18MAY2010,MW,3.49805,3.65238,3.61808,3.51520,3.39517,3.46376,3.37802,4.18394,3.73811,3.97817,4.01247,3.89244,3.78955,3.89244,3.82385,3.78955,3.84100,3.84100,3.96103,4.02962,4.42400,4.56118,4.68121,4.74980,5.64146,5.93297,5.74435,5.69290,5.74435,6.12159,6.22447,5.93297,5.98441,6.10444,6.00156,5.88152,,6.07015,5.60717,5.91582,6.53312,6.87607,6.80748,7.39049,7.39049,7.35619,7.45908,6.87607,6.80748,6.89322,7.21901,7.06469,6.80748,6.60171,6.91036,6.82463,6.85892,6.85892,6.43024,6.58456,6.49883,6.22447,6.32735,6.46453,6.49883,6.43024,6.31021,6.68745,6.99610,7.21901,6.92751,,6.87607,6.89322,6.99610,6.68745,6.63601,6.51598,6.48168,6.20732,6.19018,6.03585,5.86438,5.71005,5.72720,5.64146,5.53858,5.34996,5.31566,5.60717,5.41855,5.28137,5.38425,5.24707,4.90413,4.83554
2011,Peats Ridge 33_11kV,19MAY2010,MW,4.44115,4.57833,4.37256,4.20109,4.26968,4.37256,4.23538,4.06391,4.04676,3.97817,3.89244,3.84100,4.69836,4.21824,3.80670,3.70382,3.75526,3.84100,3.84100,4.04676,4.28683,4.38971,4.38971,4.90413,5.29852,5.98441,5.98441,5.91582,6.05300,6.32735,6.89322,6.80748,6.61886,6.67030,6.91036,6.73889,6.48168,7.49337,7.39049,7.35619,7.35619,7.57911,7.39049,7.18472,7.18472,7.63055,6.87607,7.11613,7.21901,6.84177,6.79033,7.09898,7.20187,6.53312,6.80748,6.56742,6.55027,6.53312,6.10444,6.19018,6.07015,6.77318,6.46453,6.51598,6.73889,6.41309,6.48168,6.25877,6.20732,6.58456,6.63601,6.65315,6.72174,6.67030,6.36165,6.49883,6.51598,6.49883,6.56742,5.96726,5.95011,5.77864,5.76149,5.72720,5.71005,5.53858,5.43570,5.28137,5.14419,5.29852,5.19563,5.07560,5.05845,5.10990,5.22993,4.59548
2011,Peats Ridge 33_11kV,20MAY2010,MW,4.54404,4.35541,4.25253,4.18394,4.13250,4.25253,4.09821,3.96103,3.30943,3.22369,3.15510,2.98363,2.96648,2.94934,2.96648,3.00078,3.00078,2.94934,3.72096,3.78955,4.18394,4.47545,4.49259,4.74980,5.17849,5.12704,5.60717,5.57287,5.59002,5.91582,5.60717,5.55573,5.60717,5.17849,5.26422,5.52143,5.34996,5.50428,5.48714,6.39594,6.43024,7.18472,7.09898,6.84177,7.20187,7.18472,6.84177,7.32190,7.21901,7.01325,7.21901,7.08184,6.73889,6.75604,6.84177,6.80748,6.73889,6.67030,6.17303,6.53312,6.22447,6.37880,5.84723,5.91582,5.55573,5.45284,5.41855,5.14419,5.52143,5.65861,5.60717,5.65861,5.93297,6.24162,6.61886,6.61886,6.48168,6.37880,6.25877,5.95011,5.59002,5.43570,5.60717,5.67576,5.74435,5.52143,5.41855,5.10990,4.66407,4.69836,4.50974,4.33827,4.45830,4.32112,4.52689,4.45830
2011,Peats Ridge 33_11kV,21MAY2010,MW,4.37256,4.42400,4.37256,4.25253,4.23538,4.28683,4.08106,3.96103,4.02962,3.87529,3.78955,3.75526,3.77241,3.77241,3.75526,3.72096,3.75526,3.63523,3.63523,3.90959,4.30397,4.45830,4.20109,4.37256,4.74980,4.92128,5.07560,4.83554,5.64146,5.55573,5.19563,5.46999,5.50428,5.16134,5.16134,5.04131,6.58456,6.48168,6.36165,6.17303,6.15588,6.13873,6.51598,6.60171,6.48168,6.29306,6.32735,6.67030,6.36165,6.53312,6.34450,5.91582,6.12159,5.88152,5.79579,6.15588,6.22447,5.57287,6.00156,5.79579,5.95011,5.88152,5.89867,5.88152,5.72720,5.59002,5.41855,5.50428,5.50428,5.16134,5.36711,5.33281,5.41855,5.40140,5.26422,5.24707,5.16134,5.00701,5.02416,4.62977,4.49259,4.66407,4.97272,4.90413,4.85269,4.78410,4.59548,4.61262,4.38971,4.62977,4.42400,4.38971,4.47545,4.28683,4.32112,4.37256
2011,Peats Ridge 33_11kV,22MAY2010,MW,4.30397,4.38971,4.18394,4.16679,3.96103,4.14965,4.01247,4.06391,3.90959,3.66952,3.37802,3.32658,2.89789,2.89789,2.82930,2.79501,2.94934,2.82930,2.79501,2.91504,2.94934,3.05222,3.06937,3.22369,3.53234,4.52689,4.59548,4.56118,4.74980,4.66407,4.76695,4.74980,4.81839,4.85269,4.69836,4.71551,4.76695,4.80124,4.93842,4.90413,4.88698,4.52689,4.49259,4.01247,3.96103,3.97817,3.84100,3.54949,3.39517,3.87529,4.30397,4.35541,4.38971,4.21824,4.18394,4.16679,4.14965,4.21824,4.25253,4.20109,4.25253,4.14965,4.25253,4.30397,4.37256,4.52689,4.69836,4.92128,5.02416,5.14419,5.29852,5.26422,4.78410,4.66407,4.18394,4.23538,4.06391,4.02962,3.92673,3.90959,4.30397,4.62977,4.59548,4.54404,4.40686,4.28683,4.23538,4.23538,4.13250,4.30397,4.21824,4.09821,4.20109,4.08106,4.26968,4.18394
2011,Peats Ridge 33_11kV,23MAY2010,MW,4.01247,4.16679,,3.82385,3.90959,4.11535,3.89244,3.49805,3.32658,2.91504,2.86360,2.86360,2.74357,2.89789,2.76072,2.82930,2.81216,2.84645,2.72642,2.79501,2.79501,2.82930,2.96648,2.96648,3.13796,3.10366,3.00078,2.98363,3.17225,3.15510,3.20655,3.44661,3.41231,3.89244,4.33827,4.44115,4.42400,4.37256,4.38971,4.26968,4.30397,4.35541,4.16679,4.18394,4.33827,4.33827,4.23538,4.28683,4.26968,4.32112,4.20109,4.14965,4.25253,4.11535,4.13250,4.18394,4.06391,4.02962,4.16679,4.06391,4.01247,4.02962,4.16679,4.23538,4.37256,4.28683,4.42400,4.49259,4.93842,4.97272,5.04131,5.14419,5.14419,5.04131,4.95557,4.88698,5.00701,4.88698,4.90413,4.73266,4.81839,4.78410,4.66407,4.68121,4.50974,4.38971,4.32112,4.23538,4.01247,4.30397,4.04676,3.94388,4.08106,3.90959,4.11535,4.02962
2011,Peats Ridge 33_11kV,24MAY2010,MW,3.96103,4.11535,3.96103,3.53234,3.44661,3.17225,3.10366,2.96648,2.91504,2.84645,2.77786,2.74357,2.62354,2.65783,2.69213,2.62354,2.64068,2.72642,2.69213,3.10366,3.65238,4.20109,4.37256,4.49259,4.73266,4.92128,5.05845,5.07560,5.24707,5.29852,5.55573,5.50428,5.38425,5.40140,5.45284,5.31566,5.34996,5.36711,5.36711,5.28137,5.38425,5.45284,5.33281,5.36711,5.41855,5.40140,6.24162,6.29306,6.19018,6.22447,6.12159,5.74435,5.71005,5.88152,5.86438,6.03585,6.05300,6.19018,6.00156,5.81294,5.79579,5.59002,5.67576,5.72720,5.52143,5.59002,5.81294,5.88152,6.01870,6.27591,6.34450,6.25877,6.25877,6.29306,5.77864,5.67576,5.24707,4.93842,5.05845,4.95557,4.83554,4.86983,4.66407,4.71551,4.50974,4.57833,4.62977,4.40686,4.21824,4.47545,4.33827,4.28683,4.33827,4.28683,4.44115,4.30397
2011,Peats Ridge 33_11kV,25MAY2010,MW,4.14965,4.28683,4.26968,4.13250,4.01247,4.18394,4.14965,4.02962,3.94388,3.99532,3.89244,3.82385,3.80670,3.72096,3.80670,3.78955,3.75526,3.65238,3.58379,3.89244,4.08106,4.32112,4.59548,4.64692,4.49259,4.85269,4.80124,4.80124,4.78410,4.95557,4.95557,4.98987,5.26422,5.22993,5.28137,4.95557,5.04131,5.64146,5.81294,6.56742,6.77318,6.19018,6.00156,6.07015,6.12159,6.00156,5.89867,6.08729,6.24162,6.43024,6.22447,6.07015,5.81294,6.03585,5.88152,6.01870,6.05300,5.91582,5.89867,5.65861,5.46999,5.46999,5.65861,5.62432,5.33281,5.52143,5.96726,6.10444,6.43024,6.53312,6.73889,6.65315,6.46453,6.56742,6.51598,6.01870,6.51598,6.51598,6.01870,6.01870,5.69290,5.64146,5.41855,5.00701,4.90413,4.73266,4.68121,4.62977,4.57833,4.71551,4.37256,5.21278,5.41855,5.09275,4.45830,4.40686
2011,Peats Ridge 33_11kV,26MAY2010,MW,4.35541,4.44115,4.26968,4.28683,4.14965,4.25253,4.14965,4.09821,3.96103,3.89244,3.92673,3.80670,3.80670,3.82385,3.90959,3.94388,3.85814,3.84100,3.87529,3.97817,4.37256,4.32112,4.49259,4.66407,5.64146,5.53858,5.74435,4.95557,5.40140,5.24707,5.19563,5.36711,5.40140,5.12704,5.17849,5.45284,5.69290,6.34450,6.34450,6.63601,6.79033,7.18472,7.01325,7.04754,6.96181,6.87607,6.91036,7.04754,6.99610,6.56742,6.27591,6.05300,5.71005,5.84723,6.48168,6.60171,6.36165,6.07015,6.22447,6.29306,5.65861,5.69290,5.95011,5.81294,6.00156,5.88152,6.03585,6.15588,6.17303,6.49883,6.49883,6.10444,6.01870,6.13873,6.01870,5.91582,5.16134,5.16134,4.92128,5.24707,5.21278,5.21278,5.04131,4.90413,4.86983,4.74980,4.73266,4.66407,4.44115,4.52689,4.44115,4.23538,4.42400,4.20109,4.02962,3.48090
