year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Hornsby 132_11kV,01MAY2007,MW,37.47886,35.44176,32.80108,36.87528,35.53607,33.00856,31.14122,29.12298,27.74605,26.10505,25.06764,24.48292,23.38892,22.67216,22.25720,22.54013,22.87965,22.69103,23.04940,23.50209,24.80357,25.36943,27.40653,29.85860,33.36694,35.64924,39.66686,37.38455,39.61027,40.83630,41.60965,41.53420,42.77909,42.59047,42.76023,42.94885,43.89195,43.72219,43.43926,43.83537,43.70333,43.43926,43.51471,43.42040,43.94854,43.59016,43.75992,43.74106,43.57130,43.45812,43.57130,43.32609,43.45812,43.55243,43.23178,43.42040,42.98657,42.53389,42.70364,42.83568,42.36413,42.53389,42.40185,42.59047,43.06202,43.09975,43.47699,43.98626,45.11798,47.11736,47.73981,48.38112,48.39998,48.72063,48.09818,47.66436,47.00419,45.49522,45.13685,44.21261,43.77878,42.32640,42.38299,40.57223,39.44051,37.79951,36.83755,35.74355,35.76242,37.32796,36.85641,35.34745,34.42321,37.83724,37.53545,34.91362
2008,Hornsby 132_11kV,02MAY2007,MW,37.36569,35.06452,32.65018,36.64893,35.47948,33.15945,31.06577,29.14184,27.48198,26.19936,25.12423,24.33202,24.03023,22.37037,22.48354,22.25720,22.21948,22.54013,22.78534,23.57754,24.76585,26.14278,27.61402,29.99063,33.68759,35.78128,39.23303,37.06390,39.55368,40.83630,41.85485,42.32640,42.19437,41.98689,42.51502,43.38268,43.38268,43.75992,43.81650,43.53357,43.57130,43.68447,43.72219,43.62788,44.06171,43.32609,44.09943,44.09943,44.08057,43.72219,43.09975,43.40154,43.68447,43.79764,43.34495,43.72219,43.32609,43.74106,43.45812,43.38268,43.00544,42.81682,43.57130,43.34495,43.15633,43.15633,43.59016,44.19374,45.58953,46.60808,47.49460,48.36225,48.58860,47.98501,47.55119,47.06077,46.09881,45.23116,44.89164,43.75992,43.06202,42.40185,41.00606,39.70458,38.15789,36.34714,35.78128,34.89476,34.78159,36.17738,36.34714,34.89476,33.74418,37.53545,36.59234,34.80045
2008,Hornsby 132_11kV,03MAY2007,MW,37.04503,34.51752,32.21635,36.74324,35.08338,32.31066,30.36787,28.50053,26.57660,25.27512,24.08682,23.27575,22.54013,21.95541,21.78565,21.18206,21.21979,21.97427,22.27606,23.03054,23.91706,24.91675,26.68978,29.12298,32.17863,34.47980,37.32796,35.53607,37.32796,38.61058,39.64799,39.45937,40.08182,40.72313,41.40216,42.51502,43.19406,43.34495,43.70333,43.47699,43.70333,44.08057,43.72219,44.02399,44.30692,44.06171,43.92968,44.13716,44.19374,44.36350,43.89195,43.70333,44.11830,44.13716,44.43895,44.66529,45.09912,44.19374,44.21261,44.08057,44.38236,43.59016,43.47699,44.23147,44.04285,43.85423,44.09943,44.72188,45.40091,46.07995,48.02274,48.58860,49.49398,49.41853,48.70177,48.45656,47.21167,46.60808,46.51377,45.58953,44.83505,44.23147,42.68478,41.11923,38.70489,36.51690,36.15852,34.72500,34.00825,35.12111,35.17769,33.72532,32.46156,36.34714,35.78128,33.81963
2008,Hornsby 132_11kV,04MAY2007,MW,36.15852,33.53670,31.00918,35.76242,34.12142,31.59391,29.57567,27.50084,25.89757,24.44520,23.72844,23.06827,22.33265,21.76679,21.69134,21.87996,21.80451,21.91768,22.08744,22.82306,23.70958,24.50178,25.85985,28.23646,31.53732,33.32921,36.21510,34.49866,36.68665,37.68634,38.49741,39.78003,40.06296,40.32703,41.94916,42.98657,43.00544,43.30723,43.57130,43.60902,43.81650,44.28805,44.34464,43.77878,44.17488,44.00512,44.15602,44.49554,44.47667,44.06171,43.85423,43.70333,43.43926,43.66561,44.13716,43.89195,43.43926,44.04285,43.59016,43.36381,43.11861,42.62820,42.42071,42.92999,42.59047,42.53389,42.74137,42.68478,43.19406,43.96740,44.04285,44.23147,43.49585,43.08088,42.81682,41.72282,40.68541,40.49679,40.15727,39.32734,38.27107,37.44114,36.85641,35.91331,35.40404,34.36662,33.85735,32.78221,32.61246,34.57411,35.06452,33.85735,32.83880,37.19593,37.06390,34.70614
2008,Hornsby 132_11kV,05MAY2007,MW,36.85641,34.17800,31.89570,35.91331,34.44207,32.10318,30.10381,27.78378,26.01074,24.67154,23.57754,22.84192,22.42696,21.99313,21.37068,21.14434,21.12548,20.69165,20.86141,21.27637,21.78565,21.78565,22.08744,23.21916,24.44520,24.89788,26.57660,26.14278,28.27419,28.85891,31.36756,32.78221,34.78159,35.81900,38.27107,39.02555,39.70458,39.23303,39.34620,39.93092,40.06296,39.78003,39.28962,39.70458,39.44051,38.78034,38.78034,39.30848,38.89351,38.64831,38.93124,38.45969,37.91269,38.13903,37.89382,37.89382,37.61089,37.13934,37.29024,37.47886,37.13934,36.63007,36.78096,37.30910,37.59203,37.68634,38.40310,39.10100,38.51627,40.44020,42.68478,42.85454,41.89258,41.45875,41.06265,39.72344,38.68603,37.91269,37.81838,36.70552,35.89445,35.59266,34.63069,33.63101,32.48042,32.31066,31.65049,30.78284,31.59391,33.53670,34.21573,33.14059,33.17832,37.42227,37.13934,34.72500
2008,Hornsby 132_11kV,06MAY2007,MW,37.10162,34.68728,32.44270,36.98845,35.23428,33.08401,31.06577,28.76460,27.27450,25.91643,24.61495,23.80389,22.89851,21.80451,21.42727,21.54044,21.54044,21.10662,21.18206,21.29524,21.03117,21.27637,21.72906,22.42696,23.16258,23.16258,24.33202,23.55868,24.80357,25.95416,26.99157,28.48167,29.83974,31.21667,32.27294,33.02742,34.23459,34.44207,35.00793,35.89445,36.57348,36.76210,36.66779,36.74324,36.89414,35.95104,36.02648,36.27169,35.81900,35.40404,35.47948,35.23428,35.27200,34.74387,35.00793,34.83818,34.76273,34.46093,34.25345,34.42321,34.89476,34.64956,35.06452,35.51721,35.42290,36.25283,37.02617,38.23334,37.85610,40.89289,42.45844,43.45812,43.45812,43.28837,42.74137,41.89258,41.19468,39.87434,39.30848,38.40310,37.98814,37.46000,37.15821,35.85673,34.36662,33.44239,32.83880,31.78253,32.06546,33.98938,34.27231,32.51815,31.83911,35.87559,35.83786,33.91394
2008,Hornsby 132_11kV,07MAY2007,MW,36.12079,34.08369,31.48073,35.89445,34.46093,32.31066,30.51877,28.61370,26.84067,24.95447,24.16226,23.42665,22.65330,21.42727,21.50272,21.86110,21.95541,22.27606,21.97427,22.95509,23.99251,24.86016,26.63319,29.51908,31.97115,34.55524,37.53545,36.08307,38.17676,39.38393,40.08182,40.00637,40.68541,41.38330,42.45844,43.02430,43.83537,44.02399,43.74106,44.23147,44.57098,44.06171,43.77878,43.77878,44.28805,45.04254,44.68416,44.87278,44.72188,43.96740,43.96740,44.02399,44.13716,44.11830,43.79764,44.06171,44.04285,43.96740,43.53357,44.06171,43.17519,42.92999,43.13747,42.98657,43.17519,43.64675,44.02399,45.25002,46.66467,48.36225,48.41884,48.30567,47.73981,47.68322,46.96646,46.11767,45.81588,44.62757,43.57130,43.32609,42.13778,41.08151,40.08182,39.10100,38.40310,37.46000,35.68697,35.10224,34.36662,35.93217,35.81900,34.00825,33.19718,37.21479,37.12048,34.57411
2008,Hornsby 132_11kV,08MAY2007,MW,36.66779,34.74387,32.17863,36.59234,35.25314,32.80108,30.61308,28.99095,27.10474,25.76554,24.74699,23.91706,23.55868,22.72875,22.78534,22.35151,22.42696,22.65330,22.89851,23.53982,24.61495,25.82212,27.59515,29.66998,32.83880,35.64924,38.17676,36.61121,38.62944,39.57255,40.74199,40.55337,41.57192,41.98689,43.55243,43.72219,43.79764,44.00512,43.68447,43.42040,43.92968,44.34464,44.51440,44.49554,44.85392,45.38205,45.25002,45.72157,45.58953,45.36319,45.36319,45.15571,44.94823,45.23116,45.66498,45.47636,45.51409,45.74043,45.58953,45.09912,45.53295,44.68416,44.62757,44.96709,44.91050,45.28774,45.92905,46.28743,47.66436,49.07901,48.83380,48.60746,47.89070,48.11705,47.23053,46.32515,45.25002,44.45781,43.43926,41.94916,41.51534,40.68541,39.62913,38.91237,37.27138,36.23397,36.04535,35.10224,34.55524,35.64924,35.72469,34.12142,33.40466,36.51690,36.30941,34.53638
2008,Hornsby 132_11kV,09MAY2007,MW,36.61121,34.19687,31.51846,36.38486,34.98907,32.14090,30.00949,28.06671,26.76523,25.33171,24.18113,23.78502,23.31347,22.72875,22.37037,22.16289,22.50241,22.78534,22.93623,23.52096,24.27544,26.14278,27.55743,28.91550,32.44270,35.19655,37.57317,36.36600,38.95010,40.06296,41.72282,42.25095,42.59047,43.21292,44.40123,44.96709,45.53295,45.53295,45.41978,45.53295,45.87246,45.79702,45.11798,45.40091,45.25002,45.81588,,45.98564,45.83474,45.45750,44.92936,44.58985,44.91050,44.51440,44.62757,44.75961,44.64643,44.66529,44.43895,43.62788,43.70333,44.11830,44.83505,44.58985,45.66498,46.45719,47.75867,48.21136,49.28649,49.75804,50.30504,49.87122,49.75804,49.02242,48.24908,47.28712,46.43833,45.51409,44.72188,43.66561,42.87340,42.13778,40.98720,39.83661,38.12017,36.81869,36.36600,35.06452,34.51752,36.38486,35.95104,34.06483,33.53670,37.04503,37.06390,34.23459
2008,Hornsby 132_11kV,10MAY2007,MW,36.83755,34.29118,31.87684,35.95104,34.32890,32.66904,30.23584,28.36850,26.48229,25.08650,23.95478,23.23803,23.03054,22.03085,22.14403,21.97427,22.10630,22.04972,22.35151,23.16258,24.33202,25.08650,26.87840,29.16070,32.14090,34.85704,37.72407,35.85673,38.44082,40.47792,41.96802,42.21323,42.45844,42.96771,44.23147,44.87278,45.00481,45.41978,45.64612,45.21229,44.83505,45.38205,45.08026,45.04254,44.87278,45.15571,44.79733,44.51440,44.94823,44.70302,44.55212,44.06171,44.23147,44.66529,44.15602,44.02399,43.68447,43.45812,43.21292,42.94885,43.08088,42.89226,43.21292,43.23178,43.43926,44.28805,45.41978,46.57036,48.15477,49.68260,51.39904,51.47449,51.22928,51.56880,50.87090,50.62570,49.87122,48.56974,48.73949,47.70208,47.13622,46.51377,45.47636,43.68447,40.85516,39.76117,38.64831,36.93186,36.53576,38.27107,37.81838,36.15852,35.36631,38.55400,38.00700,35.78128
2008,Hornsby 132_11kV,11MAY2007,MW,37.68634,35.17769,32.10318,36.64893,35.34745,32.97083,30.85829,28.53826,26.84067,25.42602,23.95478,23.33234,22.80420,22.52127,22.06858,22.06858,21.87996,22.21948,22.23834,23.06827,23.69071,25.10537,26.50116,28.67029,32.10318,34.93249,38.19562,36.49803,38.70489,39.76117,40.81744,41.93030,42.45844,42.83568,43.23178,43.70333,44.13716,44.13716,43.81650,43.75992,43.34495,44.09943,43.25064,43.26950,43.74106,43.25064,43.40154,42.53389,42.68478,42.36413,42.64706,42.51502,42.59047,42.02461,41.83599,42.11892,42.30754,42.04347,41.25127,41.36444,41.51534,41.40216,41.70396,41.83599,41.89258,42.28868,43.42040,43.64675,45.17457,46.70239,47.53232,47.49460,47.73981,46.53264,46.23084,45.60840,44.60871,43.53357,43.36381,43.06202,42.43957,41.93030,40.51565,39.89320,39.15758,37.51658,36.85641,35.93217,35.96990,37.81838,37.68634,36.06421,35.46062,39.11986,38.53513,36.83755
2008,Hornsby 132_11kV,12MAY2007,MW,38.85579,36.15852,33.55556,37.62976,35.93217,34.06483,31.87684,29.59453,27.91581,26.40685,25.31285,24.29430,23.40778,22.99282,22.69103,22.61558,22.16289,22.21948,22.18175,22.31379,23.08713,22.91737,23.53982,24.06795,25.42602,26.48229,27.91581,27.99126,29.80201,30.80170,32.51815,34.44207,35.83786,36.96959,39.21417,40.13841,40.40248,40.38361,40.57223,40.76085,40.11954,40.17613,39.93092,39.68572,39.15758,39.08213,38.72375,38.25220,38.47855,38.25220,37.53545,36.98845,37.08276,36.76210,36.46031,36.27169,36.21510,35.57379,35.89445,36.08307,36.08307,35.93217,36.36600,36.74324,37.13934,37.59203,39.42165,39.62913,41.27013,43.89195,45.06140,45.38205,44.91050,44.19374,43.68447,42.62820,41.45875,40.55337,40.27044,39.21417,38.76148,38.34651,37.53545,36.83755,36.27169,34.76273,34.34776,33.32921,34.27231,36.21510,36.79983,34.98907,34.81931,38.89351,38.49741,36.10193
2008,Hornsby 132_11kV,13MAY2007,MW,38.93124,36.47917,34.23459,38.00700,36.63007,34.21573,32.46156,30.21698,28.14215,26.87840,25.84099,24.61495,23.86047,22.93623,22.21948,21.87996,21.50272,21.33296,21.54044,21.08775,21.48386,21.69134,22.08744,22.29492,23.48323,23.76616,24.40747,24.01137,24.86016,26.84067,27.99126,29.53794,31.25439,32.87652,34.17800,35.13997,35.96990,35.74355,36.38486,37.38455,38.28993,38.27107,37.36569,37.42227,37.78065,37.44114,37.29024,37.17707,36.66779,36.10193,36.10193,35.72469,35.47948,35.49835,35.19655,34.46093,34.08369,34.47980,34.10256,34.31004,34.06483,34.34776,35.04566,35.25314,35.55493,36.15852,37.72407,37.76179,38.57286,40.34589,41.74168,42.49616,43.15633,42.66592,42.08120,41.17582,40.83630,40.15727,39.49710,38.72375,38.12017,37.79951,37.15821,35.80014,35.15883,33.64987,33.29149,31.89570,32.23521,33.81963,34.25345,32.74449,31.97115,35.87559,35.85673,33.91394
2008,Hornsby 132_11kV,14MAY2007,MW,36.27169,33.80076,31.66935,36.19624,34.97021,32.68790,30.51877,28.61370,27.23678,25.85985,24.55837,23.55868,22.80420,21.97427,21.59703,21.50272,22.20061,22.08744,22.14403,22.93623,23.69071,25.38830,27.04816,28.84005,32.31066,35.30973,38.44082,36.63007,38.53513,39.68572,40.23272,41.34558,42.30754,42.60933,43.70333,43.64675,44.19374,44.38236,44.11830,44.55212,44.60871,44.55212,44.58985,44.47667,44.68416,44.19374,44.42009,44.94823,45.02367,43.98626,44.57098,43.87309,44.04285,44.15602,44.00512,44.30692,43.17519,43.59016,44.04285,43.96740,43.42040,43.28837,43.66561,43.96740,43.53357,44.04285,45.28774,45.49522,47.26826,48.75836,49.30536,48.83380,48.60746,48.56974,47.66436,47.23053,46.24971,45.19343,44.53326,43.36381,42.77909,41.64737,41.11923,40.44020,38.70489,37.17707,36.64893,34.95135,34.98907,36.53576,36.59234,34.17800,33.57442,37.59203,37.00731,34.49866
2008,Hornsby 132_11kV,15MAY2007,MW,37.15821,35.08338,32.42384,36.79983,35.17769,33.21604,30.74511,28.76460,27.18019,25.85985,24.78471,23.86047,23.27575,22.42696,22.63444,22.50241,22.84192,22.76647,22.86078,23.31347,24.46406,25.59578,27.36881,30.21698,33.53670,36.63007,39.02555,37.70520,39.45937,40.96834,41.34558,42.23209,42.89226,43.43926,43.87309,44.43895,44.45781,44.26919,44.17488,44.21261,43.91081,43.92968,43.85423,44.43895,44.00512,43.83537,44.15602,44.45781,43.75992,44.13716,43.42040,43.34495,43.43926,43.74106,43.79764,43.92968,43.28837,44.09943,43.13747,42.81682,42.55275,42.36413,42.94885,43.23178,43.36381,44.17488,45.11798,45.11798,47.21167,48.81494,48.75836,48.39998,48.23022,48.28681,47.53232,47.17395,46.53264,45.92905,44.89164,44.34464,43.21292,41.83599,41.40216,40.68541,39.11986,38.23334,37.17707,36.15852,35.44176,36.38486,36.79983,34.76273,34.12142,37.78065,37.49772,35.08338
2008,Hornsby 132_11kV,16MAY2007,MW,37.40341,34.78159,32.51815,36.91300,35.53607,32.97083,30.89601,28.93436,27.06702,26.12392,24.91675,24.10568,22.95509,22.61558,22.46468,22.35151,22.54013,22.72875,22.55899,23.40778,24.50178,25.65237,27.34995,30.02836,32.80108,35.78128,38.44082,36.68665,38.79920,41.00606,41.98689,42.74137,42.91113,43.36381,44.00512,44.30692,44.79733,44.47667,44.70302,44.58985,44.57098,44.55212,44.21261,44.60871,44.62757,44.13716,44.74074,44.85392,44.45781,44.40123,43.98626,43.66561,43.96740,44.02399,44.15602,44.83505,43.77878,44.04285,43.77878,43.74106,43.59016,43.66561,43.36381,43.89195,43.91081,44.53326,44.91050,46.62695,48.11705,49.77691,49.96553,49.79577,49.43739,48.87153,47.73981,47.62663,46.41946,45.58953,44.91050,43.79764,43.15633,42.25095,40.98720,39.78003,38.49741,37.57317,36.08307,34.89476,35.13997,36.17738,36.08307,35.15883,34.00825,38.34651,37.87496,35.00793
2008,Hornsby 132_11kV,17MAY2007,MW,37.15821,35.27200,32.57473,37.06390,35.10224,32.93311,30.80170,28.70801,27.21791,25.74668,24.55837,24.06795,23.18144,22.50241,22.50241,21.99313,22.29492,22.78534,22.67216,23.03054,24.12454,25.35057,27.12360,29.91518,32.72563,35.64924,38.44082,37.02617,39.47824,40.98720,41.51534,42.66592,42.10006,43.06202,43.55243,43.92968,44.25033,44.13716,43.87309,44.30692,44.19374,44.30692,44.17488,44.30692,44.13716,44.51440,44.47667,44.58985,44.75961,43.74106,44.08057,43.59016,44.06171,44.62757,44.13716,44.34464,43.68447,43.68447,43.79764,43.92968,43.36381,43.13747,43.53357,43.38268,43.60902,44.13716,45.00481,46.09881,48.28681,49.22991,50.72001,50.77659,51.15383,50.64456,50.13528,49.36194,49.04129,48.15477,47.15508,46.32515,45.53295,44.28805,43.47699,41.51534,39.15758,37.38455,36.95072,35.15883,34.61183,35.87559,36.12079,34.12142,33.19718,37.21479,36.36600,34.06483
2008,Hornsby 132_11kV,18MAY2007,MW,36.53576,33.95166,31.02804,35.68697,34.23459,31.89570,29.87746,27.74605,26.08619,24.89788,23.67185,22.86078,22.20061,21.59703,21.57817,21.72906,21.59703,22.35151,22.33265,22.65330,23.25689,24.36975,25.93530,28.04784,31.06577,33.95166,36.59234,35.91331,37.68634,38.72375,41.32671,41.60965,42.81682,43.26950,44.87278,45.28774,45.72157,45.75929,45.41978,46.06109,45.96678,45.40091,45.00481,45.19343,45.25002,45.36319,45.28774,44.94823,44.98595,45.19343,44.94823,44.51440,44.66529,45.13685,44.89164,44.66529,44.06171,43.42040,42.51502,42.89226,42.34526,42.19437,42.30754,42.28868,43.02430,43.25064,44.45781,45.21229,47.89070,49.32422,49.94666,50.22959,49.77691,49.22991,49.04129,48.47543,48.02274,46.66467,45.87246,45.23116,44.32578,43.40154,42.34526,41.25127,39.81775,39.15758,38.30879,35.93217,36.55462,38.27107,38.06358,36.38486,35.27200,39.53482,38.96896,36.81869
2008,Hornsby 132_11kV,19MAY2007,MW,38.76148,36.13966,33.74418,37.83724,35.81900,33.66873,31.19780,29.44363,27.51971,25.78440,24.38861,23.99251,23.31347,22.55899,22.29492,22.40810,22.01199,21.78565,21.65361,22.18175,22.12517,22.63444,23.21916,23.95478,25.08650,25.95416,27.78378,27.85922,29.53794,31.65049,32.12204,33.61214,35.02680,36.53576,38.00700,39.34620,39.64799,39.72344,40.15727,39.79889,39.93092,39.10100,39.34620,38.93124,39.15758,38.98782,38.72375,38.87465,38.64831,38.55400,38.02586,37.32796,37.17707,36.13966,36.42259,36.17738,35.85673,35.80014,35.46062,35.74355,35.74355,35.55493,35.78128,35.83786,36.34714,37.53545,39.10100,40.00637,41.77940,44.09943,45.08026,45.81588,45.02367,44.43895,43.92968,43.17519,42.13778,41.79827,40.76085,39.89320,39.42165,39.23303,37.87496,37.44114,36.30941,35.55493,34.97021,34.27231,34.78159,36.55462,37.44114,36.23397,35.57379,40.02523,39.61027,37.34683
2008,Hornsby 132_11kV,20MAY2007,MW,39.57255,37.47886,35.02680,39.38393,37.51658,35.36631,33.34807,31.38642,29.48136,28.14215,26.48229,25.55806,24.48292,23.61527,23.01168,22.33265,21.76679,22.12517,21.65361,22.03085,21.74792,22.06858,22.35151,23.33234,24.21885,24.72813,25.27512,24.70926,26.19936,27.91581,29.44363,31.10349,32.32953,33.48011,34.76273,35.51721,36.00762,36.23397,36.53576,37.59203,37.61089,37.27138,36.98845,36.64893,36.72438,36.66779,36.29055,36.13966,35.96990,36.27169,36.10193,35.34745,34.91362,34.51752,34.36662,34.06483,33.89507,34.21573,33.53670,34.06483,34.23459,34.36662,34.74387,35.47948,36.76210,37.61089,39.96865,41.34558,43.04316,44.72188,45.91019,46.51377,46.72126,46.55150,45.98564,45.34433,44.21261,43.53357,42.26982,42.17551,41.10037,40.76085,39.91206,38.64831,37.25252,36.19624,35.57379,33.70645,34.00825,35.70583,35.76242,34.02711,33.08401,37.04503,37.17707,34.76273
2008,Hornsby 132_11kV,21MAY2007,MW,37.59203,35.46062,32.89539,37.30910,35.63038,33.74418,31.74480,29.44363,27.50084,26.33140,24.95447,24.04909,22.84192,22.16289,21.76679,21.69134,22.27606,22.35151,22.57785,23.38892,24.65268,25.69009,27.80264,30.00949,33.34807,36.72438,39.36506,38.59172,40.53451,41.93030,43.28837,43.49585,43.79764,43.85423,44.49554,45.02367,45.62726,45.77815,45.19343,45.11798,44.89164,44.81619,44.45781,44.15602,44.43895,43.96740,44.02399,43.94854,44.02399,43.64675,44.13716,43.49585,43.66561,43.66561,43.59016,43.30723,42.98657,42.89226,42.57161,43.19406,42.47730,42.11892,42.94885,43.40154,43.92968,45.81588,46.72126,48.04160,49.92780,51.66311,51.47449,51.51221,51.90832,50.87090,50.41821,49.75804,49.30536,48.04160,47.23053,46.58922,45.83474,45.36319,44.25033,43.57130,42.34526,41.00606,39.30848,37.79951,37.12048,38.55400,38.96896,36.76210,35.51721,39.08213,38.62944,36.40372
2008,Hornsby 132_11kV,22MAY2007,MW,38.85579,36.47917,33.93280,37.98814,36.44145,34.38549,32.10318,30.38674,28.57598,27.10474,25.84099,25.06764,24.21885,23.48323,23.08713,22.74761,22.95509,23.25689,23.25689,23.65299,24.76585,26.33140,28.29305,31.12235,34.68728,38.12017,40.93061,39.44051,41.66623,43.89195,44.64643,45.15571,44.81619,45.51409,45.26888,45.38205,46.04222,45.13685,45.51409,45.34433,44.74074,44.79733,44.38236,44.13716,43.94854,43.49585,43.49585,43.57130,43.70333,43.51471,43.53357,43.70333,43.83537,43.43926,43.55243,43.59016,43.06202,42.91113,43.47699,43.60902,43.23178,43.17519,43.51471,44.02399,44.75961,45.72157,47.13622,48.87153,52.00263,54.11517,54.58672,54.85079,55.94479,55.77503,55.28462,54.66217,54.24721,53.26638,52.81369,51.96490,51.11611,50.66342,49.34308,48.36225,46.57036,45.55181,44.40123,41.76054,41.00606,42.06233,41.32671,39.11986,37.68634,41.19468,40.79858,38.36538
2008,Hornsby 132_11kV,23MAY2007,MW,40.60996,38.19562,35.47948,39.94979,38.42196,36.36600,34.14028,32.32953,30.61308,29.21729,27.38767,25.85985,25.50147,24.70926,24.63382,24.31316,24.25657,24.29430,24.42633,25.01106,26.74636,28.48167,30.34901,33.32921,37.83724,40.81744,44.64643,43.55243,46.26857,48.98470,49.58829,49.98439,49.21104,48.98470,49.38080,49.36194,49.73918,49.04129,48.09818,47.90956,47.83412,47.23053,46.81557,46.36288,46.13653,46.02336,45.91019,45.57067,44.91050,44.58985,44.60871,44.25033,44.15602,44.43895,44.38236,43.77878,43.74106,43.42040,43.68447,43.06202,43.21292,43.26950,43.59016,44.62757,45.58953,46.57036,48.55087,50.13528,53.00231,54.96397,56.17114,56.37862,57.00106,57.01993,57.05765,56.51065,55.75617,54.37924,54.56786,53.60590,52.53076,51.73856,50.55025,50.17301,48.39998,47.13622,45.75929,43.34495,43.13747,42.83568,42.36413,40.15727,38.57286,42.13778,41.94916,39.06327
2008,Hornsby 132_11kV,24MAY2007,MW,41.28899,38.83693,36.47917,40.59110,39.00668,37.00731,34.93249,32.98970,30.80170,29.34932,27.85922,27.10474,26.23709,25.65237,24.95447,24.53951,24.69040,24.78471,25.21854,25.67123,27.25564,29.16070,31.29211,34.31004,38.40310,41.72282,45.43864,44.49554,47.43801,49.56942,50.73887,50.58797,50.36163,49.81463,50.02211,50.36163,50.45594,49.02242,48.60746,48.32453,47.40029,47.06077,46.68353,45.75929,45.94791,45.62726,44.77847,44.87278,44.28805,44.09943,43.59016,43.81650,43.79764,43.42040,43.53357,43.51471,43.49585,42.76023,42.68478,42.85454,42.89226,43.23178,43.38268,43.81650,44.89164,45.74043,46.96646,48.36225,52.13466,54.68103,56.58610,57.88758,58.73637,59.30223,58.18937,58.17051,58.09506,58.05734,57.45375,56.92562,56.73700,55.69958,54.62445,52.32328,49.62601,47.89070,46.55150,44.30692,43.70333,44.43895,43.28837,40.79858,39.34620,42.11892,41.79827,39.51596
2008,Hornsby 132_11kV,25MAY2007,MW,41.60965,39.11986,36.36600,40.40248,38.93124,36.66779,34.57411,32.44270,30.91487,29.53794,28.25533,27.21791,26.35026,25.65237,24.72813,24.86016,24.76585,24.89788,24.63382,25.48261,26.76523,28.80232,31.00918,33.68759,37.53545,42.00575,45.87246,44.68416,47.28712,50.05984,51.07839,51.07839,50.38049,50.22959,50.51253,49.94666,49.96553,49.79577,48.41884,48.00387,47.28712,46.51377,46.23084,45.83474,45.51409,44.77847,44.94823,44.36350,44.36350,43.74106,43.83537,43.38268,43.28837,43.17519,42.70364,42.45844,42.08120,42.15664,42.30754,42.04347,42.40185,42.25095,42.38299,43.32609,43.85423,45.25002,46.85329,47.96615,51.34245,53.81338,54.56786,54.45469,54.64331,54.88852,54.79421,54.71876,53.81338,52.49304,52.56849,51.70083,50.94635,49.77691,49.53170,48.17363,46.89101,46.06109,45.04254,43.02430,42.77909,43.40154,43.30723,41.30785,40.13841,43.72219,42.87340,40.57223
2008,Hornsby 132_11kV,26MAY2007,MW,42.92999,40.42134,37.42227,41.57192,40.02523,37.40341,35.15883,33.12173,31.40529,29.70770,28.40622,27.46312,26.23709,25.14309,24.76585,24.53951,24.29430,24.29430,24.12454,24.46406,24.99219,25.67123,25.95416,27.14247,28.61370,30.12267,31.80139,32.25408,34.15914,36.96959,38.45969,40.74199,42.28868,43.77878,45.06140,46.24971,46.60808,46.17426,45.68384,45.51409,44.49554,43.79764,42.74137,41.96802,41.51534,41.15696,40.36475,40.28930,39.45937,39.49710,38.64831,38.72375,38.08245,38.25220,37.74293,37.66748,37.29024,37.38455,37.06390,37.00731,37.23365,37.51658,37.74293,38.38424,39.30848,41.00606,42.70364,44.38236,47.62663,49.90894,51.90832,52.19125,51.96490,51.39904,50.53139,49.85235,48.90925,47.87184,47.79639,46.24971,45.83474,45.15571,44.51440,43.64675,42.64706,41.64737,40.76085,39.68572,40.13841,41.45875,41.96802,39.61027,39.06327,42.92999,42.57161,40.59110
