year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Revesby 132_11kV,01MAY2007,MW,19.93317,18.21387,16.70948,21.25846,19.59289,18.46460,17.87359,16.38711,14.82899,12.89477,12.57240,11.64111,11.05010,10.99637,10.47700,10.15463,10.40536,10.90683,11.21129,12.23212,12.62613,14.07679,15.52745,15.58118,17.87359,19.01979,20.57791,18.35714,17.35421,18.16014,18.26759,17.44376,17.30049,19.34216,19.10934,18.05268,17.49749,16.60202,16.92439,15.95728,15.88564,16.65575,15.77819,17.49749,18.42878,17.71240,18.32132,17.22885,16.97812,15.45582,15.79610,18.10641,16.15428,17.44376,16.11846,15.47373,16.38711,15.67073,16.01101,16.42292,15.67073,15.93937,16.15428,16.85275,17.17512,17.62285,18.35714,18.75115,19.48543,21.59874,23.08522,23.46132,22.99568,23.24641,22.83449,22.51212,21.00773,21.00773,20.77491,20.29136,19.93317,19.71826,19.37798,18.58996,18.37505,18.08850,17.60495,18.03477,20.90028,21.59874,26.70292,24.33888,22.72704,20.39881,24.01651,21.33010
2008,Revesby 132_11kV,02MAY2007,MW,19.80780,17.99895,16.97812,20.93609,19.28843,17.39003,16.90648,16.33338,15.20509,13.46787,12.35749,11.65902,11.01428,10.69191,10.62028,10.74564,10.99637,11.31874,11.42620,12.33958,11.98139,13.03805,14.23798,14.81108,16.17219,17.28258,19.16306,17.83777,19.44961,19.91526,20.30927,20.14808,19.71826,17.46167,18.85860,18.51833,18.24968,18.69742,18.19596,18.69742,18.37505,17.78404,17.94522,17.83777,16.70948,17.06766,18.08850,16.01101,15.34836,15.84982,16.60202,16.63784,16.20801,16.20801,15.93937,16.10056,16.17219,15.42000,15.93937,16.17219,16.31547,16.49456,17.03184,17.19303,17.98104,17.28258,18.30341,18.94815,19.32425,21.75993,22.99568,22.97777,23.99860,23.10313,22.24348,21.70620,21.22265,20.20181,20.45254,19.98690,20.72118,19.77198,19.59289,18.91233,18.94815,17.60495,16.97812,16.81693,20.29136,21.33010,26.54174,24.92989,22.22557,20.30927,23.99860,21.38383
2008,Revesby 132_11kV,03MAY2007,MW,19.66453,17.81986,16.63784,21.00773,19.93317,18.35714,16.81693,16.17219,14.32752,13.16341,12.41122,11.90975,11.22920,10.85310,10.88892,10.45909,11.31874,11.58739,11.58739,11.58739,12.82313,13.32460,15.18718,15.31254,18.32132,18.84069,21.16892,18.91233,18.14223,19.16306,18.78697,18.21387,18.35714,19.64662,17.39003,16.76320,16.85275,18.30341,18.10641,17.67658,18.19596,18.24968,17.13930,16.65575,16.42292,16.49456,19.00188,18.75115,17.81986,18.89442,17.19303,17.33630,16.92439,18.48251,18.30341,17.06766,17.40794,16.54829,16.96021,17.49749,16.60202,17.78404,17.40794,17.65867,17.62285,17.49749,18.78697,18.37505,19.48543,21.41965,22.27930,22.67331,23.08522,23.03150,22.88822,21.36592,20.82864,20.39881,19.87944,19.70035,20.04062,20.29136,19.87944,18.96606,18.19596,17.56913,17.65867,17.03184,20.25554,21.41965,25.95073,24.66125,22.06439,20.13017,23.90906,21.33010
2008,Revesby 132_11kV,04MAY2007,MW,19.00188,17.22885,16.54829,20.23763,18.64369,16.90648,16.54829,14.99017,13.96934,13.00223,12.62613,11.53366,11.22920,10.79937,10.83519,10.56655,10.90683,11.53366,11.58739,12.12467,12.50076,13.25296,13.59324,14.07679,16.47665,17.49749,18.46460,15.95728,16.87066,17.81986,17.28258,17.49749,17.08557,17.19303,16.96021,16.54829,16.27965,16.44083,16.22592,16.47665,16.36920,16.97812,16.63784,16.53038,16.31547,16.44083,16.04683,16.06474,16.01101,15.84982,15.40209,16.47665,16.54829,16.27965,16.54829,16.58411,16.90648,16.47665,16.58411,16.44083,16.44083,16.74529,16.92439,17.39003,17.65867,17.40794,18.24968,18.51833,19.55707,20.68536,21.86738,21.84947,22.08230,22.45839,21.75993,20.73909,19.75407,19.43170,20.04062,19.61080,19.05561,18.78697,18.94815,17.65867,17.33630,17.56913,17.08557,17.60495,20.07644,21.22265,26.84620,25.03735,22.92404,20.45254,24.15979,21.58083
2008,Revesby 132_11kV,05MAY2007,MW,19.61080,17.76613,16.69157,21.09728,20.13017,18.03477,17.08557,15.99310,15.07972,13.84397,12.62613,11.71275,11.01428,10.47700,10.78146,10.42327,11.33665,11.22920,10.90683,11.42620,11.49784,11.74857,12.39331,12.12467,12.62613,13.05596,13.91561,13.03805,13.84397,14.34543,14.56035,14.97226,15.83191,15.99310,16.17219,15.45582,15.74237,16.63784,16.36920,16.31547,16.15428,15.47373,15.42000,15.31254,15.68864,15.77819,15.52745,14.64989,14.82899,14.66780,14.39916,14.82899,14.54244,14.43498,14.23798,14.11261,14.27380,14.27380,14.13052,14.11261,14.16634,14.00515,14.18425,14.29171,15.02599,15.34836,15.50955,16.06474,17.49749,19.05561,19.80780,20.09435,20.04062,19.87944,19.86153,19.07352,18.75115,18.26759,17.83777,17.19303,16.92439,16.74529,16.38711,16.04683,15.47373,15.02599,14.70362,14.54244,18.62578,19.59289,24.66125,22.61958,21.33010,19.53916,23.13895,21.31219
2008,Revesby 132_11kV,06MAY2007,MW,19.71826,17.78404,16.33338,20.50627,19.12724,17.56913,16.81693,15.72446,14.34543,13.27087,12.51867,11.47993,11.01428,10.72773,10.58446,10.13672,10.40536,9.72481,9.81435,9.86808,10.13672,10.10090,10.08300,10.42327,10.72773,10.51282,11.26502,10.35164,10.47700,11.28293,12.03512,12.46495,13.27087,13.57533,13.86188,14.34543,14.54244,14.91853,14.82899,14.72153,14.38125,14.54244,14.32752,14.45289,14.39916,14.11261,14.02306,14.02306,13.96934,13.95143,13.86188,13.52160,13.53951,13.37833,13.21714,13.41414,13.32460,13.05596,13.10968,13.41414,13.27087,13.37833,13.57533,13.68279,14.34543,14.45289,15.18718,16.04683,17.03184,18.53623,19.87944,20.36299,20.41672,20.56000,20.07644,19.50334,18.84069,18.46460,18.37505,17.83777,17.44376,17.03184,16.69157,16.27965,15.56327,15.24090,14.70362,14.27380,18.08850,19.07352,24.42843,22.87031,20.63163,18.78697,22.56585,21.09728
2008,Revesby 132_11kV,07MAY2007,MW,19.16306,17.17512,15.50955,19.59289,18.10641,16.76320,16.11846,14.81108,13.68279,12.28585,11.80230,10.99637,10.40536,10.20836,9.88599,9.72481,9.86808,10.53073,10.45909,11.05010,11.49784,13.68279,15.07972,14.82899,17.39003,19.59289,20.56000,18.58996,17.73031,17.92731,17.78404,17.13930,18.10641,17.35421,19.16306,18.19596,18.46460,18.16014,18.42878,16.53038,16.38711,16.60202,16.87066,15.99310,17.51540,18.10641,18.42878,17.35421,17.46167,16.17219,16.17219,16.38711,16.58411,17.94522,16.10056,15.93937,16.42292,16.15428,16.01101,15.79610,15.95728,16.33338,16.85275,17.22885,18.10641,17.98104,18.48251,19.37798,20.72118,22.99568,24.01651,23.37177,23.67623,23.58669,22.56585,22.33303,21.36592,20.68536,20.93609,20.30927,20.36299,19.70035,18.51833,18.57205,18.14223,18.10641,17.39003,17.49749,19.87944,21.15101,26.11191,24.50007,22.67331,20.23763,23.90906,21.38383
2008,Revesby 132_11kV,08MAY2007,MW,19.43170,17.51540,16.53038,20.34508,19.28843,17.81986,16.85275,15.36627,14.45289,13.03805,12.19631,11.37247,10.94265,10.78146,10.74564,10.62028,10.96056,11.44411,11.26502,11.76648,12.01721,12.41122,14.86481,15.88564,16.04683,16.97812,18.91233,16.79902,17.49749,18.51833,19.18097,18.94815,19.77198,18.67951,16.85275,17.06766,16.11846,16.96021,16.15428,15.83191,16.97812,17.67658,17.65867,17.76613,17.40794,16.10056,15.95728,17.17512,15.40209,16.97812,17.62285,16.20801,15.79610,16.01101,15.72446,15.56327,16.27965,15.93937,16.47665,16.36920,16.33338,16.33338,16.76320,16.81693,17.28258,17.83777,19.21679,19.05561,20.95400,22.33303,23.42550,23.67623,24.33888,23.46132,22.92404,21.74202,20.88237,20.47045,20.61373,21.15101,20.13017,20.23763,19.50334,19.00188,18.51833,18.48251,17.33630,16.81693,20.72118,21.04355,26.59547,24.82244,23.04940,20.73909,24.80453,21.36592
2008,Revesby 132_11kV,09MAY2007,MW,19.39589,17.46167,16.47665,20.72118,19.70035,18.57205,17.35421,16.33338,14.66780,13.80815,12.50076,11.44411,11.12174,10.99637,10.42327,10.47700,10.96056,11.87394,11.47993,11.87394,12.62613,12.93059,13.59324,14.39916,16.01101,17.39003,19.64662,17.08557,17.30049,17.22885,17.99895,18.24968,17.83777,17.51540,16.90648,16.65575,16.47665,17.78404,17.65867,17.01394,18.19596,18.67951,18.69742,18.19596,18.64369,17.99895,18.78697,16.44083,18.03477,16.47665,16.85275,17.92731,17.12139,16.58411,16.15428,16.01101,16.27965,16.15428,15.99310,16.04683,16.17219,17.13930,17.67658,18.41087,18.64369,18.37505,19.75407,20.56000,22.08230,23.24641,23.94487,23.96278,23.72996,23.67623,24.01651,21.95693,21.04355,20.79282,21.31219,21.33010,20.77491,20.07644,20.23763,19.16306,18.08850,18.37505,18.05268,16.58411,20.36299,21.65247,27.45512,25.01944,22.35094,21.00773,24.37470,21.79575
2008,Revesby 132_11kV,10MAY2007,MW,19.86153,18.24968,16.96021,21.16892,19.98690,18.08850,17.71240,16.47665,14.72153,13.43205,12.41122,11.60529,11.05010,10.67401,10.72773,10.24418,10.74564,11.17547,11.71275,11.90975,11.80230,12.55449,13.64697,14.56035,16.49456,17.33630,17.81986,16.22592,17.62285,18.32132,18.84069,18.58996,17.94522,18.05268,17.92731,16.69157,16.79902,17.40794,17.78404,16.65575,16.44083,16.92439,16.15428,16.20801,16.58411,16.06474,17.01394,16.22592,16.22592,16.06474,16.58411,16.22592,16.15428,16.38711,16.49456,16.06474,15.88564,15.34836,15.52745,15.61700,16.04683,16.65575,17.08557,17.40794,17.65867,18.58996,19.55707,20.36299,21.38383,22.83449,23.78369,23.80160,23.42550,23.40759,23.42550,22.08230,21.58083,21.00773,21.16892,21.04355,20.90028,21.06146,19.91526,19.27052,19.37798,17.99895,18.24968,18.21387,21.15101,22.67331,27.16857,25.77163,23.37177,22.11812,25.61045,22.35094
